"A diagnosis algorithm for constant degree structures and its application to VLSI circuit testing,""Kaiyuan Huang"; V. K. Agarwal; L. LaForge;" K. Thulasiraman"",""Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada"; Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada; Department of Electrical Engineering, University of Nevada, Reno, NV, USA;" Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""363"",""372"",""A simple diagnosis algorithm is presented for constant degree systems such as rectangular grids connected as tori. The algorithm determines the status of a unit according to the size of its faction, a cluster of units that call each other fault-free but outsiders faulty. Almost all units are correctly identified with this algorithm under a binomial failure distribution even when the probability of failure is rather high. The complexity of the algorithm is O(n), where n is the number of units in a constant degree system. The application of the algorithm to production testing of VLSI chips is also considered. With a test board that houses a large number of chips to be tested, all the chips can be tested in parallel in a way that they test each other and the test outcomes, not necessarily correct, are reported to a host system for analysis. The actual status of each chip is determined by using this new diagnosis algorithm. The above chip screening process can be repeated for higher accuracy. It is shown that no more than two steps are needed in most real situations. Compared with testing by test equipment that usually tests only one chip at a time, the saving of test time and the test equipment cost could be significant with our approach.<>"",""1558-2183"","""",""10.1109/71.372790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372790"","""",""Very large scale integration";Circuit testing;System testing;Clustering algorithms;Fault diagnosis;Microelectronics;Circuit faults;Test equipment;Production;"Costs"","""",""19"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"An inherently parallel method for heuristic problem-solving. II. Example applications,""I. Pramanick";" J. G. Kuhl"",""ASD Performance Engineering, Silicon Graphics, Inc., Mountain View, CA, USA";" Electrical and Computer Engineering, University of Iowa, Iowa, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""10"",""1016"",""1028"",""For pt.I. see ibid., p.1006-15. This paper presents the application of parallel dynamic interaction (PDI) to three real problem domains: the flowshop scheduling problem, the job-shop scheduling problem and the vertex cover problem. Specific examples are provided as to how the general PDI framework, introduced in part I of this paper, can be applied to a particular problem. The results of an empirical study of 90 example instances of these problems indicate that PDI consistently out-performs previously published heuristics for the vertex cover problem, and can typically generate solutions within a few percent of optimal for flow-shop and job-shop problems. Out of the 76 examples for which the optimal solution could be determined, PDI was able to produce results averaging within 4% of optimal. In over 30% of the cases, PDI was able to find the optimal solution. In no case did the PDI solution deviate more than 15% from optimal. It is also seen that the time taken by PDI to arrive at these solutions is negligible compared to that taken by conventional search techniques. This provides strong empirical evidence that PDI is capable of generating high quality solutions to exponentially and super-exponentially hard problems in reasonably short periods of time.<>"",""1558-2183"","""",""10.1109/71.473512"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=473512"","""",""Problem-solving";Job shop scheduling;Graph theory;Heuristic algorithms;Scheduling algorithm;Tail;Variable speed drives;Silicon;Computer graphics;"Cities and towns"","""",""3"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"An integrated runtime and compile-time approach for parallelizing structured and block structured applications,""G. Agrawal"; A. Sussman;" J. Saltz"",""Department of Computer Science, University of Maryland, College Park, MD, USA"; UMIACS and the Department of Computer Science, University of Maryland, College Park, MD, USA;" UMIACS and the Department of Computer Science, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""747"",""754"",""In compiling applications for distributed memory machines, runtime analysis is required when data to be communicated cannot be determined at compile-time. One such class of applications requiring runtime analysis is block structured codes. These codes employ multiple structured meshes, which may be nested (for multigrid codes) and/or irregularly coupled (called multiblock or irregularly coupled regular mesh problems). In this paper, we present runtime and compile-time analysis for compiling such applications on distributed memory parallel machines in an efficient and machine-independent fashion. We have designed and implemented a runtime library which supports the runtime analysis required. The library is currently implemented on several different systems. We have also developed compiler analysis for determining data access patterns at compile time and inserting calls to the appropriate runtime routines. Our methods can be used by compilers for HPF-like parallel programming languages in compiling codes in which data distribution, loop bounds and/or strides are unknown at compile-time. To demonstrate the efficacy of our approach, we have implemented our compiler analysis in the Fortran 90D/HPF compiler developed at Syracuse University. We have experimented with a multi-bloc Navier-Stokes solver template and a multigrid code. Our experimental results show that our primitives have low runtime communication overheads and the compiler parallelized codes perform within 20% of the codes parallelized by manually inserting calls to the runtime library.<>"",""1558-2183"","""",""10.1109/71.395403"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395403"","""",""Runtime library";Parallel machines;Program processors;Parallel programming;Data analysis;Pattern analysis;High performance computing;Uninterruptible power systems;Bandwidth;"Delay"","""",""57"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"An interface to a reliable packet delivery service for parallel systems,""M. Debbage"; M. B. Hill;" D. A. Nicole"",""Architecture Group of INMOS Limited, Bristol, UK"; Architecture Group of INMOS Limited, Bristol, UK;" Department of Electronics and Computer Science, University of Southampton, Southampton, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""400"",""411"",""Modern distributed memory parallel computers provide hardware support for the efficient and reliable delivery of interprocessor messages. This facility needs to be accessed by lightweight protocols that do not waste the performance of the underlying hardware";" the heavyweight layering techniques traditionally used in distributed systems are wholly inappropriate. A low-level communication interface is therefore presented which exploits modern architectures effectively, while maintaining a good match to existing parallel programming environments. The interface defines mechanisms to access an asynchronous reliable packet delivery service. It permits messaging protocols to be efficiently synthesized by considering the activity at their end-points alone. This arrangement effectively decouples the implementation of protocols from low-level architectural features, and hence aids the portability of parallel programming environments. Furthermore, the interface allows the communication network to be shared by multiple programming paradigms, giving additional flexibility over existing systems.<>"",""1558-2183"","""",""10.1109/71.372793"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372793"","""",""Hardware";Concurrent computing;Access protocols;Programming environments;Parallel programming;Communication networks;Parallel processing;Parallel languages;Computer architecture;"Topology"","""","""","""",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An optimal broadcasting algorithm without message redundancy in star graphs,""Jang-Ping Sheu"; Chao-Tsung Wu;" Tzung-Shi Chen"",""Department of Computer Science and InformationEngineering, National Central University, Chungli, Taiwan"; Department of Computer Science and InformationEngineering, National Central University, Chungli, Taiwan;" Department of Computer Science and InformationEngineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""653"",""658"",""Based on the V.E. Mendia and D. Sarkar's algorithm (1992), we propose an optimal and nonredundant distributed broadcasting algorithm in star graphs. For an n-dimensional star graph, our algorithm takes O(n log/sub 2/ n) time and guarantees that all nodes in the star graph receive the message exactly once. Moreover, broadcasting m packets in a pipeline fashion takes O(m log/sub 2/ n+n log/sub 2/ n) time due to the nonredundant property of our broadcasting algorithm.<>"",""1558-2183"","""",""10.1109/71.388046"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388046"","""",""Broadcasting";Partitioning algorithms;Pipelines;Chaotic communication;Multiprocessor interconnection networks;Distributed computing;Telecommunication traffic;Traffic control;Councils;"Computer science"","""",""50"",""4"",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"An optimal instruction scheduler for superscalar processor,""Hong-Chich Chou";" Chung-Ping Chung"",""Institute of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan";" Institute of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""3"",""303"",""313"",""Performance in superscalar processing strongly depends on the compiler's ability to generate codes that can be executed by hardware in an optimal or near optimal order. Generating optimal code is an NP-complete problem. However, there is a need for highly optimized code, such as in superscalar or real-time systems. In this paper, an instruction scheduling scheme for optimizing a program trace is proposed. Optimized code can be arrived at without much redundant work, if some important features in code are well explored and utilized in scheduling. To formalize the task, two abstract models, one for a superscalar processor and the other for a program trace, are given. These two models reflect most of the characteristics of the scheduling problem. The interrelations between instructions and partial schedules are thoroughly studied, and dominance and equivalence relations on them are defined. These relations are then used to reduce the solution space and eventually help to produce optimal schedules. The results of experiments that show the promise of the proposed scheme are also presented.<>"",""1558-2183"","""",""10.1109/71.372778"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372778"","""",""Processor scheduling";Optimal scheduling;Hardware;Delay;Design optimization;Clocks;NP-complete problem;Real time systems;Councils;"Computer science"","""",""29"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Analysis of finite buffered multistage combining networks,""G. Lee"; B. . -C. Kang;" R. Y. Kain"",""Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA"; Samsung Electronics Company Limited, Seoul, South Korea;" Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""760"",""766"",""Analyzing the performance of finite buffered multistage networks has been considered a difficult task because of dynamic blocking effects due to finite sized buffers. With the multistage networks enhanced with combining capability, in which multiple requests directed to a shared location combine together to form a single request to be forwarded, the analysis becomes even more difficult due to the interactions between combining probability and queuing delay. Performance bounds for combining networks are known under two extreme assumptions: infinite combining queues and saturated finite combining queues. We analyze multistage combining networks with the consideration of blocking due to finite combining queues. Our analysis provides iterative solutions for combining probability, blocking probability, and queuing delay.<>"",""1558-2183"","""",""10.1109/71.395405"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395405"","""",""Queueing analysis";Switches;Telecommunication traffic;Traffic control;Multiprocessor interconnection networks;Performance analysis;Packet switching;Delay;Parallel machines;"Hardware"","""",""1"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Annealed embeddings of communication patterns in an interconnection cached network,""V. Gupta";" E. Schenfeld"",""Department of Computer Science, State University of New York, Binghamton, NY, USA";" NEC Research Institute, Inc., Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1153"",""1167"",""The communication needs of many parallel applications exhibit what we call switching locality. In such applications, each computation entity (process, thread, etc.) tends to restrict its communication to a small set of other entities. The physical location or proximity of these entities can be arbitrary, as long as the communication degree is small. The Interconnection Cached Network (ICN) is a reconfigurable network ideally suited for exploiting such locality. The use of fast small crossbar switches (Interconnection Caches) with a larger, but slower, reconfigurable network (optimized for connectivity) lets the ICN adapt to the communication requirements of individual applications, potentially achieving higher performance. Embedding communication patterns efficiently in an ICN, requires finding a bounded l-contraction of the underlying communication graph. The problem of identifying whether a graph has a bounded and l-contraction for a given integer l is known to be NP-complete for l>2. We describe a heuristic algorithm based on simulated annealing for this problem. We test the effectiveness of our approach by using it to embed graphs, representing regular communication patterns, for which the best solutions are deterministically known. The algorithm does not rely on any structural information of the communication pattern and is therefore applicable to irregular patterns as well. The results of applying our heuristics to embed such irregular graphs are also presented."",""1558-2183"","""",""10.1109/71.476187"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476187"","""",""Intelligent networks";Switches;Communication switching;Delay;Multiprocessor interconnection networks;Network topology;Simulated annealing;Lattices;Centralized control;"Computer applications"","""",""1"","""",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Asynchronous problems on SIMD parallel computers,""W. Shu";" M. . -Y. Wu"",""Department of Computer Science, State University of New York, University at Buffalo, Buffalo, NY, USA";" Department of Computer Science, State University of New York, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""704"",""713"",""One of the essential problems in parallel computing is: Can SIMD machines handle asynchronous problems? This is a difficult, unsolved problem because of the mismatch between asynchronous problems and SIMD architectures. We propose a solution to let SIMD machines handle general asynchronous problems. Our approach is to implement a runtime support system which can run MIMD-like software on SIMD hardware. The runtime support system, named P kernel, is thread-based. There are two major advantages of the thread-based model. First, for application problems with irregular and/or unpredictable features, automatic scheduling can move some threads from overloaded processors to underloaded processors. Second, and more importantly, the granularity of threads can be controlled to reduce system overhead. The P kernel is also able to handle bookkeeping and message management, as well as to make these low-level tasks transparent to users. Substantial performance has been obtained on Maspar MP-1.<>"",""1558-2183"","""",""10.1109/71.395399"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395399"","""",""Concurrent computing";Kernel;Parallel processing;Computer architecture;Hardware;Application software;Processor scheduling;Automatic control;"Control systems"","""",""10"","""",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Automatic partitioning of parallel loops and data arrays for distributed shared-memory multiprocessors,""A. Agarwal"; D. A. Kranz;" V. Natarajan"",""MIT Laboratory for Computer Science, Cambridge, MA"; MIT Laboratory for Computer Science, Cambridge, MA;" Motorola Cambridge Research Center, Cambridge, MA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""943"",""962"",""Presents a theoretical framework for automatically partitioning parallel loops to minimize cache coherency traffic on shared-memory multiprocessors. While several previous papers have looked at hyperplane partitioning of iteration spaces to reduce communication traffic, the problem of deriving the optimal tiling parameters for minimal communication in loops with general affine index expressions has remained open. Our paper solves this open problem by presenting a method for deriving an optimal hyperparallelepiped tiling of iteration spaces for minimal communication in multiprocessors with caches. We show that the same theoretical framework can also be used to determine optimal tiling parameters for both data and loop partitioning in distributed memory multicomputers. Our framework uses matrices to represent iteration and data space mappings and the notion of uniformly intersecting references to capture temporal locality in array references. We introduce the notion of data footprints to estimate the communication traffic between processors and use linear algebraic methods and lattice theory to compute precisely the size of data footprints. We have implemented this framework in a compiler for Alewife, a distributed shared-memory multiprocessor.<>"",""1558-2183"","""",""10.1109/71.466632"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466632"","""",""Programming profession";Partitioning algorithms;Tiles;Shape;Lattices;Laboratories;Distributed computing;Program processors;"Context"","""",""70"",""7"","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Average waiting time profiles of uniform distributed queue dual bus system model,""N. S. V. Rao"; K. J. Maly; S. Olariu; S. Dharanikota; Liping Zhang;" D. E. Game"",""Center for Engineering Systems Advanced Research, Oak Ridge National Laboratory, Oak Ridge, TN, USA"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Computer Technology Associated Incorporated, MD, USA;" Department of Physics and Computer Science, Christopher Newport University, Newport News, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""10"",""1068"",""1084"",""The Distributed Queue Dual Bus (DQDB) system consists of a linear arrangement of N nodes that communicate with each other using two contra-flowing buses. The nodes use an extremely simple protocol to send messages on these buses. This simple, but elegant, system has been found to be very challenging to analyze. We consider a simple and uniform abstraction of this model to highlight the fairness issues in terms of average waiting time. We introduce a new approximation method to analyze the performance of DQDB system in terms of the average waiting time of a node expressed as a function of its position. Our approach abstracts the intimate relationship between the load of the system and its fairness characteristics, and explains all basic behavior profiles of DQDB observed in previous simulation. For the uniform DQDB with equal distance between adjacent nodes, we show that the system operates under three basic behavior profiles and a finite number of their combinations that depend on the load of the network. Consequently, the system is not fair at any load in terms of the average waiting times. We also show that the main theme of the analysis carries over to the general (nonuniform) DQDB. By suitably choosing the inter-node distances, the DQDB can be made fair around some loads, but such system will become unfair as the load changes. In the vicinity of a critical load, the uniform network runs into a state of instability, where its behavior fluctuates from one extreme to the other with small load variations. Our analysis is supported by simulation results.<>"",""1558-2183"","""",""10.1109/71.473516"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=473516"","""",""Protocols";Performance analysis;Computer Society;Load management;Computer science;Approximation methods;Abstracts;Analytical models;Queueing analysis;"Metropolitan area networks"","""","""","""",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Bounds on maximum delay in networks with deflection routing,""J. T. Brassil";" R. L. Cruz"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA";" Department of Electrical and Computer Engineering, University of California, San Diego, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""724"",""732"",""We consider the problem of finding the worst case packet transit delay in networks using deflection routing. Several classes of networks are studied, including many topologies for which deflection routing has been proposed or implemented (e.g., hypercube, Manhattan Street Network, shuffle-exchange network). We derive new upper bounds on the evacuation time of batch admissions, and present simple proofs for several existing bounds. Also derived are bounds on worst case transit delay for certain networks admitting packets continuously. To demonstrate the practical utility of our results, we compare a new delay bound to the maximum delay observed in simulations. The results have application in both protocol design and the determination of the required capacity of packet resequencing buffers.<>"",""1558-2183"","""",""10.1109/71.395401"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395401"","""",""Intelligent networks";Routing;Delay;Upper bound;Lifting equipment;Network topology;Hypercubes;Protocols;Performance analysis;"Communication networks"","""",""37"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Byzantine Agreement in a generalized connected network,""S. C. Wang"; Y. H. Chin;" K. Q. Yan"",""Aero-Industrial Development Center, Taichung, Taiwan"; Institute of Computer Science, National Tsing Hua University, Hsinchu, Taiwan;" Aero-Industrial Development Center, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""420"",""427"",""Traditionally, the Byzantine Agreement (BA) problem is studied either in a fully connected network or in a broadcast network. A generalized network model for BA is proposed in this paper. A fully-connected network or a broadcast network is a special case of the new network architecture. Under the new generalized network model, the BA problem is reexamined with the assumption of malicious faults on both processors and transmission medium (TM), as opposed to previous studies which consider malicious faults on processors only. The proposed algorithm uses the minimum number of message exchanges, and can tolerate the maximum number of allowable faulty components to make each healthy processor reach a common agreement for the cases of processor failures, TM failures, or processor/TM failures. The results can also be used to solve the interactive consistency problem and the consensus problem.<>"",""1558-2183"","""",""10.1109/71.372796"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372796"","""",""Intelligent networks";Processor scheduling;Real time systems;Protocols;Delay;Scheduling algorithm;Fault tolerant systems;Distributed computing;Time factors;"Broadcasting"","""",""33"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"CCL: a portable and tunable collective communication library for scalable parallel computers,""V. Bala"; J. Bruck; R. Cypher; P. Elustondo; A. Ho; Ching-Tien Ho; S. Kipnis;" M. Snir"",""IBM Thomas J. Watson Research Center, Cambridge, USA"; California Institute of Technology, Pasadena, CA, USA; Computer Science Department, Johns Hopkins University, Baltimore, MD, USA; IBM Argentina, Ing., Buenos Aires, Argentina; IBM Research Division, Almaden Research Center, San Jose, CA, USA; IBM Research Division, Almaden Research Center, San Jose, CA, USA; MATAM Advanced Technology Center, IBM Israel Science and Technology Center, Haifa, Israel;" IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""154"",""164"",""A collective communication library for parallel computers includes frequently used operations such as broadcast, reduce, scatter, gather, concatenate, synchronize, and shift. Such a library provides users with a convenient programming interface, efficient communication operations, and the advantage of portability. A library of this nature, the Collective Communication Library (CCL), intended for the line of scalable parallel computer products by IBM, has been designed. CCL is part of the parallel application programming interface of the recently announced IBM 9076 Scalable POWERparallel System 1 (SP1). In this paper, we examine several issues related to the functionality, correctness, and performance of a portable collective communication library while focusing on three novel aspects in the design and implementation of CCL: 1) the introduction of process groups, 2) the definition of semantics that ensures correctness, and 3) the design of new and tunable algorithms based on a realistic point-to-point communication model.<>"",""1558-2183"","""",""10.1109/71.342126"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342126"","""",""Libraries";Concurrent computing;Portable computers;Application software;Broadcasting;Parallel programming;Algorithm design and analysis;Computer interfaces;"Scattering"","""",""42"",""2"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Checkpoint space reclamation for uncoordinated checkpointing in message-passing systems,""Yi-Min Wang"; Pi-Yu Chung; In-Jen Lin;" W. K. Fuchs"",""Bell Laboratories, Murray Hill, NJ, USA"; Bell Laboratories, Murray Hill, NJ, USA; Department of Mathematics, University of Illinois, Urbana-Champaign, IL, USA;" Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""546"",""554"",""Uncoordinated checkpointing allows process autonomy and general nondeterministic execution, but suffers from potential domino effects and the associated space overhead. Previous to this research, checkpoint space reclamation had been based on the notion of obsolete checkpoints";" as a result, a potentially unbounded number of nonobsolete checkpoints may have to be retained on stable storage. In this paper, we derive a necessary and sufficient condition for identifying all garbage checkpoints. By using the approach of recovery line transformation and decomposition, we develop an optimal checkpoint space reclamation algorithm and show that the space overhead for uncoordinated checkpointing is in fact bounded by N(N+1)/2 checkpoints where N is the number of processes.<>"",""1558-2183"","""",""10.1109/71.382324"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382324"","""",""Checkpointing";NASA;Sufficient conditions;Hardware;Military computing;Laboratories;Software systems;Mathematics;Runtime;"Protocols"","""",""33"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Coding-based replication schemes for distributed systems,""A. Agrawal";" P. Jalote"",""Department of Computer Science, University of Maryland, College Park, MD, USA";" Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""3"",""240"",""251"",""Data is often replicated in distributed systems to improve availability and performance. This replication is expensive in terms of disk storage since the existing schemes generally require full files to be stored at each site. In this paper, we present schemes which significantly reduce the storage requirements in replication based systems. These schemes use the coding method suggested by Rabin to store replicated data. The first scheme that we present is a modification of the simple voting algorithm and its quorum requirements. We then show how some of the extensions of the voting algorithm can also be modified to get storage efficient schemes for managing such replication. We evaluate the availability offered by these schemes and show that the storage space required to achieve certain availability are significantly lower than the conventional schemes with full file replication. Since coding is used, these schemes also provide a high degree of data security.<>"",""1558-2183"","""",""10.1109/71.372774"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372774"","""",""Voting";Availability;Data security;Partitioning algorithms;Computer science;Senior members;Distributed databases;Fault tolerance;Protocols;"Fault tolerant systems"","""",""9"",""1"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Comparative modeling and evaluation of CC-NUMA and COMA on hierarchical ring architectures,""Xiaodong Zhang";" Yong Yan"",""High Performance Computing and Software Laboratory, University of Texas, San Antonio, San Antonio, TX, USA";" High Performance Computing and Software Laboratory, University of Texas, San Antonio, San Antonio, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1316"",""1331"",""Parallel computing performance on scalable shared-memory architectures is affected by the structure of the interconnection networks linking processors to memory modules and on the efficiency of the memory/cache management systems. Cache Coherence Nonuniform Memory Access (CC-NUMA) and Cache Only Memory Access (COMA) are two effective memory systems, and the hierarchical ring structure is an efficient interconnection network in hardware. This paper focuses on comparative performance modeling and evaluation of CC-NUMA and COMA on a hierarchical ring shared-memory architecture. Analytical models for the two memory systems for comparative evaluation are presented. Intensive performance measurements on data migrations have been conducted on the KSR-1, a COMA hierarchical ring shared-memory machine. Experimental results support the analytical models, and we present practical observations and comparisons of the two cache coherence memory systems. Our analytical and experimental results show that a COMA system balances the work load well. However the overhead of frequent data movement may match the gains obtained from improving load balance. We believe our performance results could be further generalized to the two memory systems on a hierarchical network architecture. Although a CC-NUMA system may not automatically balance the load at the system level, it provides an option for a user to explicitly handle data locality for a possible performance improvement."",""1558-2183"","""",""10.1109/71.476171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476171"","""",""Multiprocessor interconnection networks";Memory management;Coherence;Analytical models;Parallel processing;Computer architecture;Joining processes;Computer network management;Hardware;"Measurement"","""",""9"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Comparative performance evaluation of hot spot contention between MIN-based and ring-based shared-memory architectures,""Xiaodong Zhang"; Yong Yan;" R. Castaneda"",""HighPerformance Computing and Software Laboratory, University of Texas, San Antonio, San Antonio, TX, USA"; HighPerformance Computing and Software Laboratory, University of Texas, San Antonio, San Antonio, TX, USA;" HighPerformance Computing and Software Laboratory, University of Texas, San Antonio, San Antonio, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""872"",""886"",""Hot spot contention on a network-based shared-memory architecture occurs when a large number of processors try to access a globally shared variable across the network. While multistage interconnection network (MIN) and hierarchical ring (HR) structures are two important bases on which to build large scale shared-memory multiprocessors, the different interconnection networks and cache/memory systems of the two architectures respond very differently to network bottleneck situations. In this paper, we present a comparative performance evaluation of hot spot effects on the MIN-based and HR-based shared-memory architectures. Both nonblocking MIN-based and HR-based architectures are classified, and analytical models are described for understanding network differences and for evaluating hot spot performance on both architectures. The analytical comparisons indicate that HR-based architectures have the potential to handle various contentions caused by hot spots more efficiently than MIN-based architectures. Intensive performance measurements on hot spots have been conducted on the BBN TC2000 (MIN-based) and the KSR1 (HR-based) machines. Performance experiments were also conducted on the practical experience of hot spots with respect to synchronization lock algorithms. The experimental results are consistent with the analytical models, and present practical observations and an evaluation of hot spots on the two types of architectures.<>"",""1558-2183"","""",""10.1109/71.406963"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406963"","""",""Analytical models";Telecommunication traffic;Traffic control;Memory architecture;Multiprocessor interconnection networks;Switches;Large-scale systems;Degradation;Computer architecture;"High performance computing"","""",""8"","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
