"(ε, δ)-Approximate Aggregation Algorithms in Dynamic Sensor Networks,""J. Li";" S. Cheng"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China";" School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""385"",""396"",""Aggregation operations are important in WSN applications. Since large numbers of applications only require approximate aggregation results rather than the exact ones, some approximate aggregation algorithms have been proposed to save energy. However, the error bounds of these algorithms are fixed and it is impossible to adjust the error bounds automatically, so they cannot meet the requirement of arbitrary precision required by various users. Thus, a uniform sampling-based algorithm was proposed by the authors of this paper to satisfy arbitrary precision requirement. Unfortunately, this uniform sampling-based algorithm is only suitable for static sensor networks. To overcome the shortcoming of the uniform sampling-based algorithm, this paper proposes four Bernoulli sampling-based and distributed approximate aggregation algorithms to process the snapshot and continuous aggregation queries in dynamic sensor networks. Theoretical analysis and experimental results show that the proposed algorithms have high performance in terms of accuracy and energy consumption."",""1558-2183"","""",""10.1109/TPDS.2011.193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953593"",""Wireless sensor network";approximate aggregation;"Bernoulli sampling."",""Approximation algorithms";Clustering algorithms;Entropy;Heuristic algorithms;Monitoring;Wireless sensor networks;"Algorithm design and analysis"","""",""30"","""",""25"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"An Online Data Access Prediction and Optimization Approach for Distributed Systems,""R. P. Ishii";" R. Fernandes de Mello"",""Faculty of Computer Science, Federal University of Mato Grosso do Sul, Campo Grande, Mato Grosso do Sul, Brazil";" Department of Computer Science, Institute of Mathematics and Computer Sciences, University of São Paulo, Sao Carlos, Sao Paulo, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1017"",""1029"",""Current scientific applications have been producing large amounts of data. The processing, handling and analysis of such data require large-scale computing infrastructures such as clusters and grids. In this area, studies aim at improving the performance of data-intensive applications by optimizing data accesses. In order to achieve this goal, distributed storage systems have been considering techniques of data replication, migration, distribution, and access parallelism. However, the main drawback of those studies is that they do not take into account application behavior to perform data access optimization. This limitation motivated this paper which applies strategies to support the online prediction of application behavior in order to optimize data access operations on distributed systems, without requiring any information on past executions. In order to accomplish such a goal, this approach organizes application behaviors as time series and, then, analyzes and classifies those series according to their properties. By knowing properties, the approach selects modeling techniques to represent series and perform predictions, which are, later on, used to optimize data access operations. This new approach was implemented and evaluated using the OptorSim simulator, sponsored by the LHC-CERN project and widely employed by the scientific community. Experiments confirm this new approach reduces application execution time in about 50 percent, specially when handling large amounts of data."",""1558-2183"","""",""10.1109/TPDS.2011.256"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060803"",""Distributed computing";distributed file system;data access optimization;time series analysis;"prediction."",""Time series analysis";Distributed databases;Optimization;Predictive models;Autoregressive processes;Analytical models;"Stochastic processes"","""",""13"","""",""51"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Analysis of Impact of TXOP Allocation on IEEE 802.11e EDCA under Variable Network Load,""J. Misic"; S. Rashwand;" V. B. Misic"",""Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada"; Department of Computer Science, University of Manitoba, Winnipeg, MAN, Canada;" Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2012"",""2012"",""23"",""5"",""785"",""799"",""In this paper, we investigate the impact of transmission opportunity (TXOP), arbitration interframe space (AIFS), and contention window on the performance of an IEEE 802.11e cluster with four traffic classes under Poisson frame arrivals. We derive an analytical model of the cluster using queuing model of individual nodes, discrete time Markov chain, and probabilistic modeling of the backoff process. The analytical model demonstrates the complex interaction between TXOP, on one side, and AIFS and contention window, on the other. We derive saturation and stability points for all traffic classes and discuss their dependency on TXOP allocations. Our results indicate that use of nonzero TXOP parameter under Poisson frame arrivals improves performance slightly by separating points of saturation and instability. More substantial performance improvements should be expected by deploying TXOP differentiation under bursty traffic. Since all traffic classes need to operate in stable, nonsaturated regime, this work has important implications for the design of congestion control and admission control schemes in IEEE 802.11e clusters."",""1558-2183"","""",""10.1109/TPDS.2011.229"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6018963"",""IEEE 802.11e";QoS differentiation;TXOP;CSMA-CA;"stability."",""Load modeling";Numerical models;Markov processes;Resource management;Analytical models;Peer to peer computing;"IEEE 802.11e Standard"","""",""21"","""",""23"",""IEEE"",""15 Sep 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Analyzing Massive Machine Maintenance Data in a Computing Cloud,""A. Bahga";" V. K. Madisetti"",""Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA";" Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2012"",""2012"",""23"",""10"",""1831"",""1843"",""We present a novel framework, CloudView, for storage, processing and analysis of massive machine maintenance data, collected from a large number of sensors embedded in industrial machines, in a cloud computing environment. This paper describes the architecture, design, and implementation of CloudView, and how the proposed framework leverages the parallel computing capability of a computing cloud based on a large-scale distributed batch processing infrastructure that is built of commodity hardware. A case-based reasoning (CBR) approach is adopted for machine fault prediction, where the past cases of failure from a large number of machines are collected in a cloud. A case-base of past cases of failure is created using the global information obtained from a large number of machines. CloudView facilitates organization of sensor data and creation of case-base with global information. Case-base creation jobs are formulated using the MapReduce parallel data processing model. CloudView captures the failure cases across a large number of machines and shares the failure information with a number of local nodes in the form of case-base updates that occur in a time scale of every few hours. At local nodes, the real-time sensor data from a group of machines in the same facility/plant is continuously matched to the cases from the case-base for predicting the incipient faults-this local processing takes a much shorter time of a few seconds. The case-base is updated regularly (in the time scale of a few hours) on the cloud to include new cases of failure, and these case-base updates are pushed from CloudView to the local nodes. Experimental measurements show that fault predictions can be done in real-time (on a timescale of seconds) at the local nodes and massive machine data analysis for case-base creation and updating can be done on a timescale of minutes in the cloud. Our approach, in addition to being the first reported use of the cloud architecture for maintenance data storage, processing and analysis, also evaluates several possible cloud-based architectures that leverage the advantages of the parallel computing capabilities of the cloud to make local decisions with global information efficiently, while avoiding potential data bottlenecks that can occur in getting the maintenance data in and out of the cloud."",""1558-2183"","""",""10.1109/TPDS.2011.306"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104038"",""Fault prediction";machine data analysis;case-based reasoning;cloud computing;Hadoop;"MapReduce"",""Sensors";Real time systems;Data analysis;Reliability;Cloud computing;Wind turbines;"Maintenance engineering"","""",""66"","""",""23"",""IEEE"",""13 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"ASM: Adaptive Voice Stream Multicast over Low-Power Wireless Networks,""L. Li"; G. Xing; Q. Han;" L. Sun"",""Institute of Software, Chinese Academy of Sciences, Beijing, China"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Math and Computer Sciences, Colorado Schml of Mines, Golden, CO, USA;" Institute of Software, Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""626"",""633"",""Low-power Wireless Networks (LWNs) have become increasingly available for mission-critical applications such as security surveillance and disaster response. In particular, emerging low-power wireless audio platforms provide an economical solution for ad hoc voice communication in emergency scenarios. In this paper, we develop a system called Adaptive Stream Multicast (ASM) for voice communication over multihop LWNs. ASM is composed of several novel components specially designed to deliver robust voice quality for multiple sinks in dynamic environments: 1) an empirical model to automatically evaluate the voice quality perceived at sinks based on current network condition"; 2) a feedback-based Forward Error Correction (FEC) scheme where the source can adapt its coding redundancy ratio dynamically in response to the voice quality variation at sinks; 3) a Tree-based Opportunistic Routing (TOR) protocol that fully exploits the broadcast opportunities on a tree based on novel forwarder selection and coordination rules;" and 4) a distributed admission control algorithm that ensures the voice quality guarantees when admitting new voice streams. ASM has been implemented on a low-power hardware platform and extensively evaluated through experiments on a test bed of 18 nodes. The experiment results show that ASM can achieve satisfactory multicast voice quality in dynamic environments while incurring low-communication overhead."",""1558-2183"","""",""10.1109/TPDS.2011.196"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953596"",""Low-power wireless networks";voice stream multicast;"admission control."",""Redundancy";Encoding;Bandwidth;Routing;Wireless communication;Relays;"Admission control"","""",""1"","""",""32"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Asymmetric Event-Driven Node Localization in Wireless Sensor Networks,""R. Stoleru"; T. He; S. S. Mathiharan; S. M. George;" J. A. Stankovic"",""Department of Computer Science and Engineering, Texas A and M University, College Station, TX, USA"; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA; Department of Computer Science and Engineering, Texas A and M University, College Station, TX, USA; Department of Computer Science and Engineering, Texas A and M University, College Station, TX, USA;" Department of Computer Science, University of Virginia, Charlottesville, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""634"",""642"",""Localization of wireless sensor nodes has long been regarded as a problem that is difficult to solve, especially when considering characteristics of real-world environments. This paper formally describes, designs, implements, and evaluates a novel localization system called Spotlight. The system uses spatiotemporal properties of well-controlled events in the network, light in this case, to obtain locations of sensor nodes. Performance of the system is evaluated through deployments of Mica2 and XSM motes in an outdoor environment, where 20 cm localization error is achieved. A sensor network consisting of any number of nodes deployed in a 2,500 m2 area can be localized in under 10 minutes. Submeter localization error in an outdoor environment is made possible without equipping the wireless sensor nodes with specialized ranging hardware."",""1558-2183"","""",""10.1109/TPDS.2011.227"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6007131"",""Wireless sensor networks";node localization;"asymmetric function."",""Event detection";Hardware;Distribution functions;Materials;Accuracy;"Computer science"","""",""19"","""",""22"",""IEEE"",""1 Sep 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Autonomic Placement of Mixed Batch and Transactional Workloads,""D. Carrera"; M. Steinder; I. Whalley; J. Torres;" E. Ayguade"",""Departament dArquitectura de Computadors, Universitat Politècnica de Catalonia, Barcelona, Spain"; IBM Thomas J. Watson Research Center, Hawthorne, NY, USA; IBM Thomas J. Watson Research Center, Hawthorne, NY, USA; Departament dArquitectura de Computadors, Universitat Politècnica de Catalonia, Barcelona, Spain;" Departament dArquitectura de Computadors, Universitat Politècnica de Catalonia, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Dec 2011"",""2012"",""23"",""2"",""219"",""231"",""To reduce the cost of infrastructure and electrical energy, enterprise datacenters consolidate workloads on the same physical hardware. Often, these workloads comprise both transactional and long-running analytic computations. Such consolidation brings new performance management challenges due to the intrinsically different nature of a heterogeneous set of mixed workloads, ranging from scientific simulations to multitier transactional applications. The fact that such different workloads have different natures imposes the need for new scheduling mechanisms to manage collocated heterogeneous sets of applications, such as running a web application and a batch job on the same physical server, with differentiated performance goals. In this paper, we present a technique that enables existing middleware to fairly manage mixed workloads: long running jobs and transactional applications. Our technique permits collocation of the workload types on the same physical hardware, and leverages virtualization control mechanisms to perform online system reconfiguration. In our experiments, including simulations as well as a prototype system built on top of state-of-the-art commercial middleware, we demonstrate that our technique maximizes mixed workload performance while providing service differentiation based on high-level performance goals."",""1558-2183"","""",""10.1109/TPDS.2011.129"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095484"",""Performance management";workload management;resource management;cloud computing;"virtualization."",""Resource management";Optimization;Time factors;Middleware;Runtime;Servers;"Heuristic algorithms"","""",""23"","""",""31"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Autotuning GEMM Kernels for the Fermi GPU,""J. Kurzak"; S. Tomov;" J. Dongarra"",""Electrical Engineering and Computer Science Department, University of Tennessee, Knoxville, TN, USA"; Electrical Engineering and Computer Science Department, University of Tennessee, Knoxville, TN, USA;" Electrical Engineering and Computer Science Department, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Sep 2012"",""2012"",""23"",""11"",""2045"",""2057"",""In recent years, the use of graphics chips has been recognized as a viable way of accelerating scientific and engineering applications, even more so since the introduction of the Fermi architecture by NVIDIA, with features essential to numerical computing, such as fast double precision arithmetic and memory protected with error correction codes. Being the crucial component of numerical software packages, such as LAPACK and ScaLAPACK, the general dense matrix multiplication routine is one of the more important workloads to be implemented on these devices. This paper presents a methodology for producing matrix multiplication kernels tuned for a specific architecture, through a canonical process of heuristic autotuning, based on generation of multiple code variants and selecting the fastest ones through benchmarking. The key contribution of this work is in the method for generating the search space";" specifically, pruning it to a manageable size. Performance numbers match or exceed other available implementations."",""1558-2183"","""",""10.1109/TPDS.2011.311"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6122021"",""Graphics processing unit";matrix multiplication;code generation;automatic tuning;GEMM;BLAS;"CUDA"",""Graphics processing unit";Instruction sets;Kernel;Computer architecture;Registers;"Hardware"","""",""80"","""",""44"",""IEEE"",""3 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Autotuning Skeleton-Driven Optimizations for Transactional Worklist Applications,""L. F. W. Goes"; N. Ioannou; P. Xekalakis; M. Cole;" M. Cintra"",""University of Edinburgh, Edinburgh"; IBM Zurich Research Lab, Rüschlikon, Switzerland; Intel Labs Barcelona, Intel Barcelona Research Center, Barcelona, Spain; University of Edinburgh, Edinburgh, United Kingdom;" University of Edinburgh, Edinburgh, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2205"",""2218"",""Skeleton or pattern-based programming allows parallel programs to be expressed as specialized instances of generic communication and computation patterns. In addition to simplifying the programming task, such well structured programs are also amenable to performance optimizations during code generation and also at runtime. In this paper, we present a new skeleton framework that transparently selects and applies performance optimizations in transactional worklist applications. Using a novel hierarchical autotuning mechanism, it dynamically selects the most suitable set of optimizations for each application and adjusts them accordingly. Our experimental results on the STAMP benchmark suite show that our skeleton autotuning framework can achieve performance improvements of up to 88 percent, with an average of 46 percent, over a baseline version for a 16-core system and up to 115 percent, with an average of 56 percent, for a 32-core system. These performance improvements match or even exceed those obtained by a static exhaustive search of the optimization space."",""1558-2183"","""",""10.1109/TPDS.2012.140"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197183"",""Concurrent programming";transactional memory;"parallel patterns and application-transparent adaptation"",""Skeleton programming";Optimization;Prefetching;Runtime;Parallel programming;"Concurrent computing"","""",""1"","""",""29"",""IEEE"",""8 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Balancing Performance and Cost in CMP Interconnection Networks,""P. Abad"; V. Puente;" J. -A. Gregorio"",""Department of Electrónica y Computadores, Facultad de Ciencias, Universidad de Cantabria, Santander, Cantabria, Spain"; Department of Electrónica y Computadores, Facultad de Ciencias, Universidad de Cantabria, Santander, Cantabria, Spain;" Department of Electrónica y Computadores, Facultad de Ciencias, Universidad de Cantabria, Santander, Cantabria, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""452"",""459"",""This paper presents an innovative router design, called Rotary Router, which successfully addresses CMP cost/performance constraints. The router structure is based on two independent rings, which force packets to circulate either clockwise or counterclockwise, traveling through every port of the router. These two rings constitute a completely decentralized arbitration scheme that enables a simple, but efficient way to connect every input port to every output port. The proposed router is able to avoid network deadlock, livelock, and starvation without requiring data-path modifications. The organization of the router permits the inclusion of throughput enhancement techniques without significantly penalizing the implementation cost. In particular, the router performs adaptive routing, eliminates HOL blocking, and carries out implicit congestion control using simple arbitration and buffering strategies. Additionally, the proposal is capable of avoiding end-to-end deadlock at coherence protocol level with no physical or virtual resource replication, while guaranteeing in-order packet delivery. This facilitates router management and improves storage utilization. Using a comprehensive evaluation framework that includes full-system simulation and hardware description, the proposal is compared with two representative router counterparts. The results obtained demonstrate the Rotary Router's substantial performance and efficiency advantages."",""1558-2183"","""",""10.1109/TPDS.2011.173"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5887317"",""Rotary Router";router architecture;interconnection networks;chip multiprocessors;coherence protocol;routing deadlock;"coherence protocol deadlock."",""System recovery";Routing;Routing protocols;Coherence;Multiprocessor interconnection;"Network topology"","""",""5"","""",""41"",""IEEE"",""16 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Balancing the Trade-Offs between Query Delay and Data Availability in MANETs,""Y. Zhang"; L. Yin; J. Zhao;" G. Cao"",""Department of Computer Science and Engineering, Pennsylvania State University, PA, USA"; Department of Computer Science and Engineering, Pennsylvania State University, PA, USA; Department of Computer Science and Engineering, Pennsylvania State University, PA, USA;" Department of Computer Science and Engineering, Pennsylvania State University, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""643"",""650"",""In mobile ad hoc networks (MANETs), nodes move freely and link/node failures are common, which leads to frequent network partitions. When a network partition occurs, mobile nodes in one partition are not able to access data hosted by nodes in other partitions, and hence significantly degrade the performance of data access. To deal with this problem, we apply data replication techniques. Existing data replication solutions in both wired or wireless networks aim at either reducing the query delay or improving the data availability, but not both. As both metrics are important for mobile nodes, we propose schemes to balance the trade-offs between data availability and query delay under different system settings and requirements. Extensive simulation results show that the proposed schemes can achieve a balance between these two metrics and provide satisfying system performance."",""1558-2183"","""",""10.1109/TPDS.2011.222"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5999662"",""Data replication";data availability;query delay;"mobile ad hoc network (MANET)."",""Availability";Delay;Mobile communication;Mobile computing;"Ad hoc networks"","""",""10"","""",""10"",""IEEE"",""25 Aug 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"BECAN: A Bandwidth-Efficient Cooperative Authentication Scheme for Filtering Injected False Data in Wireless Sensor Networks,""R. Lu"; X. Lin; H. Zhu; X. Liang;" X. Shen"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"; Faculty of Business and Information Technology, University of Ontario Institute of Technology, Oshawa, ONT, Canada; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada;" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""32"",""43"",""Injecting false data attack is a well known serious threat to wireless sensor network, for which an adversary reports bogus information to sink causing error decision at upper level and energy waste in en-route nodes. In this paper, we propose a novel bandwidth-efficient cooperative authentication (BECAN) scheme for filtering injected false data. Based on the random graph characteristics of sensor node deployment and the cooperative bit-compressed authentication technique, the proposed BECAN scheme can save energy by early detecting and filtering the majority of injected false data with minor extra overheads at the en-route nodes. In addition, only a very small fraction of injected false data needs to be checked by the sink, which thus largely reduces the burden of the sink. Both theoretical and simulation results are given to demonstrate the effectiveness of the proposed scheme in terms of high filtering probability and energy saving."",""1558-2183"","""",""10.1109/TPDS.2011.95"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733351"",""Wireless sensor network";injecting false data attack;random graph;"cooperative bit-compressed authentication."",""Authentication";Wireless sensor networks;Routing;Nickel;Artificial neural networks;"Communication system security"","""",""101"","""",""32"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"BEES: BioinspirEd backbonE Selection in Wireless Sensor Networks,""H. S. AbdelSalam";" S. Olariu"",""Computer Science Department, Engineering and Computational Sciences, Norfolk, VA, USA";" Computer Science Department, Engineering and Computational Sciences, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""44"",""51"",""Sensor networks have their own distinguishing characteristics that set them apart from other types of networks. Several techniques have been proposed in the literature to address some of the fundamental problems faced by a sensor network design. Most of the proposed techniques attempt to solve one problem in isolation from the others";" hence, protocol designers have to face the same common challenges again and again. This, in turn, has a direct impact on the complexity of the protocols and on energy consumption. Instead of using this approach, we propose BEES, a lightweight bioinspired backbone construction protocol, that can help mitigate many of the typical challenges in sensor networks by allowing the development of simpler network protocols. We show how BEES can help mitigate many of the typical challenges inherent to sensor networks including sensor localization, clustering, and data aggregation among others."",""1558-2183"","""",""10.1109/TPDS.2011.100"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740861"",""WSN";backbone sensors;hexagons;voids;BEES;infrastructure;bioinspired;"clustering."",""Protocols";Joining processes;Training;Synchronization;Estimation;Switches;"Energy consumption"","""",""33"","""",""7"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"BloomCast: Efficient and Effective Full-Text Retrieval in Unstructured P2P Networks,""H. Chen"; H. Jin; X. Luo; Y. Liu; T. Gu; K. Chen;" L. Ni"",""Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, University of Electronic Science and Technology, Chengdu, China; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Mathematics and Computer Science, University of Southern Denmark, Odense M, Denmark; Department of Mathematics and Computer Science, University of Southern Denmark, Odense M, Denmark;" Shanghai Key Laboratory of Scalable Computing and Systems, Shanghai Jiaotong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Dec 2011"",""2012"",""23"",""2"",""232"",""241"",""Efficient and effective full-text retrieval in unstructured peer-to-peer networks remains a challenge in the research community. First, it is difficult, if not impossible, for unstructured P2P systems to effectively locate items with guaranteed recall. Second, existing schemes to improve search success rate often rely on replicating a large number of item replicas across the wide area network, incurring a large amount of communication and storage costs. In this paper, we propose BloomCast, an efficient and effective full-text retrieval scheme, in unstructured P2P networks. By leveraging a hybrid P2P protocol, BloomCast replicates the items uniformly at random across the P2P networks, achieving a guaranteed recall at a communication cost of O(√N), where N is the size of the network. Furthermore, by casting Bloom Filters instead of the raw documents across the network, BloomCast significantly reduces the communication and storage costs for replication. We demonstrate the power of BloomCast design through both mathematical proof and comprehensive simulations based on the query logs from a major commercial search engine and NIST TREC WT10G data collection. Results show that BloomCast achieves an average query recall of 91 percent, which outperforms the existing WP algorithm by 18 percent, while BloomCast greatly reduces the search latency for query processing by 57 percent."",""1558-2183"","""",""10.1109/TPDS.2011.168"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871606"",""Peer-to-peer systems";Bloom Filter;"replication."",""Peer to peer computing";Indexes;Topology;Estimation;Query processing;Network topology;"Protocols"","""",""13"","""",""27"",""IEEE"",""9 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Bounding the Impact of Unbounded Attacks in Stabilization,""S. Dubois"; T. Masuzawa;" S. Tixeuil"",""INRIA, LIP6, UPMC Sorbonne Universite, Paris, France"; Osaka University, Suita, Osaka, Japan;" Institut Universitaire de France (IUF), LIP6, UPMC Sorbonne Universite, Paris, France"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""460"",""466"",""Self-stabilization is a versatile approach to fault-tolerance since it permits a distributed system to recover from any transient fault that arbitrarily corrupts the contents of all memories in the system. Byzantine tolerance is an attractive feature of distributed systems that permit to cope with arbitrary malicious behaviors. Combining these two properties proved difficult: it is impossible to contain the spatial impact of Byzantine nodes in a self-stabilizing context for global tasks such as tree orientation and tree construction. We present and illustrate a new concept of Byzantine containment in stabilization. Our property, called Strong Stabilization enables to contain the impact of Byzantine nodes if they actually perform too many Byzantine actions. We derive impossibility results for strong stabilization and present strongly stabilizing protocols for tree orientation and tree construction that are optimal with respect to the number of Byzantine nodes that can be tolerated in a self-stabilizing context."",""1558-2183"","""",""10.1109/TPDS.2011.158"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871596"",""Byzantine fault";distributed algorithm;fault tolerance;stabilization;"spanning tree construction."",""Protocols";Registers;Vegetation;Schedules;Transient analysis;Context;"Fault tolerance"","""",""17"","""",""15"",""IEEE"",""9 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Capacity and Robustness Tradeoffs in Bloom Filters for Distributed Applications,""M. D. D. Moreira"; R. P. Laufer; P. B. Velloso;" O. C. M. B. Duarte"",""Grupo de Teleinformática e Automação (GTA), COPPE, Intelie Research Lab, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil"; Bell Laboratories, Alcatel-Lucent, Holmdel, NJ, USA; Instituto de Computação, Universidade Federal Fluminense, Rio de Janeiro, Rio de Janeiro, Brazil;" Grupo de Teleinformática e Automação (GTA), COPPE, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2219"",""2230"",""The Bloom filter is a space-efficient data structure often employed in distributed applications to save bandwidth during data exchange. These savings, however, come at the cost of errors in the shared data, which are usually assumed low enough to not disrupt the application. We argue that this assumption does not hold in a more hostile environment, such as the Internet, where attackers can send a carefully crafted Bloom filter in order to break the application. In this paper, we propose the concatenated Bloom filter (CBF), a robust Bloom filter that prevents the attacker from interfering on the shared information, protecting the application data while still providing space efficiency. Instead of using a single large filter, the CBF concatenates small subfilters to improve both the filter robustness and capacity. We propose three CBF variants and provide analytical results that show the efficacy of the CBF for different scenarios. We also evaluate the performance of our filter in an IP traceback application and simulation results confirm the effectiveness of the proposed mechanism in the face of attackers."",""1558-2183"","""",""10.1109/TPDS.2012.87"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6171165"",""Bloom filters";distributed applications;security;"IP traceback"",""Robustness";Filters;Radiation detectors;Error analysis;Servers;Probability;Network security;"Distributed processing"","""",""14"","""",""19"",""IEEE"",""19 Mar 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
