"A novel channel-adaptive uplink access control protocol for nomadic computing,""Yu-Kwong Kwok";" V. K. N. Lau"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1150"",""1165"",""We consider the uplink access control problem in a mobile nomadic computing system, which is based on a cellular phone network in that a user can use the mobile device to transmit voice or file data. This resource management problem is important because an efficient solution to uplink access control is critical for supporting a large user population with a reasonable level of quality of service (QoS). While there are a number of recently proposed protocols for uplink access control, these protocols possess a common drawback in that they do not adapt well to the burst error properties, which are inevitable in using wireless communication channels. We propose a novel TDMA-based uplink access protocol, which employs a channel state dependent allocation strategy. Our protocol is motivated by two observations: (1) when channel state is bad, the throughput is low due to the large amount of FEC (forward error correction) or excessive ARQ (automatic repeated request) that is needed and (2) because of item 1, much of the mobile device's energy is wasted. The proposed protocol works closely with the underlying physical layer in that, through observing the channel state information (CSI) of each mobile device, the MAC protocol first segregates a set of users with good CSI from requests gathered in the request contention phase of an uplink frame. The protocol then judiciously allocates channel bandwidth to contending users based on their channel conditions. Simulation results indicate that the proposed protocol considerably outperforms five state-of-the-art protocols in terms of packet loss, delay, and throughput."",""1558-2183"","""",""10.1109/TPDS.2002.1058098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058098"","""",""Access control";Access protocols;Mobile computing;Quality of service;Wireless application protocol;Throughput;Forward error correction;Computer networks;Cellular networks;"Resource management"","""",""18"","""",""23"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Decentralized resource management for a distributed continuous media server,""C. Shahabi";" F. Banaei-Kashani"",""Integrated Media Systems Center, Computer Science Department, University of Southern California, Los Angeles, USA";" Integrated Media Systems Center, Computer Science Department, University of Southern California, Los Angeles, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""710"",""727"",""Distributed continuous media server (DCMS) architectures are proposed to minimize the communication-storage cost for those continuous media applications that serve a large number of geographically distributed clients. Typically, a DCMS is designed as a pure hierarchy of centralized continuous media servers. RedHi, a Redundant Hierarchical topology for DCMS networks, can result in higher utilization and better reliability over pure hierarchy. We focus on the design of a resource management system (RMS) for RedHi that can exploit the resources of its DCMS network to achieve these performance objectives. Our RMS is based on a fully decentralized approach to achieve optimal scalability and robustness. The major drawback of a fully decentralized design is the increase in latency time and communication overhead to locate the requested object. However, as compared to the typically long duration and high resource/bandwidth requirements of continuous media objects, the extra latency and overhead of a decentralized resource management approach become negligible. Moreover, our RMS collapses three management tasks (object location, path selection and resource reservation) into one fully decentralized object delivery mechanism, reducing the latency even further. Decentralization of the resource management satisfies our scalability and robustness objectives, whereas collapsing the management tasks helps alleviate the latency and overhead constraints. To achieve a high resource utilization, the object delivery scheme uses our proposed cost function, as well as various object location and resource reservation policies to select and allocate the best streaming path to serve each request. The object delivery scheme is designed as an application-layer resource management middleware for the DCMS architecture to be independent of the underlying telecommunication infrastructure. Experiments show that our RMS is successful in realization of the higher resource utilization for the DCMS networks with the RedHi topology."",""1558-2183"","""",""10.1109/TPDS.2002.1019860"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019860"","""",""Resource management";Delay;Network servers;Telecommunication network topology;Scalability;Robustness;Telecommunication network reliability;Bandwidth;Cost function;"Middleware"","""",""12"",""1"",""62"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Decentralized resource management for a distributed continuous media server,""C. Shahabi";" F. Banaei-Kashani"",""Computer Science Department, University of Southern California, Los Angeles, CA, USA";" Computer Science Department, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1183"",""1200"",""Distributed continuous media server (DCMS) architectures are proposed to minimize the communication-storage cost for those continuous media applications that serve a large number of geographically distributed clients. Typically, a DCMS is designed as a pure hierarchy (tree) of centralized continuous media servers. In an earlier work, we proposed a redundant hierarchical topology for DCMS networks, termed RedHi, which can potentially result in higher utilization and better reliability over pure hierarchy. We focus on the design of a resource management system for RedHi that can exploit the resources of its DCMS network to achieve these performance objectives. Our proposed resource management system is based on a fully decentralized approach to achieve optimal scalability and robustness. In general, the major drawback of a fully decentralized design is the increase in latency time and communication overhead to locate the requested object. However, as compared to the typically long duration and high resource/bandwidth requirements of continuous media objects, the extra latency and overhead of a decentralized resource management approach become negligible. Moreover, our resource management system collapses three management tasks: (1) object location, (2) path selection, and (3) resource reservation, into one fully decentralized object delivery mechanism, reducing the latency even further. In sum, decentralization of the resource management satisfies our scalability and robustness objectives, whereas collapsing the management tasks helps alleviate the latency and overhead constraints."",""1558-2183"","""",""10.1109/TPDS.2002.1058101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058101"","""",""Resource management";Bandwidth;Streaming media;Network servers;Delay;Telecommunication network topology;Scalability;Robustness;Cost function;"Middleware"","""",""8"",""1"",""62"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Design and performance analysis of a distributed Java Virtual Machine,""M. Surdeanu";" D. Moldovan"",""Language Computer Corporation, Dallas, TX, USA";" Department of Computer Science, University of Technology, Dallas, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""611"",""627"",""This paper introduces DISK, a distributed Java Virtual Machine for networks of heterogenous workstations. Several research issues are addressed. A novelty of the system is its object-based, multiple-writer memory consistency protocol (OMW). The correctness of the protocol and its Java compliance is demonstrated by comparing the nonoperational definitions of release consistency, the consistency model implemented by OMW, with the Java Virtual Machine memory consistency model (JVMC), as defined in the Java Virtual Machine Specification. An analytical performance model was developed to study and compare the design trade-offs between OMW and the lazy invalidate release consistency (LI) protocols as a function of the number of processors, network characteristics, and application types. The DISK system has been implemented and running on a network of 16 Pentium III computers interconnected by a 100 Mbps Ethernet network. Experiments performed with two applications: parallel matrix multiplication and traveling salesman problem confirm the analytical model."",""1558-2183"","""",""10.1109/TPDS.2002.1011415"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011415"","""",""Performance analysis";Java;Virtual machining;Protocols;Analytical models;Application software;Workstations;Computer networks;Ethernet networks;"Traveling salesman problems"","""",""10"",""21"",""27"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Diagnosability of crossed cubes under the comparison diagnosis model,""Jianxi Fan"",""College of Information Engineering, Qingdao University of China, Qingdao, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""10"",""1099"",""1104"",""Diagnosability of a multiprocessor system is one important study topic in the parallel processing area. As a hypercube variant, the crossed cube has many attractive properties. The diameter, wide diameter and fault diameter of it are all approximately half of those of the hypercube. The power that the crossed cube simulates trees and cycles is stronger than the hypercube. Because of these advantages of the crossed cube, it has attracted much attention from researchers. We show that the n-dimensional crossed cube is n-diagnosable under a major diagnosis model-the comparison diagnosis model proposed by Malek (1980) and Maeng and Malek (1981) if n/spl ges/4. According to this, the polynomial algorithm presented by Sengupta and Dahbura (1992) may be used to diagnose the n-dimensional crossed cube, provided that the number of the faulty nodes in the n-dimensional crossed cube does not exceed n. The conclusion of this paper also indicates that the diagnosability of the n-dimensional crossed cube is the same as that of the n-dimensional hypercube when n>5 and better than that of the n-dimensional hypercube when n=4."",""1558-2183"","""",""10.1109/TPDS.2002.1041887"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041887"","""",""Hypercubes";Fault diagnosis;Multiprocessing systems;Polynomials;Power system modeling;Parallel processing;Maintenance;System testing;"Topology"","""",""78"","""",""15"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Diagnosability of crossed cubes under the comparison diagnosis model,""Jianxi Fan"",""Engineering, Qingdao University of China, Qingdao, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""687"",""692"",""Diagnosability of a multiprocessor system is an important study topic in the parallel processing area. As a hypercube variant, the crossed cube has many attractive properties. The diameter, wide diameter and fault diameter of it are all approximately half those of the hypercube. The power with which the crossed cube simulates trees and cycles is stronger than the hypercube. Because of these advantages, the crossed cube has attracted much attention from researchers. In this paper, we show that the n-dimensional crossed cube is n-diagnosable under a major diagnosis model-the comparison diagnosis model proposed by Malek and Maeng (1981) if n /spl ges/ 4. According to this, the polynomial algorithm presented by Sengupta and Dahbura (1992) may be used to diagnose the n-dimensional crossed cube, provided that the number of the faulty nodes in the n-dimensional crossed cube does not exceed n. The conclusion also indicates that the diagnosability of the n-dimensional crossed cube is the same as that of the n-dimensional hypercube when n /spl ges/ 5 and better than that of the n-dimensional hypercube when n = 4."",""1558-2183"","""",""10.1109/TPDS.2002.1019858"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019858"","""",""Hypercubes";Multiprocessing systems;Fault diagnosis;Polynomials;Power system modeling;Parallel processing;Maintenance;System testing;"Topology"","""",""51"","""",""15"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Distributed on-demand address assignment in wireless sensor networks,""C. Schurgers"; G. Kulkarni;" M. B. Srivastava"",""The Electrical Engineering Department, UCLA-EE Department, University of California, Los Angeles, Los Angeles, CA, USA"; The Electrical Engineering Department, UCLA-EE Department, University of California, Los Angeles, Los Angeles, CA, USA;" The Electrical Engineering Department, UCLA-EE Department, University of California, Los Angeles, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""10"",""1056"",""1065"",""Sensor networks consist of autonomous wireless sensor nodes that are networked together in an ad hoc fashion. The tiny nodes are equipped with substantial processing capabilities, enabling them to combine and compress their sensor data. The aim is to limit the amount of network traffic, and as such conserve the nodes' limited battery energy. However, due to the small packet payload, the MAC header is a significant, and energy-costly, overhead. To remedy this, we propose a novel scheme for a MAC address assignment. The two key features which make our approach unique are the exploitation of spatial address reuse and an encoded representation of the addresses in data packets. To assign the addresses, we develop a purely distributed algorithm that relies solely on local message exchanges. Other salient features of our approach are the ability to handle unidirectional links and the excellent scalability of both the assignment algorithm and address representation. In typical scenarios, the MAC overhead is reduced by a factor of three compared to existing approaches."",""1558-2183"","""",""10.1109/TPDS.2002.1041881"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041881"","""",""Intelligent networks";Wireless sensor networks;Batteries;Payloads;Routing;Distributed algorithms;Data processing;Radio communication;Energy efficiency;"Telecommunication traffic"","""",""61"",""5"",""30"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Distributed predicate detection in series-parallel systems,""G. Dumais";" H. F. Li"",""Silanis Technology, Inc., Saint Laurent, Canada";" Computer Science Department, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""4"",""373"",""387"",""This paper addresses the problems of state space decomposition and predicate detection in a distributed computation involving asynchronous messages. We introduce a natural communication dependency which leads to the definition of the communication graph. This abstraction proves to be a useful tool to decompose the state lattice of a distributed computation into simpler structures, known as concurrent intervals. Efficient algorithms have been proposed in the literature to detect special classes of predicates, such as conjunctive predicates and bounded sum predicates. We show that more general classes of predicates can be detected when proper constraints are imposed on the underlying computations. In particular, we introduce a class of predicates, defined as separable predicates, that properly includes the above-mentioned classes. We show that separable predicates can be efficiently detected on distributed computations whose communication graphs satisfy the series-parallel constraint."",""1558-2183"","""",""10.1109/71.995818"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995818"","""",""Distributed computing";State-space methods;Lattices;"Concurrent computing"","""",""9"","""",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Distribution assignment placement: effective optimization of redistribution costs,""J. Knoop";" E. Mehofer"",""Department of Computer Science, University of Dortmund, Dortmund, Germany";" Institute of Software Science, University of Technology, Vienna, Vienna, Austria"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""628"",""647"",""Data locality and workload balance are key factors for getting high performance out of data-parallel programs on multiprocessor architectures. Data-parallel languages such as High-Performance Fortran (HPF) thus offer means allowing a programmer both to specify data distributions and to change them dynamically in order to maintain these properties. On the other hand, redistributions can be quite expensive and can significantly degrade a program's performance. They must thus be reduced to a minimum. In this article, we present a novel, aggressive approach for avoiding unnecessary remappings, which works by eliminating partially dead and partially redundant distribution changes. Basically, this approach evolves from extending and combining two algorithms for these optimizations, each achieving optimal results on its own. In distinction to the sequential setting, the data-parallel setting leads naturally to a family of algorithms of varying power and efficiency, allowing requirement-customized solutions. The power and flexibility of the new approach are demonstrated by various examples, which range from typical HPF fragments to real-world programs. Performance measurements underline its importance and show its effectiveness on different hardware platforms and in different settings."",""1558-2183"","""",""10.1109/TPDS.2002.1011416"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011416"","""",""Cost function";Programming profession;Program processors;Computer Society;Optimizing compilers;Computer architecture;Degradation;Measurement;Hardware;"Data analysis"","""",""13"","""",""42"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Dominating sets and neighbor elimination-based broadcasting algorithms in wireless networks,""I. Stojmenovic"; M. Seddigh;" J. Zunic"",""University of Ottawa, Ottawa, Canada"; Nortel Networks, Ottawa, Ontario, Canada;" Computer Science Department, Cardiff University, Cardiff, Wales, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""14"",""25"",""In a multihop wireless network, each node has a transmission radius and is able to send a message to all of its neighbors that are located within the radius. In a broadcasting task, a source node sends the same message to all the nodes in the network. In this paper, we propose to significantly reduce or eliminate the communication overhead of a broadcasting task by applying the concept of localized dominating sets. Their maintenance does not require any communication overhead in addition to maintaining positions of neighboring nodes. Retransmissions by only internal nodes in a dominating set is sufficient for reliable broadcasting. Existing dominating sets are improved by using node degrees instead of their ids as primary keys. We also propose to eliminate neighbors that already received the message and rebroadcast only if the list of neighbors that might need the message is nonempty. A retransmission after negative acknowledgements scheme is also described. The important features of the proposed algorithms are their reliability (reaching all nodes in the absence of message collisions), significant rebroadcast savings, and their localized and parameterless behavior. The reduction in communication overhead for the broadcasting task is measured experimentally. Dominating set based broadcasting, enhanced by a neighbor elimination scheme and highest degree key, provides reliable broadcast with /spl les/53 percent of node retransmissions (on random unit graphs with 100 nodes) for all average degrees d. Critical d is around 4, with <48 percent for /spl les/3, /spl les/40 percent for d/spl ges/10, and /spl les/20 percent for d/spl ges/25. The proposed methods are better than existing ones in all considered aspects: reliability, rebroadcast savings, and maintenance communication overhead. In particular, the cluster structure is inefficient for broadcasting because of considerable communication overhead for maintaining the structure and is also inferior in terms of rebroadcast savings."",""1558-2183"","""",""10.1109/71.980024"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980024"","""",""Broadcasting";Intelligent networks;"Wireless networks"","""",""534"",""3"",""36"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Dynamic cluster resource allocations for jobs with known and unknown memory demands,""Li Xiao"; Songqing Chen;" Xiaodong Zhang"",""Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"; Department of Computer Science, College of William and Mary, Williamsburg, VA, USA;" Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""223"",""240"",""The cluster system we consider for load sharing is a compute farm which is a pool of networked server nodes providing high-performance computing for CPU-intensive, memory-intensive, and I/O active jobs in a batch mode. Existing resource management systems mainly target at balancing the usage of CPU loads among server nodes. With the rapid advancement of CPU chips, memory and disk access speed improvements significantly lag behind advancement of CPU speed, increasing the penalty for data movement, such as page faults and I/O operations, relative to normal CPU operations. Aiming at reducing the memory resource contention caused by page faults and I/O activities, we have developed and examined load sharing policies by considering effective usage of global memory in addition to CPU load balancing in clusters. We study two types of application workloads: 1) Memory demands are known in advance or are predictable and 2) memory demands are unknown and dynamically changed during execution. Besides using workload traces with known memory demands, we have also made kernel instrumentation to collect different types of workload execution traces to capture dynamic memory access patterns. Conducting different groups of trace-driven simulations, we show that our proposed policies can effectively improve overall job execution performance by well utilizing both CPU and memory resources with known and unknown memory demands."",""1558-2183"","""",""10.1109/71.993204"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993204"","""",""Resource management"","""",""40"",""4"",""31"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Editorial,""J. A. Stankovic"",""Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""1"",""3"","""",""1558-2183"","""",""10.1109/TPDS.2002.980021"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980021"","""","""","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Editorial,""Pen-Chung Yew"",""Wireless Networks and Mobile Systems Laboratory, Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""4"",""4"","""",""1558-2183"","""",""10.1109/TPDS.2002.980022"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980022"","""","""","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Efficient location of discrepancies in multiple replicated large files,""Changsik Park";" J. J. Metzner"",""Access Network Laboratory, Korea Telecom, Seoul, South Korea";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""597"",""610"",""We present a new technique for locating corrupted page copies, outdated page copies, and missing page copies in multiple replicated large file copies. We present four communication models and four communication protocols to be used in this technique. These four protocols are classified according to using or not using a coordinator site, groups, and/or a master signature. Whereas, other previous works consider locating only corrupted page copies, our protocols can locate outdated page copies and missing page copies as well as corrupted page copies. In addition, whereas other previous works are based on majority rule to determine the correct copy, our protocols are not. The performances of these protocols are measured in terms of the number of transmissions and the number of transmitted signatures. We compare these performances with one another and, also, compare them to the performances of other previous works."",""1558-2183"","""",""10.1109/TPDS.2002.1011414"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011414"","""",""Protocols";File systems;Distributed databases;Protection;Performance evaluation;Fault location;Costs;"Fault tolerance"","""",""2"","""",""41"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Efficient parallel algorithms for solvent accessible surface area of proteins,""N. Futamura"; S. Aluru; D. Ranjan;" B. Hariharan"",""Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"; Department of Electrical and Computer Engineering and Laurence H.Baker Center for Bioinformatics and Biological Statistics, Iowa State University, Ames, IA, USA; Department of Computer Science, New Mexico State University, Las Cruces, NM, USA;" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""544"",""555"",""We present faster sequential and parallel algorithms for computing the solvent accessible surface area (ASA) of protein molecules. The ASA is computed by finding the exposed surface areas of the spheres obtained by increasing the van der Waals radii of the atoms with the van der Waals radius of the solvent. Using domain specific knowledge, we show that the number of sphere intersections is only O(n), where n is the number of atoms in the protein molecule. For computing sphere intersections, we present hash-based algorithms that run in O(n) expected sequential time and O(n/p) expected parallel time and sort-based algorithms that run in worst-case O(n log n) sequential time and O(n log n/p) parallel time. These are significant improvements over previously known algorithms which take O(n/sup 2/) time sequentially and O(n/sup 2//p) time in parallel. We present a Monte Carlo algorithm for computing the solvent accessible surface area. The basic idea is to generate points uniformly at random on the surface of spheres obtained by increasing the van der Waals radii of the atoms with the van der Waals radius of the solvent molecule and to test the points for accessibility. We also provide error bounds as a function of the sample size. Experimental verification of the algorithms is carried out using an IBM SP-2."",""1558-2183"","""",""10.1109/TPDS.2002.1011399"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011399"","""",""Parallel algorithms";Solvents;Proteins;Atomic measurements;Concurrent computing;Monte Carlo methods;Organisms;Amino acids;Chemical compounds;"Testing"","""",""16"","""",""35"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Efficient parallel execution of irregular recursive programs,""L. Prechelt";" S. U. Hanssgen"",""AbaXX Technology AG, Stuttgart, Germany";" GINIT"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""167"",""178"",""Programs whose parallelism stems from multiple recursion form an interesting subclass of parallel programs with many practical applications. The highly irregular shape of many recursion trees makes it difficult to obtain good load balancing with small overhead. We present a system, called REAPAR, that executes recursive C programs in parallel on SMP machines. Based on data from a single profiling run of the program, REAPAR selects a load-balancing strategy that is both effective and efficient and it generates parallel code implementing that strategy. The performance obtained by REAPAR on a diverse set of benchmarks matches that published for much more complex systems requiring high-level problem-oriented explicitly parallel constructs. A case study even found REAPAR to be competitive to handwritten (low-level, machine-oriented) thread-parallel code."",""1558-2183"","""",""10.1109/71.983944"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983944"","""",""Parallel programming";Programming profession;Parallel processing;Robustness;Computer Society;Application software;Shape;Load management;Automatic control;"Instruments"","""",""9"",""2"",""24"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Energy-efficient routing in the broadcast communication model,""K. Nakano"; S. Olariu;" A. Y. Zomaya"",""Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan"; Department of Computer Science, Old Dominion University, Norfolk University, VA, USA;" School of Information Techologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1201"",""1210"",""The broadcast communication model (BCM, for short) is a distributed system with no central arbiter populated by p stations denoted by S(1),S(2),...,S(p) that communicate by transmitting messages on a communication channel. The stations are assumed to have the computing power of a laptop computer and to be synchronous, in particular, they all run the same program, albeit on different data. We assume that a station is expending power while transmitting or receiving messages. As it turns out, one of the most effective energy-saving strategies is to mandate individual stations to power their transceiver off (i.e., go to sleep) whenever they are not transmitting or receiving messages. Suppose that the p stations of the BCM store collectively n items such that station S(i), (1 /spl les/ i /spl les/ p), stores s/sub i/ items. Each of the items has a unique destination which is the identity of the station to which the item must be routed. The goal is to route all the items to their destinations, while expending as little energy as possible. Since, in the worst case, each item must be transmitted at least once, every routing protocol must take at least n time slots to terminate. Furthermore, station S(i), (1 /spl les/ i /spl les/ p), must be awake for at least s/sub i/ + d/sub i/ time slots, where d/sub i/ denotes the number of items destined for S(i). Since, in the BCM, every station is within transmission range from every other station, the design of energy-efficient protocols is highly nontrivial. An additional complication stems from the inherent asymmetry of the routing problem: no destination knows the identity of the sender, precluding a priori arrangements between senders and receivers. The main contribution of this work is to present an energy-efficient routing protocol for the single-channel, p-station BCM. We show that for every f /spl ges/ 1, the task of routing n items in this model can be completed with probability exceeding 1 - 1/f, in n + O(q + ln f) time slots and that no station S(i), (1 /spl les/ i /spl les/ p), has to be awake for more than s/sub i/ + d/sub i/ + O(q/sub i/ + r/sub i/ log p + log f) time slots, where q/sub i/ is the number of stations that have items destined for S(i), q = q/sub 1/ + q/sub 2/ +/spl middot//spl middot//spl middot/+ q/sub p/, and r/sub i/ is the number of stations for which S(i) has items. Since q/sub i/ /spl les/ d/sub i/, r/sub i/ /spl les/ s/sub i/ and q /spl les/ n, our protocol is close to optimal both in terms of overall completion time and energy efficiency."",""1558-2183"","""",""10.1109/TPDS.2002.1158259"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158259"","""",""Energy efficiency";Routing protocols;Access protocols;Computer networks;Radio network;Radio broadcasting;Power system modeling;Communication channels;Portable computers;"Concurrent computing"","""",""5"","""",""43"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Extended dominating-set-based routing in ad hoc wireless networks with unidirectional links,""Jie Wu"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""866"",""881"",""We extend dominating-set-based routing to networks with unidirectional links. Specifically, an efficient localized algorithm for determining a dominating and absorbant set of vertices (mobile hosts) is given and this set can be easily updated when the network topology changes dynamically. A host /spl nu/ is called a dominating neighbor (absorbant neighbor) of another host u if there is a directed edge from /spl nu/ to u (from u to /spl nu/). A subset of vertices is dominating and absorbant if every vertex not in the subset has one dominating neighbor and one absorbant neighbor in the subset. The derived dominating and absorbant set exhibits good locality properties";" that is, the change of a node status (dominating/dominated) affects only the status of nodes in the neighborhood. The notion of dominating and absorbant set can also be applied iteratively on the dominating and absorbant set itself, forming a hierarchy of dominating and absorbant sets. The effectiveness of our approach is confirmed and the locality of node status update is verified through simulation."",""1558-2183"","""",""10.1109/TPDS.2002.1036062"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036062"","""",""Intelligent networks";Wireless networks;Routing protocols;Wireless sensor networks;Bandwidth;Network topology;Mobile radio mobility management;Base stations;Distributed computing;"Military computing"","""",""124"",""1"",""34"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Fair and efficient packet scheduling using Elastic Round Robin,""S. S. Kanhere"; H. Sethu;" A. B. Parekh"",""Department of Electrical and Computer Engineering, Drexel University, Philadelphia, PA, USA"; Department of Electrical and Computer Engineering, Drexel University, Philadelphia, PA, USA;" Lockheed Martin Global Telecommunications, Clarksburg, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""324"",""336"",""Parallel systems are increasingly being used in multiuser environments with the interconnection network shared by several users at the same time. Fairness is an intuitively desirable property in the allocation of bandwidth available on a link among traffic flows of different users that share the link. Strict fairness in traffic scheduling can improve the isolation between users, offer a more predictable performance and improve performance by eliminating some bottlenecks. This paper presents a simple, fair, efficient, and easily implementable scheduling discipline, called Elastic Round Robin (ERR), designed to satisfy the unique needs of wormhole switching, which is popular in interconnection networks of parallel systems. In spite of the constraints of wormhole switching imposed on the design, ERR is also suitable for use in Internet routers and has better fairness and performance characteristics than previously known scheduling algorithms of comparable efficiency, including Deficit Round Robin and Surplus Round Robin. In this paper, we prove that ERR is efficient, with a per-packet work complexity of O(1). We analytically derive the relative fairness bound of ERR, a popular metric used to measure fairness. We also derive the bound on the start-up latency experienced by a new flow that arrives at an ERR scheduler. Finally, this paper presents simulation results comparing the fairness and performance characteristics of ERR with other scheduling disciplines of comparable efficiency."",""1558-2183"","""",""10.1109/71.993210"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993210"","""",""Scheduling algorithm";"Round robin"","""",""80"",""1"",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
