"A dynamic information-structure mutual exclusion algorithm for distributed systems,""M. Singhal"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""121"",""125"",""A dynamic information-structure mutual exclusion algorithm is presented for distributed systems whose information-structure evolves with time as sites learn about the state of the system through messages. An interesting feature of the algorithm is that it adapts itself to heterogeneous or fluctuating traffic conditions to optimize the performance (the number of messages exchanged). The performance of the algorithm is studied by simulation technique and compared to the performance of a well-known mutual exclusion algorithm. The impact message loss and site failures on the algorithm is discussed and methods to tolerate these failures are proposed.<>"",""1558-2183"","""",""10.1109/71.113087"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113087"","""",""Communication networks";Algorithm design and analysis;Traffic control;Performance loss;Message passing;Propagation delay;Telecommunication network reliability;Computer crashes;Fault tolerance;"Permission"","""",""55"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Automatic extraction of functional parallelism from ordinary programs,""M. Girkar";" C. D. Polychronopoulos"",""Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""166"",""178"",""Presents the hierarchical task graph (HTG) as an intermediate parallel program representation which encapsulates minimal data and control dependences, and which can be used for the extraction and exploitation of functional, or task-level parallelism. The hierarchical nature of the HTG facilitates efficient task-granularity control during code generation, and thus applicability to a variety of parallel architectures. The construction of the HTG at a given hierarchy level, the derivation of the execution conditions of tasks which maximizes task-level parallelism, and the optimization of these conditions which results in reducing synchronization overhead imposed by data and control dependences are emphasized. Algorithms for the formation of tasks and their execution conditions based on data and control dependence constraints are presented. The issue of optimization of such conditions is discussed, and optimization algorithms are proposed. The HTG is used as the intermediate representation of parallel Fortran and C programs for generating parallel source as well as parallel machine code.<>"",""1558-2183"","""",""10.1109/71.127258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127258"","""",""Parallel processing";Program processors;Concurrent computing;Parallel architectures;Computational modeling;Data mining;Parallel machines;Parallel languages;"Parallel programming"","""",""126"",""18"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Bused hypercubes and other pin-optimal networks,""C. M. Fiduccia"",""Supercomputing Research Center, Bowie, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""14"",""24"",""Pin minimization is an important issue for massively parallel architectures because the number of processing elements that can be placed on a chip, board, or chassis is often pin limited. A d-dimensional bused hypercube interconnection network is presented that allows nodes to simultaneously (in one clock tick) exchange data across any dimension using only d+1 ports per node rather than 2d. Despite this near two-to-one reduction, the network also allows nodes that are two dimensions apart to simultaneously exchange data";" as a result, certain routings can be performed in nearly half the time. The network is shown to be a special case of a general construction in which any set of d permutations can be performed, in one clock tick, using only d+1 ports per node. A lower-bound technique is also presented and used to establish the optimality of the network, as well as that of several other new bused networks.<>"",""1558-2183"","""",""10.1109/71.113079"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113079"","""",""Hypercubes";Clocks;Multiprocessor interconnection networks;Parallel architectures;Routing;Labeling;Parallel algorithms;"Geometry"","""",""21"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Checkpointing for distributed databases: starting from the basics,""S. Pilarski";" T. Kameda"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""602"",""610"",""Checkpointing in a distributed database system is analyzed by establishing a correspondence between consistent snapshots in a general distributed system and transaction-consistent checkpoints in a distributed database system. The analysis culminates in a useful condition for transaction-consistent checkpoints. Based on this condition, a general checkpointing scheme, which records a transaction-consistent set of values of all or some selected data items is presented. These rules are implemented in some representative concurrency control protocols, i.e., those based on two-phase locking and timestamping. These implementations cause little interference with other activities in the database system.<>"",""1558-2183"","""",""10.1109/71.159043"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159043"","""",""Checkpointing";Distributed databases;Transaction databases;Database systems;Concurrency control;Abortion;Protocols;Interference;Indexes;"Computational modeling"","""",""9"",""17"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Chitra: visual analysis of parallel and distributed programs in the time, event, and frequency domains,""M. Abrams"; N. Doraswamy;" A. Mathur"",""Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"; Digital Equipment Corporation, Cambridge, MA, USA;" Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""672"",""685"",""Chitra analyzes a program execution sequence (PES) collected during execution of a program and produces a homogeneous, semi-Markov chain model fitting the PES. The PES represents the evolution of a program state vector in time. Therefore Chitra analyzes the time-dependent behavior of a program. The authors describe a set of transforms that map a PES to a simplified PES. Because the transforms are program-independent. Chitra can be used with any program. Chitra provides a visualization of PESs and transforms, to allow a user to visually guide transform selection in an effort to generate a simple yet accurate semi-Markov chain model. The resultant chain can predict performance at program parameters different than those used in the input PES, and the chain structure can diagnose performance problems.<>"",""1558-2183"","""",""10.1109/71.180623"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180623"","""",""Frequency domain analysis";Visualization;Software performance;Operating systems;Instruments;Performance analysis;TCPIP;Protocols;"Time domain analysis"","""",""20"",""2"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Conservative parallel simulation of priority class queuing networks,""D. Nicol"",""Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""294"",""303"",""A conservative synchronization protocol for the parallel simulation of queuing networks having C job priority classes, where a job's class is fixed, is described. This problem has long vexed designers of conservative synchronization protocols because of its seemingly poor ability to compute lookahead: the time of the next departure. For, a job in service having low priority can be preempted at any time by an arrival having higher priority and an arbitrarily small service time. The solution is to slow the event generation activity so that events for higher priority jobs are generated farther ahead in simulated time than lower priority jobs. Thus. when a lower priority job enters service for the first time, all the higher priority jobs that may preempt it are already known and the job's departure time can be exactly predicted. The author analyzes the protocol and demonstrates that good performance can be expected on the simulation of large queuing networks.<>"",""1558-2183"","""",""10.1109/71.139203"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139203"","""",""Computational modeling";Discrete event simulation;Protocols;Queueing analysis;Performance analysis;Analytical models;NASA;Context modeling;Stochastic processes;"Computer networks"","""",""14"",""2"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Coterie join algorithm,""M. L. Neilsen";" M. Mizuno"",""Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA";" Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""582"",""590"",""Given a set of nodes in a distributed system, a coterie is a collection of subsets of the set of nodes such that any two subsets have a nonempty intersection and are not properly contained in one another. A subset of nodes in a coterie is called a quorum. An algorithm, called the join algorithm, which takes nonempty coteries as input, and returns a new, larger coterie called a composite coterie is introduced. It is proved that a composite coterie is nondominated if and only if the input coteries are nondominated. Using the algorithm, dominated or nondominated coteries may be easily constructed for a large number of nodes. An efficient method for determining whether a given set of nodes contains a quorum of a composite coterie is presented. As an example, tree coteries are generalized using the join algorithm, and it is proved that tree coteries are nondominated. It is shown that the join algorithm may be used to generate read and write quorums which may be used by a replica control protocol.<>"",""1558-2183"","""",""10.1109/71.159041"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159041"","""",""Protocols";Testing;Concurrent computing;Distributed computing;Fault tolerance;Permission;Availability;Voting;"Binary trees"","""",""35"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Demonstration of automatic data partitioning techniques for parallelizing compilers on multicomputers,""M. Gupta";" P. Banerjee"",""Center for Reliable and High-Performance Computing, Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Center for Reliable and High-Performance Computing, Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""179"",""193"",""An approach to the problem of automatic data partitioning is introduced. The notion of constraints on data distribution is presented, and it is shown how, based on performance considerations, a compiler identifies constraints to be imposed on the distribution of various data structures. These constraints are then combined by the compiler to obtain a complete and consistent picture of the data distribution scheme, one that offers good performance in terms of the overall execution time. Results of a study performed on Fortran programs taken from the Linpack and Eispack libraries and the Perfect Benchmarks to determine the applicability of the approach to real programs are presented. The results are very encouraging, and demonstrate the feasibility of automatic data partitioning for programs with regular computations that may be statically analyzed, which covers an extremely significant class of scientific application programs.<>"",""1558-2183"","""",""10.1109/71.127259"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127259"","""",""Program processors";Programming profession;Data structures;Libraries;Costs;Scalability;NASA;Parallel languages;"Context"","""",""152"",""8"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Design and analysis of a scalable cache coherence scheme based on clocks and timestamps,""S. L. Min";" J. . -L. Baer"",""Department of Computer Engineering, Pusan National University, busan, South Korea";" Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""25"",""44"",""A timestamp-based software-assisted cache coherence scheme that does not require any global communication to enforce the coherence of multiple private caches is proposed. It is intended for shared memory multiprocessors. The scheme is based on a compile-time marking of references and a hardware-based local incoherence detection scheme. The possible incoherence of a cache entry is detected and the associated entry is implicitly invalidated by comparing a clock (related to program flow) and a timestamp (related to the time of update in the cache). Results of a performance comparison, which is based on a trace-driven simulation using actual traces. between the proposed timestamp-based scheme and other software-assisted schemes indicate that the proposed scheme performs significantly better than previous software-assisted schemes, especially when the processors are carefully scheduled so as to maximize the reuse of cache contents. This scheme requires neither a shared resource nor global communication and is, therefore, scalable up to a large number of processors.<>"",""1558-2183"","""",""10.1109/71.113080"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113080"","""",""Clocks";Multiprocessor interconnection networks;Broadcasting;Computer architecture;Memory management;Global communication;Processor scheduling;Scholarships;Computer science;"Runtime"","""",""53"",""10"",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Design considerations for shared memory multiprocessor message systems,""N. Islam";" R. H. Campbell"",""Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""702"",""711"",""The comparative performance is studied of different message passing system designs experimentally on a shared memory Encore Multimax multiprocessor. The systems are measured both by benchmarks and by running example parallel applications. To act as a control, the shared memory machine results are compared with the performance of the benchmarks and applications on the Intel iPSC/2 running the NX/2 operating system. The design alternatives considered are buffering, buffer organization, reference and value semantics, synchronization, coordination strategy and the location of the system in user or kernel space. The results include measurements of the effects of the design alternatives, memory caching, message sizes and copying.<>"",""1558-2183"","""",""10.1109/71.180625"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180625"","""",""Message systems";Message passing;Operating systems;Costs;Delay;Application software;Control systems;Kernel;Scalability;"Size measurement"","""",""7"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Design of an adaptive cache coherence protocol for large scale multiprocessors,""Q. Yang"; G. Thangadurai;" L. N. Bhuyan"",""Department of Electrical Engineering, University of Rhode Island, Kingston, RI, USA"; EPG-Arch., Intel Corporation, CA, USA;" Department of Computer Science, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""281"",""293"",""A large scale, cache-based multiprocessor that is interconnected by a hierarchical network such as hierarchical buses or a multistage interconnection network (MIN) is considered. An adaptive cache coherence scheme for the system is proposed based on a hardware approach that handles multiple shared reads efficiently. The new protocol allows multiple copies of a shared data block in the hierarchical network, but minimizes the cache coherence overhead by dynamically partitioning the network into sharing and nonsharing regions based on program behavior. The new cache coherence scheme effectively utilizes the bandwidth of the hierarchical networks and exploits the locality properties of parallel algorithms. Simulation experiments have been carried out to analyze the performance of the new protocol. The simulation results show that the new protocol gives 15% to 30% performance improvement over some existing cache coherence schemes on similar systems for a wide range of workload parameters.<>"",""1558-2183"","""",""10.1109/71.139202"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139202"","""",""Protocols";Large-scale systems;Multiprocessor interconnection networks;Hardware;Bandwidth;Multiprocessing systems;Parallel algorithms;Analytical models;Performance analysis;"Computer architecture"","""",""28"",""4"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
