"A Comment on “A Necessary and Sufficient Condition for Deadlock-Free Adaptive Routing in Wormhole Networks”,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University, Netherlands, Netherlands";" School of Computer Science, Open University, Netherlands, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1775"",""1776"",""The purpose of this comment is to show that Duato's condition for deadlock freedom is only sufficient and not necessary. We propose a fix to keep the condition necessary. The issue is subtle but essential: in a wormhole network worms necessarily do not intersect."",""1558-2183"","""",""10.1109/TPDS.2011.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680895"",""General";"Miscellaneous"",""System recovery";Routing;Law;Multiprocessor interconnection;Grippers;"Adaptive systems"","""",""16"","""",""4"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Cloud Technologies for Bioinformatics Applications,""J. Ekanayake"; T. Gunarathne;" J. Qiu"",""School of Informatics and Computing and Pervasive Technology Institute, Indiana University, Bloomington, IN, USA"; School of Informatics and Computing and Pervasive Technology Institute, Indiana University, Bloomington, IN, USA;" School of Informatics and Computing and Pervasive Technology Institute, Indiana University, Bloomington, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""998"",""1011"",""Executing large number of independent jobs or jobs comprising of large number of tasks that perform minimal intertask communication is a common requirement in many domains. Various technologies ranging from classic job schedulers to the latest cloud technologies such as MapReduce can be used to execute these """"many-tasks” in parallel. In this paper, we present our experience in applying two cloud technologies Apache Hadoop and Microsoft DryadLINQ to two bioinformatics applications with the above characteristics. The applications are a pairwise Alu sequence alignment application and an Expressed Sequence Tag (EST) sequence assembly program. First, we compare the performance of these cloud technologies using the above applications and also compare them with traditional MPI implementation in one application. Next, we analyze the effect of inhomogeneous data on the scheduling mechanisms of the cloud technologies. Finally, we present a comparison of performance of the cloud technologies under virtual and nonvirtual hardware platforms."",""1558-2183"","""",""10.1109/TPDS.2010.178"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611496"",""Distributed programming";parallel systems;performance;"programming paradigms."",""Clouds";Runtime;Bioinformatics;Matrix decomposition;Instruction sets;Programming;"Pipelines"","""",""42"",""3"",""29"",""IEEE"",""28 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Collective Receiver-Initiated Multicast for Grid Applications,""M. den Burger";" T. Kielmann"",""Vrije Universiteit Amsterdam, Amsterdam, Noord-Holland, NL";" Department of Computer Science, Vrije Universiteit, Amsterdam, The Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""231"",""244"",""Grid applications often need to distribute large amounts of data efficiently from one cluster to multiple others (multicast). Existing sender-initiated methods arrange nodes in optimized tree structures, based on external network monitoring data. This dependence on monitoring data severely impacts both ease of deployment and adaptivity to dynamically changing network conditions. In this paper, we present Robber, a collective, receiver-initiated, high-throughput multicast approach inspired by the BitTorrent protocol. Unlike BitTorrent, Robber is specifically designed to maximize the throughput between multiple cluster computers. Nodes in the same cluster work together as a collective that tries to steal data from peer clusters. Instead of using potentially outdated monitoring data, Robber automatically adapts to the currently achievable bandwidth ratios. Within a collective, nodes automatically tune the amount of data they steal remotely to their relative performance. Our experimental evaluation compares Robber to BitTorrent, to Balanced Multicasting, and to its predecessor MOB. Balanced Multicasting optimizes multicast trees based on external monitoring data, while MOB uses collective, receiver-initiated multicast with static load balancing. We show that both Robber and MOB outperform BitTorrent. They are competitive with Balanced Multicasting as long as the network bandwidth remains stable, and outperform it by wide margins when bandwidth changes dynamically. In large environments and heterogeneous clusters, Robber outperforms MOB."",""1558-2183"","""",""10.1109/TPDS.2010.76"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445096"",""High-throughput multicast";load balancing;"cluster computing."",""Peer to peer computing";Sprites (computer);Computerized monitoring;Bandwidth;Multicast protocols;Remote monitoring;Optimization methods;Tree data structures;Condition monitoring;"Throughput"","""",""8"","""",""35"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Comparing Hardware Accelerators in Scientific Applications: A Case Study,""R. Weber"; A. Gothandaraman; R. J. Hinde;" G. D. Peterson"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"; Center of Simulation and Modeling, University of Pittsburgh, Pittsburgh, PA, USA; Department of Chemistry, University of Tennessee, Knoxville, TN, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""58"",""68"",""Multicore processors and a variety of accelerators have allowed scientific applications to scale to larger problem sizes. We present a performance, design methodology, platform, and architectural comparison of several application accelerators executing a Quantum Monte Carlo application. We compare the application's performance and programmability on a variety of platforms including CUDA with Nvidia GPUs, Brook+ with ATI graphics accelerators, OpenCL running on both multicore and graphics processors, C++ running on multicore processors, and a VHDL implementation running on a Xilinx FPGA. We show that OpenCL provides application portability between multicore processors and GPUs, but may incur a performance cost. Furthermore, we illustrate that graphics accelerators can make simulations involving large numbers of particles feasible."",""1558-2183"","""",""10.1109/TPDS.2010.125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5482576"",""Accelerator";OpenCL;FPGA;GPU;multicore;CUDA;"computational science."",""Hardware";Multicore processing;Parallel processing;Monte Carlo methods;Bandwidth;Chemistry;Integral equations;Acceleration;Microprocessors;"Clocks"","""",""74"",""3"",""31"",""IEEE"",""7 Jun 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Compressing Network Access Control Lists,""A. X. Liu"; E. Torng;" C. R. Meiners"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""1969"",""1977"",""An access control list (ACL) provides security for a private network by controlling the flow of incoming and outgoing packets. Specifically, a network policy is created in the form of a sequence of (possibly conflicting) rules. Each packet is compared against this ACL, and the first rule that the packet matches defines the decision for that packet. The size of ACLs has been increasing rapidly due to the explosive growth of Internet-based applications and malicious attacks. This increase in size degrades network performance and increases management complexity. In this paper, we propose ACL Compressor, a framework that can significantly reduce the number of rules in an access control list while maintaining the same semantics. We make three major contributions. First, we propose an optimal solution using dynamic programming techniques for compressing one-dimensional range-based access control lists. Second, we present a systematic approach for compressing multidimensional access control lists. Last, we conducted extensive experiments to evaluate ACL Compressor. In terms of effectiveness, ACL Compressor achieves an average compression ratio of 50.22 percent on real-life rule sets. In terms of efficiency, ACL runs in seconds, even for large ACLs with thousands of rules."",""1558-2183"","""",""10.1109/TPDS.2011.114"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740875"",""Access control list";packet classification;firewall;"algorithm."",""Access control";Packet switching;Dynamic programming;IP networks;Heuristic algorithms;"Firewalls"","""",""24"","""",""18"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Computing Localized Power-Efficient Data Aggregation Trees for Sensor Networks,""H. O. Tan"; I. Korpeoglu;" I. Stojmenovi"",""Department of Computer Engineering, Bilkent University, Ankara, Turkey"; Department of Computer Engineering, Bilkent University, Ankara, Turkey;" SITE, University of Ottawa, Ottawa, ON, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jan 2011"",""2011"",""22"",""3"",""489"",""500"",""We propose localized, self organizing, robust, and energy-efficient data aggregation tree approaches for sensor networks, which we call Localized Power-Efficient Data Aggregation Protocols (L-PEDAPs). They are based on topologies, such as LMST and RNG, that can approximate minimum spanning tree and can be efficiently computed using only position or distance information of one-hop neighbors. The actual routing tree is constructed over these topologies. We also consider different parent selection strategies while constructing a routing tree. We compare each topology and parent selection strategy and conclude that the best among them is the shortest path strategy over LMST structure. Our solution also involves route maintenance procedures that will be executed when a sensor node fails or a new node is added to the network. The proposed solution is also adapted to consider the remaining power levels of nodes in order to increase the network lifetime. Our simulation results show that by using our power-aware localized approach, we can almost have the same performance of a centralized solution in terms of network lifetime, and close to 90 percent of an upper bound derived here."",""1558-2183"","""",""10.1109/TPDS.2010.68"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445088"",""Wireless networks";sensor networks;data gathering;minimum energy control;"distributed algorithms."",""Computer networks";Routing;Network topology;Robustness;Energy efficiency;Protocols;Wireless sensor networks;Organizing;Upper bound;"Distributed control"","""",""77"","""",""30"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Conditional ({t}, k)-Diagnosis under the PMC Model,""G. -Y. Chang"",""Department of Computer Science and Information Engineering, National Central University, Taoyuan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1797"",""1803"",""In this paper, assuming that each vertex is neighboring to at least one fault-free vertex, we investigate the (t,k)-diagnosability of a graph G under the PMC model. Lower bounds on the numeric degrees of (t,k)-diagnosability are suggested when G is a general graph or G is a regular graph. In particular, the following results are obtained. Symmetric d-dimensional grids are ({N-m\over 2d}, {\min} \{m, 2d-1\} )-diagnosable, where d\ge 2, 1\le m\le 2d-1, and N are the number of vertices. Symmetric d-dimensional tori are ({N+0.62 N^{{2\over 3} }-2\over 4},1)-diagnosable if d=2, and ({N-m\over 2d}, {\min} \{m, 4d-2\} )-diagnosable if d\ge 3, where 1\le m\le 4d-2. Hypercubes are ({N-2\log N+2\over \log N},2\log N-2)-diagnosable. Cube-connected cycles are ({N-m\over 3}, {\min} \{m, 4\} )-diagnosable, where 1\le m \le 4";" k-ary trees are ({N-1\over k}, 1)-diagnosable."",""1558-2183"","""",""10.1109/TPDS.2011.84"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733340"",""Conditional fault";system-level diagnosis;fault-tolerance;multiprocessor system;PMC model;sequential diagnosis;(t;"k)-diagnosis."",""Aggregates";Sequential diagnosis;Hypercubes;Maintenance engineering;Testing;Wireless sensor networks;"Computational modeling"","""",""11"","""",""21"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Conditional-Fault Diagnosability of Multiprocessor Systems with an Efficient Local Diagnosis Algorithm under the PMC Model,""C. -K. Lin"; T. -L. Kung;" J. J. M. Tan"",""Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"; Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan;" Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1669"",""1680"",""Diagnosis is an essential subject for the reliability of multiprocessor systems. Under the PMC diagnosis model, Dahbura and Masson [12] proposed a polynomial-time algorithm with time complexity O(N^{2.5}) to identify all the faulty processors in a system with N processors. In this paper, we present a novel method to diagnose a conditionally faulty system by applying the concept behind the local diagnosis, introduced by Somani and Agarwal [30], and formalized by Hsu and Tan [18]. The goal of local diagnosis is to identify the fault status of any single processor correctly. Under the PMC diagnosis model, we give a sufficient condition to estimate the local diagnosability of a given processor. Furthermore, we propose a helpful structure, called the augmenting star, to efficiently determine the fault status of each processor. For an N-processor system in which every processor has an O(\log N) degree, the time complexity of our algorithm to diagnose any given processor is O((\log N)^2), provided that each processor can construct an augmenting star structure of full order in time O((\log N)^2) and the time for a processor to test another one is constant. Therefore, the time totals to O(N(\log N)^2) for diagnosing the whole system."",""1558-2183"","""",""10.1109/TPDS.2011.46"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5703086"",""Fault diagnosis";PMC model;diagnosability;reliability;"diagnosis algorithm."",""Program processors";Fault diagnosis;Multiprocessing systems;Computational modeling;Complexity theory;"Testing"","""",""21"","""",""31"",""IEEE"",""28 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Conflicts and Incentives in Wireless Cooperative Relaying: A Distributed Market Pricing Framework,""L. Chen"; L. Libman;" J. Leneutre"",""Laboratoire de Recherche en Informatique (LRI), CNRS, University of Paris-Sud XI and INRIA, Orsay, France"; School of Information Technologies, University of Sydney, NSW, Australia;" Department of Computer Science and Networking, Telecom ParisTech/LTCI-CNRS, Paris, France"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Mar 2011"",""2011"",""22"",""5"",""758"",""772"",""Extensive research in recent years has shown the benefits of cooperative relaying in wireless networks, where nodes overhear and cooperatively forward packets transmitted between their neighbors. Most existing studies focus on physical-layer optimization of the effective channel capacity for a given transmitter-receiver link";" however, the interaction among simultaneous flows between different endpoint pairs, and the conflicts arising from their competition for a shared pool of relay nodes, are not yet well understood. In this paper, we study a distributed pricing framework, where sources pay relay nodes to forward their packets, and the payment is shared equally whenever a packet is successfully relayed by several nodes at once. We formulate this scenario as a Stackelberg (leader-follower) game, in which sources set the payment rates they offer, and relay nodes respond by choosing the flows to cooperate with. We provide a systematic analysis of the fundamental structural properties of this generic model. We show that multiple follower equilibria exist in general due to the nonconcave nature of their game, yet only one equilibrium possesses certain continuity properties that further lead to a unique system equilibrium among the leaders. We further demonstrate that the resulting equilibria are reasonably efficient in several typical scenarios."",""1558-2183"","""",""10.1109/TPDS.2010.152"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557859"",""Cooperative communication";relay selection;Stackelberg game;"pricing."",""Relays";Peer to peer computing;Games;Lead;Pricing;Optimization;"Wireless networks"","""",""22"","""",""21"",""IEEE"",""26 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Consensus and Mutual Exclusion in a Multiple Access Channel,""J. Czyzowicz"; L. Gasieniec; D. R. Kowalski;" A. Pec"",""Département d'informatique, Université du Québec en Outaouais, Gatineau, Québec, Canada"; Department of Computer Science, University of Liverpool, Liverpool, UK; Department of Computer Science, University of Liverpool, Liverpool, UK;" Département d'informatique, Université du Québec en Outaouais, Gatineau, Québec, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2011"",""2011"",""22"",""7"",""1092"",""1104"",""We consider deterministic feasibility and time complexity of two fundamental tasks in distributed computing: consensus and mutual exclusion. Processes have different labels and communicate through a multiple access channel. The adversary wakes up some processes in possibly different rounds. In any round, every awake process either listens or transmits. The message of a process i is heard by all other awake processes, if i is the only process to transmit in a given round. If more than one process transmits simultaneously, there is a collision and no message is heard. We consider three characteristics that may or may not exist in the channel: collision detection (listening processes can distinguish collision from silence), the availability of a global clock showing the round number, and the knowledge of the number n of all processes. If none of the above three characteristics is available in the channel, we prove that consensus and mutual exclusion are infeasible";" if at least one of them is available, both tasks are feasible, and we study their time complexity. Collision detection is shown to cause an exponential gap in complexity: if it is available, both tasks can be performed in time logarithmic in n, which is optimal, and without collision detection both tasks require linear time. We then investigate both consensus and mutual exclusion in the absence of collision detection, but under alternative presence of the two other features. With global clock, we give an algorithm whose time complexity linearly depends on n and on the wake-up time, and an algorithm whose complexity does not depend on the wake-up time and differs from the linear lower bound only by a factor O(log2 n). If n is known, we also show an algorithm whose complexity differs from the linear lower bound only by a factor O(log2 n)."",""1558-2183"","""",""10.1109/TPDS.2010.162"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5567097"",""Consensus";mutual exclusion;multiple access channel;"collision detection."",""Complexity theory";Clocks;Protocols;Schedules;Context;Lead;"Distributed computing"","""",""10"","""",""29"",""IEEE"",""9 Sep 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Cooperative Channelization in Wireless Networks with Network Coding,""R. Kumar";" T. La Porta"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2011"",""2011"",""22"",""7"",""1073"",""1084"",""In this paper, we address congestion of multicast traffic in multihop wireless networks through a combination of network coding and resource reservation. Network coding reduces the number of transmissions required in multicast flows, thus allowing a network to approach its multicast capacity. In addition, it efficiently repairs errors in multicast flows by combining packets lost at different destinations. However, under conditions of extremely high congestion the repair capability of network coding is seriously degraded. In this paper, we propose cooperative channelization, in which portions of the transmission media are allocated to links that are congested at the point where network coding cannot efficiently repair loss. A health metric is proposed to allow comparison of need for channelization of different multicast links. Cooperative channelization considers the impact of channelization on overall network performance before resource reservation is triggered. Our results show that cooperative channelization improves overall network performance while being well suited for wireless networks using network coding."",""1558-2183"","""",""10.1109/TPDS.2010.175"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5601712"",""Wireless networks";resource reservation;channelization;"network coding."",""Network coding";Delay;Time division multiple access;IEEE 802.11 Standards;Encoding;"Wireless networks"","""","""","""",""17"",""IEEE"",""14 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Cooperative Search and Survey Using Autonomous Underwater Vehicles (AUVs),""S. Yoon";" C. Qiao"",""Department of Computer Science and Engineering, State University of New York, University at Buffalo, Buffalo, NY, USA";" Department of Computer Science and Engineering, State University of New York, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jan 2011"",""2011"",""22"",""3"",""364"",""379"",""In this work, we study algorithms for cooperative search and survey using a fleet of Autonomous Underwater Vehicles (AUVs). Due to the limited energy, communication range/bandwidth, and sensing range of the AUVs, underwater search and survey with multiple AUVs brings about several new challenges since a large amount of data needs to be collected by each AUV, and any AUV may fail unexpectedly. To address the challenges and meet our objectives of minimizing the total survey time and traveled distance of AUVs, we propose a cooperative rendezvous scheme called Synchronization-Based Survey (SBS) to facilitate cooperation among a large number of AUVs when surveying a large area. In SBS, AUVs form an intermittently connected network (ICN) in that they periodically meet each other for data aggregation, control signal dissemination, and AUV failure detection/recovery. Numerical analysis and simulations have been performed to compare the performance of three variants of SBS schemes, namely, Alternating Column Synchronization (ACS), Strict Line Synchronization (SLS), and X Synchronization (XS). The results show that XS can outperform other SBS schemes in terms of the survey time and the traveled distance of AUVs. We also compare XS with nonsynchronization-based survey and the lower bound on the survey time and traveled distance. The results show that XS achieves a close to optimal performance."",""1558-2183"","""",""10.1109/TPDS.2010.88"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467054"",""Mobile sensor networks";search and survey;"autonomous vehicles."",""Underwater vehicles";Underwater communication;Communication system control;Magnetic sensors;Underwater acoustics;Observatories;Underwater cables;Bit rate;Computer science;"Automotive engineering"","""",""96"",""1"",""40"",""IEEE"",""20 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Coordinated Locomotion and Monitoring Using Autonomous Mobile Sensor Nodes,""S. Yoon"; O. Soysal; M. Demirbas;" C. Qiao"",""School of Electrical Engineering, University of Ulsan, Ulsan, South Korea"; Computer Science and Engineering Department, University at Buffalo (or SUNY at Buffalo), Buffalo, NY, USA; Computer Science and Engineering Department, University at Buffalo (or SUNY at Buffalo), Buffalo, NY, USA;" Computer Science and Engineering Department, University at Buffalo (or SUNY at Buffalo), Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1742"",""1756"",""Stationary wireless sensor networks (WSNs) fail to scale when the area to be monitored is unbounded and the physical phenomenon to be monitored may migrate through a large region. Deploying mobile sensor networks (MSNs) alleviates this problem, as the self-configuring MSN can relocate to follow the phenomenon of interest. However, a major challenge here is to maximize the sensing coverage in an unknown, noisy, and dynamically changing environment with nodes having limited sensing range and energy, and moving under distributed control. To address these challenges, we propose a new distributed algorithm, Causataxis, which enables the MSN to relocate toward the interesting regions and adjust its shape and position as the sensing environment changes. (In Latin, causa means motive/interest. A taxis (plural taxes) is an innate behavioral response by an organism to a directional stimulus. We use Causataxis to refer to an interest driven relocation behavior.) Unlike conventional cluster-based systems with backbone networks, a unique feature of our proposed approach is its biosystem inspired growing and rotting behaviors with coordinated locomotion. We compare Causataxis with a swarm-based algorithm, which uses the concept of virtual spring forces to relocate mobile nodes based on local neighborhood information. Our simulation results show that Causataxis outperforms the swarm-based algorithm in terms of the sensing coverage, the energy consumption, and the noise tolerance with a slightly high communication overhead."",""1558-2183"","""",""10.1109/TPDS.2011.133"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753888"",""Mobile sensor networks";coordination of robotic sensors;"swarm."",""Robot sensing systems";Mobile communication;Monitoring;Wireless sensor networks;Mobile computing;"Recruitment"","""",""35"","""",""40"",""IEEE"",""21 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Coordinating Computation and I/O in Massively Parallel Sequence Search,""H. Lin"; X. Ma; W. Feng;" N. F. Samatova"",""Department of Computer Science, Virginia Technology, Blacksburg, VA, USA"; Department of Computer Science, Computer Science and Mathematics Division, Oak Ridge National Laboratory, North Carolina State University, Raleigh, NC, USA; Department of Computer Science, Virginia Technology, Blacksburg, VA, USA;" Computer Science and Mathematics Division, Oak Ridge National Laboratory, Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Feb 2011"",""2011"",""22"",""4"",""529"",""543"",""With the explosive growth of genomic information, the searching of sequence databases has emerged as one of the most computation and data-intensive scientific applications. Our previous studies suggested that parallel genomic sequence-search possesses highly irregular computation and I/O patterns. Effectively addressing these runtime irregularities is thus the key to designing scalable sequence-search tools on massively parallel computers. While the computation scheduling for irregular scientific applications and the optimization of noncontiguous file accesses have been well-studied independently, little attention has been paid to the interplay between the two. In this paper, we systematically investigate the computation and I/O scheduling for data-intensive, irregular scientific applications within the context of genomic sequence search. Our study reveals that the lack of coordination between computation scheduling and I/O optimization could result in severe performance issues. We then propose an integrated scheduling approach that effectively improves sequence-search throughput by gracefully coordinating the dynamic load balancing of computation and high-performance noncontiguous I/O."",""1558-2183"","""",""10.1109/TPDS.2010.101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5473216"",""Scheduling";parallel I/O;bioinformatics;parallel genomic sequence search;"BLAST."",""Concurrent computing";Processor scheduling;Genomics;Bioinformatics;Application software;Explosives;Databases;Runtime;Dynamic scheduling;"Throughput"","""",""35"",""1"",""54"",""IEEE"",""27 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Coordinating Power Control and Performance Management for Virtualized Server Clusters,""X. Wang";" Y. Wang"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA";" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""245"",""259"",""Today's data centers face two critical challenges. First, various customers need to be assured by meeting their required service-level agreements such as response time and throughput. Second, server power consumption must be controlled in order to avoid failures caused by power capacity overload or system overheating due to increasing high server density. However, existing work controls power and application-level performance separately, and thus, cannot simultaneously provide explicit guarantees on both. In addition, as power and performance control strategies may come from different hardware/software vendors and coexist at different layers, it is more feasible to coordinate various strategies to achieve the desired control objectives than relying on a single centralized control strategy. This paper proposes Co-Con, a novel cluster-level control architecture that coordinates individual power and performance control loops for virtualized server clusters. To emulate the current practice in data centers, the power control loop changes hardware power states with no regard to the application-level performance. The performance control loop is then designed for each virtual machine to achieve the desired performance even when the system model varies significantly due to the impact of power control. Co-Con configures the two control loops rigorously, based on feedback control theory, for theoretically guaranteed control accuracy and system stability. Empirical results on a physical testbed demonstrate that Co-Con can simultaneously provide effective control on both application-level performance and underlying power consumption."",""1558-2183"","""",""10.1109/TPDS.2010.91"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467056"",""Power control";power management;performance;virtualization;server clusters;data centers;"control theory."",""Power control";Energy management;Control systems;Centralized control;Energy consumption;Hardware;Power system management;Delay;Throughput;"Software performance"","""",""99"",""7"",""38"",""IEEE"",""20 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Correction to ""Editor's Note"","""",,""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2011"",""2011"",""22"",""7"",""1246"",""1246"","""",""1558-2183"","""",""10.1109/TPDS.2011.148"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5772150"","""",""Biographies";Computer science;Peer-to-peer computing;Wireless sensor networks;Wireless mesh networks;US Government;"Science - general"","""","""","""",""1"",""IEEE"",""23 May 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyclic Reduction Tridiagonal Solvers on GPUs Applied to Mixed-Precision Multigrid,""D. Göddeke";" R. Strzodka"",""Department of Applied Mathematics, Dortmund, Germany";" Max Planck Institut Informatik, Saarbrücken, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""22"",""32"",""We have previously suggested mixed precision iterative solvers specifically tailored to the iterative solution of sparse linear equation systems as they typically arise in the finite element discretization of partial differential equations. These schemes have been evaluated for a number of hardware platforms, in particular, single-precision GPUs as accelerators to the general purpose CPU. This paper reevaluates the situation with new mixed precision solvers that run entirely on the GPU: We demonstrate that mixed precision schemes constitute a significant performance gain over native double precision. Moreover, we present a new implementation of cyclic reduction for the parallel solution of tridiagonal systems and employ this scheme as a line relaxation smoother in our GPU-based multigrid solver. With an alternating direction implicit variant of this advanced smoother, we can extend the applicability of the GPU multigrid solvers to very ill-conditioned systems arising from the discretization on anisotropic meshes, that previously had to be solved on the CPU. The resulting mixed-precision schemes are always faster than double precision alone, and outperform tuned CPU solvers consistently by almost an order of magnitude."",""1558-2183"","""",""10.1109/TPDS.2010.61"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445081"",""GPU Computing";mixed-precision iterative refinement;multigrid;tridiagonal solvers;cyclic reduction;finite elements;"NVIDIA CUDA."",""Partial differential equations";Finite element methods;Hardware;Graphics;Computer architecture;Jacobian matrices;Differential equations;Performance gain;Anisotropic magnetoresistance;"Iterative methods"","""",""74"",""1"",""34"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
