"A design methodology for efficient application-specific on-chip interconnects,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""174"",""190"",""As the level of chip-integration continues to advance at a fast pace, the desire for efficient interconnects - whether on-chip or off-chip - is rapidly increasing. Traditional interconnects like buses, point-to-point wires, and regular topologies may suffer from poor resource sharing in the time and space domains, leading to high contention or low resource utilization. In this paper, we propose a design methodology for constructing networks for special-purpose computer systems with well-behaved (known) communication characteristics. A temporal and spatial model is proposed to define the sufficient condition for contention-free communication. Based upon this model, a design methodology using a recursive bisection technique is applied to systematically partition a parallel system such that the required number of links and switches is minimized while achieving low contention. Results show that the design methodology can generate more optimized on-chip networks with up to 60 percent fewer resources than meshes or tori while providing blocking performance closer to that of a fully connected crossbar."",""1558-2183"","""",""10.1109/TPDS.2006.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566595"",""On-chip interconnects";communication model;low-contention communication;network partitioning;"irregular topology."",""Design methodology";Resource management;Wires;Network topology;Computer networks;Sufficient conditions;Switches;Communication switching;Design optimization;"Network-on-a-chip"","""",""23"","""",""30"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Distributed Selfish Replication,""N. Laoutaris"; O. Telelis; V. Zissimopoulos;" I. Stavrakakis"",""Computer Science Department, Boston University, Boston, MA, USA"; Department of Informatics and Telecommunications, University of Athens (NKUA), Greece; Department of Informatics and Telecommunications, University of Athens (NKUA), Greece;" Department of Informatics and Telecommunications, University of Athens (NKUA), Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1401"",""1413"",""A commonly employed abstraction for studying the object placement problem for the purpose of Internet content distribution is that of a distributed replication group. In this work, the initial model of the distributed replication group of Leff et al. [CHECK END OF SENTENCE] is extended to the case that individual nodes act selfishly, i.e., cater to the optimization of their individual local utilities. Our main contribution is the derivation of equilibrium object placement strategies that 1) can guarantee improved local utilities for all nodes concurrently as compared to the corresponding local utilities under greedy local object placement, 2) do not suffer from potential mistreatment problems, inherent to centralized strategies that aim at optimizing the social utility, and 3) do not require the existence of complete information at all nodes. We develop a baseline computationally efficient algorithm for obtaining the aforementioned equilibrium strategies and then extend it to improve its performance with respect to fairness. Both algorithms are realizable, in practice, through a distributed protocol that requires only a limited exchange of information."",""1558-2183"","""",""10.1109/TPDS.2006.171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717403"","""",""Peer to peer computing";Costs;IP networks;Bandwidth;Web and internet services;Delay effects;Network servers;Web server;Access protocols;"Mirrors"","""",""86"","""",""30"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"DRP: An Efficient Directional Routing Protocol for Mobile Ad Hoc Networks,""H. Gossain"; T. Joshi; C. De Morais Cordeiro;" D. P. Agrawal"",""Mesh Networks Product Group, Motorola, Inc., Lake Mary, FL"; OBR Center for Distributed and Mobile Computing, Univeristy of Cincinnati, Cincinnati, OH; Wireless Communications and Networking Department, Philips Research USA, Briarcliff Manor, NY;" OBR Center for Distributed and Mobile Computing, Univeristy of Cincinnati, Cincinnati, OH"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1438"",""1541"",""This paper addresses the issue of routing in mobile ad hoc networks (MANETs) using directional antennas. Existing directional routing schemes either assume a complete network topology beforehand or simply use omni-directional routing schemes to forward packets in underlying directional environment. In this paper, we propose a Directional Routing Protocol (DRP) for MANETs. DRP is an on-demand directional routing protocol which assumes a cross layer interaction between routing and MAC layer and is inspired by Dynamic Source Routing (DSR) protocol. The main features of DRP include an efficient route discovery mechanism, establishment and maintenance of directional routing and directional neighbor tables (DRT and DNT, respectively), and novel directional route recovery mechanisms. We have implemented DRP on top of MDA";" a MAC protocol for directional antennas and have compared its performance with the DSR protocol over both omni-directional and directional antenna models. Our results show that DRP considerably improves the packet delivery ratio, decreases the end to end packet latency, has lesser routing overhead, and is robust to link failures."",""1558-2183"","""",""10.1109/TPDS.2006.172"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717406"",""Directional antennas";routing protocols;IEEE 802.11;mobile ad hoc networks;"medium access control."",""Routing protocols";Mobile ad hoc networks;Directional antennas;Media Access Protocol;Deafness;Signal to noise ratio;Network topology;Cross layer design;Access protocols;"Delay"","""",""24"","""",""25"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Dynamic Load Balancing for the Distributed Mining of Molecular Structures,""G. Di Fatta";" M. R. Berthold"",""High Performance Computing and Networking, Institute of the Italian National Research Council (ICAR-CNR), Palermo, Italy";" Department of Computer and Information Science, University of Konstanz, Konstanz, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""773"",""785"",""In molecular biology, it is often desirable to find common properties in large numbers of drug candidates. One family of methods stems from the data mining community, where algorithms to find frequent graphs have received increasing attention over the past years. However, the computational complexity of the underlying problem and the large amount of data to be explored essentially render sequential algorithms useless. In this paper, we present a distributed approach to the frequent subgraph mining problem to discover interesting patterns in molecular compounds. This problem is characterized by a highly irregular search tree, whereby no reliable workload prediction is available. We describe the three main aspects of the proposed distributed algorithm, namely, a dynamic partitioning of the search space, a distribution process based on a peer-to-peer communication framework, and a novel receiver-initiated load balancing algorithm. The effectiveness of the distributed method has been evaluated on the well-known National Cancer Institute's HIV-screening data set, where we were able to show close-to linear speedup in a network of workstations. The proposed approach also allows for dynamic resource aggregation in a nondedicated computational environment. These features make it suitable for large-scale, multidomain, heterogeneous environments, such as computational grids"",""1558-2183"","""",""10.1109/TPDS.2006.101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652941"",""Distributed computing";peer-to-peer computing;dynamic load balancing;subgraph mining;frequent patterns;biochemical databases;"molecular compounds."",""Load management";Drugs;Data mining;Computational complexity;Distributed algorithms;Peer to peer computing;Partitioning algorithms;Cancer;Workstations;"Large-scale systems"","""",""21"","""",""29"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Effectively utilizing global cluster memory for large data-intensive parallel programs,""J. Oleszkiewicz"; L. Xiao;" Yunhao Liu"",""Smiths Aerospace, Grand Rapids, MI, USA"; The Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" The Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Dec 2005"",""2006"",""17"",""1"",""66"",""77"",""Large scientific parallel applications demand large amounts of memory space. Current parallel computing platforms schedule jobs without fully knowing their memory requirements. This leads to uneven memory allocation in which some nodes are overloaded. This, in turn, leads to disk paging, which is extremely expensive in the context of scientific parallel computing. To solve this problem, we propose a new peer-to-peer solution called parallel network RAM. This approach avoids the use of disk, better utilizes available RAM resources, and will allow larger problems to be solved while reducing the computational, communication, and synchronization overhead typically involved in parallel applications. We proposed several different parallel network RAM designs and evaluated the performance of each under different conditions. We discovered that different designs are appropriate in different situations."",""1558-2183"","""",""10.1109/TPDS.2006.10"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1549816"",""Parallel programs";peer-to-peer;cluster;network RAM;scheduling;"simulation."",""Read-write memory";Random access memory;Peer to peer computing;Parallel processing;Processor scheduling;Context;Concurrent computing;Computational modeling;Network servers;"Scientific computing"","""",""12"","""",""33"",""IEEE"",""5 Dec 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Efficient algorithms for minimum congestion hypergraph embedding in a cycle,""Qian-Ping Gu";" Yong Wang"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jan 2006"",""2006"",""17"",""3"",""205"",""214"",""The minimum congestion hypergraph embedding in a cycle (MCHEC) problem is to embed the hyperedges of a hypergraph as paths in a cycle with the same node set such that the maximum congestion (the maximum number of paths that use any single edge in the cycle) is minimized. The MCHEC problem has many applications, including optimizing communication congestions in computer networks and parallel computing. The problem is NP-hard. In this paper, we give a 1.8-approximation algorithm for the MCHEC problem. This improves the previous 2-approximation results. Our algorithm has the optimal time complexity O(mn) for a hypergraph with m hyperedges and n nodes. We also propose an algorithm which finds an embedding with the optimal congestion L* for the MCHEC problem in O(n(nL*)/sup L*/) time. This improves the previous O((mn)/sup L*+1/) time algorithm."",""1558-2183"","""",""10.1109/TPDS.2006.34"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1583569"",""Hypergraph embedding";approximation algorithms;communication on rings;"edge congestion minimization."",""Routing";Parallel processing;Application software;Concurrent computing;Computer networks;Approximation algorithms;Minimization methods;Electronic design automation and methodology;"Unicast"","""",""5"","""",""12"",""IEEE"",""30 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Efficient and adaptive epidemic-style protocols for reliable and scalable multicast,""I. Gupta"; A. . -M. Kermarrec;" A. J. Ganesh"",""Department of Computer Science, University of Illinois, Urbana-Champaign, IL, USA"; IRISA/INRIA, Rennes, France;" Microsoft Research Limited, Cambridge, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Jun 2006"",""2006"",""17"",""7"",""593"",""605"",""Epidemic-style (gossip-based) techniques have recently emerged as a class of scalable and reliable protocols for peer-to-peer multicast dissemination in large process groups. However, popular implementations of epidemic-style dissemination suffer from two major drawbacks: 1) Network overhead: when deployed on a WAN-wide or VPN-wide scale, they generate a large number of packets that transit across the boundaries of multiple network domains (e.g., LANs, subnets, ASs), causing an overload on core network elements such as bridges, routers, and associated links. 2) Lack of adaptivity: they impose the same load on process group members and the network even under reduced failure rates (viz., packet losses, process failures). In this paper, we describe two protocols to address these problems: 1) a hierarchical gossiping protocol and 2) an adaptive dissemination framework (for multicasts) that allows use of any gossiping primitive within it. These protocols work within a virtual peer-to-peer hierarchy called the leaf box hierarchy. Processes can be allocated in a topologically aware manner to the leaf boxes of this structure, so that protocols 1 and 2 produce low traffic across domain boundaries in the network and induce minimal overhead when there are no failures"",""1558-2183"","""",""10.1109/TPDS.2006.85"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1642637"",""Distributed systems";reliability;network communication;simulation;multicast;reliability;epidemics;gossip;adaptivity;"topology awareness."",""Multicast protocols";Peer to peer computing;Telecommunication network reliability;Wide area networks;Bridges;Telecommunication traffic;Traffic control;Network topology;"Context"","""",""42"","""",""29"",""IEEE"",""19 Jun 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Efficient broadcasting in ad hoc wireless networks using directional antennas,""F. Dai";" J. Wu"",""Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA";" Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""335"",""347"",""Using directional antennas to conserve bandwidth and energy consumption in ad hoc wireless networks (or simply ad hoc networks) is becoming popular. However, applications of directional antennas for broadcasting have been limited. We propose a novel broadcast protocol called directional self-pruning (DSP) for ad hoc wireless networks using directional antennas. DSP is a nontrivial generalization of an existing localized deterministic broadcast protocol using omnidirectional antennas. Compared with its omnidirectional predecessor, DSP uses about the same number of forward nodes to relay the broadcast packet, while the number of forward directions that each forward node uses in transmission is significantly reduced. With the lower broadcast redundancy, DSP is more bandwidth and energy-efficient. DSP is based on 2-hop neighborhood information and does not rely on location or angle-of-arrival (AoA) information. Two special cases of DSP are discussed: the first one preserves shortest paths in reactive routing discoveries";" the second one uses the directional reception mode to minimize broadcast redundancy. DSP is a localized protocol. Its expected number of forward nodes is O(1) times the optimal value. An extensive simulation study using both custom and ns2 simulators show that DSP significantly outperforms both omnidirectional broadcast protocols and existing directional broadcast protocols."",""1558-2183"","""",""10.1109/TPDS.2006.46"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603517"",""Ad hoc wireless networks";broadcasting;directional antennas;localized algorithms;self-pruning;"simulation."",""Broadcasting";Wireless networks;Directional antennas;Digital signal processing;Bandwidth;Energy consumption;Ad hoc networks;Wireless application protocol;Relays;"Energy efficiency"","""",""76"","""",""32"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Efficient distributed low-cost backbone formation for wireless networks,""Yu Wang"; Weizhao Wang;" Xiang-Yang Li"",""Department of Computer Science, University of North Carolina, Charlotte, Charlotte, NC, USA"; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Jun 2006"",""2006"",""17"",""7"",""681"",""693"",""Backbone has been used extensively in various aspects (e.g., routing, route maintenance, broadcast, scheduling) for wireless ad hoc or sensor networks recently. Previous methods are mostly designed to minimize the size of the backbone. However, in many applications, it is desirable to construct a backbone with small cost when each wireless node has a cost of being in the backbone. In this paper, we first show that previous methods specifically designed to minimize the backbone size may produce a backbone with large cost. Then, an efficient distributed method to construct a weighted backbone with low cost is proposed. We prove that the total cost of the constructed backbone is within a small constant factor of the optimum for homogeneous networks when either the nodes' costs are smooth (i.e., the maximum ratio of costs of adjacent nodes is bounded) or the network maximum node degree is bounded. We also show that, with a small modification, the backbone is efficient for unicast: the total cost (or hop) of the least cost (or hop) path connecting any two nodes using backbone is no more than three (or four) times the least cost (or hop) path in the original communication graph. Our theoretical. results are corroborated by our simulation studies. Finally, we discuss several possible ad hoc network applications of our proposed backbone formation algorithms."",""1558-2183"","""",""10.1109/TPDS.2006.86"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1642644"",""Connected dominating set";clustering;distributed algorithm;"wireless ad hoc networks."",""Spine";Wireless networks;Wireless sensor networks;Cost function;Design methodology;Routing;Broadcasting;Unicast;Joining processes;"Ad hoc networks"","""",""47"",""2"",""37"",""IEEE"",""19 Jun 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Efficient techniques for clustering and scheduling onto embedded multiprocessors,""V. Kianzad";" S. S. Bhattacharyya"",""Harvard Medical School, Boston, MA, USA";" Department of Electrical and Computer Engineering, Institute of Advanced Computer Studies, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Jun 2006"",""2006"",""17"",""7"",""667"",""680"",""Multiprocessor mapping and scheduling algorithms have been extensively studied over the past few decades and have been tackled from different perspectives. In the late 1980's, the two-step decomposition of scheduling nto clustering and cluster-scheduling - was introduced. Ever since, several clustering and merging algorithms have been proposed and individually reported to be efficient. However, it is not clear how effective they are and how well they compare against single-step scheduling algorithms or other multistep algorithms. In this paper, we explore the effectiveness of the two-phase decomposition of scheduling and describe efficient and novel techniques that aggressively streamline interprocessor communications and can be tuned to exploit the significantly longer compilation time that is available to embedded system designers. We evaluate a number of leading clustering and merging algorithms using a set of benchmarks with diverse structures. We present an experimental setup for comparing the single-step against the two-step scheduling approach. We determine the importance of different steps in scheduling and the effect of different steps on overall schedule performance and show that the decomposition of the scheduling process indeed improves the overall performance. We also show that the quality of the solutions depends on the quality of the clusters generated in the clustering step. Based on the results, we also discuss why the parallel time metric in the clustering step may not provide an accurate measure for the final performance of cluster-scheduling"",""1558-2183"","""",""10.1109/TPDS.2006.87"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1642643"",""Interprocessor communication";multiprocessor systems;scheduling;"task partitioning."",""Clustering algorithms";Scheduling algorithm;Merging;Embedded system;Multiprocessing systems;Processor scheduling;Time measurement;Genetic algorithms;Design optimization;"Timing"","""",""35"","""",""35"",""IEEE"",""19 Jun 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Energy Optimization under Informed Mobility,""Chiping Tang";" P. K. McKinley"",""Microsoft Corporation, Redmond, WA, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""947"",""962"",""Energy optimization is important in wireless ad hoc networks, where node battery power is usually limited. Research results show that such a network can exploit controlled node mobility to reduce communication-related energy consumption. However, node movement itself usually consumes energy. In this paper we study the energy optimization problem that accounts for energy costs associated with both communication and physical node movement. We refer to this model as informed mobility. We first review the theoretical foundations on how to reduce total communication energy consumption, as well as increase system lifetime, by combining node movement and transmission power adaptation. Next, we describe and analyze the informed mobility optimization problem. Based on this analysis, we introduce localized algorithms and protocols for informed mobility. We propose iMobif, a flow-based informed mobility framework that collects network information for mobility decision making. We demonstrate how to use iMobif to minimize total communication energy consumption as well as to maximize system lifetime. We compare the performance of iMobif to that of systems with no mobility or only cost-unaware mobility. Simulation results show iMobif is effective in reducing energy consumption relative to such systems."",""1558-2183"","""",""10.1109/TPDS.2006.122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668060"",""Mobile ad hoc network";energy optimization;informed mobility;localized algorithm;routing protocol;node position;"system lifetime."",""Energy consumption";Network topology;Decision making;Mobile ad hoc networks;Communication system control;Cost function;Algorithm design and analysis;Protocols;Batteries;"Power system modeling"","""",""49"","""",""19"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Enhancing Search Performance on Gnutella-Like P2P Systems,""Yingwu Zhu";" Yiming Hu"",""Department of Computer Science and Software Engineering, Seattle University, Seattle, WA, USA";" Department of Electrical and Computer Engineering and Computer Science, University of Cincinnati, Cincinnati, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1482"",""1495"",""The big challenges facing the search techniques on Gnutella-like peer-to-peer networks are search efficiency and quality of search results. In this paper, leveraging information retrieval (IR) algorithms such as Vector Space Model (VSM) and relevance ranking algorithms, we present GES (Gnutella with Efficient Search) to improve search performance. The key idea is that GES uses a distributed topology adaptation algorithm to organize semantically relevant nodes into same semantic groups by using the notion of node vector. Given a query, GES employs an efficient search protocol to direct the query to the most relevant semantic groups for answers, thereby achieving high recall with probing only a small fraction of nodes. To the best of our knowledge, GES is the first to identify node vector size as an important role in impacting search performance and to show that the node vector size offers a good trade-off between search performance and bandwidth cost. Moreover, GES adopts automatic query expansion and local data clustering to improve search performance. We show that GES is efficient and even outperforms the centralized node clustering system SETS. For example, in the scenario where node capacity is heterogeneous, GES can achieve 73 percent recall when probing only 20 percent nodes, outperforming SETS by about 18 percent."",""1558-2183"","""",""10.1109/TPDS.2006.173"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717409"",""Peer-to-peer";topology adaptation;biased walk;semantic group;node vector;recall;"information retrieval."",""Peer to peer computing";Information retrieval;Network topology;Bandwidth;Protocols;Costs;IP networks;Distributed computing;Computational efficiency;"Keyword search"","""",""32"","""",""34"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Exploiting Geographical and Temporal Locality to Boost Search Efficiency in Peer-to-Peer Systems,""Hailong Cai";" Jun Wang"",""Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA";" School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1189"",""1203"",""As a hot research topic, many search algorithms have been presented and studied for unstructured peer-to-peer (P2P) systems during the past few years. Unfortunately, current approaches either cannot yield good lookup performance, or incur high search cost and system maintenance overhead. The poor search efficiency of these approaches may seriously limit the scalability of current unstructured P2P systems. In this paper, we propose to exploit two-dimensional locality to improve P2P system search efficiency. We present a locality-aware P2P system architecture called Foreseer, which explicitly exploits geographical locality and temporal locality by constructing a neighbor overlay and a friend overlay, respectively. Each peer in Foreseer maintains a small number of neighbors and friends along with their content filters used as distributed indices. By combining the advantages of distributed indices and the utilization of two-dimensional locality, our scheme significantly boosts P2P search efficiency while introducing only modest overhead. In addition, several alternative forwarding policies of Foreseer search algorithm are studied in depth on how to fully exploit the two-dimensional locality"",""1558-2183"","""",""10.1109/TPDS.2006.139"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687887"",""Foreseer";unstructured peer-to-peer systems;geographical locality;temporal locality;"search efficiency."",""Peer to peer computing";Costs;Blindness;Scalability;Filters;Telecommunication traffic;IP networks;Large-scale systems;Delay;"Dictionaries"","""",""14"","""",""37"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Exploiting locality for irregular scientific codes,""Hwansoo Han";" Chau-Wen Tseng"",""Division of Computer Science, KAIST, Daejeon, South Korea";" Department of Computer Science, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Jun 2006"",""2006"",""17"",""7"",""606"",""618"",""Irregular scientific codes experience poor cache performance due to their irregular memory access patterns. In this paper, we present two new locality improving techniques for irregular scientific codes. Our techniques exploit geometric structures hidden in data access patterns and computation structures. Our new data reordering (GPART) finds the graph structure within data accesses and applies hierarchical clustering. Quality partitions are constructed quickly by clustering multiple neighbor nodes with priority on nodes with high degree and repeating a few passes. Overhead is kept low by clustering multiple nodes in each pass and considering only edges between partitions. Our new computation reordering (Z-SORT) treats the values of index arrays as coordinates and reorders corresponding computations in Z-curve order. Applied to dense inputs, Z-SORT achieves performance close to data reordering combined with other computation reordering but without the overhead involved in data reordering. Experiments on irregular scientific codes for a variety of meshes show locality optimization techniques are effective for both sequential and parallelized codes, improving performance by 60-87 percent. GPART achieved within 1-2 percent of the performance of more sophisticated partitioning algorithms, but with one third of the overhead. Z-SORT also yields the performance improvement of 64 percent for dense inputs, which is comparable with data reordering combined with computation reordering."",""1558-2183"","""",""10.1109/TPDS.2006.88"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1642638"",""Compiler optimization";cache memories;inspector/executor;data reordering;"computation reordering."",""Concurrent computing";Cache memory;Microprocessors;Partitioning algorithms;Parallel processing;Data structures;Computational fluid dynamics;Data mining;Fluid dynamics;"Computer architecture"","""",""73"","""",""36"",""IEEE"",""19 Jun 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Extended Dominating Set and Its Applications in Ad Hoc Networks Using Cooperative Communication,""Jie Wu"; M. Cardei; Fei Dai;" Shuhui Yang"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"; Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA; Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA;" Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""851"",""864"",""We propose a notion of an extended dominating set where each node in an ad hoc network is covered by either a dominating neighbor or several 2-hop dominating neighbors. This work is motivated by cooperative communication in ad hoc networks whereby transmitting independent copies of a packet generates diversity and combats the effects of fading. We first show the NP-completeness of the minimum extended dominating set problem. Then, several heuristic algorithms, global and local, for constructing a small extended dominating set are proposed. These are nontrivial extensions of the existing algorithms for the regular dominating set problem. The application of the extended dominating set in efficient broadcasting is also discussed. The performance analysis includes an analytical study in terms of approximation ratio and a simulation study of the average size of the extended dominating set derived from the proposed algorithms"",""1558-2183"","""",""10.1109/TPDS.2006.103"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652947"",""Ad hoc network";connectivity;cooperative communication;dominating set;"simulation."",""Intelligent networks";Ad hoc networks;Broadcasting;Energy management;Batteries;Energy consumption;Fading;Performance analysis;Base stations;"Spine"","""",""79"","""",""34"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Fast routing computation on InfiniBand networks,""A. Bermudez"; R. Casado; F. J. Quiles;" J. Duato"",""Department of Computer Science, Universidad de Castilla La Mancha, Albacete, Spain"; Department of Computer Science, Universidad de Castilla La Mancha, Albacete, Spain; Department of Computer Science, Universidad de Castilla La Mancha, Albacete, Spain;" Department of Computer Science, Universidad de Castilla La Mancha, Albacete, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jan 2006"",""2006"",""17"",""3"",""215"",""226"",""The InfiniBand architecture has been proposed as a technology both for communication between processing nodes and I/O devices, and for interprocessor communication. Its specification defines a basic management infrastructure that is responsible for subnet configuration and fault tolerance. Each time a topology change is detected, new forwarding tables have to be computed and uploaded to devices. The time required to compute these tables is a critical issue, due to application traffic is negatively affected by the temporary lack of connectivity. In this paper, we show the way to integrate several routing algorithms, in order to combine their advantages. In particular, we merge a new proposal, characterized by its high computation speed but low efficiency, with a traditional one, slower but more efficient. Our goal is to provide new routes in a short period of time, minimizing the degradation mentioned before, and maintaining, at the same time, high network performance."",""1558-2183"","""",""10.1109/TPDS.2006.35"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1583570"",""High-speed LANs";network management;network topology;"routing protocols."",""Routing";Computer networks;Switches;Samarium;Proposals;Network topology;Fabrics;Computer architecture;Communications technology;"Fault tolerance"","""",""13"","""",""15"",""IEEE"",""30 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Feedback Control Architecture and Design Methodology for Service Delay Guarantees in Web Servers,""Chenyang Lu"; Ying Lu; T. F. Abdelzaher; J. A. Stankovic;" Sang Hyuk Son"",""Department of Computer Science and Engineering, Washington University of Saint Louis, Saint Louis, MO, USA"; Department of Computer Science and Engineering, University of Nebraska, Lincolnshire, NE, USA; Department of Computer Science, University of Illinois, Urbana-champaign, Urbana, IL, USA; Department of Computer Science, University of Virginia, Charlottesville, VA, USA;" Department of Computer Science, University of Virginia, Charlottesville, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""1014"",""1027"",""This paper presents the design and implementation of an adaptive Web server architecture to provide relative and absolute connection delay guarantees for different service classes. The first contribution of this paper is an adaptive architecture based on feedback control loops that enforce desired connection delays via dynamic connection scheduling and process reallocation. The second contribution is the use of control theoretic techniques to model and design the feedback loops with desired dynamic performance. In contrast to heuristics-based approaches that rely on laborious hand-tuning and testing iteration, the control theoretic approach enables systematic design of an adaptive Web server with established analytical methods. The adaptive architecture has been implemented by modifying an Apache server. Experimental results demonstrate that the adaptive server provides robust delay guarantees even when workload varies significantly."",""1558-2183"","""",""10.1109/TPDS.2006.123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668065"",""Web server";Quality of Service;feedback control;"proportional differentiated service."",""Feedback control";Service oriented architecture;Design methodology;Delay;Web server;Programmable control;Adaptive control;Dynamic scheduling;Feedback loop;"System testing"","""",""104"",""3"",""38"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;
