"2PASS: Bandwidth-Optimized Location Cloaking for Anonymous Location-Based Services,""H. Hu";" J. Xu"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China";" Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1458"",""1472"",""Protection of users' location privacy is a critical issue for location-based services. Location cloaking has been proposed to blur users' accurate locations with cloaked regions. Although various cloaking algorithms have been studied, none of the prior work has explored the impact of cloaking on the bandwidth usage of requested services. In this paper, we develop an innovative result-aware location cloaking approach, called 2PASS. Based on the notion of Voronoi cells, 2PASS minimizes the number of objects to request, and hence, the bandwidth while meeting the same privacy requirement. The core component of 2PASS is a lightweight WAG-tree index, based on which efficient and secure client and server procedures are designed. Through threat analysis and experimental results, we argue that 2PASS is robust and outperforms state-of-the-art approaches in terms of various metrics, such as query response time and bandwidth consumption. We also enclose a case study of 2PASS in a real-life application."",""1558-2183"","""",""10.1109/TPDS.2010.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406506"",""Mobile applications";distributed applications;security;integrity;"protection."",""Privacy";Bandwidth;Robustness;Protection;Network servers;Neural networks;Delay;Information security;Medical conditions;"Law"","""",""15"",""2"",""33"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Cooperative Caching in Wireless P2P Networks: Design, Implementation, and Evaluation,""J. Zhao"; P. Zhang; G. Cao;" C. R. Das"",""Department of Computer Science & Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Computer Science & Engineering, Pennsylvania State University, University Park, PA, USA; Department of Computer Science & Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Computer Science & Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Dec 2009"",""2010"",""21"",""2"",""229"",""241"",""Some recent studies have shown that cooperative cache can improve the system performance in wireless P2P networks such as ad hoc networks and mesh networks. However, all these studies are at a very high level, leaving many design and implementation issues unanswered. In this paper, we present our design and implementation of cooperative cache in wireless P2P networks, and propose solutions to find the best place to cache the data. We propose a novel asymmetric cooperative cache approach, where the data requests are transmitted to the cache layer on every node, but the data replies are only transmitted to the cache layer at the intermediate nodes that need to cache the data. This solution not only reduces the overhead of copying data between the user space and the kernel space, it also allows data pipelines to reduce the end-to-end delay. We also study the effects of different MAC layers, such as 802.11-based ad hoc networks and multi-interface-multichannel-based mesh networks, on the performance of cooperative cache. Our results show that the asymmetric approach outperforms the symmetric approach in traditional 802.11-based ad hoc networks by removing most of the processing overhead. In mesh networks, the asymmetric approach can significantly reduce the data access delay compared to the symmetric approach due to data pipelines."",""1558-2183"","""",""10.1109/TPDS.2009.50"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4803835"",""Wireless networks";P2P networks;"cooperative cache."",""Cooperative caching";Ad hoc networks;Kernel;Routing protocols;Mesh networks;System performance;Pipelines;Delay;Bandwidth;"Wireless sensor networks"","""",""74"",""1"",""25"",""IEEE"",""21 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Correlation-Based Traffic Analysis Attacks on Anonymity Networks,""Y. Zhu"; X. Fu; B. Graham; R. Bettati;" W. Zhao"",""Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA"; College of Business and Information Systems, Dakota State University, Madison, SD, USA; Texas A&M University College Station, College Station, TX, US; Department of Computer Science, Texas A&M University, College Station, TX, USA;" University of Macau, Taipa, Macau, China"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""954"",""967"",""In this paper, we address attacks that exploit the timing behavior of TCP and other protocols and applications in low-latency anonymity networks. Mixes have been used in many anonymous communication systems and are supposed to provide countermeasures to defeat traffic analysis attacks. In this paper, we focus on a particular class of traffic analysis attacks, flow-correlation attacks, by which an adversary attempts to analyze the network traffic and correlate the traffic of a flow over an input link with that over an output link. Two classes of correlation methods are considered, namely time-domain methods and frequency-domain methods. Based on our threat model and known strategies in existing mix networks, we perform extensive experiments to analyze the performance of mixes. We find that all but a few batching strategies fail against flow-correlation attacks, allowing the adversary to either identify ingress and egress points of a flow or to reconstruct the path used by the flow. Counterintuitively, some batching strategies are actually detrimental against attacks. The empirical results provided in this paper give an indication to designers of Mix networks about appropriate configurations and mechanisms to be used to counter flow-correlation attacks."",""1558-2183"","""",""10.1109/TPDS.2009.146"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226624"",""Privacy";mixes;anonymity;anonymous communication;"flow-correlation attack."",""Telecommunication traffic";Traffic control;Timing;Protocols;Communication system traffic;Correlation;Time domain analysis;Frequency domain analysis;Performance analysis;"Counting circuits"","""",""35"",""2"",""46"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Coupling-Based Internal Clock Synchronization for Large-Scale Dynamic Distributed Systems,""R. Baldoni"; A. Corsaro; L. Querzoni; S. Scipioni;" S. Tucci Piergiovanni"",""Department of Computer and System Sciences Antonio Ruberti, University of Roma La Sapienza, Rome, Italy"; Parc de la Fontaine de Jouvence 4, Prism Technology, Marcoussis, France; Department of Computer and System Sciences Antonio Ruberti, University of Roma La Sapienza, Rome, Italy; Department of Computer and System Sciences Antonio Ruberti, University of Roma La Sapienza, Rome, Italy;" Department of Computer and System Sciences Antonio Ruberti, University of Roma La Sapienza, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2010"",""2010"",""21"",""5"",""607"",""619"",""This paper studies the problem of realizing a common software clock among a large set of nodes without an external time reference (i.e., internal clock synchronization), any centralized control, and where nodes can join and leave the distributed system at their will. The paper proposes an internal clock synchronization algorithm which combines the gossip-based paradigm with a nature-inspired approach, coming from the coupled oscillators phenomenon, to cope with scale and churn. The algorithm works on the top of an overlay network and uses a uniform peer sampling service to fulfill each node's local view. Therefore, differently from clock synchronization protocols for small scale and static distributed systems, here, each node synchronizes regularly with only the neighbors in its local view and not with the whole system. An evaluation of the convergence speed and the synchronization error of the coupled-based internal clock synchronization algorithm has been carried out, showing how convergence time and the synchronization error depends on the coupling factor and the local view size. Moreover, the variation of the synchronization error with respect to churn and the impact of a sudden variation of the number of nodes have been analyzed to show the stability of the algorithm. In all these contexts, the algorithm shows nice performance and very good self-organizing properties. Finally, we showed how the assumption on the existence of a uniform peer-sampling service is instrumental for the good behavior of the algorithm and how, in system models where network delays are unbounded, a mean-based convergence function reaches a lower synchronization error than median-based convergence functions exploiting the number of averaged clock values."",""1558-2183"","""",""10.1109/TPDS.2009.111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5161256"",""Peer-to-peer";internal clock synchronization;peer sampling;"overlay networks."",""Clocks";Synchronization;Large-scale systems;Peer to peer computing;Convergence;Centralized control;Oscillators;Sampling methods;Protocols;"Algorithm design and analysis"","""",""19"",""1"",""42"",""IEEE"",""10 Jul 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Cross-Domain Data Sharing in Distributed Electronic Health Record Systems,""J. Sun";" Y. Fang"",""Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA";" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Aug 2010"",""2010"",""21"",""6"",""754"",""764"",""Cross-organization or cross-domain cooperation takes place from time to time in Electronic Health Record (EHR) system for necessary and high-quality patient treatment. Cautious design of delegation mechanism must be in place as a building block of cross-domain cooperation, since the cooperation inevitably involves exchanging and sharing relevant patient data that are considered highly private and confidential. The delegation mechanism grants permission to and restricts access rights of a cooperating partner. Patients are unwilling to accept the EHR system unless their health data are guaranteed proper use and disclosure, which cannot be easily achieved without cross-domain authentication and fine-grained access control. In addition, revocation of the delegated rights should be possible at any time during the cooperation. In this paper, we propose a secure EHR system, based on cryptographic constructions, to enable secure sharing of sensitive patient data during cooperation and preserve patient data privacy. Our EHR system further incorporates advanced mechanisms for fine-grained access control, and on-demand revocation, as enhancements to the basic access control offered by the delegation mechanism, and the basic revocation mechanism, respectively. The proposed EHR system is demonstrated to fulfill objectives specific to the cross-domain delegation scenario of interest."",""1558-2183"","""",""10.1109/TPDS.2009.124"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196665"",""Cross domain";delegation;electronic health record;privacy;"security."",""Medical services";Permission;Access control;Data privacy;Hospitals;Authentication;Collaborative work;Sun;Medical treatment;"Cryptography"","""",""68"",""2"",""34"",""IEEE"",""7 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Dealing with Transient Faults in the Interconnection Network of CMPs at the Cache Coherence Level,""R. Fernández-Pascual"; J. M. García; M. E. Acacio;" J. Duato"",""Departamento de Ingeniería de Computadores, Universidad de Murcia, Murcia, Spain"; Departamento de Ingeniería de Computadores, Universidad de Murcia, Murcia, Spain; Departamento de Ingeniería de Computadores, Universidad de Murcia, Murcia, Spain;" Departamento de Informatica de Sistemas y Computadores, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2010"",""2010"",""21"",""8"",""1117"",""1131"",""The importance of transient faults is predicted to grow due to current technology trends of increased scale of integration. One of the components that will be significantly affected by transient faults is the interconnection network of chip multiprocessors (CMPs). To deal efficiently with these faults and differently from other authors, we propose to use fault-tolerant cache coherence protocols that ensure the correct execution of programs when not all messages are correctly delivered. We describe the extensions made to a directory-based cache coherence protocol to provide fault tolerance and provide a modified set of token counting rules which are useful to design fault-tolerant token-based cache coherence protocols. We compare the directory-based fault-tolerant protocol with a token-based fault-tolerant one. We also show how to adjust the fault tolerance parameters to achieve the desired level of fault tolerance and measure the overhead achieved to be able to support very high fault rates. Simulation results using a set of scientific, multimedia, and commercial applications show that the fault tolerance measures have virtually no impact on execution time with respect to a non-fault-tolerant protocol. Additionally, our protocols can support very high rates of transient faults at the cost of slightly increased network traffic."",""1558-2183"","""",""10.1109/TPDS.2009.148"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5232808"",""fault tolerance";cache coherence;transient faults;"interconnection network."",""Multiprocessor interconnection networks";Fault tolerance;Protocols;Electromagnetic interference;Electromagnetic radiation;Power system reliability;Error correction codes;"Time measurement"","""",""3"","""",""25"",""IEEE"",""4 Sep 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Delay-Bounded and Energy-Efficient Composite Event Monitoring in Heterogeneous Wireless Sensor Networks,""Y. Li"; C. Ai; C. Vu; Y. Pan;" R. Beyah"",""Department of Computer Science, Georgia State University, Atlanta, GA, USA"; Department of Computer Science, Georgia State University, Atlanta, GA, USA; Department of Computer Science, Georgia State University, Atlanta, GA, USA; Department of Computer Science, Georgia State University, Atlanta, GA, USA;" Department of Computer Science, Georgia State University, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1373"",""1385"",""Wireless sensor networks can be used for event warning applications. Till date, in most of the proposed schemes, the raw or aggregated sensed data are periodically sent to a data consuming center. However, with those schemes, the occurrence of an emergency event such as a fire is hardly reported timely, which is a strict requirement for event warning applications. In wireless sensor networks, it is also highly desired to conserve energy so that network lifetime can be maximized. Furthermore, to ensure the quality of surveillance, some applications require that if an event occurs, it needs to be detected by at least k sensors, where k is a user-defined parameter. In this work, we examine the Timely Energy-efficient k-Watching Event Monitoring (TEKWEM) problem and propose a scheme, which involves an event detection model and a warning delivery model, for monitoring composite events and delivering warnings to users. Theoretical analysis and simulation results are shown to validate the proposed scheme."",""1558-2183"","""",""10.1109/TPDS.2009.129"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5204076"",""Composite event detection";wireless sensor networks;energy efficiency;"bounded delay."",""Energy efficiency";Monitoring;Wireless sensor networks;Fires;Event detection;Delay;Temperature;Alarm systems;Embedded computing;"Sensor phenomena and characterization"","""",""27"","""",""49"",""IEEE"",""18 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Design and Deployment of Sensor Network for Real-Time High-Fidelity Volcano Monitoring,""W. -Z. Song"; R. Huang; M. Xu; B. Shirazi;" R. LaHusen"",""Department of Computer Science, Georgia State University, Atlanta, GA"; Sensorweb Research Laboratory, VELS 102, Washington State University, Vancouver, WA; Sensorweb Research Laboratory, VELS 102, Washington State University, Vancouver, WA; Sensorweb Research Laboratory, VELS 102, Washington State University, Vancouver, WA;" USGS Cascades Volcano Observatory, Vancouver, WA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1658"",""1674"",""This paper presents the design and deployment experience of an air-dropped wireless sensor network for volcano hazard monitoring. The deployment of five self-contained stations into the rugged crater of Mount St. Helens only took one hour with a helicopter. The stations communicate with each other through an amplified 802.15.4 radio and establish a self-forming and self-healing multihop wireless network. The transmit distance between stations was up to 8 km with favorable topography. Each sensor station collects and delivers real-time continuous seismic, infrasonic, lightning, GPS raw data to a gateway. The main contribution of this paper is the design of a robust sensor network optimized for rapid deployment during periods of volcanic unrest and provide real-time long-term volcano monitoring. The system supports UTC-time-synchronized data acquisition with 1 ms accuracy, and is remotely configurable. It has been tested in the lab environment, the outdoor campus, and the volcano crater. Despite the heavy rain, snow, and ice as well as gusts exceeding 160 km per hour, the sensor network has achieved a remarkable packet delivery ratio above 99 percent with an overall system uptime of about 93.8 percent over the 1.5 months evaluation period after deployment. Our initial deployment experiences with the system demonstrated to discipline scientists that a low-cost sensor network system can support real-time monitoring in extremely harsh environments."",""1558-2183"","""",""10.1109/TPDS.2010.37"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416697"",""SensorWeb";volcano monitoring;"design and deployment."",""Volcanoes";Monitoring;Sensor systems;Wireless sensor networks;Hazards;Helicopters;Spread spectrum communication;Lightning;Global Positioning System;"Robustness"","""",""75"",""1"",""37"",""IEEE"",""18 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Detecting Application Denial-of-Service Attacks: A Group-Testing-Based Approach,""Y. Xuan"; I. Shin; M. T. Thai;" T. Znati"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA;" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2010"",""2010"",""21"",""8"",""1203"",""1216"",""Application DoS attack, which aims at disrupting application service rather than depleting the network resource, has emerged as a larger threat to network services, compared to the classic DoS attack. Owing to its high similarity to legitimate traffic and much lower launching overhead than classic DDoS attack, this new assault type cannot be efficiently detected or prevented by existing detection solutions. To identify application DoS attack, we propose a novel group testing (GT)-based approach deployed on back-end servers, which not only offers a theoretical method to obtain short detection delay and low false positive/negative rate, but also provides an underlying framework against general network attacks. More specifically, we first extend classic GT model with size constraints for practice purposes, then redistribute the client service requests to multiple virtual servers embedded within each back-end server machine, according to specific testing matrices. Based on this framework, we propose a two-mode detection mechanism using some dynamic thresholds to efficiently identify the attackers. The focus of this work lies in the detection algorithms proposed and the corresponding theoretical complexity analysis. We also provide preliminary simulation results regarding the efficiency and practicability of this new scheme. Further discussions over implementation issues and performance enhancements are also appended to show its great potentials."",""1558-2183"","""",""10.1109/TPDS.2009.147"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5232807"",""Application DoS";group testing;"network security."",""Computer crime";Testing;Telecommunication traffic;Network servers;Bandwidth;Communication system traffic control;Detection algorithms;Algorithm design and analysis;Internet;"IP networks"","""",""35"",""1"",""27"",""IEEE"",""4 Sep 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Distributed Network Formation for n-Way Broadcast Applications,""G. Smaragdakis"; N. Laoutais; P. Michiardi; A. Bestavros; J. W. Byers;" M. Roussopoulos"",""Deutsche Telekom Laboratories, Technical University of Berlin, Berlin, Germany"; Telefonica Research, Barcelona; Institut EURECOM, Sophia-Antipolis, France; Computer Science Department, Boston University, Boston, MA, USA; Computer Science Department, Boston University, Boston, MA, USA;" Department of Informatics and Telecommunications, University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1427"",""1441"",""In an n-way broadcast application, each one of n overlay nodes wants to push its own distinct large data file to all other n-1 destinations as well as download their respective data files. BitTorrent-like swarming protocols are ideal choices for handling such massive data volume transfers. The original BitTorrent targets one-to-many broadcasts of a single file to a very large number of receivers, and thus, by necessity, employs a suboptimized overlay topology. n-way broadcast applications, on the other hand, owing to their inherent complexity, are realizable only in small to medium scale networks. In this paper, we show that we can leverage this scale constraint to construct optimized overlay topologies that take into consideration the end-to-end characteristics of the network and as a consequence deliver far superior performance compared to random and myopic (greedy) approaches. We present the Max-Min and Max-Sum peer-selection policies used by individual nodes to select their neighbors. The first one strives to maximize the available bandwidth to the slowest destination, while the second maximizes the aggregate output rate. We design a swarming protocol suitable for n-way broadcast and operate it on top of overlay graphs formed by nodes that employ Max-Min or Max-Sum policies. Using measurements from a PlanetLab prototype implementation and trace-driven simulations, we demonstrate that the performance of swarming protocols on top of our constructed topologies is far superior to the performance of random and myopic overlays."",""1558-2183"","""",""10.1109/TPDS.2010.23"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401155"",""Network formation";n-way broadcast;swarming protocols;"flow networks."",""Broadcasting";Peer to peer computing;Protocols;Network topology;Laboratories;Constraint optimization;Bandwidth;Aggregates;Extraterrestrial measurements;"Virtual prototyping"","""",""3"","""",""34"",""IEEE"",""29 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;
"Dynamic Data Reallocation in Hybrid Disk Arrays,""T. Xie";" Y. Sun"",""Department of Computer Science, San Diego State University, San Diego, CA, USA";" Test Engineering Department, Teradata Corporation, San Diego, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1330"",""1341"",""Current disk arrays consist purely of hard disk drives, which normally provide huge storage capacities with low cost and high throughput for data-intensive applications. Nevertheless, they have some inherent disadvantages such as long access latencies and energy inefficiency due to their build-in mechanical mechanisms. Flash-memory-based solid state disks, on the other hand, although currently more expensive and inadequate in write cycles, offer much faster random read accesses and are much more robust and energy efficient. To combine the complementary merits of hard disks and flash disks, in this paper, we propose a hybrid disk array architecture named hybrid disk storage (HIT) for data-intensive applications. Next, a dynamic data redistribution strategy called performance, energy, and reliability balanced (PEARL), which can periodically redistribute data between flash disks and hard disks to adapt to the changing data access patterns, is developed on top of the HIT architecture. Comprehensive simulations using real-life traces demonstrate that compared with existing data placement techniques, PEARL exhibits its strength in both performance and energy consumption without impairing flash disk reliability."",""1558-2183"","""",""10.1109/TPDS.2009.175"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374394"",""Allocation strategies";energy-aware systems;reliability;"secondary storage."",""Hard disks";Cost function;Heuristic algorithms;Energy consumption;Measurement;Throughput;Delay;Energy efficiency;Energy storage;"Statistics"","""",""21"","""",""35"",""IEEE"",""8 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Efficient Algorithms for Global Snapshots in Large Distributed Systems,""R. Garg"; V. K. Garg;" Y. Sabharwal"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; ECE Department, University of Texas, Austin, Austin, TX, USA;" IBM India Research Laboratory, New Delhi, India"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2010"",""2010"",""21"",""5"",""620"",""630"",""Existing algorithms for global snapshots in distributed systems are not scalable when the underlying topology is complete. There are primarily two classes of existing algorithms for computing a global snapshot. Algorithms in the first class use control messages of size 0(1) but require O(N) space and O(N) messages per processor in a network with JV processors. Algorithms in the second class use control messages (such as rotating tokens with vector counter method) of size O(N), use multiple control messages per channel, or require recording of message history. As a result, algorithms in both of these classes are not efficient in large systems when the logical topology of the communication layer such as MPI is complete. In this paper, we propose three scalable algorithms for global snapshots: a grid-based, a tree-based, and a centralized algorithm. The grid-based algorithm uses O(N) space but only O(¿(N)) messages per processor each of size O(¿(N)). The tree-based and centralized algorithms use only O(1) size messages. The tree-based algorithm requires O(1) space and O(log N log(W/N)) messages per processor where W is the total number of messages in transit. The centralized algorithm requires O(1) space and O(log(W/N)) messages per processor. We also have a matching lower bound for this problem. We also present hybrid of centralized and tree-based algorithms that allow trade-off between the decentralization and the message complexity. Our algorithms have applications in checkpointing, detecting stable predicates, and implementing synchronizers."",""1558-2183"","""",""10.1109/TPDS.2009.108"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5128903"",""Checkpointing";global snapshots;"stable predicates."",""Size control";Network topology;Counting circuits;Communication system control;History;Application software;Checkpointing;Distributed computing;Fault tolerant systems;"Condition monitoring"","""",""19"","""",""16"",""IEEE"",""26 Jun 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Efficient and Robust Schemes for Sensor Data Aggregation Based on Linear Counting,""Y. -C. Fan";" A. L. P. Chen"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan";" Department of Computer Science, National Chengchi University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1675"",""1691"",""Sensor networks have received considerable attention in recent years, and are often employed in the applications where data are difficult or expensive to collect. In these applications, in addition to individual sensor readings, statistical aggregates such as Min and Count over the readings of a group of sensor nodes are often needed. To conserve resources for sensor nodes, in-network strategies are adopted to process the aggregates. One primitive in-network aggregation strategy is the tree-based aggregation, where the aggregates are computed from leaves to the root of a spanning tree over a sensor network. However, a shortcoming with the tree-based aggregation is that it is not robust against communication failures, which are common in sensor networks. One of the solutions to overcome this shortcoming is to enable multipath routing, by which each node broadcasts its reading or a partial aggregate to multiple neighbors. However, multipath routing-based aggregation typically suffers from the problem of overcounting sensor readings. In this study, we propose two schemes based on the linear counting technique to deal with the overcounting problem. These two schemes process aggregates by statically and dynamically, respectively, allocating space for the use of the linear counting technique. Both schemes provide the same accuracy guarantee but involve different communication costs. Through extensive experiments with real-world and synthetic data, we demonstrate the efficiency and effectiveness of using these two schemes as solutions for processing aggregates in a sensor network. The experiments also show that the scheme that dynamically allocates the space often outperforms the other one in terms of energy conservation since it requires less space to satisfy an accuracy constraint."",""1558-2183"","""",""10.1109/TPDS.2010.33"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406513"",""Wireless sensor networks";query processing;distributed data structures;"reliability and robustness."",""Robustness";Aggregates;Routing;Computer networks;Broadcasting;Base stations;Costs;Energy conservation;Query processing;"Data structures"","""",""16"","""",""22"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Efficient Broadcasting Using Network Coding and Directional Antennas in MANETs,""S. Yang";" J. Wu"",""Department of Math, Computer Science, and Statistics, Purdue University, Calumet, Hammond, IN, USA";" Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Dec 2009"",""2010"",""21"",""2"",""148"",""161"",""In this paper, we consider the issue of efficient broadcasting in mobile ad hoc networks (MANETs) using network coding and directional antennas. Network coding-based broadcasting focuses on reducing the number of transmissions each forwarding node performs in the multiple source/multiple message broadcast application, where each forwarding node combines some of the received messages for transmission. With the help of network coding, the total number of transmissions can be reduced compared to broadcasting using the same forwarding nodes without coding. We exploit the usage of directional antennas to network coding-based broadcasting to further reduce energy consumption. A node equipped with directional antennas can divide the omnidirectional transmission range into several sectors and turn some of them on for transmission. In the proposed scheme using a directional antenna, forwarding nodes selected locally only need to transmit broadcast messages, original or coded, to restricted sectors. We also study two extensions. The first extension applies network coding to both dynamic and static forwarding node selection approaches. In the second extension, we design two approaches for the single source/single message issue in the network coding-based broadcast application. Performance analysis via simulations on the proposed algorithms using a custom simulator and NS-2 is presented."",""1558-2183"","""",""10.1109/TPDS.2009.44"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4799780"",""Broadcasting";directional antennas;network coding;wireless ad hoc networks;"simulations."",""Broadcasting";Network coding;Directional antennas;Spine;Mobile ad hoc networks;Energy consumption;Performance analysis;Analytical models;Interference;"Decoding"","""",""40"","""",""34"",""IEEE"",""12 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Efficient Multicast Algorithms for Multichannel Wireless Mesh Networks,""G. Zeng"; B. Wang; Y. Ding; L. Xiao;" M. Mutka"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2009"",""2010"",""21"",""1"",""86"",""99"",""The wireless mesh network is an emerging technology that provides high quality service to end users as the """"last milerdquo of the Internet. Furthermore, multicast communication is a key technology for wireless mesh networks. Multicast provides efficient data distribution among a group of nodes. However, unlike other wireless networks, such as sensor networks and MANETs, where multicast algorithms are designed to be energy efficient and to achieve optimal route discovery among mobile nodes, wireless mesh networks need to maximize throughput. This paper proposes two multicast algorithms: the level channel assignment (LCA) algorithm and the multichannel multicast (MCM) to improve the throughput for multichannel and multi-interface mesh networks. The algorithms build efficient multicast trees by minimizing the number of relay nodes and total hop count distances of the trees. The algorithms use dedicated channel assignment strategies to reduce the interference to improve the network capacity. We also demonstrate that using partially overlapping channels can further diminish the interference. Furthermore, additional interfaces help to increase the bandwidth, and multiple gateways can further shorten the total hop count distance. Simulations show that those algorithms greatly outperform the single-channel multicast algorithm. We also observe that MCM achieves better throughput and shorter delay while LCA can be realized in distributed manner."",""1558-2183"","""",""10.1109/TPDS.2009.46"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4803831"",""Wireless mesh networks";multicast;multichannel;multi-interface;"channel assignment."",""Multicast algorithms";Wireless mesh networks;Throughput;Wireless sensor networks;Interference;IP networks;Web and internet services;Multicast communication;Algorithm design and analysis;"Energy efficiency"","""",""87"",""1"",""31"",""IEEE"",""21 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;
