"2014 Reviewers List,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""282"",""290"",""Lists the reviewers who contributed to IEEE Transactions on Parallel and Distributed Systems in 2014."",""1558-2183"","""",""10.1109/TPDS.2014.2368792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6979387"","""",""IEEE publishing"","""","""","""","""",""IEEE"",""9 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Cloud-Friendly RFID Trajectory Clustering Algorithm in Uncertain Environments,""Y. Wu"; H. Shen;" Q. Z. Sheng"",""School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"; School of Information Science and Technology, University of Adelaide, Adelaide, Australia;" School of Computer Science, University of Adelaide, Adelaide, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2075"",""2088"",""In the emerging environment of the Internet of Things (IoT), through the connection of billions of radio frequency identification (RFID) tags and sensors to the Internet, applications will generate an unprecedented number of transactions and amount of data that require novel approaches in mining useful information from RFID trajectories. RFID data usually contain a considerable degree of uncertainty caused by various factors such as hardware flaws, transmission faults and environment instability. In this paper, we propose an efficient clustering algorithm that is much less sensitive to noise and outliers than the existing methods. To better facilitate the emerging cloud computing resources, our algorithm is designed cloud-friendly so that it can be easily adopted in a cloud environment. The scalability and efficiency of the proposed algorithm are demonstrated through an extensive set of experimental studies."",""1558-2183"","""",""10.1109/TPDS.2014.2347286"",""National Science Foundation of China(grant numbers:#61170232)"; State Key Laboratory of Rail Traffic Control and Safety Research(grant numbers:RS2012K011); Australian Research Council(grant numbers:LP100200114); Discovery Project(grant numbers:DP130104614);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877686"",""Internet of Things";radio frequency identification (RFID);uncertainty;clustering algorithm;"cloud computing"",""Radiofrequency identification";Trajectory;Clustering algorithms;Probabilistic logic;Algorithm design and analysis;"Data mining"","""",""15"","""",""41"",""IEEE"",""13 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Data Collection in Multi-Application Sharing Wireless Sensor Networks,""H. Gao"; X. Fang; J. Li;" Y. Li"",""Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China;" Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2015"",""2015"",""26"",""2"",""403"",""412"",""Data sharing for data collection among multiple applications is an efficient way to reduce communication cost for Wireless Sensor Networks (WSNs). This paper is the first work to introduce the interval data sharing problem which is to investigate how to transmit as less data as possible over the network, and meanwhile the transmitted data satisfies the requirements of all the applications. Different from current studies where each application requires a single data sampling during each task, we study the problem where each application requires a continuous interval of data sampling in each task. The proposed problem is a nonlinear nonconvex optimization problem. In order to lower the high complexity for solving a nonlinear nonconvex optimization problem in resource restricted WSNs, a 2-factor approximation algorithm whose time complexity is $O(n^{2})$  and memory complexity is $O(n)$ is provided. A special instance of this problem is also analyzed. This special instance can be solved with a dynamic programming algorithm in polynomial time, which gives an optimal result in $O(n^{2})$ time complexity and $O(n)$ memory complexity. Three online algorithms are provided to process the continually coming tasks. Both the theoretical analysis and simulation results demonstrate the effectiveness of the proposed algorithms."",""1558-2183"","""",""10.1109/TPDS.2013.289"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671566"",""Data collection";data sharing;multi-application;"wireless sensor network"",""Approximation algorithms";Heuristic algorithms;Approximation methods;Wireless sensor networks;Time complexity;"Optimization"","""",""18"","""",""21"",""IEEE"",""20 Nov 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Data Gathering with Compressive Sensing in Wireless Sensor Networks: A Random Walk Based Approach,""H. Zheng"; F. Yang; X. Tian; X. Gan; X. Wang;" S. Xiao"",""Department of Electronic Engineering, Fuzhou University, China"; Department of Electronic Engineering, Shanghai Jiaotong University, China; Department of Electronic Engineering, Beijing University of Posts and Telecommunications, China; Department of Electronic Engineering, Shanghai Jiaotong University, China; Department of Electronic Engineering, Southeast University, China;" Department of Electronic Engineering, Shanghai Jiaotong University, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2014"",""2015"",""26"",""1"",""35"",""44"",""In this paper, we study the problem of data gathering with compressive sensing (CS) in wireless sensor networks (WSNs). Unlike the conventional approaches, which require uniform sampling in the traditional CS theory, we propose a random walk algorithm for data gathering in WSNs. However, such an approach will conform to path constraints in networks and result in the non-uniform selection of measurements. It is still unknown whether such a non-uniform method can be used for CS to recover sparse signals in WSNs. In this paper, from the perspectives of CS theory and graph theory, we provide mathematical foundations to allow random measurements to be collected in a random walk based manner. We find that the random matrix constructed from our random walk algorithm can satisfy the expansion property of expander graphs. The theoretical analysis shows that a k-sparse signal can be recovered using `1 minimization decoding algorithm when it takes m = O(k log(n=k)) independent random walks with the length of each walk t = O(n=k) in a random geometric network with n nodes. We also carry out simulations to demonstrate the effectiveness of the proposed scheme. Simulation results show that our proposed scheme can significantly reduce communication cost compared to the conventional schemes using dense random projections and sparse random projections, indicating that our scheme can be a more practical alternative for data gathering applications in WSNs."",""1558-2183"","""",""10.1109/TPDS.2014.2308212"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748092"",""Compressive sensing";data gathering;random walk;expander graph;"wireless sensor networks"",""Wireless sensor networks";Graph theory;Sparse matrices;Compressed sensing;Vectors;Algorithm design and analysis;"Routing"","""",""122"","""",""33"",""IEEE"",""25 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Deadline Assignment in EDF Schedulers for Real-Time Distributed Systems,""J. M. Rivas"; J. J. Gutiérrez; J. C. Palencia;" M. G. Harbour"",""Computers and Real-Time Group, University of Cantabria, Santander, Spain"; Computers and Real-Time Group, University of Cantabria, Santander, Spain; Computers and Real-Time Group, University of Cantabria, Santander, Spain;" Computers and Real-Time Group, University of Cantabria, Santander, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2671"",""2684"",""Real-time distributed systems contain end-to-end flows, which are distributed actions composed of sequences of tasks activated through messages. Such flows usually have an end-to-end deadline but the internal tasks and messages do not have specific timing requirements. However, if EDF schedulers are used, it is necessary to assign scheduling deadlines to tasks and messages, which is usually done by distributing the end-to-end deadline among them. Distributed systems may have synchronized global clocks or non-synchronized local clocks. This work studies the influence of the clocks, global or local, on the deadline-assignment algorithms. A study on the poor performance observed for EDF schedulers with local clocks is presented. Then, a significant optimization of the assignment algorithms is shown, in which an amount of end-to-end deadline larger than the established timing requirement is distributed among tasks and messages. With this technique, two new algorithms for deadline-assignment are proposed, showing that they outperform the existing ones by up to 23 percent of processor utilization in the case of local clocks. Finally, the influence of release jitter in this kind of EDF systems and the positive effects of eliminating it are also studied."",""1558-2183"","""",""10.1109/TPDS.2014.2359449"",""Spanish Government and FEDER(grant numbers:TIN2011-28567-C03-02)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6905828"",""Real-time distributed";real-time systems and embedded systems;"scheduling"",""Real-time systems";Scheduling;Processor scheduling;Algorithm design and analysis;Jitter;Analytical models;"Timing"","""",""13"","""",""32"",""IEEE"",""19 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Decentralized Computation Offloading Game for Mobile Cloud Computing,""X. Chen"",""School of Electrical, Computer and EnergyEngineering, Arizona State University, Tempe, AZ"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""974"",""983"",""Mobile cloud computing is envisioned as a promising approach to augment computation capabilities of mobile devices for emerging resource-hungry mobile applications. In this paper, we propose a game theoretic approach for achieving efficient computation offloading for mobile cloud computing. We formulate the decentralized computation offloading decision making problem among mobile device users as a decentralized computation offloading game. We analyze the structural property of the game and show that the game always admits a Nash equilibrium. We then design a decentralized computation offloading mechanism that can achieve a Nash equilibrium of the game and quantify its efficiency ratio over the centralized optimal solution. Numerical results demonstrate that the proposed mechanism can achieve efficient computation offloading performance and scale well as the system size increases."",""1558-2183"","""",""10.1109/TPDS.2014.2316834"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6787113"",""Mobile cloud computing";decentralized computation offloading;"game theory"",""Mobile handsets";Games;Cloud computing;Mobile communication;Wireless communication;Nash equilibrium;"Computational modeling"","""",""717"","""",""30"",""IEEE"",""11 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Design and Analysis of Compressive Data Persistence in Large-Scale Wireless Sensor Networks,""F. Liu"; M. Lin; Y. Hu; C. Luo;" F. Wu"",""School of Electronic and Information Engineering, Beihang University, Beijing, P.R. China"; School of Electronic and Information Engineering, Beihang University, Beijing, P.R. China; Internet Media Group, Microsoft Research Asia, Beijing, P.R. China; Internet Media Group, Microsoft Research Asia, Beijing, P.R. China;" Internet Media Group, Microsoft Research Asia, Beijing, P.R. China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2685"",""2698"",""This paper addresses the data persistence problem in wireless sensor networks (WSNs) where static sinks are not present and the sensed data have to be temporarily but resiliently stored in the network. Based on the observation that sensor readings are correlated, we propose compressive data persistence (CDP) scheme that makes use of the compressive sensing (CS) theory. Each sensor node independently computes and stores a random projection of the sensed data, such that a mobile sink can recover the data with high probability after visiting a small and random portion of the network. As a prerequisite of distributed CS encoding, sensor readings from all nodes are disseminated within the network through random walk. Therefore, the CS measurement matrix depends heavily on how the random walk is performed. In this paper, we present an in-depth analysis on the interplay between random walk parameters and sensing data characteristics, and derive the conditions in successful CS data recovery. In addition, we discover that there is a trade-off between the number of random walk instances and steps in order to achieve the required data persistence performance. Experiments using real sensor data verify that the proposed CDP scheme achieves much lower decoding ratio than the state-of-the-art Fountain code based schemes or the decentralized erasure codes based schemes, and demonstrate that there exist energy-optimized random walk parameters for CDP."",""1558-2183"","""",""10.1109/TPDS.2014.2360855"",""National Natural Science Foundation of China(grant numbers:61231013,61221061,60933012)"; Program for New Century Excellent Talents in University(grant numbers:NCET-09-0025); National Basic Research Program of China(grant numbers:2010CB731805);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913556"",""Wireless sensor networks";Compressive sensing;Data persistence;Random walk;Energy optimization;Wireless sensor networks;compressive sensing;data persistence;random walk;"energy optimization"",""Encoding";Sparse matrices;Wireless sensor networks;Vectors;Distributed databases;Mobile communication;"Sensors"","""",""20"","""",""39"",""IEEE"",""30 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Design of a Multithreaded Barnes-Hut Algorithm for Multicore Clusters,""J. Zhang"; B. Behzad;" M. Snir"",""Mathematics and Computer Science (MCS) Division, Argonne National Laboratory, Argonne"; Computer Science Department, University of Illinois at, Urbana, Urbana-Champaign;" Computer Science Department, University of Illinois at Urbana-Champaign, Urbana"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2015"",""2015"",""26"",""7"",""1861"",""1873"",""We describe in this paper an implementation of the Barnes-Hut algorithm on multicore clusters. Based on a partitioned global address space (PGAS) library, the design integrates intranode multithreading and internode one-sided communication, exemplifying a PGAS + X programming style. Within a node, the computation is decomposed into tasks (subtasks) and multitasking is used to hide network latency. We study the tradeoffs between locality in private caches and locality in shared caches and bring the insights into the design. As a result, our implementation consumes less memory per core, invokes less internode communication, and enjoys better load-balancing strategies. The final code achieves up to 41 percent performance improvement over a non-multithreaded counterpart. Through detailed comparison, we also show its advantages over other well-known Barnes-Hut implementations, both in programming complexity and in performance."",""1558-2183"","""",""10.1109/TPDS.2014.2331243"",""Department of Energy(grant numbers:DE-AC02-06CH11357)"; Office of Science(grant numbers:DE-AC02-06CH11357); Advanced Scientific Computing Research(grant numbers:DE-AC02-06CH11357); DOE(grant numbers:1205852);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6837521"",""Barnes-Hut";n-body;PGAS;cluster;"multicore"",""Instruction sets";Octrees;Force;Multicore processing;Algorithm design and analysis;Programming;"Synchronization"","""",""6"","""",""34"",""IEEE"",""17 Jun 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Design of Mixed Synchronous/Asynchronous Systems with Multiple Clocks,""Y. Jiang"; H. Zhang; H. Zhang; H. Liu; X. Song; M. Gu;" J. Sun"",""Department of Computer Science and Technology, TNLIST, KLiss, Tsinghua University, China"; School of Software, TNLIST, KLiss, Tsinghua University, China; School of Software, TNLIST, KLiss, Tsinghua University, China; School of Software, TNLIST, KLiss, Tsinghua University, China; Department of ECE, Portland State University, Portland, OR; School of Software, TNLIST, KLiss, Tsinghua University, China;" School of Software, TNLIST, KLiss, Tsinghua University, China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2220"",""2232"",""Today's distributed systems are commonly equipped with both synchronous and asynchronous components controlled with multiple clocks. The key challenges in designing such systems are (1) how to model multi-clocked local synchronous component, local asynchronous component, and asynchronous communication among components in a single framework. (2) how to ensure the correctness of model, and keep consistency between the model and the implementation of real system. In this paper, we propose a novel computation model named GalsBlock for the design of multi-clocked embedded system with both synchronous and asynchronous components. The computation model consists of several hierarchical compound and atom blocks communicating with data port connections. Each atom block can be refined as parallel mealy automata. The synchronous component can be captured in an atom block with the corresponding local control clock while the asynchronous component in an atom block without clock, and the asynchronous communications can be captured in the data port connections among blocks. The unified operational semantics and formal semantics are defined, which can be used for simulation and verification, respectively. Then, we can generate efficient VHDL code from the validated model, which can be synthesized into the FPGA processor for execution directly. We have developed the graphical modeling, simulation, verification, and code generation toolkit to support the computation model, and applied it in the design of a sub-system used in the real train communication control."",""1558-2183"","""",""10.1109/TPDS.2014.2346171"",""National Natural Science Foundation of China(grant numbers:61202010,91218302)"; National Key Technologies R&D Program(grant numbers:SQ2012BAJY4052); 973 Program(grant numbers:2010CB328003); Tsinghua University Initiative Scientific Research Program(grant numbers:20131089331);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6874581"",""Synchronous and asynchronous fusion system";computation model;"model validation and implementation"",""Ports (Computers)";Computational modeling;Atomic clocks;Automata;Semantics;"Compounds"","""",""32"",""4"",""35"",""IEEE"",""8 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Design, Implementation, and Evaluation of a NUMA-Aware Cache for iSCSI Storage Servers,""Y. Ren"; T. Li; D. Yu; S. Jin;" T. Robertazzi"",""Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY"; Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY; Computational Science Center, Brookhaven National Laboratory, Upton, NY; Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY;" Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2015"",""2015"",""26"",""2"",""413"",""422"",""In an iSCSI based storage area network, target hosts serve concurrent I/O requests from initiators to achieve both high throughput and low latency. Existing iSCSI leverages the OS page cache to ensure data sharing and reuse. However, the non-uniform memory access (NUMA) architecture introduces another dimension of complexity, i.e., asymmetric memory access in multi-core and many-core platforms. Within a NUMA platform, an iSCSI target often dispatches an access request with a cache hit to an I/O thread remote to cached data, and thus cannot fully utilize multi-core systems. We encounter this problem in the context of ultra high-speed data transfer between two iSCSI storage systems, during which inferior NUMA remote memory access lags behind available high network bandwidth, and thereby becomes a bottleneck of the entire end-to-end data transfer path. We design a NUMA-aware cache mechanism to align cache memory with local NUMA nodes and threads, and then schedule I/O requests to those threads that are local to the data being accessed. This NUMA-aware solution results in lower access latency and higher system throughput. We implement a cache system within the Linux SCSI target framework, and evaluated it on our NUMA-based iSCSI testbed. Experimental results show the NUMA-aware cache can significantly improve the performance of iSCSI as measured by several benchmark tools and confirm its viability in data intensive applications and real-life workloads."",""1558-2183"","""",""10.1109/TPDS.2014.2311817"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6767115"",""Non-uniform memory access";internet small computer system interface (iSCSI);storage area networks;multi-core architecture;"remote direct memory access"",""Instruction sets";Bandwidth;Servers;Throughput;Linux;"Storage area networks"","""",""7"","""",""27"",""IEEE"",""14 Mar 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Diagnosis of Performance Faults in LargeScale MPI Applications via Probabilistic Progress-Dependence Inference,""I. Laguna"; D. H. Ahn; B. R. d. Supinski; S. Bagchi;" T. Gamblin"",""Lawrence Livermore National Laboratory, Livermore, CA 94550"; Lawrence Livermore National Laboratory, Livermore, CA 94550; Lawrence Livermore National Laboratory, Livermore, CA 94550; Department of Electrical and Computer Engineering, Purdue University, 465 Northwestern Avenue, West Lafayette, IN 47907;" Lawrence Livermore National Laboratory, Livermore, CA 94550"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Apr 2015"",""2015"",""26"",""5"",""1280"",""1289"",""Debugging large-scale parallel applications is challenging. Most existing techniques provide little information about failure root causes. Further, most debuggers significantly slow down program execution, and run sluggishly with massively parallel applications. This paper presents a novel technique that scalably infers the tasks in a parallel program on which a failure occurred, as well as the code in which it originated. Our technique combines scalable runtime analysis with static analysis to determine the least-progressed task(s) and to identify the code lines at which the failure arose. We present a novel algorithm that infers probabilistically progress dependence among MPI tasks using a globally constructed Markov model that represents tasks' control-flow behavior. In comparison to previous work, our algorithm infers more precisely the least-progressed task. We combine this technique with static backward slicing analysis, further isolating the code responsible for the current state. A blind study demonstrates that our technique isolates the root cause of a concurrency bug in a molecular dynamics simulation, which only manifests itself at 7,996 tasks or more. We extensively evaluate fault coverage of our technique via fault injections in 10 HPC benchmarks and show that our analysis takes less than a few seconds on thousands of parallel tasks."",""1558-2183"","""",""10.1109/TPDS.2014.2314100"",""National Science Foundation(grant numbers:CNS-0916337)"; Department of Energy(grant numbers:DEAC52-07NA27344);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6803050"",""Distributed debugging";MPI;progress dependence;"parallel applications"",""Handheld computers";Debugging;Probabilistic logic;Algorithm design and analysis;Markov processes;Benchmark testing;"Computational modeling"","""",""9"","""",""30"",""IEEE"",""21 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Dimensional-Permutation-Based Independent Spanning Trees in Bijective Connection Networks,""B. Cheng"; J. Fan;" X. Jia"",""Provincial Key Laboratory for Computer Information Processing Technology, Soochow University, China"; School of Computer Science and Technology, Soochow University, Suzhou 215006, China;" Department of Computer Science, City University of Hong Kong, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""45"",""53"",""In recent years, there are many new findings on independent spanning trees (ISTs for short) in hypercubes, crossed cubes, locally twisted cubes, and Mobius cubes, which all belong to a more general network category called bijective connection networks (BC networks). However, little progress has been made for ISTs in general BC networks. In this paper, we first propose the definitions of conditional BC networks and V -dimensional-permutation. We then give a linear parallel algorithm of ISTs rooted at an arbitrary vertex in conditional BC networks, which include hypercubes, crossed cubes, locally twisted cubes, and Mobius cubes, based on the ascending circular dimensional-permutation, where the ISTs are all isomorphic to the binomial-like tree. In addition, we show that there exists an efficient algorithm to construct a spanning tree rooted at an arbitrary vertex in any BC network Xn, and all V-dimensional-permutations can be used to construct spanning trees isomorphic to the n-level binomial tree and rooted at an arbitrary vertex in Xn."",""1558-2183"","""",""10.1109/TPDS.2014.2307871"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6747363"",""Bijective connection network";independent spanning trees;reliable broadcasting;dimensional-permutation;"binomial tree"",""Hypercubes";Educational institutions;Parallel algorithms;Broadcasting;Manganese;Computer science;"Computers"","""",""20"","""",""46"",""IEEE"",""24 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Directional Diagnosis for Wireless Sensor Networks,""W. Gong"; K. Liu;" Y. Liu"",""School of Software and TNLIST, Tsinghua University, Beijing, China"; School of Software and TNLIST, Tsinghua University, Beijing, China;" School of Software and TNLIST, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Apr 2015"",""2015"",""26"",""5"",""1290"",""1300"",""Network diagnosis is crucial in managing a wireless sensor network (WSN) since many network-related faults, such as node and link failures, can easily happen. Diagnosis tools usually consist of two key components, information collection and root-cause deduction, while in most cases information collection process is independent with root-cause deduction. This results in either redundant information which might pose high communication burden on WSNs, or incomplete information for root-cause inference that leads false judgments. To address the issue, we propose DID, a directional diagnosis approach, in which the diagnosis information acquirement is guided by the fault inference process. Through several rounds of incremental information probing and fault reasoning, root causes of the network abnormalities with high credibility are deduced. We employ a node tracing scheme to reconstruct the topical topology of faulty regions and build the inference model accordingly. We implement the DID approach in our forest monitoring sensor network system, GreenOrbs. Experimental results validate the scalability and effectiveness of this design."",""1558-2183"","""",""10.1109/TPDS.2014.2308173"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6803037"",""Diagnosis";directional;"sensor networks"",""Topology";Network topology;Wireless sensor networks;Probes;Relays;Sensors;"Probabilistic logic"","""",""20"","""",""36"",""IEEE"",""21 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Disco: Improving Packet Delivery via Deliberate Synchronized Constructive Interference,""Y. Wang"; Y. Liu; Y. He; X. -Y. Li;" D. Cheng"",""School of Software and TNLIST, Tsinghua University, Beijing, P.R.China"; School of Software and TNLIST, Tsinghua University, Beijing, P.R.China; School of Software and TNLIST, Tsinghua University, Beijing, P.R.China; Department of Computer Science, Illinois Institute of Technology, Chicago, IL;" Department of Computer Science, Shandong Institute of Business and Technology, Yantai, P.R.China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Feb 2015"",""2015"",""26"",""3"",""713"",""723"",""Constructive interference (CI) enables concurrent transmissions to interfere non-destructively, so as to enhance network concurrency. In this paper, we propose deliberate synchronized constructive interference (Disco), which ensures concurrent transmissions of an identical packet to synchronize more precisely than traditional CI. Disco envisions concurrent transmissions to positively interfere at the receiver, and potentially allows orders of magnitude reductions in energy consumption and improvements in link quality. We also theoretically introduce a sufficient condition to construct Disco with IEEE 802.15.4 radio for the first time. Moreover, we propose Triggercast, a distributed middleware service, and show it is feasible to generate Disco on real sensor network platforms like TMote Sky. To synchronize transmissions of multiple senders at the chip level, Triggercast effectively compensates propagation and radio processing delays, and has 95th percentile synchronization errors of at most 250 ns. Triggercast also intelligently decides which co-senders to participate in simultaneous transmissions, and aligns their transmission time to maximize the overall link Packet Reception Ratio (PRR), under the condition of maximal system robustness. Extensive experiments in real testbeds demonstrate that Triggercast significantly improves PRR from 5 to 70 percent with seven concurrent senders. We also demonstrate that Triggercast provides 1.3χ PRR performance gains in average, when it is integrated with existing data forwarding protocols."",""1558-2183"","""",""10.1109/TPDS.2014.2312198"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6774898"",""Constructive interference";concurrent transmissions;data forwarding;"wireless sensor networks"",""Interference";Concurrent computing;Wireless sensor networks;Data models;Synchronization;Energy consumption;Sufficient conditions;"IEEE 802.15 Standards"","""",""23"","""",""22"",""IEEE"",""18 Mar 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Distributed Consensus-Based Weight Design for Cooperative Spectrum Sensing,""W. Zhang"; Y. Guo; H. Liu; Y. Chen; Z. Wang;" J. Mitola III"",""Western Digital Corporation, Irvine, CA"; Department of Electrical & Computer Engineering, Stevens Institute of Technology, Hoboken, NJ; Department of Computer Information and Technology, Indiana University-Purdue University Indianapolis, Indianapolis, IN; Department of Electrical & Computer Engineering, Stevens Institute of Technology, Hoboken, NJ; Department of Electrical & Computer Engineering, University of Toronto, Toronto, ON M5S 3G4, Canada;" Allied Communications, Boston, MA"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""54"",""64"",""We study the distributed spectrum sensing in cognitive radio networks. Existing distributed consensus-based fusion algorithms only ensure equal gain combining of local measurements, whose performance may be incomparable to various centralized soft combining schemes. Motivated by this fact, we consider practical channel conditions and link failures, and develop new weighted soft measurement combining without a centralized fusion center. Following the measurement by its energy detector, each secondary user exchanges its own measurement statistics with its local one-hop neighbors, and chooses the information exchanging rate according to the measurement channel condition, e.g., the signal-to-noise ratio (SNR). We rigorously prove the convergence of the new consensus algorithm, and show all secondary users hold the same global decision statistics from the weighted soft measurement combining throughout the network. We also provide distributed optimal weight design under uncorrelated measurement channels. The convergence rate of the consensus iteration is given under the assumption that each communication link has an independent probability to fail, and the upper bound of the iteration number of the $ \epsilon$ -convergence is explicitly given as a function of system parameters. Simulation results show significant improvement of the sensing performance compared to existing consensus-based approaches, and the performance of the distributed weighted design is comparable to the centralized weighted combining scheme."",""1558-2183"","""",""10.1109/TPDS.2014.2307951"",""National Science Foundation(grant numbers:CNS-1318748,IIS-1218155,CNS-0954020)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6747402"",""Cooperative spectrum sensing";Weighted average consensus;Cognitive radio networks;Cooperative spectrum sensing;weighted average consensus;"cognitive radio networks"",""Sensors";Weight measurement;Convergence;Algorithm design and analysis;Signal to noise ratio;Heuristic algorithms;"Diversity reception"","""",""46"","""",""30"",""IEEE"",""24 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Distributed Database Management Techniques for Wireless Sensor Networks,""O. Diallo"; J. J. P. C. Rodrigues; M. Sene;" J. Lloret"",""Department of Mathematics and Informatics, UCAD, Senegal"; University ITMO, Saint Petersburg, Russia; Department of Mathematics and Informatics, UCAD, Senegal;" Integrated Management Coastal Research Institute, Universidad Politécnica de Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2015"",""2015"",""26"",""2"",""604"",""620"",""In sensor networks, the large amount of data generated by sensors greatly influences the lifetime of the network. To manage this amount of sensed data in an energy-efficient way, new methods of storage and data query are needed. In this way, the distributed database approach for sensor networks is proved as one of the most energy-efficient data storage and query techniques. This paper surveys the state of the art of the techniques used to manage data and queries in wireless sensor networks based on the distributed paradigm. A classification of these techniques is also proposed. The goal of this work is not only to present how data and query management techniques have advanced nowadays, but also show their benefits and drawbacks, and to identify open issues providing guidelines for further contributions in this type of distributed architectures."",""1558-2183"","""",""10.1109/TPDS.2013.207"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6582416"",""Distributed database management";wireless sensor networks;distributed storage;query techniques;data reduction techniques;"query optimization"",""Wireless sensor networks";Distributed databases;Query processing;Approximation methods;Aggregates;Energy consumption;"Energy efficiency"","""",""73"",""1"",""106"",""IEEE"",""16 Aug 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
