"3D Perception With Slanted Stixels on GPU,""D. Hernandez-Juarez"; A. Espinosa; D. Vazquez; A. M. Lopez;" J. C. Moure"",""SLAMcore Ltd., London, SE1 1JA, U.K."; Universitat Autonoma de Barcelona, Bellaterra, Spain; Element AI, Montreal, QC, Canada; Universitat Autonoma de Barcelona, Bellaterra, Spain;" Universitat Autonoma de Barcelona, Bellaterra, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Apr 2021"",""2021"",""32"",""10"",""2434"",""2447"",""This article presents a GPU-accelerated software design of the recently proposed model of Slanted Stixels, which represents the geometric and semantic information of a scene in a compact and accurate way. We reformulate the measurement depth model to reduce the computational complexity of the algorithm, relying on the confidence of the depth estimation and the identification of invalid values to handle outliers. The proposed massively parallel scheme and data layout for the irregular computation pattern that corresponds to a Dynamic Programming paradigm is described and carefully analyzed in performance terms. Performance is shown to scale gracefully on current generation embedded GPUs. We assess the proposed methods in terms of semantic and geometric accuracy as well as run-time performance on three publicly available benchmark datasets. Our approach achieves real-time performance with high accuracy for 2048 × 1024 image sizes and 4 × 4 Stixel resolution on the low-power embedded GPU of an NVIDIA Tegra Xavier."",""1558-2183"","""",""10.1109/TPDS.2021.3067836"",""Ministerio de Economía, Industria y Competitividad(grant numbers:TIN2017-84553-C2-1-R)"; Antonio M. López(grant numbers:TIN2017-88709-R);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382880"",""Stereo vision";stixel world;autonomous vehicles;scene understanding;computer vision;embedded systems;"GPU acceleration"",""Graphics processing units";Semantics;Computational modeling;Real-time systems;Mathematical model;Image segmentation;"Indexes"","""","""","""",""34"",""CCBY"",""22 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Split Execution Model for SpTRSV,""N. Ahmad"; B. Yilmaz;" D. Unat"",""Department of Computer Science and Engineering, Koç University, Istanbul, Turkey"; Department of Computer Science, Istinye University, Istanbul, Turkey;" Department of Computer Science and Engineering, Koç University, Istanbul, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""24 May 2021"",""2021"",""32"",""11"",""2809"",""2822"",""Sparse Triangular Solve (SpTRSV) is an important and extensively used kernel in scientific computing. Parallelism within SpTRSV depends upon matrix sparsity pattern and, in many cases, is non-uniform from one computational step to the next. In cases where the SpTRSV computational steps have contrasting parallelism characteristics- some steps are more parallel, others more sequential in nature, the performance of an SpTRSV algorithm may be limited by the contrasting parallelism characteristics. In this work, we propose a split-execution model for SpTRSV to automatically divide SpTRSV computation into two sub-SpTRSV systems and an SpMV, such that one of the sub-SpTRSVs has more parallelism than the other. Each sub-SpTRSV is then computed using different SpTRSV algorithms, which are possibly executed on different platforms (CPU or GPU). By analyzing the SpTRSV Directed Acyclic Graph (DAG) and matrix sparsity features, we use a heuristics-based approach to (i) automatically determine the suitability of an SpTRSV for split-execution, (ii) find the appropriate split-point, and (iii) execute SpTRSV in a split fashion using two SpTRSV algorithms while managing any required inter-platform communication. Experimental evaluation of the execution model on two CPU-GPU machines with a matrix dataset of 327 matrices from the SuiteSparse Matrix Collection shows that our approach correctly selects the fastest SpTRSV method (split or unsplit) for 88 percent of matrices on the Intel Xeon Gold (6148) + NVIDIA Tesla V100 and 83 percent on the Intel Core I7 + NVIDIA G1080 Ti platform achieving speedups up to 10x and 6.36x respectively."",""1558-2183"","""",""10.1109/TPDS.2021.3074501"",""Aramco Overseas Company"; Saudi Aramco;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9409717"",""Sparse triangular solve";CPU-GPU computing;heterogeneous computing;sparse linear systems;SpTRSV;"SpTS"",""Sparse matrices";Parallel algorithms;Computational modeling;Kernel;Graphics processing units;Fats;"Phased arrays"","""",""4"","""",""45"",""IEEE"",""20 Apr 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A Survey of System Architectures and Techniques for FPGA Virtualization,""M. H. Quraishi"; E. B. Tavakoli;" F. Ren"",""School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA"; School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA;" School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2021"",""2021"",""32"",""9"",""2216"",""2230"",""FPGA accelerators are gaining increasing attention in both cloud and edge computing because of their hardware flexibility, high computational throughput, and low power consumption. However, the design flow of FPGAs often requires specific knowledge of the underlying hardware, which hinders the wide adoption of FPGAs by application developers. Therefore, the virtualization of FPGAs becomes extremely important to create a useful abstraction of the hardware suitable for application developers. Such abstraction also enables the sharing of FPGA resources among multiple users and accelerator applications, which is important because, traditionally, FPGAs have been mostly used in single-user, single-embedded-application scenarios. There are many works in the field of FPGA virtualization covering different aspects and targeting different application areas. In this article, we review the system architectures used in the literature for FPGA virtualization. In addition, we identify the primary objectives of FPGA virtualization, based on which we summarize the techniques for realizing FPGA virtualization. This article helps researchers to efficiently learn about FPGA virtualization research by providing a comprehensive review of the existing literature."",""1558-2183"","""",""10.1109/TPDS.2021.3063670"",""Cisco Research Center(grant numbers:CG#1490376)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369140"",""FPGA";virtualization;architecture;accelerator;"reconfiguration"",""Field programmable gate arrays";Virtualization;Hardware;Cloud computing;Computer architecture;Edge computing;"Systems architecture"","""",""15"","""",""84"",""IEEE"",""3 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A Thread Level SLO-Aware I/O Framework for Embedded Virtualization,""X. Gong"; D. Cao; Y. Li; X. Liu; Y. Li; J. Zhang;" T. Li"",""College of Computer Science, Nankai University, Tianjin, China"; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China;" College of Computer Science, Nankai University, Tianjin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2020"",""2021"",""32"",""3"",""500"",""513"",""With the development of virtualization technology, it is practical and necessary to integrate virtual machine software into embedded systems. I/O scheduling is important for embedded systems, because embedded systems always face different situations and their requests have more diversity on the requirement of real-time and importance. However, the semantic information associated with the I/O data is completely lost when crossing the virtualized I/O software stack. Here, we present an I/O scheduling framework to connect the semantic gap between the application threads in virtual machines and hardware schedulers in the host machine. Therefore, the details for the I/O request can be passed through the layers of the software stack and each layer can get the specific information about the device environment. Also, various scheduling points have been provided to implement different I/O strategies. Our framework was implemented based on Linux operating system, KVM, QEMU and virtio protocol. A prototype scheduler, Orthrus, was implemented to evaluate the effectiveness of the framework. Comprehensive experiments were conducted and the results show that our framework can guarantee the real-time requirements, and reserve more system resources for critical tasks, with negligible memory consumption and throughput overhead."",""1558-2183"","""",""10.1109/TPDS.2020.3026042"",""National Key Research and Development Program of China(grant numbers:2018YFB1003405)"; National Natural Science Foundation of China(grant numbers:61702286); Natural Science Foundation of Tianjin, China(grant numbers:18JCYBJC15600);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204842"",""Embedded system";I/O virtualization;I/O scheduling;SLO-Aware;"semantic gap"",""Virtualization";Semantics;Real-time systems;Virtual machining;Hardware;"Embedded systems"","""",""2"","""",""36"",""IEEE"",""23 Sep 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Two-Phase Dynamic Throughput Optimization Model for Big Data Transfers,""M. S. Q. Z. Nine";" T. Kosar"",""Department of Computer Science and Engineering, University at Buffalo, Buffalo, USA";" Department of Computer Science and Engineering, University at Buffalo, Buffalo, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2020"",""2021"",""32"",""2"",""269"",""280"",""The amount of data transferred over dedicated and non-dedicated network links has been increasing much faster than the increase in the network capacity. On the other hand, the current data transfer solutions fail to guarantee even the promised achievable transfer throughput. In this article, we propose a novel two-phase dynamic throughput optimization model based on mathematical modeling with offline knowledge discovery/analysis and adaptive online decision making. In the offline analysis, we mine historical transfer logs to perform knowledge discovery about the transfer characteristics. The online phase uses the discovered knowledge from the offline analysis along with the real-time investigation of the network condition to optimize the protocol parameters. As the real-time investigation is expensive and provides partial knowledge about the current network status, our model uses historical knowledge about the network and data characteristics to reduce the real-time investigation overhead while ensuring near-optimal throughput for each transfer. Our novel approach is tested over different networks with different datasets, and it has outperformed its closest competitor by 1.7x and the default case by 5x. It also achieved up to 93 percent accuracy compared to the optimal achievable throughput possible on those networks."",""1558-2183"","""",""10.1109/TPDS.2020.3012929"",""National Science Foundation(grant numbers:OAC-1724898)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153004"",""Throughput optimization";big data transfers;offline analysis;dynamic learning;"protocol tuning"",""Throughput";Protocols;Data transfer;Data models;Bandwidth;Optimization;"Real-time systems"","""",""5"","""",""38"",""IEEE"",""31 Jul 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Unified Framework for Flexible Playback Latency Control in Live Video Streaming,""G. Zhang"; J. Y. B. Lee; K. Liu; H. Hu;" V. Aggarwal"",""Department of Electronic and Information Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong"; Department of Information Engineering, The Chinese University of Hong Kong, Shatin, NT, Hong Kong; State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Department of Electronic and Information Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong;" School of Industrial Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jun 2021"",""2021"",""32"",""12"",""3024"",""3037"",""Live video streaming has seen tremendous growth in the past decade. An important fact in live streaming is that the demand for low playback-latency inherently conflicts with the desire for high QoE. This requires different types of live services to seek different latency-QoE tradeoffs according to their service-requirements. However, our investigations revealed that it is fundamentally difficult for existing streaming algorithms to keep consistent latency in changing network conditions, let alone achieve the service-desired latency-QoE tradeoff. To tackle the challenge, this article develops a novel framework called Flexible Latency Aware Streaming (FLAS) that not only can achieve consistent low latency, but also control the latency-QoE tradeoff flexibly. Specifically, FLAS generates a set of adaptation logics offline, each optimized for a candidate tradeoff point, then selects the most appropriate one to run online. We first show how FLAS can be applied to optimizing the existing algorithms, then developed a novel Genetic Programming approach to fully exploit FLAS's potential. Extensive evaluations show that FLAS can precisely control latency all the way down to 1s and achieve substantially higher QoE than state-of-the-arts. FLAS can be readily implemented into real streaming platforms, offering a practical and reliable solution for live-streaming services."",""1558-2183"","""",""10.1109/TPDS.2021.3083202"",""Centre for Advances in Reliability and Safety Limited"; National Natural Science Foundation of China(grant numbers:62072439); National Key Research and Development Program of China(grant numbers:2016YFB1000200); Natural Science Foundation of Shandong Province(grant numbers:ZR2019LZH004); Beijing Municipal Natural Science Foundation(grant numbers:4212028); State Key Laboratory of Computer Architecture Innovation Fund(grant numbers:carch4503);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9439873"",""Video streaming";genetic programming;quality-of-experience;"video reliability"",""Streaming media";Quality of experience;Throughput;Bit rate;3G mobile communication;"Video recording"","""",""2"","""",""43"",""IEEE"",""24 May 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Accelerating Binarized Neural Networks via Bit-Tensor-Cores in Turing GPUs,""A. Li";" S. Su"",""High-Performance Computing Group, Pacific Northwest National Laboratory (PNNL), Richland, WA, USA";" U.S. Army Research Laboratory (ARL), DoD Supercomputing Resource Center, Aberdeen Proving Ground, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1878"",""1891"",""Despite foreseeing tremendous speedups over conventional deep neural networks, the performance advantage of binarized neural networks (BNNs) has merely been showcased on general-purpose processors such as CPUs and GPUs. In fact, due to being unable to leverage bit-level-parallelism with a word-based architecture, GPUs have been criticized for extremely low utilization (1 percent) when executing BNNs. Consequently, the latest tensorcores in NVIDIA Turing GPUs start to experimentally support bit computation. In this article, we look into this brand new bit computation capability and characterize its unique features. We show that the stride of memory access can significantly affect performance delivery and a data-format co-design is highly desired to support the tensorcores for achieving superior performance than existing software solutions without tensorcores. We realize the tensorcore-accelerated BNN design, particularly the major functions for fully-connect and convolution layers - bit matrix multiplication and bit convolution. Evaluations on two NVIDIA Turing GPUs show that, with ResNet-18, our BTC-BNN design can process ImageNet at a rate of 5.6K images per second, 77 percent faster than state-of-the-art. Our BNN approach is released on https://github.com/pnnl/TCBNN."",""1558-2183"","""",""10.1109/TPDS.2020.3045828"",""PNNL's DMC-CFA"; DS-HPC LDRD projects; U.S. DOE SC, ASCR(grant numbers:66150);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9303370"","""",""Graphics processing units";Hardware;Convolution;Synchronization;Tensors;Libraries;"Field programmable gate arrays"","""",""13"","""",""75"",""IEEE"",""22 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Accelerating End-to-End Deep Learning Workflow With Codesign of Data Preprocessing and Scheduling,""Y. Cheng"; D. Li; Z. Guo; B. Jiang; J. Geng; W. Bai; J. Wu;" Y. Xiong"",""Tsinghua University, Beijing, China"; Tsinghua University, Beijing, China; Beihang University, Beijing, China; Microsoft Research, Beijing, China; Tsinghua University, Beijing, China; Microsoft Research, Beijing, China; Tsinghua University, Beijing, China;" Microsoft Research, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1802"",""1814"",""In this article, we investigate the performance bottleneck of existing deep learning (DL) systems and propose DLBooster to improve the running efficiency of deploying DL applications on GPU clusters. At its core, DLBooster leverages two-level optimizations to boost the end-to-end DL workflow. On the one hand, DLBooster selectively offloads some key decoding workloads to FPGAs to provide high-performance online data preprocessing services to the computing engine. On the other hand, DLBooster reorganizes the computational workloads of training neural networks with the backpropagation algorithm and schedules them according to their dependencies to improve the utilization of GPUs at runtime. Based on our experiments, we demonstrate that compared with baselines, DLBooster can improve the image processing throughput by 1.4× - 2.5× and reduce the processing latency by 1/3 in several real-world DL applications and datasets. Moreover, DLBooster consumes less than 1 CPU core to manage FPGA devices at runtime, which is at least 90 percent less than the baselines in some cases. DLBooster shows its potential to accelerate DL workflows in the cloud."",""1558-2183"","""",""10.1109/TPDS.2020.3047966"",""National Key Research and Development Program of China(grant numbers:2018YFB1800500)"; Key Areas of Guangdong Province(grant numbers:2018B010113001); National Natural Science Foundation of China(grant numbers:61772305);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310194"",""Deep learning";data preprocessing;workload offloading;computation scheduling;"FPGAs"",""Data preprocessing";Training;Field programmable gate arrays;Task analysis;Graphics processing units;Artificial neural networks;"Hardware"","""",""4"","""",""62"",""IEEE"",""29 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Accelerating Federated Learning Over Reliability-Agnostic Clients in Mobile Edge Computing Systems,""W. Wu"; L. He; W. Lin;" R. Mao"",""Department of Computer Science, University of Warwick, Coventry, U.K."; Department of Computer Science, University of Warwick, Coventry, U.K.; School of Computer Science and Engineering, South China University of Technology, Guangzhou, Guangdong Province, China;" College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, Guangdong Province, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1539"",""1551"",""Mobile Edge Computing (MEC), which incorporates the Cloud, edge nodes, and end devices, has shown great potential in bringing data processing closer to the data sources. Meanwhile, Federated learning (FL) has emerged as a promising privacy-preserving approach to facilitating AI applications. However, it remains a big challenge to optimize the efficiency and effectiveness of FL when it is integrated with the MEC architecture. Moreover, the unreliable nature (e.g., stragglers and intermittent drop-out) of end devices significantly slows down the FL process and affects the global model's quality in such circumstances. In this article, a multi-layer federated learning protocol called HybridFL is designed for the MEC architecture. HybridFL adopts two levels (the edge level and the cloud level) of model aggregation enacting different aggregation strategies. Moreover, in order to mitigate stragglers and end device drop-out, we introduce regional slack factors into the stage of client selection performed at the edge nodes using a probabilistic approach without identifying or probing the state of end devices (whose reliability is agnostic). We demonstrate the effectiveness of our method in modulating the proportion of clients selected and present the convergence analysis for our protocol. We have conducted extensive experiments with machine learning tasks in different scales of MEC system. The results show that HybridFL improves the FL training process significantly in terms of shortening the federated round length, speeding up the global model's convergence (by up to 12×) and reducing end device energy consumption (by up to 58 percent)."",""1558-2183"","""",""10.1109/TPDS.2020.3040867"",""Worldwide Byte Security Information Technology Company Ltd."; Guangdong Project(grant numbers:2018B030325002); Key-Area Research and Development Program of Guangdong Province(grant numbers:2020B010164003); Guangzhou Science and Technology Program key projects(grant numbers:202007040002,201902010040); Guangzhou Development Zone Science and Technology(grant numbers:2018GH17);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272671"",""Federated learning";mobile edge computing;distributed computing;"machine learning"",""Protocols";Data models;Training;Cloud computing;Performance evaluation;Distributed databases;"Computer architecture"","""",""38"","""",""25"",""IEEE"",""26 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Accelerating Gossip-Based Deep Learning in Heterogeneous Edge Computing Platforms,""R. Han"; S. Li; X. Wang; C. H. Liu; G. Xin;" L. Y. Chen"",""Beijing Institute of Technology, Beijing, P. R. China"; Beijing Institute of Technology, Beijing, P. R. China; Beijing Institute of Technology, Beijing, P. R. China; Beijing Institute of Technology, Beijing, P. R. China; Beijing Institute of Technology, Beijing, P. R. China;" Delft University of Technology. Mekelweg 5, Delft, The Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1591"",""1602"",""With the exponential growth of data created at the network edge, decentralized and Gossip-based training of deep learning (DL) models on edge computing (EC) gains tremendous research momentum, owing to its capability to learn from resource-strenuous edge nodes with limited network connectivity. Today's edge devices are extremely heterogeneous, e.g., hardware and software stacks, and result in high performance variation of training time and inducing extra delay to synchronize and converge. The large body of prior art accelerates DL, being data or model parallelization, via a centralized server, e.g., parameter server scheme, which may easily turn into the system bottleneck or single point of failure. In this artice, we propose EdgeGossip, a framework specifically designed to accelerate the training process of decentralized and Gossip-based DL training for heterogeneous EC platforms. EdgeGossip features on: (i) low performance variation among multiple EC platforms during iterative training, and (ii) accuracy-aware training to fastly obtain best possible model accuracy. We implement EdgeGossip based on popular Gossip algorithms and demonstrate its effectiveness using real-world DL workloads, i.e., considerably reducing model training time by an average of 2.70 times while only incurring accuracy losses of 0.78 percent."",""1558-2183"","""",""10.1109/TPDS.2020.3046440"",""National Key Research and Development Plan of China(grant numbers:2018YFB1003701,2018YFB1003700)"; National Natural Science Foundation of China(grant numbers:61872337); Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung(grant numbers:407540_167266);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9303468"",""Deep learning";decentralized training;gossip;"edge computing"",""Training";Data models;Computational modeling;Peer-to-peer computing;Distributed databases;Acceleration;"Servers"","""",""15"","""",""49"",""IEEE"",""22 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Accelerating Large-Scale Prioritized Graph Computations by Hotness Balanced Partition,""S. Gong"; Y. Zhang;" G. Yu"",""School of Computer Science and Engineering, Northeastern University, Shenyang, China"; School of Computer Science and Engineering, Northeastern University, Shenyang, China;" School of Computer Science and Engineering, Northeastern University, Shenyang, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Nov 2020"",""2021"",""32"",""4"",""746"",""759"",""Prioritized computation is shown promising performance for a large class of graph algorithms. It prioritizes the execution of some vertices that play important roles in determining convergence. For large-scale distributed graph processing, graph partitioning is an important preprocessing step that aims to balance workload and to reduce communication costs between workers. However, existing graph partitioning methods are designed for round-robin synchronous distributed frameworks. They balance workload without distinction of vertex importance and fail to consider the characteristics of priority-based scheduling, which may limit the benefit of prioritized graph computation. In this article, to accelerate prioritized iterative graph computations, we propose Hotness Balanced Partition (HBP). In prioritized graph computation, high priority vertices are likely to be executed more frequently and are likely to pass more messages, which result in hot vertices. Based on this observation, we partition graph by distributing vertices with distinction according to their hotness rather than blindly distributing vertices with equal weights, aiming to evenly distribute the hot vertices among workers. We further provide two HBP algorithms: a streaming-based algorithm for efficient one-pass processing and a distributed algorithm for distributed processing. Our results show that our proposed partitioning methods outperform the state-of-the-art partitioning methods, Fennel, HotGraph, and SNE."",""1558-2183"","""",""10.1109/TPDS.2020.3032709"",""National Key R&D Program of China(grant numbers:2018YFB1003404)"; National Natural Science Foundation of China(grant numbers:62072082,61672141,U1811261); Fundamental Research Funds for the Central Universities(grant numbers:N181605017,N181604016); Key R&D Program of Liaoning Province(grant numbers:2020JH 2/10100037);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234696"",""Hotness balanced partition";graph partitioning;"distributed computing"",""Processor scheduling";Partitioning algorithms;Runtime;Scheduling;Computational modeling;Google;"Optimal scheduling"","""",""3"","""",""50"",""IEEE"",""21 Oct 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Accelerating the Bron-Kerbosch Algorithm for Maximal Clique Enumeration Using GPUs,""Y. -W. Wei"; W. -M. Chen;" H. -H. Tsai"",""Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"; Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan;" Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Apr 2021"",""2021"",""32"",""9"",""2352"",""2366"",""Maximal clique enumeration (MCE) is a classic problem in graph theory to identify all complete subgraphs in a graph. In prior MCE work, the Bron-Kerbosch algorithm is one of the most popular solutions, and there are several improved algorithms proposed on CPU platforms. However, while few studies have focused on the related issue of parallel implementation, recently, there have been numerous explorations of the acceleration of general purpose applications using a graphics processing unit (GPU) to reduce the computing power consumption. In this article, we develop a GPU-based Bron-Kerbosch algorithm that efficiently solves the MCE problem in parallel by optimizing the process of subproblem decomposition and computing resource usage. To speed up the computations, we use coalesced memory accesses and warp reductions to increase bandwidth and reduce memory latency. Our experimental results show that the proposed algorithm can fully exploit the resources of GPU architectures, allowing for the vast acceleration of operations to solve the MCE problem."",""1558-2183"","""",""10.1109/TPDS.2021.3067053"",""Ministry of Science Technology(grant numbers:MOST 107-2221-E-011-015-MY2)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381690"",""Maximal clique";parallel computing;"GPU"",""Graphics processing units";Computer architecture;Time complexity;Task analysis;Central Processing Unit;Acceleration;"Upper bound"","""",""6"","""",""28"",""IEEE"",""18 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Accurate Differentially Private Deep Learning on the Edge,""R. Han"; D. Li; J. Ouyang; C. H. Liu; G. Wang; D. Wu;" L. Y. Chen"",""Beijing Institute of Technology, Beijing, China"; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China; University of Florida, Gainesville, FL, USA;" TU Delft, Delft, The Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2021"",""2021"",""32"",""9"",""2231"",""2247"",""Deep learning (DL) models are increasingly built on federated edge participants holding local data. To enable insight extractions without the risk of information leakage, DL training is usually combined with differential privacy (DP). The core theme is to tradeoff learning accuracy by adding statistically calibrated noises, particularly to local gradients of edge learners, during model training. However, this privacy guarantee unfortunately degrades model accuracy due to edge learners' local noises, and the global noise aggregated at the central server. Existing DP frameworks for edge focus on local noise calibration via gradient clipping techniques, overlooking the heterogeneity and dynamic changes of local gradients, and their aggregated impact on accuracy. In this article, we present a systematical analysis that unveils the influential factors capable of mitigating local and aggregated noises, and design PrivateDL to leverage these factors in noise calibration so as to improve model accuracy while fulfilling privacy guarantee. PrivateDL features on: (i) sampling-based sensitivity estimation for local noise calibration and (ii) combining large batch sizes and critical data identification in global training. We implement PrivateDL on the popular Laplace/Gaussian DP mechanisms and demonstrate its effectiveness using Intel BigDL workloads, i.e., considerably improving model accuracy by up to 5X when comparing against existing DP frameworks."",""1558-2183"","""",""10.1109/TPDS.2021.3064345"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9372811"",""Deep learning";differential privacy;federated learning;"model accuracy"",""Training";Privacy;Data models;Sensitivity;Differential privacy;Biological system modeling;"Servers"","""",""5"","""",""65"",""IEEE"",""8 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Achieving Fine-Grained Flow Management Through Hybrid Rule Placement in SDNs,""G. Zhao"; H. Xu; J. Fan; L. Huang;" C. Qiao"",""School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China"; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; Department of Computer Science & Engineering, University at Buffalo, Buffalo, NY, USA; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China;" Department of Computer Science & Engineering, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2020"",""2021"",""32"",""3"",""728"",""742"",""Fine-grained flow management is useful in many practical applications, e.g., resource allocation, anomaly detection and traffic engineering. However, it is difficult to provide fine-grained management for a large number of flows in SDNs due to switches' limited flow table capacity. While using wildcard rules can reduce the number of flow entries needed, it cannot fully ensure fine-grained management for all the flows without degrading application performance. In this article, we design and implement hybrid rule placement for fine-grained flow management (to be referred to as HiFi here after). HiFi achieves fine-grained management with a minimal number of flow entries through taking a two-step approach: wildcard entry installment and application-specific exact-match entry installment. How to optimally install wildcard and exact-match flow entries, however, is intractable. Therefore, we design approximation algorithms with bounded factors to solve these problems. We consider how to achieve network-wide load balancing via fine-grained flow management as a case study. Both experiment on a testbed built with open virtual switches and extensive simulation show that HiFi can reduce the number of required flow entries by about 45-69 percent and reduce the control overhead by about 28-50 percent compared with the state-of-the-art approaches for achieving fine-grained flow management."",""1558-2183"","""",""10.1109/TPDS.2020.3030630"",""National Science Foundation of China(grant numbers:61822210,61936015,U1709217)"; Anhui Initiative in Quantum Information Technologies(grant numbers:AHY150300);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222349"",""Software defined networks";fine-grained management;wildcard entry;exact-match entry;"approximation"",""Control systems";Software;Approximation algorithms;Resource management;Monitoring;Mice;"Erbium"","""",""14"","""",""55"",""IEEE"",""13 Oct 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
