"Memory-Efficient and Skew-Tolerant MapReduce Over MPI for Supercomputing Systems,""T. Gao"; Y. Guo; B. Zhang; P. Cicotti; Y. Lu; P. Balaji;" M. Taufer"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA; NVIDIA, San Diego, USA; National Supercomputing Center in Guangzhou, China; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2020"",""2020"",""31"",""12"",""2734"",""2748"",""Data analytics has become an integral part of large-scale scientific computing. Among various data analytics frameworks, MapReduce has gained the most traction. Although some efforts have been made to enable efficient MapReduce for supercomputing systems, they are often limited to fairly homogeneous workloads where equal partitioning of input data across tasks results in essentially equal output or temporary data generated on each task. For workloads that are more skewed, however, current implementations can result in imbalance in memory usage and, consequently, can cause a slowdown in execution time and a loss in data scalability. To tackle this problem, we enhance a previously published memory-conscious MapReduce over MPI framework called Mimir. Our enhancements to Mimir include combiner and dynamic repartition optimizations to minimize and balance memory usage and to achieve close to optimal balance of the memory usage across processes and to reduce the execution time by up to 12 times. Experimental results show that Mimir can scale to at least 3072 processes on the Tianhe-2 supercomputer on skewed datasets."",""1558-2183"","""",""10.1109/TPDS.2019.2932066"",""U.S. Department of Energy(grant numbers:DE-AC02-06CH11357)"; National Science Foundation(grant numbers:#1318445,#1318417,#1841758); National Key R&D Project in China(grant numbers:2016YFB1000302); National Natural Science Foundation of China(grant numbers:U1611261,NSFC61402503); Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2016ZT06D211); China Scholarship Council; National Science Foundation(grant numbers:ACI-1053575);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103270"",""Skew mitigation";load balancing;high-performance computing;data analytics;MapReduce;memory efficiency;"performance and scalability"",""Supercomputers";Data models;Optimization;Programming;Operating systems;Aggregates;"Data analysis"","""",""4"","""",""38"",""CCBY"",""28 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Bandwidth-Aware Dynamic Prefetch Configuration for IBM POWER8,""C. Navarro"; J. Feliu; S. Petit; M. E. Gómez;" J. Sahuquillo"",""Departamento de Informática de Sistemas y Computadores, Universitat Politècnica de València, Valencia, Spain"; Departamento de Informática de Sistemas y Computadores, Universitat Politècnica de València, Valencia, Spain; Departamento de Informática de Sistemas y Computadores, Universitat Politècnica de València, Valencia, Spain; Departamento de Informática de Sistemas y Computadores, Universitat Politècnica de València, Valencia, Spain;" Departamento de Informática de Sistemas y Computadores, Universitat Politècnica de València, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Apr 2020"",""2020"",""31"",""8"",""1970"",""1982"",""Advanced hardware prefetch engines are being integrated in current high-performance processors. Prefetching can boost the performance of most applications, however, the induced bandwidth consumption can lead the system to a high contention for main memory bandwidth, which is a scarce resource in current multicores. In such a case, the system performance can be severely damaged. This article characterizes the applications’ behavior in an IBM POWER8 machine, which presents many prefetch settings, varying the bandwidth contention. The study reveals that the best prefetch setting for each application depends on the main memory bandwidth availability, that is, it depends on the co-running applications. Based on this study, we propose Bandwidth-Aware Prefetch Configuration (BAPC) a scalable adaptive prefetching algorithm that improves the performance of multi-program workloads. BAPC increases the performance of the applications in a 12, 15, and 16 percent of 6-, 8-, and 10-application workloads over the IBM POWER8 default configuration. In addition, BAPC reduces bandwidth consumption in 39, 42, and 45 percent, respectively."",""1558-2183"","""",""10.1109/TPDS.2020.2982392"",""Ministerio de Ciencia, Innovación y Universidades and the European(grant numbers:RTI2018-098156-B-C51)"; Generalitat Valenciana(grant numbers:AICO/2019/317); Universitat Politècnica de València(grant numbers:SP20180140);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044389"",""Prefetch engine";prefetch settings;"performance measures"",""Prefetching";Bandwidth;Interference;Hardware;Engines;"Memory management"","""",""5"","""",""29"",""IEEE"",""23 Mar 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Boosting the Performance of SSDs via Fully Exploiting the Plane Level Parallelism,""C. Gao"; L. Shi; K. Liu; C. J. Xue; J. Yang;" Y. Zhang"",""College of Computer Science, Chongqing University, Chongqing, P.R. China"; School of Computer Science and Technology, East China Normal University, Shanghai, P.R. China; College of Computer Science, Chongqing University, Chongqing, P.R. China; Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong; University of Pittsburgh, Pittsburgh, USA;" University of Pittsburgh, Pittsburgh, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 May 2020"",""2020"",""31"",""9"",""2185"",""2200"",""Solid state drives (SSDs) are constructed with multiple level parallel organization, including channels, chips, dies, and planes. Among these parallel levels, plane level parallelism, which is the last level parallelism of SSDs, has the most strict restrictions. Only the same type of operations that access the same address in different planes can be processed in parallel. In order to maximize the access performance, several previous works have been proposed to exploit the plane level parallelism for host accesses and internal operations of SSDs. However, our preliminary studies show that the plane level parallelism is farfrom well utilized and should be further improved. The reason is that the strict restrictions of plane level parallelism are hard to be satisfied. In this article, a from plane to die parallel optimization framework is proposed to exploit the plane level parallelism through smartly satisfying the strict restrictions all the time. In order to achieve the objective, there are at least two challenges. First, due to that host access patterns are always complex, receiving multiple same-type requests to different planes at the same time is uncommon. Second, there are many internal activities, such as garbage collection (GC), which may destroy the restrictions. In order to solve above challenges, two schemes are proposed in the SSD controller: First, a die level write construction scheme is designed to make sure there are always N pages of data written by each write operation. Second, in a further step, a die level GC scheme is proposed to activate GC in the unit of all planes in the same die. Combing the die level write and die level GC, write accesses from both host write operations and GC induced valid page movements can be processed in parallel at all time. To further improve the performance of SSDs, host write operations blocked by GCs are suggested to be processed in parallel with GC induced valid page movements, bringing lesser waiting time cost of host write operations. As a result, the GC cost and average write latency can be significantly reduced. Experiment results show that the proposed framework is able to significantly improve the write performance without read performance impact."",""1558-2183"","""",""10.1109/TPDS.2020.2987894"",""National Natural Science Foundation of China(grant numbers:61772092,61872049)"; NSF(grant numbers:1910413,1617071,1725657,1718080); Research Grants Council of the Hong Kong Special Administrative Region, China(grant numbers:CityU 11219319); Frontier Interdisciplinary Research Funds for the Central Universities(grant numbers:2018CDQYJSJ0034);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068501"",""SSD";parallelism;storage;"scheduling, performance improvement"",""Parallel processing";Organizations;Random access memory;Computer science;Resource management;Optimization;"Solid state drives"","""",""9"","""",""55"",""IEEE"",""15 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Cartesian Partitioning Models for 2D and 3D Parallel SpGEMM Algorithms,""G. V. Demirci";" C. Aykanat"",""Department of Computer Engineering, Bilkent University, Ankara, Turkey";" Department of Computer Engineering, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jun 2020"",""2020"",""31"",""12"",""2763"",""2775"",""The focus is distributed-memory parallelization of sparse-general-matrix-multiplication (SpGEMM). Parallel SpGEMM algorithms are classified under one-dimensional (1D), 2D, and 3D categories denoting the number of dimensions by which the 3D sparse workcube representing the iteration space of SpGEMM is partitioned. Recently proposed successful 2D- and 3D-parallel SpGEMM algorithms benefit from upper bounds on communication overheads enforced by 2D and 3D cartesian partitioning of the workcube on 2D and 3D virtual processor grids, respectively. However, these methods are based on random cartesian partitioning and do not utilize sparsity patterns of SpGEMM instances for reducing the communication overheads. We propose hypergraph models for 2D and 3D cartesian partitioning of the workcube for further reducing the communication overheads of these 2D- and 3D- parallel SpGEMM algorithms. The proposed models utilize two- and three-phase partitioning that exploit multi-constraint hypergraph partitioning formulations. Extensive experimentation performed on 20 SpGEMM instances by using upto 900 processors demonstrate that proposed partitioning models significantly improve the scalability of 2D and 3D algorithms. For example, in 2D-parallel SpGEMM algorithm on 900 processors, the proposed partitioning model respectively achieves 85 and 42 percent decrease in total volume and total number of messages, leading to 1.63 times higher speedup compared to random partitioning, on average."",""1558-2183"","""",""10.1109/TPDS.2020.3000708"",""Türkiye Bilimsel ve Teknolojik Araştirma Kurumu(grant numbers:EEEAG-115E512)"; National Center for High Performance Computing of Turkey(grant numbers:4005992019);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9110752"",""Sparse matrix-matrix multiplication";SpGEMM;sparse SUMMA SpGEMM;split-3D-SpGEMM;hypergraph partitioning;communication cost;bandwidth;"latency"",""Partitioning algorithms";Two dimensional displays;Three-dimensional displays;Solid modeling;Sparse matrices;Computational modeling;"Upper bound"","""",""4"","""",""40"",""IEEE"",""8 Jun 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"cCUDA: Effective Co-Scheduling of Concurrent Kernels on GPUs,""S. . -K. Shekofteh"; H. Noori; M. Naghibzadeh; H. Fröning;" H. S. Yazdi"",""Department of Computer Engineering, Ferdowsi University of Mashhad, Mashhad, Iran"; Department of Computer Engineering, Ferdowsi University of Mashhad, Mashhad, Iran; Department of Computer Engineering, Ferdowsi University of Mashhad, Mashhad, Iran; Institute of Computer Engineering, Ruprecht-Karls University of Heidelberg, Heidelberg, Germany;" Department of Computer Engineering, Ferdowsi University of Mashhad, Mashhad, Iran"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2020"",""2020"",""31"",""4"",""766"",""778"",""While GPUs are meantime omnipresent for many scientific and technical computations, they still continue to evolve as processors. An important recent feature is the ability to execute multiple kernels concurrently via queue streams. However, experiments show that different parameters including the behavior of kernels, the order of kernel launches and other execution configurations, e.g., the number of concurrent thread blocks, may result in different execution time for concurrent kernel execution. Since kernels may have different resource requirements, they can be classified into different classes, which are traditionally assumed as either memory-bound or compute-bound. However, a kernel may belong to the different classes on different hardware according to the hardware resources. In this paper, the definition of kernel mix intensity is introduced. Based on this, a scheduling framework called concurrent CUDA (cCUDA) is proposed to co-schedule the concurrent kernels more efficiently. It first profiles and ranks kernels with different execution behaviors and then takes the kernel resource requirements into account to partition thread blocks of different kernels and overlap them to better utilize the GPU resources. Experimental results on real hardware demonstrate performance improvement in terms of execution time of up to 1.86x, and an average speedup of 1.28x for a wide range of kernels. cCUDA is available at https://github.com/kshekofteh/cCUDA."",""1558-2183"","""",""10.1109/TPDS.2019.2944602"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8853389"",""Kernel";scheduling;concurrent kernel execution;stream;"resource management"",""Kernel";Graphics processing units;Benchmark testing;Hardware;Scheduling;"Analytical models"","""",""14"","""",""41"",""IEEE"",""30 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Coded Load Balancing in Cache Networks,""M. J. Siavoshani"; F. Parvaresh; A. Pourmiri;" S. P. Shariatpanahi"",""Department of Computer Engineering, Sharif University of Technology, Tehran, Iran"; Department of Electrical Engineering, University of Isfahan, Isfahan, Iran; Department of Software Engineering, University of Isfahan, Isfahan, Iran;" School of Computer Science, Institute for Research in Fundamental Sciences (IPM), Tehran, Iran"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jan 2020"",""2020"",""31"",""2"",""347"",""358"",""We consider load balancing problem in a cache network consisting of storage-enabled servers forming a distributed content delivery scenario. Previously proposed load balancing solutions cannot perfectly balance out requests among servers, which is a critical issue in practical networks. Therefore, in this paper, we investigate a coded cache content placement where coded chunks of original files are stored in servers based on the files popularity distribution. In our scheme, upon each request arrival at the delivery phase, by dispatching enough coded chunks to the request origin from the nearest servers, the requested file can be decoded. Here, we show that if n requests arrive randomly at n servers, the proposed scheme results in the maximum load of O(1) in the network. This result is shown to be valid under various assumptions for the underlying network topology. Our results should be compared to the maximum load of two baseline schemes, namely, nearest replica and power of two choices strategies, which are O(log n) and O(log log n), respectively. This finding shows that using coding, results in a considerable load balancing performance improvement, without compromising communications cost performance. This is confirmed by performing extensive simulation results, in non-asymptotic regimes as well."",""1558-2183"","""",""10.1109/TPDS.2019.2933839"",""IPM(grant numbers:95680425)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8792130"",""Distributed caching servers";content delivery networks;coded caching;request routing;load balancing;"communication cost"",""Servers";Load management;Measurement;Encoding;Network topology;Wireless communication;"Content distribution networks"","""",""2"","""",""35"",""IEEE"",""8 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Combinatorial Auctions for Temperature-Constrained Resource Management in Manycores,""H. Khdr"; M. Shafique; S. Pagani; A. Herkersdorf;" J. Henkel"",""Computer Science Department, Karlsruher Institut für Technologie,, Karlsruhe, Germany"; Department of Computer Engineering, Technische Universitat Wien, Wien, Austria; Central Engineering – Media, Arm Ltd., Cambridge, United Kingdom; Lehrstuhl für Integrierte Systeme, Technische Universität München, München, Germany;" Karlsruher Institut für Technologie, Karlsruhe, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Feb 2020"",""2020"",""31"",""7"",""1605"",""1620"",""Although manycore processors have plenty of cores, not all of them may run simultaneously at full speed and even some of them might need to be power-gated in order to keep the chip within safe temperature limits. Hence, a resource management technique, that allocates cores to application aiming at maximizing the system performance, will not be able to achieve its goal without taking into account the on-chip temperature and its impact on the availability of the chip's resources. However, considering a temperature constraint by the resource management will further increase its complexity, especially in manycores, and thus implementing it in a centralized scheme might lead to a computation bottleneck and a single point of failure. To avoid such scenarios, it is inevitable to distribute the computation required by the resource management technique throughout the chip. In this article, we propose a distributed resource management technique that considers temperature as an essential factor in allocating cores to applications and determining the power states of these cores and their voltage/frequency levels, while taking into account the performance models of the applications in order to maximize the overall system performance under a temperature constraint. Our proposed technique employs, for the first time, combinatorial auctions within an agent system to achieve the targeted goal in a distributed manner. The experimental evaluations show that our proposed technique achieves significant performance improvements with an average of 41% compared to several distributed resource management techniques."",""1558-2183"","""",""10.1109/TPDS.2020.2965523"",""Deutsche Forschungsgemeinschaft(grant numbers:146371743)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955960"",""Performance optimization";DVFS;temperature-aware design;system-level optimization;"runtime resource management"",""Resource management";System performance;Distributed management;Optimization;Thermal management;Steady-state;"Temperature"","""",""5"","""",""37"",""IEEE"",""10 Jan 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Combining Size-Based Load Balancing with Round-Robin for Scalable Low Latency,""J. Anselmi"",""INRIA Bordeaux Sud Ouest (Team: CQFD), Talence, France"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2020"",""2020"",""31"",""4"",""886"",""896"",""When dispatching jobs to parallel servers, or queues, the highly scalable round-robin (RR) scheme reduces the variance of interarrival times at all queues to a great extent but has no impact on the variances of service processes. Contrariwise, size-interval task assignment (SITA) routing has little impact on the variances of interarrival times but makes the service processes as deterministic as possible. In this paper, we unify both `static' approaches to design a scalable load balancing framework able to control the variances of the arrival and service processes jointly. It turns out that the resulting combination significantly improves performance and is able to drive the mean job delay to zero in the large-system limit";" it is known that this property is not achieved when both approaches are considered separately. Within realistic parameters, we show that the optimal number of size intervals that partition the support of the job size distribution is small with respect to the system size. This enhances the applicability of the proposed load balancing scheme at a large scale. In fact, we find that adding a little bit of information about job sizes to a dispatcher operating under RR improves performance a lot. Under the optimal scaling of size intervals and assuming highly variable job sizes, numerical simulations indicate that the proposed algorithm is competitive with the (less scalable) join-the-shortest-workload algorithm even when the system size grows large."",""1558-2183"","""",""10.1109/TPDS.2019.2950621"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8889411"",""Dispatching policies";size-based routing;performance;"asymptotic optimality"",""Dispatching";Servers;Load management;Routing;Heuristic algorithms;Queueing analysis;"Task analysis"","""",""8"","""",""30"",""IEEE"",""31 Oct 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Comment on “A Tag Encoding Scheme Against Pollution Attack to Linear Network Coding”,""J. Chang"; B. Shao; Y. Ji;" G. Bian"",""School of Information and Control Engineering, Xi'An University of Architecture and Technology, Xi'An, P.R. China"; School of Management, Xi'An University of Architecture and Technology, Xi'An, P.R. China; School of Management, Xi'An University of Architecture and Technology, Xi'An, P.R. China;" School of Information and Control Engineering, Xi'An University of Architecture and Technology, Xi'An, P.R. China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Jun 2020"",""2020"",""31"",""11"",""2618"",""2619"",""In 2014, Wu et al. proposed a tag encoding scheme, named KEPTE, to protect network coding against pollution attack. They also carefully analyzed the security of KEPTE based on the transmission of a data file through their key-pre-distributed network. In this article, we point out that their security analysis only holds for single data file transmitted in this network. If multiple files are multicasted though it, then any adversary may completely recover source node's signing key. A concrete example says that, after pre-distributing 90 keys to all the nodes in the network, it only allows to securely transmit (at most) 3 data files. More importantly, this scheme is completely insecure in standard security model for network model since the adversary is allowed to make polynomial times queries on any data files of its choice before outputting its final forgery. Finally, we also propose a twisted KEPTE scheme that is secure against any eavesdropping adversary no matter how many data files it has queried."",""1558-2183"","""",""10.1109/TPDS.2020.2999523"",""National Natural Science Foundation of China(grant numbers:61672416,61672059,61872284)"; Natural Science Research in Shaanxi(grant numbers:2018JM6105,2019JM118);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9106826"",""Network coding";tag encoding;pollution attack;"KEPTE-scheme"",""Security";Network coding;Encoding;Eavesdropping;Pollution;Mathematical model;"Data models"","""",""6"","""",""5"",""IEEE"",""2 Jun 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Compression Ratio Modeling and Estimation across Error Bounds for Lossy Compression,""J. Wang"; T. Liu; Q. Liu; X. He; H. Luo;" W. He"",""Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, USA"; Department of Computer and Information Sciences, Temple University, Philadelphia, USA; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, USA; Department of Computer and Information Sciences, Temple University, Philadelphia, USA; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, USA;" Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Mar 2020"",""2020"",""31"",""7"",""1621"",""1635"",""Scientific simulations on high-performance computing (HPC) systems generate vast amounts of floating-point data that need to be reduced in order to lower the storage and I/O cost. Lossy compressors trade data accuracy for reduction performance and have been demonstrated to be effective in reducing data volume. However, a key hurdle to wide adoption of lossy compressors is that the trade-off between data accuracy and compression performance, particularly the compression ratio, is not well understood. Consequently, domain scientists often need to exhaust many possible error bounds before they can figure out an appropriate setup. The current practice of using lossy compressors to reduce data volume is, therefore, through trial and error, which is not efficient for large datasets which take a tremendous amount of computational resources to compress. This paper aims to analyze and estimate the compression performance of lossy compressors on HPC datasets. In particular, we predict the compression ratios of two modern lossy compressors that achieve superior performance, SZ and ZFP, on HPC scientific datasets at various error bounds, based upon the compressors' intrinsic metrics collected under a given base error bound. We evaluate the estimation scheme using twenty real HPC datasets and the results confirm the effectiveness of our approach."",""1558-2183"","""",""10.1109/TPDS.2019.2938503"",""National Science Foundation(grant numbers:CCF-1718297,CCF-1812861)"; Nanjing Institute of Technology; National Science Foundation(grant numbers:1828363,1813081);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821342"",""High-performance computing";lossy compression;data reduction;"performance modeling"",""Compressors";Data models;Measurement;Computational modeling;Estimation;Market research;"Predictive models"","""",""8"","""",""35"",""IEEE"",""30 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Concurrent Irrevocability in Best-Effort Hardware Transactional Memory,""R. Titos-Gil"; R. Fernández-Pascual; A. Ros;" M. E. Acacio"",""Department Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain"; Department Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain; Department Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain;" Department Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Jan 2020"",""2020"",""31"",""6"",""1301"",""1315"",""Existing best-effort requester-wins implementations of transactional memory must resort to non-speculative execution to provide forward progress in the presence of transactions that exceed hardware capacity, experience page faults or suffer high-contention leading to livelocks. Current approaches to irrevocability employ lock-based synchronization to achieve mutual exclusion when executing a transaction non-speculatively, conservatively precluding concurrency with any other transactions in order to guarantee atomicity at the cost of degrading performance. In this article, we propose a new form of concurrent irrevocability whose goal is to minimize the loss of concurrency paid when transactions resort to irrevocability to complete. By enabling optimistic concurrency control also during non-speculative execution of a transaction, our proposal allows for higher parallelism than existing schemes. We describe the extensions to the instruction set to provide concurrent irrevocable transactions as well as the architectural extensions required to realize them on a best-effort HTM system without requiring any modification to the cache coherence protocol. Our evaluation shows that our proposal achieves an average reduction of 12.5 percent in execution time across the STAMP benchmarks, with 15.8 percent on average for highly contended workloads."",""1558-2183"","""",""10.1109/TPDS.2019.2963030"",""Spanish MCIU and AEI"; European Commission(grant numbers:RTI2018-098156-B-C53);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945317"",""Parallel programming";multicore architectures;"transactional memory"",""Hardware";Proposals;Benchmark testing;Synchronization;Concurrent computing;Software;"Concurrency control"","""",""2"","""",""25"",""IEEE"",""30 Dec 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Congestion-Balanced and Welfare-Maximized Charging Strategies for Electric Vehicles,""Q. Tang"; K. Wang; K. Yang;" Y. -s. Luo"",""Hunan Provincial Key Laboratory of Intelligent Processing of Big Data on Transportation, School of Computer Science and Communication Engineering, Changsha University of Science and Technology, Changsha, China"; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, United Kingdon; School of Computer Science and Electronic Engineering, University of Essex, Essex, United Kingdon;" Hunan Provincial Key Laboratory of Intelligent Processing of Big Data on Transportation, School of Computer Science and Communication Engineering, Changsha University of Science and Technology, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Jul 2020"",""2020"",""31"",""12"",""2882"",""2895"",""With the increase of the number of electric vehicles (EVs), it is of vital importance to develop the efficient and effective charging scheduling schemes for all the EVs. In this article, we aim to maximize the social welfare of all the EVs, charging stations (CSs) and power plant (PP), by taking into account the changing demand of each EV, the changing price, the capacity and the congestion balance between different CSs. To this end, two efficient scheduling algorithms, i.e., Centralized Charging Strategy (CCS) and Distributed Charging Strategy (DCS) are proposed. CCS has a slightly better performance than the DCS, as it takes all the information and make the decision in the central control unit. On the other hand, DCS dose not require the private information from EVs and can make decentralized decision. Extensive simulation are conducted to verify the effectiveness of the proposed algorithms, in terms of the performance, congestion balance, and computing complexity."",""1558-2183"","""",""10.1109/TPDS.2020.3003270"",""National Natural Science Foundation of China(grant numbers:61620106011,61772087)"; Zhongshan City Team Project(grant numbers:180809162197874); Outstanding Youth Project of Hunan Province Education Department(grant numbers:18B162); Changsha University of Science and Technology(grant numbers:2018IC23);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9120172"",""Social welfare maximization";congestion balance;charging strategy;"electric vehicle"",""Cascading style sheets";Optimization;Charging stations;Power grids;Pricing;Electric vehicles;"Stochastic processes"","""",""33"","""",""43"",""IEEE"",""18 Jun 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Cooperative Memory Expansion via OS Kernel Support for Networked Computing Systems,""P. Srinuan"; X. Yuan;" N. -F. Tzeng"",""School of Computing and Informatics, University of Louisiana, Lafayette, USA"; School of Computing and Informatics, University of Louisiana, Lafayette, USA;" School of Computing and Informatics, University of Louisiana, Lafayette, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Jun 2020"",""2020"",""31"",""11"",""2650"",""2667"",""The growing popularity of in-memory computing for bigdata analytics often causes performance bottlenecks to memory subsystem resided in operating systems (OS). This article purposes cooperative memory expansion (COMEX), an OS kernel extension. COMEX establishes a stable pool of memory collectively across nodes in a cluster and enhances OS's memory subsystem for memory aggregation from connected machines by allowing process's page table to track remote memory page frames without programmer effort or modifications to application codes. COMEX employs Remote Direct Memory Access (RDMA) for low-latency data transfer with destination kernel bypassed and does not rely on an old design of the I/O block subsystem usually adopted by all known remote paging. COMEX fits soundly in the emerging system design approach of resource disaggregation which breaks hard walls between server-centric machines into a new design paradigm of separated resource pools. The new architecture facilitates both system scaling-up and scaling-out, also eliminates imbalance resources existing in datacenters. We have implemented COMEX based on Linux kernel 3.10.87 and deployed on our 32 networked servers. Performance evaluation results under ten applications from two benchmark suites reveal the speedup of up to 170 times when application execution footprints are 10 times larger than available system memory."",""1558-2183"","""",""10.1109/TPDS.2020.2999507"",""National Science Foundation(grant numbers:CCF-1423302,CNS-1527051,III-1763620)"; Louisiana Board of Regents(grant numbers:LEQSF(2018-21)-RD-A-24);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9107499"",""I/O block devices";memory management;networked computer systems;operating systems (OS);page tables;"remote direct memory access (RDMA)"",""Memory management";Kernel;Servers;Random access memory;Slabs;"Performance evaluation"","""",""3"","""",""70"",""CCBY"",""3 Jun 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
