"Broadcast protocols for distributed systems,""P. M. Melliar-Smith"; L. E. Moser;" V. Agrawala"",""Department of Electrical and Computer Engineering and the Department of Computer Science, University of California, Santa Barbara, CA, USA"; Department of Electrical and Computer Engineering and the Department of Computer Science, University of California, Santa Barbara, CA, USA;" Department of Electrical and Computer Engineering and the Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""17"",""25"",""An innovative approach is presented to the design of fault-tolerant distributed systems that avoids the several rounds of message exchange required by current protocols for consensus agreement. The approach is based on broadcast communication over a local area network, such as an Ethernet or a token ring, and on two novel protocols, the Trans protocol, which provides efficient reliable broadcast communication, and the Total protocol, which with high probability promptly places a total order on messages and achieves distributed agreement even in the presence of fail-stop, omission, timing, and communication faults. Reliable distributed operations, such as locking, update, and commitment, typically require only a single broadcast message rather than the several tens of messages required by current algorithms.<>"",""1558-2183"","""",""10.1109/71.80121"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80121"","""",""Broadcasting";Multicast protocols;Local area networks;Telecommunication network reliability;Fault tolerant systems;Computer science;Distributed databases;Ethernet networks;Token networks;"Timing"","""",""174"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Constant time algorithms for the transitive closure and some related graph problems on processor arrays with reconfigurable bus systems,""B. . -F. Wang";" G. . -H. Chen"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan";" Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""500"",""507"",""The transitive closure problem in O(1) time is solved by a new method that is far different from the conventional solution method. On processor arrays with reconfigurable bus systems, two O(1) time algorithms are proposed for computing the transitive closure of an undirected graph. One is designed on a three-dimensional n*n*n processor array with a reconfigurable bus system, and the other is designed on a two-dimensional n/sup 2/*n/sup 2/ processor array with a reconfigurable bus system, where n is the number of vertices in the graph. Using the O(1) time transitive closure algorithms, many other graph problems are solved in O(1) time. These problems include recognizing bipartite graphs and finding connected components, articulation points, biconnected components, bridges, and minimum spanning trees in undirected graphs.<>"",""1558-2183"","""",""10.1109/71.80177"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80177"","""",""Concurrent computing";Automata;Bridges;Tree graphs;Switches;Algorithm design and analysis;Communication switching;Bipartite graph;Parallel algorithms;"Time sharing computer systems"","""",""133"","""",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Deciding properties of timed transition models,""J. S. Ostroff"",""Department of Computer Science, York University, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""170"",""183"",""Real-time distributed systems are modeled by a times transition model (TTM). For any finite-state TTM, decision procedures are provided for checking a small but important class of properties (specified in real-time temporal logic). The procedures are linear in the size of the system reachability graph. The class of properties includes invariance, precedence, eventuality and real-time response specifications.<>"",""1558-2183"","""",""10.1109/71.80145"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80145"","""",""Real time systems";Time to market;Logic;Safety;Concurrent computing;Computational modeling;Clocks;Heart;Aerospace electronics;"Performance analysis"","""",""84"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Depth-first search approach for fault-tolerant routing in hypercube multicomputers,""M. . -S. Chen";" K. G. Shin"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""152"",""159"",""Using depth-first search, the authors develop and analyze the performance of a routing scheme for hypercube multicomputers in the presence of an arbitrary number of faulty components. They derive an exact expression for the probability of routing messages by way of optimal paths (of length equal to the Hamming distance between the corresponding pair of nodes) from the source node to an obstructed node. The obstructed node is defined as the first node encountered by the message that finds no optimal path to the destination node. It is noted that the probability of routing messages over an optimal path between any two nodes is a special case of the present results and can be obtained by replacing the obstructed node with the destination node. Numerical examples are given to illustrate the results, and they show that, in the presence of component failures, depth-first search routing can route a message to its destination by means of an optimal path with a very high probability.<>"",""1558-2183"","""",""10.1109/71.80143"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80143"","""",""Fault tolerance";Routing;Hypercubes;Hamming distance;Performance analysis;Parallel processing;Concurrent computing;Application software;Computer network reliability;"Telecommunication network reliability"","""",""119"",""2"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Design and implementation of a Petri net based toolkit for Ada tasking analysis,""S. M. Shatz"; K. Mai; C. Black;" S. Tu"",""Department of Electrical Engineering and Computer Science, University of Illinois, Chicago, Chicago, IL, USA"; AT and T Bell Laboratories, Inc., Naperville, IL, USA; Department of Electrical Engineering and Computer Science, University of Illinois, Chicago, Chicago, IL, USA;" Department of Electrical Engineering and Computer Science, University of Illinois, Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""424"",""441"",""The use of Petri nets for defining a general static analysis framework for Ada tasking is advocated. The framework has evolved into a collection of tools that have proven to be a very valuable platform for experimental research. The design and implementation of tools that make up the tasking-oriented toolkit for the Ada language (TOTAL) are defined and discussed. Modeling and query/analysis methods and tools are discussed. Example Ada tasking programs are used to demonstrate the utility of each tool individually as well as the way the tools integrate. TOTAL is divided into two major subsystems, the front-end translator subsystem (FETS) and the back-end information display subsystem (BIDS). Three component tools that make up FETS are defined. Examples demonstrate the way these tools integrate in order to perform the translation of Ada source to Petri-net format. The BIDS subsystem and, in particular, the use of tools and techniques to support user-directed, but transparent, searches of Ada-net reachability graphs are discussed.<>"",""1558-2183"","""",""10.1109/71.80172"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80172"","""",""Concurrent computing";Distributed computing;Petri nets;Software tools;Software prototyping;Production;Testing;Packaging;System recovery;"History"","""",""39"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Design, analysis, and simulation of I/O architectures for hypercube multiprocessors,""A. L. N. Reddy";" P. Banerjee"",""Department of Electrical and Computer Engineering and the Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Department of Electrical and Computer Engineering and the Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""140"",""151"",""Several issues concerning the design of an I/O (input/output) system for a multiprocessor such as a hypercube are examined. A methodology is proposed for connecting the I/O processors to such a system for efficient I/O access. The effect of I/O communication on the multiprocessor network is analyzed. Different disk organizations that can be employed within such a system are evaluated to see which organization has a better performance. It is observed that parallelism in serving an I/O request plays a dominant role in the scientific workload. The problem of mapping specific data structures such as matrices onto the disks so that the data can be accessed efficiently is considered.<>"",""1558-2183"","""",""10.1109/71.80142"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80142"","""",""Analytical models";Hypercubes;Joining processes;Hardware;Distributed computing;Data structures;Message passing;Fault tolerance;Concurrent computing;"Topology"","""",""24"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Designing efficient parallel algorithms on mech-connected computers with multiple broadcasting,""Y. . -C. Chen"; W. . -T. Chen; G. . -H. Chen;" J. . -P. Sheu"",""Institute of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"; Institute of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan;" Department of Electrical Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""241"",""246"",""Semigroup and prefix computations on two-dimensional mesh-connected computers with multiple broadcasting (2-MCCMBs) are studied. Previously, only square 2-MCCMBs with N processing elements were considered for semigroup computations of N data items, and O(N/sup 1/6/) time was required. It is found that square machines are not the best form for semigroup computations, and an O(N/sup 1/8/)-time algorithm is derived on an N/sup 5/8/*N/sup 3/8/ rectangular 2-MCCMB. This time complexity can be further reduced to O(N/sup 1/9/) if fewer processing elements are used. Parallel algorithms for prefix computations with the same time complexities are derived.<>"",""1558-2183"","""",""10.1109/71.80135"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80135"","""",""Algorithm design and analysis";Parallel algorithms;Concurrent computing;Broadcasting;Computer architecture;Nearest neighbor searches;Computer science;Hardware;Parallel processing;"Very large scale integration"","""",""52"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Efficient algorithms for list ranking and for solving graph problems on the hypercube,""K. W. Ryu";" J. Jaja"",""Department of Computer Science and the Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA";" Department of Electrical Engineering, the Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""83"",""90"",""A hypercube algorithm to solve the list ranking problem is presented. Let n be the length of the list, and let p be the number of processors of the hypercube. The algorithm described runs in time O(n/p) when n= Omega (p/sup 1+ epsilon /) for any constant epsilon >0, and in time O(n log n/p+log/sup 3/ p) otherwise. This clearly attains a linear speedup when n= Omega (p/sup 1+ epsilon /). Efficient balancing and routing schemes had to be used to achieve the linear speedup. The authors use these techniques to obtain efficient hypercube algorithms for many basic graph problems such as tree expression evaluation, connected and biconnected components, ear decomposition, and st-numbering. These problems are also addressed in the restricted model of one-port communication.<>"",""1558-2183"","""",""10.1109/71.80127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80127"","""",""Hypercubes";Ear;Computer architecture;Routing;Tree graphs;Load management;Parallel machines;Joining processes;Topology;"Pipeline processing"","""",""18"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Efficient scheduling algorithms for real-time multiprocessor systems,""K. Ramamritham"; J. A. Stankovic;" P. . -F. Shiah"",""Department of Computer and Information Science, University of Massachusetts, Amherst, MA, USA"; Department of Computer and Information Science, University of Massachusetts, Amherst, MA, USA;" Department of Computer and Information Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""184"",""194"",""Efficient scheduling algorithms based on heuristic functions are developed for scheduling a set of tasks on a multiprocessor system. The tasks are characterized by worst-case computation times, deadlines, and resources requirements. Starting with an empty partial schedule, each step of the search extends the current partial schedule by including one of the tasks yet to be scheduled. The heuristic functions used in the algorithm actively direct the search for a feasible schedule, i.e. they help choose the task that extends the current partial schedule. Two scheduling algorithms are evaluated by simulation. To extend the current partial schedule, one of the algorithms considers, at each step of the search, all the tasks that are yet to be scheduled as candidates. The second focuses its attention on a small subset of tasks with the shortest deadlines. The second algorithm is shown to be very effective when the maximum allowable scheduling overhead is fixed. This algorithm is hence appropriate for dynamic scheduling in real-time systems.<>"",""1558-2183"","""",""10.1109/71.80146"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80146"","""",""Scheduling algorithm";Real time systems;Multiprocessing systems;Optimal scheduling;Processor scheduling;Dynamic scheduling;Power generation;Aerospace control;Aerospace electronics;"Polynomials"","""",""237"",""26"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Error recovery in shared memory multiprocessors using private caches,""K. . -L. Wu"; W. K. Fuchs;" J. H. Patel"",""Computer Systems Group, Coordinated Science Laboratory, University of Illinois, Urbana, IL, USA"; Computer Systems Group, Coordinated Science Laboratory, University of Illinois, Urbana, IL, USA;" Computer Systems Group, Coordinated Science Laboratory, University of Illinois, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""231"",""240"",""The problem of recovering from processor transient faults in shared memory multiprocessor systems is examined. A user-transparent checkpointing and recovery scheme using private caches is presented. Processes can recover from errors due to faulty processors by restarting from the checkpointed computation state. Implementation techniques using checkpoint identifiers and recovery stacks are examined as a means of reducing performance degradation in processor utilization during normal execution. This cache-based checkpointing technique prevents rollback propagation, provides rapid recovery, and can be integrated into standard cache coherence protocols. An analytical model is used to estimate the relative performance of the scheme during normal execution. Extensions to take error latency into account are presented.<>"",""1558-2183"","""",""10.1109/71.80134"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80134"","""",""Checkpointing";Parallel processing;Hardware;Multiprocessing systems;Protocols;Delay;Concurrent computing;Application software;NASA;"Degradation"","""",""50"",""14"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Experimental application-driven architecture analysis of an SIMD/MIMD parallel processing system,""E. C. Bronson"; T. L. Casavant;" L. H. Jamieson"",""School of Electrical Engineering, Purdue University, West Lafayette, IN, USA"; Department of Electrical and Computer Engineering, University of Iowa, Iowa, IA, USA;" School of Electrical Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""195"",""205"",""An experimental analysis of the architecture of an SIMD/MIMD parallel processing system is presented. Detailed implementations of parallel fast Fourier transform (FFT) programs were used to examine the performance of the prototype of the PASM (Partitionable SIMD/MIMD) parallel processing system. Detailed execution-time measurements using specialized timing hardware were made for the complete FFT and for components of SIMD, MIMD, and barrier-synchronized MIMD implementations. The component measurements isolated the effects of floating-point arithmetic operations, interconnection network transfer operations, and program control overhead. The measurements allow an accurate extrapolation of the execution time, speedup, and efficiency of the MIMD, SIMD, and barrier-synchronized MIMD programs to a full 1024-processor PASM system. This constitutes one of the first results of this kind, in which controlled experiments on fixed hardware were used to make comparisons of these fundamental modes of computing. Overall, the experimental results demonstrate the value of mixed-mode SIMD/MIMD computing and its suitability for computational intensive algorithms such as the FET.<>"",""1558-2183"","""",""10.1109/71.80147"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80147"","""",""Parallel processing";Hardware;Fast Fourier transforms;Prototypes;Timing;Floating-point arithmetic;Multiprocessor interconnection networks;Velocity measurement;Time measurement;"Extrapolation"","""",""31"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
