"A Comprehensive Performance Model of Sparse Matrix-Vector Multiplication to Guide Kernel Optimization,""T. Xia"; G. Fu; C. Li; Z. Luo; L. Zhang; R. Chen; W. Zhao; N. Zheng;" P. Ren"",""College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China;" College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Dec 2022"",""2023"",""34"",""2"",""519"",""534"",""Sparse Matrix-Vector Multiplication (SpMV) is important in scientific and industrial applications and remains a well-known challenge for modern CPUs due to high sparsity and irregularity. Many researchers try to improve SpMV performance by designing dedicated data formats and computation patterns. However, out-of-order superscalar CPUs have complex micro-architectures where exist complicated interactions and restrictions among software and hardware factors. It is hard to systematically study the effectiveness of optimization methods on the overall performance, as its benefits may be undermined by other factors. In this paper, we thoroughly study the execution of SpMV on modern CPUs and propose a comprehensive performance model to reveal the critical factors and their relationships. Specifically, we first study the coding characteristics of SpMV kernels to identify key factors worthy of attention. Then we model the execution of SpMV as two overlapped parts: CPU pipeline and memory latency. Both are carefully modeled with related hardware and software factors. We also model SIMD performance with the usage of specific SIMD instructions and vector registers. Experiments show that our model matches the actual execution of real-world processors. Guided by the model, we propose SpV8, a novel SpMV kernel that optimizes critical factors to improve computation efficiency and memory bandwidth. Experiments on Intel/AMD x86 and ARM AArch64 platforms show that SpV8 outperforms several state-of-the-art approaches with large margins, achieving average $3.4\times$3.4× over Intel Math Kernel Library and $1.4\times$1.4× over the best existing approach. Such results indicate that the proposed model is capable of valuable guidance for efficient SpMV optimizations."",""1558-2183"","""",""10.1109/TPDS.2022.3225230"",""National Key Research and Development Program of China(grant numbers:2021YFB0300900)"; National Natural Science Foundation of China(grant numbers:62088102); Key Research and Development Projects of Shaanxi Province(grant numbers:2022ZDLGY01-08);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964419"",""Optimization";performance model;sparse-vector matrix multiplication;"SIMD"",""Pipelines";Kernel;Sparse matrices;Computational modeling;Memory management;Software;"Optimization"","""",""1"","""",""29"",""IEEE"",""28 Nov 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"AdaptChain: Adaptive Scaling Blockchain With Transaction Deduplication,""J. Xu"; Q. Xie; S. Peng; C. Wang;" X. Jia"",""Department of Computer Science, City University of Hong Kong, Hong Kong"; City University of Hong Kong, Dongguan, China; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong;" Department of Computer Science, City University of Hong Kong, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2023"",""2023"",""34"",""6"",""1909"",""1922"",""Although existing schemes improve blockchain throughput by allowing concurrent blocks to be appended to the blockchain, little attention has been devoted to adjusting blockchain throughput dynamically and deduplicating transactions between concurrent blocks. In this article, we propose AdaptChain, an adaptive scaling blockchain with transaction deduplication. When the transaction demand of users in the network is high, the blockchain expands to meet the demand";" when the transaction demand is low, the blockchain shrinks to save communication and storage costs. Our transaction deduplication mechanism ensures that no duplicate transactions are added to the blockchain, thereby improving bandwidth utilization and achieving higher effective throughput. Besides, we randomly split the mining power of the system to achieve mining power load balancing and resist attacks. We formally analyze the blockchain security and implement the proposed prototype on Amazon EC2. Experimental results show that AdaptChain achieves dynamic and higher effective blockchain throughput."",""1558-2183"","""",""10.1109/TPDS.2023.3267071"",""Hong Kong RGC(grant numbers:CityU 11213920,11218521,R1012-21,C2004-21G)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102556"",""Distributed system";blockchain scalability;load balancing;transaction deduplication;"consensus protocol"",""Blockchains";Throughput;Peer-to-peer computing;Consensus protocol;Load management;Safety;"Bandwidth"","""","""","""",""27"",""IEEE"",""14 Apr 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Adaptive Data Placement in Multi-Cloud Storage: A Non-Stationary Combinatorial Bandit Approach,""L. Li"; J. Shen; B. Wu; Y. Zhou; X. Wang;" K. Li"",""School of Computer Science, Fudan University, Shanghai, China"; Informatization Office, Fudan University, Shanghai, China; Informatization Office, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China;" Department of Computer Science, State University of New York, New Paltz, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Sep 2023"",""2023"",""34"",""11"",""2843"",""2859"",""Multi-cloud storage is recently a viable approach to solve the vendor lock-in, reliability, and security issues in cloud storage systems. As a key concern, data placement influences the cost and performance of storage services. Yet, in practice it remains challenging to address the huge solution space. Previous studies typically focus on constructing efficient data placement schemes based on the predicted pattern of workloads or assuming fully a-priori known network conditions. They cannot be easily applied in multi-cloud storage scenarios, which typically involve dynamic network conditions and time-varying workloads. To this end, we formulate the data placement optimization in a combinatorial multi-arm bandit (CMAB) perspective and solve it by learning placement strategy online. In contrast to a stationary setting where reward distributions are unknown but identical over time, we consider a realistic multi-cloud environment with non-stationary conditions, i.e., reward distributions change over time. To swiftly accommodate this, we propose an adaptive window combinatorial upper confidence bound based data placement (AW-CUCB-DP) scheme to reduce latency and cost. In AW-CUCB-DP, a simple and efficient change detector, i.e., Page-Hinkley test with forgetting mechanism (FM-PHT), is employed to enable variable-size sliding windows to handle both gradual and abrupt variations in network conditions or workloads. We establish that AW-CUCB-DP is asymptotically optimal in the non-stationary multi-cloud environment. Trace-driven experiments further verify that our scheme outperforms alternatives, especially in highly dynamic environments."",""1558-2183"","""",""10.1109/TPDS.2023.3306150"",""Science and Technology Commission of Shanghai Municipality(grant numbers:22dz1204900)"; National Natural Science Foundation of China(grant numbers:61971145); Natural Science Foundation of Shanghai(grant numbers:22ZR1407900);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10223440"",""Combinatorial multi-armed bandit";data placement;erasure codes;multi-cloud storage;"non-stationary"",""Costs";Cloud computing;Heuristic algorithms;Uncertainty;Data centers;Security;"Operating systems"","""","""","""",""46"",""IEEE"",""17 Aug 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Adaptive Fragment-Based Parallel State Recovery for Stream Processing Systems,""H. Xu"; P. Liu; S. T. Ahmed; D. Da Silva;" L. Hu"",""Department of Computer Engineering and Computer Science, California State University, Long Beach, CA, USA"; School of Computing and Information Science, Florida International University, Miami, FL, USA; Texas A&M University, College Station, TX, USA; Texas A&M University, College Station, TX, USA;" Department of Computer Science and Engineering, University of California, Santa Cruz, Santa Cruz, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jul 2023"",""2023"",""34"",""8"",""2464"",""2478"",""Today, large-scale cloud organizations are deploying datacenters and “edge” clusters globally to provide low-latency access to services. Running stream applications across geo-distributed sites are emerging as a daily requirement. However, existing efforts have dominantly centered around stateless stream processing, leaving another urgent trend-stateful stream processing-much less explored. A driving need is to store and update states during processing, and most importantly, successfully recover large distributed states when faults and failures happen. Existing studies exhibit major limitations including: (1) they mostly inherit MapReduce's “single master/many workers” architecture, where the central master can easily become ascalability bottleneck"; (2) they offer state recovery mainly through three approaches: replication recovery, checkpointing recovery, and DStream-based lineage recovery, which are either slow, resource-expensive or failing to handle multiple failures;" and (3) they are not adaptive to heterogeneous hardware settings. We present A-FP4S, a novel adaptive fragments-based parallel state recovery mechanism for stream processing systems. A-FP4S organizes stream operators into a distributed hash table based peer-to-peer overlay and divides each node's local state into many fragments. These fragments are periodically stored in node's multiple neighbors, ensuring different sets of available fragments can reconstruct failed states in parallel. This mechanism is extremely scalable to the lost state, significantly reduces failure recovery time, and can tolerate multiple node failures. A-FP4S is adaptive to heterogeneous hardware settings by automatic parameter tuning over phases. Compared to Apache Storm, A-FP4S achieves 31.8% to 50.5% reduction in recovery latency. Large-scale experiments using real-world datasets demonstrate A-FP4S's attractive scalability and adaptivity properties."",""1558-2183"","""",""10.1109/TPDS.2023.3251997"",""National Science Foundation(grant numbers:NSF-SPX-1919126,NSF-SPX-1919181,NSF-CAREER-1943071,NSF-CCF-1934904,NSF-OAC-2212256)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077765"",""Distributed hash tables";state recovery;"stream processing"",""Checkpointing";Task analysis;Storms;Peer-to-peer computing;Hardware;Codes;"Adaptive systems"","""","""","""",""82"",""IEEE"",""21 Mar 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"AESM2 Attribute-Based Encrypted Search for Multi-Owner and Multi-User Distributed Systems,""M. Wang"; Y. Miao; Y. Guo; H. Huang; C. Wang;" X. Jia"",""School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China"; School of Cyber Engineering, Xidian University, Xi’an, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China; School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China; Department of Computer Science, City University of Hong Kong, Hong Kong;" School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Nov 2022"",""2023"",""34"",""1"",""92"",""107"",""With the rapid development of cloud computing, it is popular for data owners to outsource massive data to the cloud server for data sharing. To protect the privacy of sensitive data, many searchable encryption schemes are proposed. However, most of the existing studies focus on the single-owner model. In practice, users need to query data from distributed owners one by one, which inevitably brings great communication and computation overheads. Moreover, it lacks a secure scheme that realizes the access control requirements of individual owners. In this article, we propose AESM$^{2}$2, a new attribute-based encrypted search with ownership enhancement scheme for multi-owner and multi-user distributed systems. Our design enables users to search data from authorized owners with only one trapdoor. Owners can enforce owner level permission on users and encrypt their data individually with fine-grained attribute level permission. For practical consideration, we further devise an efficient revocation method of the owner level permission for users, where ciphertexts do not need to be updated. We formally define and prove the security of our design. Moreover, we implement a system prototype and analyze the performance from theoretical and experimental aspects. The evaluation results demonstrate that our scheme is effective and efficient."",""1558-2183"","""",""10.1109/TPDS.2022.3216320"",""National Natural Science Foundation of China(grant numbers:61732022,62072361,62102035)"; Shenzhen Science and Technology Program(grant numbers:GXWD20220817124827001,JCYJ20210324132406016); Fundamental Research Funds for the Central Universities(grant numbers:JB211505); Research Grants Council of Hong Kong(grant numbers:CityU 11213920,11217819,11217620,11218521,11202419,N_CityU139/21,RFS2122-1S04,C2004-21GF,R1012-21,R6021-20F); InnoHK initiative; Government of the HKSAR; Laboratory for AI-Powered Financial Technologies;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9926180"",""Searchable encryption";attribute-based encryption;access control;"multi-owner distributed systems"",""Cryptography";Encryption;Distributed databases;Data models;Computational modeling;Servers;"Cloud computing"","""",""5"","""",""48"",""IEEE"",""21 Oct 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"AGCM-3DLF: Accelerating Atmospheric General Circulation Model via 3-D Parallelization and Leap-Format,""H. Cao"; L. Yuan; H. Zhang; Y. Zhang; B. Wu; K. Li; S. Li; M. Zhang; P. Lu;" J. Xiao"",""Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Earth System Numerical Simulation Science Center, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Sensetime Research, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; School of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China;" Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Jan 2023"",""2023"",""34"",""3"",""766"",""780"",""The atmospheric general circulation model (AGCM) has been an important research tool in the study of climate change for decades. As the demand for high-resolution simulation is becoming urgent, the scalability and simulation efficiency is faced with great challenges, especially for the latitude-longitude mesh-based models. In this paper, we propose a highly scalable 3-D atmospheric general circulation model based on leap-format, namely AGCM-3DLF. First, it utilizes a 3-D decomposition method allowing for parallelism release in all three physical dimensions. Then the leap-format difference computation scheme is adopted to maintain computational stability in grid updating and avoid additional filtering at the high latitudes. A novel shifting window communication algorithm is designed for parallelization of the unified model. Furthermore, a series of optimizations are conducted to improve the effectiveness of large-scale simulations. Experiment results in different platforms demonstrate good efficiency and scalability of the model. AGCM-3DLF scales up to the entire CAS-Xiandao1 supercomputer (196,608 CPU cores), attaining the speed of 11.1 simulation-year-per-day (SYPD) at a high resolution of 25KM. In addition, simulations conducted on the Sunway TaihuLight supercomputer exhibit a 1.06 million cores scalability with 36.1% parallel efficiency."",""1558-2183"","""",""10.1109/TPDS.2022.3231013"",""National Key R&D Program of China(grant numbers:2016YFB0200803)"; National Natural Science Foundation of China(grant numbers:61972376,62072431,62032023,62172391); National Key Scientific and Technological Infrastructure;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9996169"",""Atmospheric general circulation model";3-D decomposition;leap-format finite-difference;"heterogeneous acceleration"",""Climate change";Atmospheric modeling;Three-dimensional displays;Finite difference methods;Computational modeling;Supercomputers;Solid modeling;Power system stability;Parallel processing;"Scalability"","""","""","""",""31"",""IEEE"",""21 Dec 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"AIDTN: Towards a Real-Time AI Optimized DTN System With NVMeoF,""S. -Y. Yu"; Q. Zeng; J. Chen; Y. Chen;" J. Mambretti"",""International Center for Advanced Internet Research, Northwestern University, Evanston, IL, USA"; Zhejiang University, Hangzhou, China; International Center for Advanced Internet Research, Northwestern University, Evanston, IL, USA; Lab for Internet, Security Technology, Northwestern University, Evanston, IL, USA;" International Center for Advanced Internet Research, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2023"",""2023"",""34"",""6"",""1731"",""1742"",""Large-scale data transport for data-intensive sciences is a complex multidimensional challenge. The challenge includes optimizing the end-to-end Big Data movement performance in real-time, supporting direct remote data access using NVMe over Fabrics (NVMeoF) and deploying to existing research platforms. AIDTN is the first effort to provide a unique AI system designed to incorporate NVMe over Fabrics (NVMeoF) and optimize coordination among multiple components supporting large-scale, multi-domain Wide Area Network (WAN) data-intensive science. AIDTN's research objective is to integrate next-generation storage architecture using NVMeoF, specialized network design using high-performance network appliances, Data Transfer Nodes (DTNs), catalysts in driving data transport, and a unique AI system explicitly designed for high-performance data movement challenges. AIDTN is the first system that uses network and system features to predict the end-to-end performance of high-performance data movement and further extends the model with NVMe-specific features for NVMeoF remote data access. As a result, AIDTN improves data movement performance by up to 284% while minimizing packet loss compared to other heuristics approaches. It also has a prediction error rate as low as 0.16 compared to AI models with the only network (error rate = 0.29) or network and system features (error rate = 0.19)."",""1558-2183"","""",""10.1109/TPDS.2023.3260806"",""National Science Foundation(grant numbers:1450871)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10079144"",""Artificial intelligence";data transfer nodes;microservice;"NVMe over fabrics"",""Artificial intelligence";"Art"","""",""1"","""",""33"",""IEEE"",""23 Mar 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Alleviating the Impact of Abnormal Events Through Multi-Constrained VM Placement,""G. Zhao"; J. Liu; Y. Zhai; H. Xu;" H. He"",""School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China"; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China;" School of Computer Science and Technology, Soochow University, Suzhou, Jiangsu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Mar 2023"",""2023"",""34"",""5"",""1508"",""1523"",""As a simple and low-cost way to obtain enough computing resources, more and more tenants migrate their tasks to the cloud. However, the frequent occurrence of abnormal events (e.g., malicious tenants and node failures) in the cloud will seriously affect the tenants’ QoS. Conventionally, the cloud vendors reduce the frequency of abnormal events by deploying auxiliary systems, which requires additional costs and increases network complexity. Considering that it is an unrealistic expectation to eliminate the occurrence of abnormal events in clouds, this paper proposes a complementary scheme to alleviate the negative impact scope when an abnormal event occurs through multi-constrained VM placement without consuming additional resources. Specifically, when deploying VMs, we limit the number of pods (or service nodes) each tenant can access and the number of tenants hosted by each pod (or service node). However, the multi-dimensional interaction among numerous system parameters and performance/resource considerations makes the problem of multi-constrained VM placement for alleviating the impact of abnormal events very challenging. To solve this problem, we formulate an integer linear programming and propose a rounding-based algorithm with a logarithmic approximation ratio. We implement our proposed algorithm on a physical testbed. The experimental and simulation results show the high efficiency of the proposed algorithm. For example, our algorithm reduces the impact scope of service node failure by 60%, the impact scope of malicious tenants by 40%, and the tenant task makespan by 25% compared with other alternatives."",""1558-2183"","""",""10.1109/TPDS.2023.3248681"",""National Natural Science Foundation of China(grant numbers:62102392)"; National Science Foundation of Jiangsu Province(grant numbers:BK20210121,Hefei Municipal Natural Science Foundation,2022013); Youth Innovation Promotion Association of CAS(grant numbers:2023481); IEEE/ACM International Symposium on Quality of Service;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10052762"",""Abnormal events";clouds;resource allocation;"VM placement"",""Cloud computing";Virtual private networks;Telecommunication traffic;Approximation algorithms;Quality of service;Task analysis;"Load management"","""","""","""",""61"",""IEEE"",""24 Feb 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"An Efficient Algorithm for Hamiltonian Path Embedding of $k$k-Ary $n$n-Cubes Under the Partitioned Edge Fault Model,""H. Zhuang"; X. -Y. Li; J. -M. Chang;" D. Wang"",""College of Computer and Data Science, Fuzhou University, Fuzhou, China"; College of Computer and Data Science, Fuzhou University, Fuzhou, China; Institute of Information and Decision Sciences, National Taipei University of Business, Taipei, Taiwan;" Department of Computer Science, Montclair State University, Montclair, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2023"",""2023"",""34"",""6"",""1802"",""1815"",""The $k$k-ary $n$n-cube $Q_{n}^{k}$Qnk is one of the most important interconnection networks for building network-on-chips, data center networks, and parallel computing systems owing to its desirable properties. Since edge faults grow rapidly and the path structure plays a vital role in large-scale networks for parallel computing, fault-tolerant path embedding and its related problems have attracted extensive attention in the literature. However, the existing path embedding approaches usually only focus on the theoretical proofs and produce an $n$n-related linear fault tolerance since they are based on the traditional fault model, which allows all faults to be adjacent to the same node. In this paper, we design an efficient fault-tolerant Hamiltonian path embedding algorithm for enhancing the fault-tolerant capacity of $k$k-ary $n$n-cubes. To facilitate the algorithm, we first introduce a new conditional fault model, named Partitioned Edge Fault model (PEF model). Based on this model, for the $k$k-ary $n$n-cube $Q_{n}^{k}$Qnk with $n\geq 2$n≥2 and odd $k\geq 3$k≥3, we explore the existence of a Hamiltonian path in $Q_{n}^{k}$Qnk with large-scale edge faults. Then we give an $O(N)$O(N) algorithm, named HP-PEF, to embed the Hamiltonian path into $Q_{n}^{k}$Qnk under the PEF model, where $N$N is the number of nodes in $Q_{n}^{k}$Qnk. The performance analysis of HP-PEF shows the average path length of adjacent node pairs in the Hamiltonian path constructed by HP-PEF. We also make comparisons to show that our result of edge fault tolerance has exponentially improved other known results. We further experimentally show that HP-PEF can support the dynamic degradation of average success rate of constructing Hamiltonian paths when increasing faulty edges exceed the fault tolerance."",""1558-2183"","""",""10.1109/TPDS.2023.3264698"",""National Natural Science Foundation of China(grant numbers:62002062)"; Ministry of Science and Technology of Taiwan(grant numbers:MOST-111-2221-E-141-006); Natural Science Foundation of Fujian Province(grant numbers:2022J05029);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093117"",""   $k$     k    -ary   $n$   n     -cubes";algorithm;fault-tolerant embedding;Hamiltonian path;"interconnection networks"",""Fault tolerant systems";Fault tolerance;Circuit faults;Routing;Three-dimensional displays;Through-silicon vias;"System recovery"","""",""1"","""",""42"",""IEEE"",""5 Apr 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"An Efficient Hierarchical-Reduction Architecture for Aggregation in Route Travel Time Estimation,""Z. Liu"; M. Li; M. Li; L. Liao;" K. Li"",""College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China"; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; College of Semiconductor, Hunan University, Changsha, Hunan, China;" College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jul 2023"",""2023"",""34"",""9"",""2541"",""2552"",""Route travel time estimation (RTTE) is crucial in intelligent transportation systems. Performing aggregation is a fundamental operation in RTTE and is widely used in the traffic prediction and route calculation stages. Observations have revealed that aggregation operations in RTTE are influenced by the road network structure and aggregation requests, resulting in irregular data access, redundant processing, and workload imbalance. Existing architectures have not addressed these issues effectively. In this study, we begin by characterizing the execution pattern of performing aggregation operations on an Intel Core CPU. Guided by these characterizations, we propose an aggregation accelerator that utilizes a hierarchical reduction architecture (HRA) to perform aggregations in RTTE efficiently. Specifically, we construct an inverted table based on the road network and aggregation requests. Building upon the concept of hierarchical reduction, we design an HRA to accelerate aggregation operations which reduces irregular data access and eliminates redundant processing. Additionally, we introduce a reconfiguration mode for HRA to mitigate workload imbalance issues. Compared to a benchmark method executed on an Intel Core CPU, our design achieves an average $10\times$10× speedup."",""1558-2183"","""",""10.1109/TPDS.2023.3292841"",""National Key R&D Program of China(grant numbers:2020YFB2104000)"; Programs of NSFC(grant numbers:62172151,62172157,62206091,62202159,62172146); Natural Science Foundation of Hunan Province(grant numbers:2022JJ30009,2023JJ10016);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174278"",""Aggregation";accelerator;hierarchical reduction;redundancy elimination;"route travel time estimation"",""Deep learning";Navigation;Roads;Buildings;Estimation;Benchmark testing;"Predictive models"","""","""","""",""36"",""IEEE"",""6 Jul 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"An Improved NSGA-III Algorithm Based on Deep Q-Networks for Cloud Storage Optimization of Blockchain,""Y. Zhou"; Y. Ren; M. Xu;" G. Feng"",""School of Communication and Information Engineering, Shanghai University, Shanghai, China"; School of Communication and Information Engineering, Shanghai University, Shanghai, China; School of Communication and Information Engineering, Shanghai University, Shanghai, China;" School of Communication and Information Engineering, Shanghai University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Mar 2023"",""2023"",""34"",""5"",""1406"",""1419"",""As the underlying technology of cryptocurrencies, blockchain has gained a lot of attention in recent years. However, the storage problem needs to be solved with the increasing number of blocks in the blockchain network. Cloud storage optimization is an effective way to solve the storage issue, which selects and stores parts of blocks to the cloud. Precisely, block selection can be described as a multiobjective optimization problem (MOP) and solved by evolutionary algorithms (EAs). To obtain well results of block selection, an improved NSGA-III algorithm based on deep Q-networks (DQN), termed NSGA-DQN, is proposed in this paper, which aims to maintain well convergence and diversity of the population. This way, a set of suitable solutions is obtained to determine the number of blocks stored to the cloud, and the storage problem can be solved effectively. To be specific, DQN creates a decision-making agent to maximize the expected reward by learning a policy that evaluates $Q$Q values of each action in each state. In the proposed selection mechanism, the reward values are set according to the convergence and diversity of the population, and the actions correspond to the individuals. This way, our method can determine a set of individuals that maximizes the convergence and diversity of the population. In addition, an adaptive maximum reward enhancement module (AMREM) is developed to further enhance the maximum expected reward by updating the new better reward and modifying the replay memory. We conduct the experimental study on block selection, and the results demonstrate that the proposed algorithm is superior to five state-of-the-art algorithms."",""1558-2183"","""",""10.1109/TPDS.2023.3243634"",""Science and Technology Planning Project of Zhejiang Province(grant numbers:2022C01090)"; National Natural Science Foundation of China(grant numbers:62072295); Natural Science Foundation of Shanghai(grant numbers:20ZR1419700,22ZR1481000);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041737"",""Blockchain";cloud storage;deep Q-networks (DQN);genetic algorithm;"multiobjective optimization"",""Blockchains";Statistics;Sociology;Cloud computing;Optimization;Convergence;"Costs"","""",""1"","""",""75"",""IEEE"",""9 Feb 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"An Instability-Resilient Renewable Energy Allocation System for a Cloud Datacenter,""H. Shen"; H. Wang; J. Gao;" R. Buyya"",""Department of Computer Science, University of Virginia, Charlottesville, VA, USA"; Department of Computer Science, University of Virginia, Charlottesville, VA, USA; Department of Computer Science, University of Virginia, Charlottesville, VA, USA;" School of Computing and Information Systems, University of Melbourne, Parkville, VIC, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Jan 2023"",""2023"",""34"",""3"",""1020"",""1034"",""Renewable energy supply is a promising solution for datacenters' increasing electricity monetary cost, energy consumption and harmful gas emissions. However, due to the instability of renewable energy, insufficient renewable energy supply may lead to the use of stored energy or brown energy. To handle this problem, in this paper, we propose an instability-resilient renewable energy allocation system. We define a job's service-level-objective (SLO) as the successful running probability by only using supplied renewable energy. The system allocates jobs with the same SLO level to the same physical machine (PM) group, and powers each PM group with renewable energy generators that have probability no less than its SLO to produce the amount no less than its energy demand. We use a deep learning technique to predict the probability of producing the amount no less than each value of each renewable energy source, and predict the energy demands of each PM area. We formulate an optimization problem to match renewable energy resources with different instabilities to different PM groups for supply, and use reinforcement learning method and linear programming method to solve it. We further propose an energy-driven computing resource assignment method, which adjusts the amount of computing resource of each job based on job deadline and failure probability in each PM group, and a failure prediction based energy saving method. Real trace driven experiments show that our methods achieve much lower SLO violations, total energy monetary cost and total carbon emission compared to other methods and the effectiveness of individual methods."",""1558-2183"","""",""10.1109/TPDS.2023.3235957"",""U.S. NSF(grant numbers:NSF-2206522,NSF-1822965,NSF-1827674,NSF-1733596,NSF-1724845)"; Microsoft Research Faculty Fellowship(grant numbers:8300751); AWS Machine Learning Research Awards;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10026238"",""Cloud datacenter";machine learning prediction;"renewable energy scheduling"",""Renewable energy sources";Costs;Carbon dioxide;Energy consumption;Generators;Servers;"Resource management"","""","""","""",""67"",""IEEE"",""25 Jan 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
