"2002 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""94"",""96"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2003.1167374"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167374"","""",""IEEE"","""","""","""","""",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Clustering support and replication management for scalable network services,""K. Shen"; T. Yang;" L. Chu"",""Department of Computer Science, University of Rochester, NY, USA"; Department of Computer Science, University of California, Santa Barbara, CA, USA;" Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1168"",""1179"",""The ubiquity of the Internet and various intranets has brought about widespread availability of online services and applications accessible through the network. Cluster-based network services have been rapidly emerging due to their cost-effectiveness in achieving high availability and incremental scalability. We present the design and implementation of the Neptune middleware system that provides clustering support and replication management for scalable network services. Neptune employs a loosely connected and functionally symmetric clustering architecture to achieve high scalability and robustness. It shields the clustering complexities from application developers through simple programming interfaces. In addition, Neptune provides replication management with flexible replication consistency support at the clustering middleware level. Such support can be easily applied to a large number of applications with different underlying data management mechanisms or service semantics. The system has been implemented on Linux and Solaris clusters, where a number of applications have been successfully deployed. Our evaluations demonstrate the system performance and smooth failure recovery achieved by proposed techniques."",""1558-2183"","""",""10.1109/TPDS.2003.1247676"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247676"","""",""Availability";Middleware;Scalability;Large-scale systems;Robustness;Load management;IP networks;Web and internet services;Linux;"System performance"","""",""11"",""1"",""36"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Communication adaptive self-stabilizing group membership service,""S. Dolev";" E. Schiller"",""Department of Computer Science, Ben-Gurion University of the Negev, Beersheba, Israel";" Department of Computer Science, Ben-Gurion University of the Negev, Beersheba, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""709"",""720"",""This paper presents the first (randomized) algorithm for implementing self-stabilizing group communication services in an asynchronous system. Our algorithm converges rapidly to legal behavior and is communication adaptive, namely, the communication volume is high when the system recovers from the occurrence of faults and is low once a legal state is reached. Communication adaptability is achieved by a new technique that combines transient fault detectors."",""1558-2183"","""",""10.1109/TPDS.2003.1214322"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214322"","""",""Fault tolerant systems";Robustness;Law;Legal factors;Computer crashes;Intersymbol interference;Fault detection;Middleware;Communication networks;"Distributed computing"","""",""14"","""",""32"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Comparing latency-tolerance techniques for software DSM systems,""R. Pinto"; R. Bianchini;" C. L. Amorim"",""Universidade Estacio de Sa, Rio de Janeiro, Brazil"; Department of Computer Science, Rutgers University, Piscataway, NJ, USA;" Programa de Engenharia de Sistemas e Computacao, COPPE, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1180"",""1190"",""We study the isolated and combined effects of several latency-tolerance techniques for software-based distributed shared-memory systems (software DSMs). More specifically, we focus on data prefetching, update-based coherence, and single-writer optimizations for page-based software DSMs. Our experimental results with six parallel applications show that, when these techniques are carefully combined, they can provide running time and speedup improvements of up to 54 percent and 110 percent, respectively, on a cluster of eight PCs."",""1558-2183"","""",""10.1109/TPDS.2003.1247677"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247677"","""",""Software systems";Prefetching;Hardware;Delay;Access protocols;Application software;System software;Computer Society;Personal communication networks;"Parallel programming"","""",""5"","""",""23"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Compiler techniques for the distribution of data and computation,""A. Navarro"; E. Zapata;" D. Padua"",""Department of Computer Architecture, Complejo Tecnológico, University of Màlaga, Malaga, Spain"; Department of Computer Architecture, Complejo Tecnológico, University of Màlaga, Malaga, Spain;" Department of Computer Science, 3318 Digital Computer Laboratory, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jun 2003"",""2003"",""14"",""6"",""545"",""562"",""This paper presents a new method that can be applied by a parallelizing compiler to find, without user intervention, the iteration and data decompositions that minimize communication and load imbalance overheads in parallel programs targeted at NUMA architectures. One of the key ingredients in our approach is the representation of locality as a locality-communication graph (ICG) and the formulation of the compiler technique as a mixed integer nonlinear programming (MINLP) optimization problem on this graph. The objective function and constraints of the optimization problem model communication costs and load imbalance. The solution to this optimization problem is a decomposition that minimizes the parallel execution overhead. This paper summarizes the process of how the compiler extracts the locality information from a nonannotated code and focuses on how this compiler can derive the optimization problem, solve it, and generate the parallel code with the automatically selected iteration and data distributions. In addition, we include a discussion about our model and the solutions - the decompositions - that it provides. The approach presented in the paper is evaluated using several benchmarks. The experimental results demonstrate that the MINLP formulation does not increase compilation time significantly and that our framework generates very efficient iteration/data distributions for a variety of NUMA machines."",""1558-2183"","""",""10.1109/TPDS.2003.1206503"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1206503"","""",""Distributed computing";Operating systems;Program processors;Optimizing compilers;Control systems;Concurrent computing;Computer architecture;Constraint optimization;Cost function;"Data mining"","""",""14"","""",""26"",""IEEE"",""20 Jun 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Constructing edge-disjoint spanning trees in product networks,""Shan-Chyun Ku"; Biing-Feng Wang;" Ting-Kai Hung"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan;" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2003"",""2003"",""14"",""3"",""213"",""221"",""A Cartesian product network is obtained by applying the cross operation on two graphs. We study the problem of constructing the maximum number of edge-disjoint spanning trees (abbreviated to EDSTs) in Cartesian product networks. Let G=(V/sub G/, E/sub G/) be a graph having n/sub 1/ EDSTs and F=(V/sub F/, E/sub F/) be a graph having n/sub 2/ EDSTs. Two methods are proposed for constructing EDSTs in the Cartesian product of G and F, denoted by G/spl times/F. The graph G has t/sub 1/=|E/sub G/|/spl middot/n/sub 1/(|V/sub G/|-1) more edges than that are necessary for constructing n/sub 1/ EDSTs in it, and the graph F has t2=|E/sub F/'-n/sub 2/(|V/sub F/|-1) more edges than that are necessary for constructing n/sub 2/ EDSTs in it. By assuming that t/sub 1//spl ges/n/sub 1/ and t/sub 2//spl ges/n/sub 2/, our first construction shows that n/sub 1/+n/sub 2/ EDSTS can be constructed in G/spl times/F. Our second construction does not need any assumption and it constructs n/sub 1/+n/sub 2/-1 EDSTs in G/spl times/F. By applying the proposed methods, it is easy to construct the maximum numbers of EDSTs in many important Cartesian product networks, such as hypercubes, tori, generalized hypercubes, mesh connected trees, and hyper Petersen networks."",""1558-2183"","""",""10.1109/TPDS.2003.1189580"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189580"","""",""Intelligent networks";Tree graphs;Hypercubes;Multiprocessor interconnection networks;Computer Society;Fault tolerance;Broadcasting;Application software;Concurrent computing;"Distributed computing"","""",""34"","""",""21"",""IEEE"",""26 Mar 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Correlation prefetching with a user-level memory thread,""Y. Solihin"; J. Lee;" J. Torrellas"",""Department of Electrical and Computer Engineering, North Carolina State University, NC, USA"; School of Computer Science and Engineering, Seoul National University, Seoul, South Korea;" Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jun 2003"",""2003"",""14"",""6"",""563"",""580"",""This paper proposes using a user-level memory thread (ULMT) for correlation prefetching. In this approach, a user thread runs on a general-purpose processor in main memory, either in the memory controller chip or in a DRAM chip. The thread performs correlation prefetching in software, sending the prefetched data into the L2 cache of the main processor. This approach requires minimal hardware beyond the memory processor: The correlation table is a software data structure that resides in main memory, while the main processor only needs a few modifications to its L2 cache so that it can accept incoming prefetches. In addition, the approach has wide applicability, as it can effectively prefetch even for irregular applications. Finally, it is very flexible, as the prefetching algorithm can be customized by the user on an application basis. Our simulation results show that, through a new design of the correlation table and prefetching algorithm, our scheme delivers good results. Specifically, nine mostly-irregular applications show an average speedup of 1.32. Furthermore, our scheme works well in combination with a conventional processor-side sequential prefetcher, in which case the average speedup increases to 1.46. Finally, by exploiting the customization of the prefetching algorithm, we increase the average speedup to 1.53."",""1558-2183"","""",""10.1109/TPDS.2003.1206504"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1206504"","""",""Prefetching";Engines;Hardware;Data structures;Graphics;Proposals;Software performance;Application software;"Algorithm design and analysis"","""",""14"","""",""36"",""IEEE"",""20 Jun 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Deadlock-free dynamic reconfiguration schemes for increased network dependability,""T. M. Pinkston"; R. Pang;" J. Duato"",""SMART Interconnects Group, EE-Systems Department, University of Southern California, Los Angeles, CA, USA"; Computer Science Department, Princeton University, Princeton, NJ, USA;" Grupo Arquitectural Paralelas (GAP), Facultad de Informatica, Universidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""780"",""794"",""Network-based parallel computing systems often require the ability to reconfigure the routing algorithm to reflect changes in network topology if and when voluntary or involuntary changes occur. The process of reconfiguring a network's routing capabilities may be very inefficient and/or deadlock-prone if not handled properly. We propose efficient and deadlock-free dynamic reconfiguration schemes that are applicable to routing algorithms and networks which use wormhole, virtual cut-through, or store-and-forward switching, combined with hard link-level flow control. One requirement is that the network architecture use virtual channels or duplicate physical channels for deadlock-handling as well as performance purposes. The proposed schemes do not impede the injection, transmission, or delivery of user packets during the reconfiguration process. Instead, they provide uninterrupted service, increased availability/reliability, and improved overall quality-of-service support as compared to traditional techniques based on static reconfiguration."",""1558-2183"","""",""10.1109/TPDS.2003.1225057"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225057"","""",""System recovery";Routing;Availability;Parallel processing;Telecommunication network reliability;Control systems;Multiprocessor interconnection networks;Switches;Network topology;"Impedance"","""",""52"",""1"",""30"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Distributed initialization algorithms for single-hop ad hoc networks with minislotted carrier sensing,""Zhijun Cai"; Mi Lu;" Xiaodong Wang"",""Motorola Research Laboratories, Fort Worth, TX, USA"; Electrical Engineering Department, Texas A and M University, College Station, TX, USA;" Electrical Engineering Department, Columbia University, New York, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""516"",""528"",""An ad hoc network is a self-organized and distributed entity, consisting of n mobile stations (MSs) without the coordination of any centralized access point. Initialization is one of the fundamental tasks to set up an ad hoc network, which involves assigning each of the n MSs a distinct ID number from 1 to n, distributedly. In Nakano et al. (2000), randomized initialization protocols are developed for single-hop ad hoc networks under different conditions. However, carrier sensing has not been utilized and suitable acknowledgment schemes for the algorithms are not developed. Moreover, the assumption taken by Nakano et al. about MSs being able to listen while transmitting is not valid for ad hoc networks. In this context, we describe two algorithms for initializing an ad hoc network with carrier sensing capability. First, a novel acknowledgment scheme is proposed for notifying a transmitting MS whether its transmission is successful during the initialization. Then, two distributed and randomized initialization algorithms are developed and analyzed, under the assumptions of a known and unknown number of users in the network, respectively. Both algorithms are obtained based on optimizing some key parameters to minimize the total time required to complete the initialization. Both theoretical analysis and simulations indicate that the proposed initialization algorithms outperform the existing methods, in the sense that they take much less time to complete the initialization and the average number of transmission attempts before success is much smaller."",""1558-2183"","""",""10.1109/TPDS.2003.1199068"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199068"","""",""Ad hoc networks";Access protocols;Algorithm design and analysis;Analytical models;Network topology;Centralized control;Communication system control;Wireless communication;Media Access Protocol;"Routing"","""",""17"","""",""19"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Dynamic querying of streaming data with the dQUOB system,""B. Plale";" K. Schwan"",""Computer Science Department, Indiana University, Bloomington, IN, USA";" Georgia Institute of Technology, College of Computing Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Apr 2003"",""2003"",""14"",""4"",""422"",""432"",""Data streaming has established itself as a viable communication abstraction in data-intensive parallel and distributed computations, occurring in applications such as scientific visualization, performance monitoring, and large-scale data transfer. A known problem in large-scale event communication is tailoring the data received at the consumer. It is the general problem of extracting data of interest from a data source, a problem that the database community has successfully addressed with SOL queries, a time tested, user-friendly way for noncomputer scientists to access data. By leveraging the efficiency of query processing provided by relational queries, the dQUOB system provides a conceptual relational data model and SOL query access over streaming data. Queries can be used to extract data, combine streams, and create new streams. The language augments queries with an action to enable more complex data transformations such as Fourier transforms. The dQUOB system has been applied to two large-scale distributed applications: a safety critical autonomous robotics simulation and scientific software visualization for global atmospheric transport modeling. In this paper, we present the dQUOB system and the results of performance evaluation undertaken to assess its applicability in data-intensive wide-area computations, where the benefit of portable data transformation must be evaluated against the cost of continuous query evaluation."",""1558-2183"","""",""10.1109/TPDS.2003.1195413"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195413"","""",""Large-scale systems";Data visualization;Data mining;Query processing;Software safety;Atmospheric modeling;Computer applications;Concurrent computing;Distributed computing;"Monitoring"","""",""37"",""2"",""37"",""IEEE"",""22 Apr 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Early stopping in Global Data Computation,""C. Delporte-Gallet"; H. Fauconnier; J. . -M. Helary;" M. Raynal"",""LIAFA, Paris, France"; LIAFA, Paris, France; NA;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2003"",""2003"",""14"",""9"",""909"",""921"",""The Global Data Computation problem consists of providing each process with the same vector (with one entry per process) such that each entry is filled by a value provided by the corresponding process. This paper presents a protocol that solves this problem in an asynchronous distributed system where processes can crash, but equipped with a perfect failure detector. This protocol requires that processes execute asynchronous computation rounds. The number of rounds is upper bounded by min(f+2, t+1, n), where n, t, and f represent the total number of processes, the maximum number of processes that can crash, and the number of processes that actually crash, respectively. This value is a lower bound for the number of rounds when t<n-1. To our knowledge, this protocol is the first to achieve this lower bound. Interestingly, this protocol meets the same lower bound as the one required in synchronous systems."",""1558-2183"","""",""10.1109/TPDS.2003.1233713"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1233713"","""",""Computer crashes";Detectors;Distributed computing;Protocols;Context modeling;Fault tolerant systems;Fault detection;"Contamination"","""",""9"","""",""23"",""IEEE"",""29 Sep 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Efficient data parallel algorithms for multidimensional array operations based on the EKMR scheme for distributed memory multicomputers,""Chun-Yuan Lin"; Yeh-Ching Chung;" Jen-Shiuh Liu"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""625"",""639"",""Array operations are useful in a large number of important scientific codes, such as molecular dynamics, finite element methods, climate modeling, atmosphere and ocean sciences, etc. In our previous work, we have proposed a scheme of extended Karnaugh map representation (EKMR) for multidimensional array representation. We have shown that sequential multidimensional array operation algorithms based on the EKMR scheme have better performance than those based on the traditional matrix representation (TMR) scheme. Since parallel multidimensional array operations have been an extensively investigated problem, we present efficient data parallel algorithms for multidimensional array operations based on the EKMR scheme for distributed memory multicomputers. In a data parallel programming paradigm, in general, we distribute array elements to processors based on various distribution schemes, do local computation in each processor, and collect computation results from each processor. Based on the row, column, and 2D mesh distribution schemes, we design data parallel algorithms for matrix-matrix addition and matrix-matrix multiplication array operations in both TMR and EKMR schemes for multidimensional arrays. We also design data parallel algorithms for six Fortran 90 array intrinsic functions: All, Maxval, Merge, Pack, Sum, and Cshift. We compare the time of the data distribution, the local computation, and the result collection phases of these array operations based on the TMR and the EKMR schemes. The experimental results show that algorithms based on the EKMR scheme outperform those based on the TMR scheme for all test cases."",""1558-2183"","""",""10.1109/TPDS.2003.1214316"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214316"","""",""Parallel algorithms";Multidimensional systems;Distributed computing;Concurrent computing;Algorithm design and analysis;Phased arrays;Finite element methods;Atmospheric modeling;Atmosphere;"Oceans"","""",""12"","""",""44"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Efficient mapping algorithm of multilayer neural network on torus architecture,""R. A. Ayoubi";" M. A. Bayoumi"",""Department of Computer Engineering, University of Balamand, Tripoli, Lebanon";" The Center for Advanced Computer Studies, University of Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2003"",""2003"",""14"",""9"",""932"",""943"",""This paper presents a new efficient parallel implementation of neural networks on mesh-connected SIMD machines. A new algorithm to implement the recall and training phases of the multilayer perceptron network with back-error propagation is devised. The developed algorithm is much faster than other known algorithms of its class and comparable in speed to more complex architecture such as hypercube, without the added cost";" it requires O(1) multiplications and O(log N) additions, whereas most others require O(N) multiplications and O(N) additions. The proposed algorithm maximizes parallelism by unfolding the ANN computation to its smallest computational primitives and processes these primitives in parallel."",""1558-2183"","""",""10.1109/TPDS.2003.1233715"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1233715"","""",""Multi-layer neural network";Neural networks;Parallel processing;Concurrent computing;Neurons;Artificial neural networks;Computer networks;Computer architecture;Multilayer perceptrons;"Hypercubes"","""",""4"",""1"",""28"",""IEEE"",""29 Sep 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Ensuring latency targets in multiclass Web servers,""V. Kanodia";" E. W. Knightly"",""Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA";" Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""84"",""93"",""Two recent advances have resulted in significant improvements in Web server quality-of-service. First, both centralized and distributed Web servers can provide isolation among service classes by fairly distributing system resources. Second, session admission control can protect classes from performance degradation due to overload. The goal of this work is to design a general """"front-end"""" algorithm that uses these two building blocks to support a new Web service model, namely, multiclass services which control response latencies to within prespecified targets. Our key technique is to devise a general service abstraction to adaptively control not only the latency of a particular class, but also to bound the interclass relationships. In this way, we capture the extent to which classes are isolated or share system resources (as determined by the server architecture and system internals) and hence their effects on each other's QoS. For example, if the server provides class isolation (i.e., a minimum fraction of system resources independent of other classes), yet also allows a class to utilize unused resources from other classes, the algorithm infers and exploits this behavior, without an explicit low level model of the server. Thus, as new functionalities are incorporated into Web servers, the approach naturally exploits their properties to efficiently satisfy the classes' performance targets. We validate the scheme with trace driven simulations."",""1558-2183"","""",""10.1109/TPDS.2003.1167373"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167373"","""",""Delay";Web server;Admission control;Quality of service;Protection;Degradation;Algorithm design and analysis;Web services;"Explosives"","""",""29"",""1"",""20"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Evolving cellular automata for location management in mobile computing networks,""R. Subrata";" A. Y. Zomaya"",""Parallel Computing Research Laboratory, Department of Electrical and Electronic Engineering, University of Western Australia, Perth, WA, Australia";" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""13"",""26"",""Location management is a very important and complex problem in mobile computing. There is a need to develop algorithms that could capture this complexity yet can be easily implemented and used to solve a wide range of location management scenarios. The paper investigates the use of cellular automata (CA) combined with genetic algorithms to create an evolving parallel reporting cells planning algorithm. In the reporting cell location management scheme, some cells in the network are designated as reporting cells";" mobile terminals update their positions (location update) upon entering one of these reporting cells. To create such an evolving CA system, cells in the network are mapped to cellular units of the CA and neighborhoods for the CA is selected. GA is then used to discover efficient CA transition rules. The effectiveness of the GA and of the discovered CA rules is shown for a number of test problems."",""1558-2183"","""",""10.1109/TPDS.2003.1167367"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167367"","""",""Computer network management";Intelligent networks;Mobile computing;Computer networks;Genetic algorithms;Paging strategies;Quality of service;Costs;Cellular networks;"Testing"","""",""59"","""",""30"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Fast and scalable selection algorithms with applications to median filtering,""Chin-Hsiung Wu";" Shi-Jinn Horng"",""Department of Information Management, Chinese Naval Academy, Taipei, Taiwan";" Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2003"",""2003"",""14"",""10"",""983"",""992"",""The main contributions of this paper are in designing fast and scalable parallel algorithms for selection and median filtering. Based on the radix-/spl omega/ representation of data and the prune-and-search approach, we first design a fast and scalable selection algorithm on the arrays with reconfigurable optical buses (AROB). To the authors' knowledge, this is the most time efficient algorithm yet published, especially compared to the algorithms proposed by Han et al (2002) and Pan (1994). Then, given an N /spl times/ N image and a W /spl times/ W window, based on the proposed selection algorithm, several scalable median filtering algorithms are developed on the AROB model with a various number of processors. In the sense of the product of time and the number of processors used, most of the proposed algorithms are time or cost optimal."",""1558-2183"","""",""10.1109/TPDS.2003.1239867"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239867"","""",""Filtering algorithms";Optical filters;Sorting;Parallel algorithms;Optical arrays;Optical sensors;Algorithm design and analysis;Image processing;Military computing;"Concurrent computing"","""",""10"","""",""28"",""IEEE"",""27 Oct 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"FC3D: flow control-based distributed deadlock detection mechanism for true fully adaptive routing in wormhole networks,""J. M. M. Rubio"; P. Lopez;" J. Duato"",""Department of Computer Engineering, Universidad Politécnica de Valencia, Valencia, Spain"; Department of Computer Engineering, Universidad Politécnica de Valencia, Valencia, Spain;" Department of Computer Engineering, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""765"",""779"",""Two general approaches have been proposed for deadlock handling in wormhole networks. Traditionally, deadlock-avoidance strategies have been used. In this case, either routing is restricted so that there are no cyclic dependencies between channels or cyclic dependencies between channels are allowed provided that there are some escape paths to avoid deadlock. More recently, deadlock recovery strategies have begun to gain acceptance. These strategies allow the use of unrestricted fully adaptive routing, usually outperforming deadlock avoidance techniques. However, they require a deadlock detection mechanism and a deadlock recovery mechanism that is able to recover from deadlocks faster than they occur. In particular, progressive deadlock recovery techniques are very attractive because they allocate a few dedicated resources to quickly deliver deadlocked messages, instead of killing them. Unfortunately, distributed deadlock detection is usually based on crude time-outs, which detect many false deadlocks. As a consequence, messages detected as deadlocked may saturate the bandwidth offered by recovery resources, thus degrading performance. Additionally, the threshold required by the detection mechanism (the time-out) strongly depends on network load, which is not known in advance at the design stage. This limits the applicability of deadlock recovery on actual networks. We propose a novel distributed deadlock detection mechanism that uses only local information, detects all the deadlocks, considerably reduces the probability of false deadlock detection over previously proposed techniques, and is not significantly affected by variations in message length and/or message destination distribution."",""1558-2183"","""",""10.1109/TPDS.2003.1225056"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225056"","""",""Distributed control";System recovery;Programmable control;Adaptive control;Routing;Intelligent networks;Multiprocessor interconnection networks;Computer Society;Resource management;"Bandwidth"","""",""24"","""",""22"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Generation of injective and reversible modular mappings,""Hyuk Jae Lee";" J. A. B. Fortes"",""The School of Electrical Engineering and Computer Science, Seoul National University, Seoul, South Korea";" The Advanced Computing and Information Systems Lab, Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""1"",""12"",""A modular mapping consists of a linear transformation followed by modulo operations. It is characterized by a transformation matrix and a vector of moduli, called the modulus vector. Modular mappings are useful to derive parallel versions of algorithms with commutative operations and algorithms intended for execution on processor arrays with toroidal networks. In order to preserve algorithm correctness, modular mappings must be injective. Results of previous work characterize injective modular mappings of rectangular index sets. This paper provides a technique to generate modular mappings that satisfy these injective conditions and extends the results to general index sets. For an n-dimensional rectangular index set, the technique has O(n/sup 2/n!) complexity. To facilitate generation of efficient code, modular mappings must also be reversible (i.e., have easily described inverses). An O(n/sup 2/) method is provided to generate reversible modular mappings. This method reduces the search space by fixing entries of the modulus vector while attempting to minimize the number of entries to exclude few solutions. For general index sets defined by linear inequalities, injectivity can be checked by formulating and solving a set of linear inequalities. A modified Fourier-Motzkin elimination is proposed to solve these inequalities. To generate an injective modular mapping of an index set defined by linear inequalities, this paper proposes a technique that attempts to minimize the values of the entries of the modulus vector. Several examples are provided to illustrate the application of the above mentioned methods, including the case of BLAS routines."",""1558-2183"","""",""10.1109/TPDS.2003.1167366"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167366"","""",""Signal processing algorithms";Vectors;Concurrent computing;Systolic arrays;Computer networks;Parallel processing;Signal mapping;Testing;Linear algebra;"Control systems"","""",""3"","""",""33"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
