"A parallel algorithm for random walk construction with application to the Monte Carlo solution of partial differential equations,""A. Youssef"",""Department of Electrical Engineering and Computer Science, George Washington University, Washington D.C., DC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""3"",""355"",""360"",""Random walks are widely applicable in statistical and scientific computations. In particular, they are used in the Monte Carlo method to solve elliptic and parabolic partial differential equations (PDEs). This method holds several advantages over other methods for PDEs as it solves problems with irregular boundaries and/or discontinuities, gives solutions at individual points, and exhibits great parallelism. However, the generation of each random walk in the Monte Carlo method has been done sequentially because each point in the walk is derived from the preceding point by moving one grid step along a randomly selected direction. A parallel algorithm for random walk generation in regular as well as irregular regions is presented. The algorithm is based on parallel prefix computations. The communication structure of the algorithm is shown to ideally fit on a hypercube of n nodes, where n is the number of processors.<>"",""1558-2183"","""",""10.1109/71.210818"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=210818"","""",""Parallel algorithms";Monte Carlo methods;Concurrent computing;Partial differential equations;Parallel processing;Mesh generation;Hypercubes;Multidimensional systems;Computer architecture;"Grid computing"","""",""3"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A parallel hash join algorithm for managing data skew,""J. L. Wolf"; P. S. Yu; J. Turek;" D. M. Dias"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""12"",""1355"",""1371"",""Presents a parallel hash join algorithm that is based on the concept of hierarchical hashing, to address the problem of data skew. The proposed algorithm splits the usual hash phase into a hash phase and an explicit transfer phase, and adds an extra scheduling phase between these two. During the scheduling phase, a heuristic optimization algorithm, using the output of the hash phase, attempts to balance the load across the multiple processors in the subsequent join phase. The algorithm naturally identifies the hash partitions with the largest skew values and splits them as necessary, assigning each of them to an optimal number of processors. Assuming for concreteness a Zipf-like distribution of the values in the join column, a join phase which is CPU-bound, and a shared nothing environment, the algorithm is shown to achieve good join phase load balancing, and to be robust relative to the degree of data skew and the total number of processors. The overall speedup due to this algorithm is compared to some existing parallel hash join methods. The proposed method does considerably better in high skew situations.<>"",""1558-2183"","""",""10.1109/71.250117"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=250117"","""",""Scheduling algorithm";Processor scheduling;Partitioning algorithms;Relational databases;Load management;Heuristic algorithms;Robustness;Parallel processing;Delay;"Proposals"","""",""31"",""2"",""48"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A parallel sort merge join algorithm for managing data skew,""J. L. Wolf"; D. M. Dias;" P. S. Yu"",""IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""1"",""70"",""86"",""A parallel sort-merge-join algorithm which uses a divide-and-conquer approach to address the data skew problem is proposed. The proposed algorithm adds an extra, low-cost scheduling phase to the usual sort, transfer, and join phases. During the scheduling phase, a parallelizable optimization algorithm, using the output of the sort phase, attempts to balance the load across the multiple processors in the subsequent join phase. The algorithm naturally identifies the largest skew elements, and assigns each of them to an optimal number of processors. Assuming a Zipf-like distribution of data skew, the algorithm is demonstrated to achieve very good load balancing for the join phase, and is shown to be very robust relative, among other things, to the degree of data skew and the total number of processors.<>"",""1558-2183"","""",""10.1109/71.205654"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=205654"","""",""Scheduling algorithm";Processor scheduling;Relational databases;Parallel processing;Costs;Load management;Robustness;Delay;Parallel architectures;"Proposals"","""",""25"",""3"",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A simple distributed loop-free routing strategy for computer communication networks,""K. G. Shin";" Chih-Che Chou"",""Real-Time Computing Laboratory, Computer Science and Engineering Division, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Real-Time Computing Laboratory, Computer Science and Engineering Division, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""12"",""1308"",""1319"",""The loops resulting from either component failures or load changes in a computer communication network degrade the performance and the adaptability of conventional distributed adaptive routing strategies, such as ARPANET's previous routing strategy (APRS). The authors develop distributed loop-free routing strategy by adding only one additional piece of information-the total number of minimum-delay paths-to the commonly used routing messages and tables. The proposed routing strategy requires only easily obtainable information, yet removes loops completely. It is far more efficient in both time and space than its conventional counterparts, especially for sparse computer networks. The authors prove the correctness of the proposed strategy, and give several illustrative examples. The performance of this strategy is shown to be better than, or at least as good as, that of APRS and any multiorder routing strategies, in which the order of a routing strategy is determined by the amount of routing information carried in each routing message.<>"",""1558-2183"","""",""10.1109/71.250113"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=250113"","""",""Routing";Computer networks;Distributed computing;Communication networks;Degradation;Adaptive systems;Fault tolerance;Telecommunication network reliability;"ARPANET"","""",""4"",""5"",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A sliding memory plane array processor,""M. H. Sunwoo";" J. K. Aggarwal"",""Department of Electronic Engineering, Ajou University, Suwon, South Korea";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""6"",""601"",""612"",""A mesh-connected single-input multiple-data (SIMD) architecture called a sliding memory plane (SliM) array processor is proposed. Differing from existing mesh-connected SIMD architectures, SliM has several salient features such as a sliding memory plane that provides inter-PE communication during computation. Two I/O planes provide an I/O overlapping capability. Thus, inter-PE communication and I/O overhead can be overlapped with computation. Inter-PE communication time is invisible in most image processing tasks because the computation time is larger than the communication time on SliM. The ability to overlap inter-PE communication with computation, regardless of window size and shape and without using a coprocessor or an on-chip DMA controller is unique to SliM.<>"",""1558-2183"","""",""10.1109/71.242162"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=242162"","""",""Image processing";Computer architecture;Communication system control;Shape control;Computer vision;Very large scale integration;Streaming media;Pixel;Random access memory;"Coprocessors"","""",""20"",""5"",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A study of achievable speedup in distributed simulation via NULL messages,""D. Kumar";" S. Harous"",""Department of Computer Engineering and Science, Case Western Reserve University, Cleveland, OH, USA";" Department of Mathematics and Computing, Sultan Qaboos University, Oman"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""3"",""347"",""354"",""The results of an experimental study on distributed simulation of three open queuing networks are reported. The distributed simulation scheme considered is a simple variation of the scheme given by K.M. Chandy and J. Misra (1979) using NULL messages. A new approach is used to study the relationship between the overhead and performance of a distributed simulator, and the approach is illustrated by studying these three example networks. Two measures of ideal speedup of distributed simulation over sequential simulation are defined and measured. These values of ideal speedup are much less than simply the number of processors, and hence provide a more realistic value for the ideal speedup.<>"",""1558-2183"","""",""10.1109/71.210817"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=210817"","""",""Computational modeling";Computer simulation;Velocity measurement;System recovery;Military computing;Distributed computing;"Mathematics"","""",""12"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A symmetric fragment and replicate algorithm for distributed joins,""J. W. Stamos";" H. C. Young"",""IBM Research Division, Almaden Research Center, San Jose, CA, USA";" IBM Research Division, Almaden Research Center, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""12"",""1345"",""1354"",""It is shown that the fragment and replicate (FR) distributed join algorithm is a special case of the symmetric fragment and replicate (SFR) algorithm, which improves the FR algorithm by reducing its communication. The SFR algorithm, like the FR algorithm, is applicable to N-way joins and nonequijoins and does tuple balancing automatically. The authors derive formulae that show how to minimize the communication in the SFR algorithm, discuss its performance on a parallel database prototype, and evaluate its practicality under various conditions. It is claimed that SFR improves the worst-case cost for a distributed join, but it will not displace specialized distributed join algorithms when the later are applicable.<>"",""1558-2183"","""",""10.1109/71.250116"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=250116"","""",""Partitioning algorithms";Multicast algorithms;Costs;Computational efficiency;Distributed algorithms;Broadcasting;Unicast;Database systems;Relational databases;"Prototypes"","""",""32"",""2"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A theory of coteries: mutual exclusion in distributed systems,""T. Ibaraki";" T. Kameda"",""Department of Applied Mathematics and Physics, Faculty of Engineering, Kyoto University, Kyoto, Japan";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""7"",""779"",""794"",""A coterie under a ground set U consists of subsets (called quorums) of U such that any pair of quorums intersect with each other. Nondominated (ND) coteries are of particular interest, since they are optimal in some sense. By assigning a Boolean variable to each element in U, a family of subsets of U is represented by a Boolean function of these variables. The authors characterize the ND coteries as exactly those families which can be represented by positive, self-dual functions. In this Boolean framework, it is proved that any function representing an ND coterie can be decomposed into copies of the three-majority function, and this decomposition is representable as a binary tree. It is also shown that the class of ND coteries proposed by D. Agrawal and A. El Abbadi (1989) is related to a special case of the above binary decomposition, and that the composition proposed by M.L. Neilsen and M. Mizuno (1992) is closely related to the classical Ashenhurst decomposition of Boolean functions. A number of other results are also obtained. The compactness of the proofs of most of these results indicates the suitability of Boolean algebra for the analysis of coteries.<>"",""1558-2183"","""",""10.1109/71.238300"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=238300"","""",""Boolean functions";Neodymium;Boolean algebra;Binary trees;History;Mathematical model;Database systems;Physics education;Systems engineering education;"Councils"","""",""74"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A unified formalization of four shared-memory models,""S. V. Adve";" M. D. Hill"",""Department of Computer Sciences, University of Wisconsin, Madison, WI, USA";" Department of Computer Sciences, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""6"",""613"",""624"",""The authors present a data-race-free-1, shared-memory model that unifies four earlier models: weak ordering, release consistency (with sequentially consistent special operations), the VAX memory model, and data-race-free-0. Data-race-free-1 unifies the models of weak ordering, release consistency, the VAX, and data-race-free-0 by formalizing the intuition that if programs synchronize explicitly and correctly, then sequential consistency can be guaranteed with high performance in a manner that retains the advantages of each of the four models. Data-race-free-1 expresses the programmer's interface more explicitly and formally than weak ordering and the VAX, and allows an implementation not allowed by weak ordering, release consistency, or data-race-free-0. The implementation proposal for data-race-free-1 differs from earlier implementations by permitting the execution of all synchronization operations of a processor even while previous data operations of the processor are in progress. To ensure sequential consistency, two sychronizing processors exchange information to delay later operations of the second processor that conflict with an incomplete data operation of the first processor.<>"",""1558-2183"","""",""10.1109/71.242161"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=242161"","""",""Multiprocessing systems";Programming profession;Proposals;Delay;Formal specifications;Logic;Optimization;Hardware;"Out of order"","""",""107"",""2"",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A virtual bus architecture for dynamic parallel processing,""K. C. Lee"",""Bellcore, Morristown, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""2"",""121"",""130"",""To support parallel processing of data-intensive applications, the interconnection network of a parallel/distributed machine must provide high end-to-end communication bandwidth and handle the bursty and concentrated communication patterns generated by dynamic load balancing and data collection operations. A large-scale interconnection network architecture called a virtual bus is proposed. The virtual bus can scale to terabits-per-second end-to-end communication bandwidth with low queuing delay for nonuniform traffic. A terabit virtual bus architecture can be efficiently implemented for less than 5% of the total cost of an eight-thousand-node system. In addition, the virtual bus has an open system parallel interface that is flexible enough to support up to gigabytes per second data transfer rates, different grades of services, and broadcast operation. Such flexibility makes the virtual bus a plausible open system communication backbone for a broad range of applications.<>"",""1558-2183"","""",""10.1109/71.207588"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=207588"","""",""Parallel processing";Multiprocessor interconnection networks;Bandwidth;Open systems;Load management;Large-scale systems;Delay;Telecommunication traffic;Traffic control;"Costs"","""",""7"",""9"",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Algorithms and bounds for shortest paths and diameter in faulty hypercubes,""S. . -B. Tien";" C. S. Raghavendra"",""Department of Electrical Engineering, Southem Illinois University, Carbondale, IL, USA";" School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""6"",""713"",""718"",""In an n-dimensional hypercube Qn, with the fault set mod F mod <2/sub n-2/, assuming S and D are not isolated, it is shown that there exists a path of length equal to at most their Hamming distance plus 4. An algorithm with complexity O( mod F mod logn) is given to find such a path. A bound for the diameter of the faulty hypercube Qn-F, when mod F mod <2/sub n-2/, as n+2 is obtained. This improves the previously known bound of n+6 obtained by A.-H. Esfahanian (1989). Worst case scenarios are constructed to show that these bounds for shortest paths and diameter are tight. It is also shown that when mod F mod <2n-2, the diameter bound is reduced to n+1 if every node has at least 2 nonfaulty neighbors and reduced to n if every node has at least 3 nonfaulty neighbors.<>"",""1558-2183"","""",""10.1109/71.242151"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=242151"","""",""Hypercubes";Fault tolerance;Routing;Hardware;Algorithm design and analysis;Hamming distance;Multiprocessing systems;Costs;Multiprocessor interconnection networks;"Network topology"","""",""29"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
