"2000 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""3"",""6"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2001.899935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899935"","""",""IEEE"","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Augmented ring networks,""W. Aiello"; S. N. Bhatt; F. R. K. Chung; A. L. Rosenberg;" R. K. Sitaraman"",""AT and T Research Laboratories, Florham Park, NJ, USA"; Akamai Technologies, Cambridge, MA, USA; Department of Computer Science, University of California, San Diego, La Jolla, CA, USA; Department of Computer Science, University of Massachusetts, Amherst, MA, USA;" Department of Computer Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""598"",""609"",""We study four augmentations of ring networks which are intended to enhance a ring's efficiency as a communication medium significantly, while increasing its structural complexity only modestly. Chordal rings add """"shortcut"""" edges, which can be viewed as chords, to the ring. Express rings are chordal rings whose chords are routed outside the ring. Multirings append subsidiary rings to edges of a ring and, recursively, to edges of appended subrings. Hierarchical ring networks (HRN's) append subsidiary rings to nodes of a ring and, recursively, to nodes of appended subrings. We show that these four modes of augmentation are very closely related: 1) Planar chordal rings, planar express rings, and multirings are topologically equivalent families of networks with the """"cutwidth"""" of an express ring translating into the """"tree depth"""" of its isomorphic multiring and vice versa. 2) Every depth-d HRN is a spanning subgraph of a depth-(2d-1) multiring. 3) Every depth-d multiring /spl Mscr/ can be embedded into a d-dimensional mesh with dilation 3 in such a way that some node of /spl Mscr/ resides at a corner of the mesh. 4) Every depth-d HRN /spl Hscr/ can be embedded into a d-dimensional mesh with dilation 2 in such a way that some node of /spl Hscr/ resides at a corner of the mesh. In addition to demonstrating that these four augmented ring networks are grid graphs, our embedding results afford us close bounds on how much decrease in diameter is achievable for a given increase in structural complexity for the networks. Specifically, we derive upper and lower bounds on the optimal diameters of N-node depth-d multirings and HRN's that are asymptotically tight for large N and d."",""1558-2183"","""",""10.1109/71.932713"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932713"","""",""Bandwidth";Computer networks;Embedded computing;Grid computing;Fault tolerance;"Filling"","""",""14"",""1"",""32"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Author index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1332"",""1335"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.2001.970567"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970567"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Backtracking in independent and-parallel implementations of logic programming languages,""E. Pontelli";" G. Gupta"",""Department of Computer Science, New Mexico State University, Las Cruces, NM, USA";" Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""11"",""1169"",""1189"",""In this paper, we present an implementation model which efficiently supports backtracking in an independent and-parallel nondeterministic system. The problem is tackled in the context of logic programming, although the solution proposed is sufficiently general to be easily extended to different nondeterministic systems, such as constraint programming systems. The complexity of the problem is demonstrated by the fact that most existing and-parallel systems either do not support backtracking over and-parallel calls or simply avoid analyzing the performance of their systems in the presence of nondeterministic benchmarks. The implementation model we present is an extension of the backtracking scheme developed by Hermenegildo and Nasr (1986) and relies on a novel memory organization scheme and on the use of various optimizations to reduce communication and overhead. The solution developed has been implemented in the ACE Parallel Prolog system. The performance of the system is analyzed on a variety of benchmarks. The results obtained are remarkable: speedups achieved during forward execution are not lost in heavy backtracking activities and, frequently, super-linear speedups are obtained thanks to a semi-intelligent backtracking scheme."",""1558-2183"","""",""10.1109/71.969127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969127"","""",""Logic programming";Parallel processing;Performance analysis;Computer science;Constraint optimization;Computer languages;Artificial intelligence;"Search problems"","""",""4"","""",""64"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Barrier synchronization on wormhole-routed networks,""Yuzhong Sun";" P. Y. S. Cheung"",""MxTek Networks, Inc., Albuquerque, NM";" Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""583"",""597"",""In this paper, we propose an efficient barrier synchronization scheme on networks with arbitrary topologies. We first present a distributed method in building a barrier routing tree. The barrier messages can be delivered adaptively according to the hierarchy of the established barrier tree to void congestion and faulty nodes in the network. We then propose a new technique, called bandwidth-preempting technique, for a blocked barrier message to preempt a channel occupied by a data message so that the latency of a barrier message can be controlled without affecting much of the overall system performance. We also propose an analytical performance model and present simulation results for the performance evaluation of the proposed scheme. Performance evaluations show that the proposed scheme outperforms the existing algorithms for barrier synchronization."",""1558-2183"","""",""10.1109/71.932712"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932712"","""",""Hardware";Delay;Routing;Computer worms;Network topology;Analytical models;Distributed computing;Switches;Sun;"Computer Society"","""",""4"","""",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Coarse-grained thread pipelining: a speculative parallel execution model for shared-memory multiprocessors,""I. H. Kazi";" D. J. Lilja"",""Sun MicroSystems, Inc.orporated, Palo Alto, CA, USA";" Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""952"",""966"",""This paper presents a new parallelization model, called coarse-grained thread pipelining, for exploiting speculative coarse-grained parallelism from general-purpose application programs in shared-memory multiprocessor systems. This parallelization model, which is based on the fine-grained thread pipelining model proposed for the superthreaded architecture, allows concurrent execution of loop iterations in a pipelined fashion with runtime data-dependence checking and control speculation. The speculative execution combined with the runtime dependence checking allows the parallelization of a variety of program constructs that cannot be parallelized with existing runtime parallelization algorithms. The pipelined execution of loop iterations in this new technique results in lower parallelization overhead than in other existing techniques. We evaluated the performance of this new model using some real applications and a synthetic benchmark. These experiments show that programs with a sufficiently large grain size compared to the parallelization overhead obtain significant speedup using this model. The results from the synthetic benchmark provide a means for estimating the performance that can be obtained from application programs that will be parallelized with this model. The library routines developed for this thread pipelining model are also useful for evaluating the correctness of the codes generated by the superthreaded compiler and in debugging and verifying the simulator for the superthreaded processor."",""1558-2183"","""",""10.1109/71.954629"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954629"","""",""Pipeline processing";Runtime;Multiprocessing systems;Parallel processing;Computer architecture;Grain size;Libraries;Debugging;"Data analysis"","""",""8"","""",""17"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiler-assisted multiple instruction word retry for VLIW architectures,""Shyh-Kwei Chen";" W. K. Fuchs"",""Thomas J. Watson Research Center, IBM, Corporation, Yorktown Heights, NY, USA";" School of Electrical and Computer Engineering, Purdue University, Calumet, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1293"",""1304"",""Very Long Instruction Word (VLIW) architectures can enhance performance by exploiting fine-grained instruction level parallelism. In this paper, we describe a compiler assisted multiple instruction word retry scheme for VLIW architectures. A read buffer is used to resolve the more frequent on-path hazards, while the compiler resolves the remaining branch hazards. Performance evaluation is described for 11 benchmark programs based on the IBM VLIW research compiler, Chameleon. Experimental results indicate that, for a VLIW machine with P functional units to rollback N instruction words, a read buffer of 2NP entries with the compiler assist can be an effective approach in producing low overhead runtime performance and small code growth, for P = 4, 8, 12, and 16 and N /spl les/ 3."",""1558-2183"","""",""10.1109/71.970564"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970564"","""",""VLIW";Processor scheduling;Parallel processing;Hardware;Electromagnetic transients;Delay;Redundancy;Hazards;Computer architecture;"Registers"","""",""4"",""1"",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Compiler-directed Collective-I/O,""M. Kandemir"",""Computer Science and Engineering Department, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1318"",""1331"",""Current approaches to parallel I/O demand extensive user effort to obtain acceptable performance. This is in part due to difficulties in understanding the characteristics of a wide variety of I/O devices and in part due to inherent complexity of I/O software. While parallel I/O systems provide users with environments where persistent data sets can be shared between parallel processors, the ultimate performance of I/O-intensive codes depends largely on the relation between data access patterns exhibited by parallel processors and storage patterns of data in files and on disks. In cases where access patterns and storage patterns match, we can exploit parallel I/O hardware by allowing each processor to perform independent parallel I/O. In order to keep performance decent under circumstances in which data access patterns and storage patterns do not match, several I/O optimization techniques have been developed in recent years. Collective I/O is such an optimization technique that enables each processor to do I/O on behalf of other processors if doing so improves the overall performance. While it is generally accepted that collective I/O and its variants can bring impressive improvements as far as the I/O performance is concerned, it is difficult for the programmer to use collective I/O in an optimal manner. We propose and evaluate a compiler-directed collective I/O approach which detects the opportunities for collective I/O and inserts the necessary I/O calls in the code automatically. An important characteristic of the approach is that instead of applying collective I/O indiscriminately, it uses collective I/O selectively only in cases where independent parallel I/O would not be possible or would lead to an excessive number of I/O calls. The approach involves compiler-directed access pattern and storage pattern detection schemes that work on a multiple application environment. We have implemented the necessary algorithms in a source-to-source translator and within a stand-alone tool Our experimental results on an SGI/Cray Origin 2000 multiprocessor machine demonstrate that our compiler-directed collective I/O scheme performs very well on different setups built using nine applications from several scientific benchmarks. We have also observed that the I/O performance of our approach is only 5.23 percent worse than an optimal scheme."",""1558-2183"","""",""10.1109/71.970566"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970566"","""",""Programming profession";Parallel architectures;Pattern matching;Hardware;Cache storage;Software performance;File systems;Microprocessors;Network interfaces;"Random access memory"","""",""3"","""",""56"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Composite k-arbiters,""Yu-Chen Kuo"",""Department of Computer and Information Science, Soochow University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""11"",""1134"",""1145"",""The k-arbiter is a useful concept to solve the distributed h-out-of-k mutual exclusion problem. The distributed h-out-of-k mutual exclusion algorithms, based on the k-arbiter, have the benefits of high fault tolerance and low message cost. However, according to the definition of the k-arbiter, it is required to have a nonempty intersection among any (/spl kappa/ + 1) quorums in a k-arbiter. Consequently, constructing k-arbiters is difficult. The coterie join operation proposed by Neilsen and Mizuno (1992) produces a new and larger coterie by joining known coteries. By extending the coterie join operation, we first propose a k-arbiter join operation to construct a new and larger k-arbiter from known k-arbiters for a large system. Then, we derive a necessary and sufficient condition for the k-arbiter join operation to construct a nondominated joined k-arbiter. Moreover, we discuss availability properties of the joined k-arbiters. We observe that, by selecting proper k-arbiters, the joined k-arbiter can provide a higher availability than that of the original input. Finally, we propose a k-arbiter compound, operation to construct k-arbiters by using coteries and/or k-coteries. By that way, the problem of constructing k-arbiters can be reduced to the problem of constructing coteries and/or k-coteries."",""1558-2183"","""",""10.1109/71.969124"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969124"","""",""Bandwidth";Fault tolerance;Costs;Sufficient conditions;Fault tolerant systems;System recovery;"Safety"","""",""1"","""",""18"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Computing in the RAIN: a reliable array of independent nodes,""V. Bohossian"; C. C. Fan; P. S. LeMahieu; M. D. Riedel; Lihao Xu;" J. Bruck"",""Rainfinity, Pasadena, CA, USA"; California Institute of Technology, Pasadena, CA, USA; California Institute of Technology, Pasadena, CA, USA; California Institute of Technology, Pasadena, CA, USA; Department of Computer Science, Washington University, Saint Louis, MO, USA;" California Institute of Technology, Pasadena, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""99"",""114"",""The RAIN project is a research collaboration between Caltech and NASA-JPL on distributed computing and data-storage systems for future spaceborne missions. The goal of the project is to identify and develop key building blocks for reliable distributed systems built with inexpensive off-the-shelf components. The RAIN platform consists of a heterogeneous cluster of computing and/or storage nodes connected via multiple interfaces to networks configured in fault-tolerant topologies. The RAIN software components run in conjunction with operating system services and standard network protocols. Through software-implemented fault tolerance, the system tolerates multiple node, link, and switch failures, with no single point of failure. The RAIN-technology has been transferred to Rainfinity, a start-up company focusing on creating clustered solutions for improving the performance and availability of Internet data centers. In this paper, we describe the following contributions: 1) fault-tolerant interconnect topologies and communication protocols providing consistent error reporting of link failures, 2) fault management techniques based on group membership, and 3) data storage schemes based on computationally efficient error-control codes. We present several proof-of-concept applications: a highly-available video server, a highly-available Web server, and a distributed checkpointing system. Also, we describe a commercial product, Rainwall, built with the RAIN technology."",""1558-2183"","""",""10.1109/71.910866"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910866"","""",""Rain";Fault tolerance;Protocols;Switches;Collaboration;Distributed computing;Computer interfaces;Computer networks;Network topology;"Operating systems"","""",""24"",""10"",""57"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Consensus-based fault-tolerant total order multicast,""U. Fritzke"; P. Ingels; A. Mostefaoui;" M. Raynal"",""Campus de Beaulieu, IRISA, Rennes, France"; Campus de Beaulieu, IRISA, Rennes, France; Campus de Beaulieu, IRISA, Rennes, France;" Campus de Beaulieu, IRISA, Rennes, France"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""147"",""156"",""While total order broadcast (or atomic broadcast) primitives have received a lot of attention, this paper concentrates on total order multicast to multiple groups in the context of asynchronous distributed systems in which processes may suffer crash failures. """"Multicast to Multiple Groups"""" means that each message is sent to a subset of the process groups composing the system, distinct messages possibly having distinct destination groups. """"Total Order"""" means that all message deliveries must be totally ordered. This paper investigates a consensus-based approach to solve this problem and proposes a corresponding protocol to implement this multicast primitive. This protocol is based on two underlying building blocks, namely, uniform reliable multicast and uniform consensus. Its design characteristics lie in the two following properties. The first one is a minimality property, more precisely, only the sender of a message and processes of its destination groups have to participate in the total order multicast of the message. The second property is a locality property: No execution of a consensus has to involve processes belonging to distinct groups (i.e., consensus is executed on a """"per group"""" basis). This locality property is particularly useful when one is interested in using the total order multicast primitive in large-scale distributed systems. In addition to a correctness proof, an improvement that reduces the cost of the protocol is also suggested."",""1558-2183"","""",""10.1109/71.910870"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910870"","""",""Fault tolerance";Broadcasting;Multicast protocols;Computer crashes;Detectors;Large-scale systems;Costs;"Fault tolerant systems"","""",""10"","""",""23"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Controlling aggregation in distributed object systems: a graph-based approach,""Z. Tari";" A. Fry"",""School of Computer Science and Information Technology, RMIT University, VIC, Australia";" School of Computer Science and Information Technology, RMIT University, VIC, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1236"",""1255"",""The Distributed Object Kernel is a federated database system providing a set of services which allow cooperative processing across different databases. The focus of this paper is the design of a DOK security service that provides for enforcing both local security policies, related to the security of local autonomous databases, and federated security policies, governing access to data aggregates composed of data from multiple distributed databases. We propose Global Access Control, an extended access control mechanism enabling a uniform expression of heterogeneous security information. Mappings from existing Mandatory and Discretionary Access Controls are described. To permit the control of data aggregation, the derivation of unauthorized information from authorized data, our security framework provides a logic-based language, the Federated Logic Language (FELL), which can describe constraints on both single and multiple states of the federation. To enforce constraints, FELL statements are mapped to state transition graphs which model the different subcomputations required to check the aggregation constraints. Graph aggregation operations are proposed for building compound state transition graphs for complex constraints. To monitor aggregation constraints, two marking techniques, called Linear Marking Technique and Zigzag Marking Technique, are proposed. Finally, we describe a three-layer DOK logical secure architecture enabling the implementation of the different security agents. This includes a Coordination layer, a Task layer, and a Database layer. Each contains specialized agents that enforce a different part of the federated security policy. Coordination is performed by the DOK Manager, enforcing security is performed by a specialized Constraint Manager agent, and the database functions are implemented by user and data agents."",""1558-2183"","""",""10.1109/71.970557"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970557"","""",""Distributed control";Control systems;Data security;Information security;Distributed databases;Access control;Kernel;Database systems;Aggregates;"Logic"","""",""4"",""7"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Cost-optimal parallel algorithms for the tree bisector and related problems,""Biing-Feng Wang"; Shan-Chyun Ku;" Keng-Hua Shil"",""Department of Computer Science, National Tsing Hua University, Taiwan, Republic of China"; Department of Computer Science, National Tsing Hua University, Taiwan, Republic of China;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""888"",""898"",""An edge is a bisector of a simple path if it contains the middle point of the path. Let T=(V,E) be a tree. Given a source vertex s /spl isin/ V, the single-source tree bisector problem is to find, for every vertex /spl upsi/ /spl isin/ V, a bisector of the simple path from s to /spl upsi/. The all-pairs tree bisector problem is to find for, every pair of vertices u, /spl upsi/ /spl isin/ V, a bisector of the simple path from u to /spl upsi/. In this paper, it is first shown that solving the single-source tree bisector problem of a weighted tree has a time lower bound /spl Omega/(n log n) in the sequential case. Then, efficient parallel algorithms are proposed on the EREW PRAM for the single-source and all-pairs tree bisector problems. Two O(log n) time single-source algorithms are proposed. One uses O(n) work and is for unweighted trees. The other uses O(n log n) work and is for weighted trees. Previous algorithms for the single-source problem could achieve the same time O(log n) and the same optimal work, O(n) for unweighted trees and O(n log n) for weighted trees, on the CRCW PRAM. The contribution of our single-source algorithms is the improvement from CRCW to EREW. One all-pairs parallel algorithm is proposed. It requires O(log n) time using O(n/sup 2/) work. All the proposed algorithms are cost-optimal. Efficient tree bisector algorithms have practical applications to several location problems on trees. Using the proposed algorithms, efficient parallel solutions for those problems are also presented."",""1558-2183"","""",""10.1109/71.954619"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954619"","""",""Parallel algorithms";Phase change random access memory;Computer Society;"Joining processes"","""",""11"","""",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Coterie join operation and tree structured k-coteries,""T. Harada";" M. Yamashita"",""Graduate School of Management, Hiroshima University, Naka, Hiroshima, Japan";" Department of Computer Science and Communication Engineering, Kyushu University, Fukuoka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""865"",""874"",""The coterie join operation proposed by M.L. Neilsen and M. Mizuno (1994) produces, from a k-coterie and a coterie, a new k-coterie. For the coterie join operation, this paper first shows 1) a necessary and sufficient condition to produce a nondominated k-coterie (more accurately, a nondominated k-semicoterie satisfying nonintersection property) and 2) a sufficient condition to produce a k-coterie with higher availability. By recursively applying the coterie join operation in such a way that the above conditions hold, we define nondominated k-coteries, called tree structured k-coteries, the availabilities of which are thus expected to be very high. This paper then proposes a new k-mutual exclusion algorithm that effectively uses a tree structured k-coterie, by extending Agrawal and El Abbadi's tree algorithm. The number of messages necessary for k processes obeying the algorithm to simultaneously enter the critical section is approximately bounded by k log(n/k) in the best case, where n is the number of processes in the system."",""1558-2183"","""",""10.1109/71.954617"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954617"","""",""Neodymium";Computer Society;Sufficient conditions;Availability;Helium;Distributed control;Control systems;Concurrent computing;System performance;"Algorithm design and analysis"","""",""7"","""",""23"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Design of fault-tolerant large-scale VOD servers: With emphasis on high-performance and low-cost,""L. Golubchik"; R. R. Muntz; Cheng-Fu Chou;" S. Berson"",""Department of Computer Science and UMIACS, University of Maryland, College Park, MD, USA"; Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA; Department of Computer Science and UMIACS, University of Maryland, College Park, MD, USA;" USC Information Sciences Institute, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""363"",""386"",""Recent technological advances in digital signal processing, data compression techniques, and high-speed communication networks have made Video-on-Demand (VOD) servers feasible. A challenging task in such systems is servicing multiple clients simultaneously while satisfying real-time requirements of continuous delivery of objects at specified rates. To accomplish these tasks and realize economies of scale associated with servicing a large user population, a VOD server requires a large disk subsystem. Although a single disk is fairly reliable, a large disk farm can have an unacceptably high probability of disk failure. Furthermore, due to real-time constraints, the reliability requirements of VOD systems are even more stringent than those of traditional information systems. Traditional RAID solutions are inadequate due to poor resource usage. Thus, in this paper, we present alternative schemes which provide a high degree of reliability at low disk storage, bandwidth, and memory costs for on-demand multimedia servers. Moreover, we discuss some of the main issues and trade-offs associated with providing fault tolerance in multidisk VOD systems. We would like to impress upon the reader that one of the main points of this paper is the exposition of trade-offs and issues associated with designing fault-tolerant VOD servers. It is not the case that one fault tolerance scheme is absolutely better than another, but rather that one must understand the trade-offs as well as one's system constraints and then choose a fault tolerance scheme accordingly."",""1558-2183"","""",""10.1109/71.920587"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920587"","""",""Fault tolerance";Large-scale systems;Network servers;Fault tolerant systems;Real time systems;Digital signal processing;Data compression;Communication networks;Economies of scale;"Information systems"","""",""21"","""",""25"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"DP: a paradigm for anonymous remote, computation and communication for cluster computing,""B. K. Johnson"; R. Karthikeyan;" D. J. Ram"",""Distributed and Object Systems GroupDepartment of Computer Science and Engineering, Indian Institute of Technology Madras, Chennai, India"; Distributed and Object Systems GroupDepartment of Computer Science and Engineering, Indian Institute of Technology Madras, Chennai, India;" Distributed and Object Systems GroupDepartment of Computer Science and Engineering, Indian Institute of Technology Madras, Chennai, India"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1052"",""1065"",""This paper explores the transparent programmability of communicating parallel tasks in a Network of, Workstations (NOW). Programs which are tied up with specific machines will not be resilient to the changing conditions of a NOW. The Distributed Pipes (DP) model enables location independent intertask communication among processes' across machines. This approach enables migration of communicating parallel tasks according to runtime conditions. A transparent programming model for a parallel solution to Iterative Grid Computations using DP is also proposed. Programs written using the model are resilient to the heterogeneity of nodes and changing conditions in the NOW. They are also devoid of any network related code. The design of runtime support and function library support are presented. An engineering problem, namely, the Steady State Equilibrium Problem, is studied over the model. The performance analysis shows the speedup due to parallel execution and scaled down memory requirements. We present a case where the effect of communication overhead can be nullified to achieve a linear to super-linear speedup. The analysis discusses performance resilience of Iterative Grid Computations and characterizes synchronization delay among subtasks and the effect of network overhead and load fluctuations on performance. The performance saturation characteristics of such applications are also studied."",""1558-2183"","""",""10.1109/71.963417"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963417"","""",""Grid computing";Performance analysis;Workstations;Parallel programming;Concurrent computing;Runtime library;Steady-state;Resilience;Computer networks;"Delay effects"","""",""12"","""",""11"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Efficient local search far DAG scheduling,""Min-You Wu"; Wei Shu;" Jun Gu"",""Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA"; Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA;" Computer Science Department, Hong Kong University of Science and Technology, Kowloon, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""617"",""627"",""Scheduling DAGs to multiprocessors is one of the key issues in high-performance computing. Most realistic scheduling algorithms are heuristic and heuristic algorithms often have room for improvement. The quality of a scheduling algorithm can be effectively improved by a local search. In this paper, we present a fast local search algorithm based on topological ordering. This is a compaction algorithm that can effectively reduce the schedule length produced by any DAG Scheduling algorithm. Thus, it can improve the quality of existing DAG scheduling algorithms. This algorithm can quickly determine the optimal search direction. Thus, it is of low complexity and extremely fast."",""1558-2183"","""",""10.1109/71.932715"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932715"","""",""Scheduling algorithm";Processor scheduling;Dynamic scheduling;Runtime;Load management;Heuristic algorithms;Concurrent computing;Costs;Compaction;"Parallel processing"","""",""34"","""",""26"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Efficient multicast on irregular switch-based cut-through networks with up-down routing,""R. Kesavan";" D. K. Panda"",""Network Appliances, Inc., Sunnyvale, CA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""8"",""808"",""828"",""The irregular switch-based network of workstations is fast becoming a cost-effective platform for high performance computing. This paper presents efficient multicasting with reduced link contention on irregular switch-based cut-through interconnection using the popular up*/down* (UD) routing and unicast message passing. First, it is proven that, for an arbitrary irregular network with UD routing, it is not possible to create an ordered list of nodes to implement an arbitrary multicast in a link contention-free manner with a minimal number of communication steps. Next, three different multicast algorithms are proposed with their respective node orderings to reduce link contention: switch-based ordering (SO), switch-based hierarchical ordering (SHO), and chain concatenation ordering (CCO). A variation of the binomial tree-based communication pattern, with unicast message passing, is used on the above orderings to implement multicast. Then, the problem of node contention is described in the case when multiple multicasts occur concurrently in a system. Using source-based information, the CCO algorithm is modified to propose a source-partitioned chain concatenation ordering (SPCCO) algorithm. It is also shown how the SPCCO algorithm reduces the effect of node contention at the cost of link contention. Using detailed simulation experiments, the proposed multicast algorithms are compared with each other as well as with the naive random ordering (RO) algorithm for a range of system sizes, switch sizes, message lengths, input buffer sizes, degrees of connectivity, destination set sizes, and communication start-up times. For the case of single multicast, the CCO algorithm is shown to be the best to implement multicast with reduced link contention and minimum latency, For the case of multiple multicasts, the SPCCO algorithm is shown to be the best when the start-up overhead dominates the propagation overhead and the CCO algorithm is shown to be the best otherwise. The results also highlight the importance of reducing link contention when designing efficient multicast, even for systems with large input buffers in the switches. Thus, these results demonstrate significant potential to be applied to current and future generation NOW systems with irregular interconnection."",""1558-2183"","""",""10.1109/71.946654"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946654"","""",""Multicast algorithms";Communication switching;Switches;Routing;Unicast;Message passing;Workstations;High performance computing;Costs;"Delay"","""",""15"","""",""43"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
