"A Comment on ""The Exchanged Hypercube',""Y. -w. Chen"",""Department of Computer and Information Science, Aletheia University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""576"",""576"",""We address and analyze the problems existing on the exchanged hypercube proposed by Loh et al., an interconnection network obtained by systematically removing links from a hypercube. By taking the wrong number of links, the exchanged hypercube suffers from two problems. Necessary modifications on the exchanged hypercube, including the incremental expandability and the ratio of the number of links in EH(s, t) to that of an (s+t+1)-dimensional hypercube, are made"",""1558-2183"","""",""10.1109/TPDS.2007.1006"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118697"",""Interconnection network";exchanged hypercube;incremental expandability;"number of links."",""Hypercubes";Multiprocessor interconnection networks;Topology;Intelligent networks;"Hamming distance"","""",""16"","""",""1"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"ASAP: An Adaptive Sampling Approach to Data Collection in Sensor Networks,""B. Gedik"; L. Liu;" P. S. Yu"",""IBM Thomas J. Watson Research Center, Hawthorne, NY, USA"; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA;" IBM Thomas J. Watson Research Center, Hawthorne, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1766"",""1783"",""One of the most prominent and comprehensive ways of data collection in sensor networks is to periodically extract raw sensor readings. This way of data collection enables complex analysis of data, which may not be possible with in-network aggregation or query processing. However, this flexibility in data analysis comes at the cost of power consumption. In this paper we develop ASAP − an adaptive sampling approach to energyefficient periodic data collection in sensor networks. The main idea behind ASAP is to use a dynamically changing subset of the nodes as samplers such that the sensor readings of the sampler nodes are directly collected, whereas the values of the non-sampler nodes are predicted through the use of probabilistic models that are locally and periodically constructed. ASAP can be effectively used to increase the network lifetime while keeping the quality of the collected data high, in scenarios where either the spatial density of the network deployment is superfluous relative to the required spatial resolution for data analysis or certain amount of data quality can be traded off in order to decrease the power consumption of the network. ASAP approach consists of three main mechanisms. First, sensing-driven cluster construction is used to create clusters within the network such that nodes with close sensor readings are assigned to the same clusters. Second, correlation-based sampler selection and model derivation are used to determine the sampler nodes and to calculate the parameters of the probabilistic models that capture the spatial and temporal correlations among the sensor readings. Last, adaptive data collection and model-based prediction are used to minimize the number of messages used to extract data from the network. A unique feature of ASAP is the use of in-network schemes, as opposed to the protocols requiring centralized control, to select and dynamically refine the subset of the sensor nodes serving as samplers and to adjust th"",""1558-2183"","""",""10.1109/TPDS.2007.1110"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359398"",""C.2.7.c Sensor networks";C.2.0.b Data communications;H.2.1.a Data models;C.2.7.c Sensor networks;C.2.0.b Data communications;"H.2.1.a Data models"",""Sampling methods";Data analysis;Predictive models;Data mining;Energy consumption;Query processing;Costs;Energy efficiency;Spatial resolution;"Protocols"","""",""132"",""5"",""31"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Assisted Peer-to-Peer Search with Partial Indexing,""R. Zhang";" Y. C. Hu"",""School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA";" School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1146"",""1158"",""In the past few years, peer-to-peer (P2P) networks have become a promising paradigm for building a wide variety of distributed systems and applications. The most popular P2P application till today is file sharing, e.g., Gnutella, Kazza, etc. These systems are usually referred to as unstructured, and search in unstructured P2P networks usually involves flooding or random walking. On the other hand, in structured P2P networks (DHTs), search is usually performed by looking up a distributed inverted index. The efficiency of the search mechanism is the key to the scalability of a P2P content sharing system. So far, neither unstructured nor structured P2P networks alone can solve the search problem in a satisfactory way. In this paper, we propose to combine the strengths of both unstructured and structured P2P networks to achieve more efficient search. Specifically, we propose to enhance search in unstructured P2P overlay networks by building a partial index of shared data using a structured P2P network. The index maintains two types of information: the top interests of peers and globally unpopular data, both characterized by data properties. The proposed search protocol, assisted search with partial indexing, makes use of the index to improve search in three ways: first, the index assists peers to find other peers with similar interests and the unstructured search overlay is formed to reflect peer interests. Second, the index also provides search hints for those data difficult to locate by exploring peer interest locality, and these hints can be used for second-chance search. Third, the index helps to locate unpopular data items. Experiments based on a P2P file sharing trace show that the assisted search with a lightweight partial indexing service can significantly improve the success rate in locating data than Gnutella and a hit-rate-based protocol in unstructured P2P systems, while incurring low search latency and overheads."",""1558-2183"","""",""10.1109/TPDS.2007.1035"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288111"",""C.2.4 Distributed Systems";"H.3.3 Information Search and Retrieval"",""Peer to peer computing";Indexing;Protocols;Buildings;Network servers;Network topology;Legged locomotion;Scalability;Search problems;"Delay"","""",""50"","""",""45"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Backfilling Using System-Generated Predictions Rather than User Runtime Estimates,""D. Tsafrir"; Y. Etsion;" D. G. Feitelson"",""School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel"; School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel;" School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2007"",""2007"",""18"",""6"",""789"",""803"",""The most commonly used scheduling algorithm for parallel supercomputers is FCFS with backfilling, as originally introduced in the EASY scheduler. Backfilling means that short jobs are allowed to run ahead of their time provided they do not delay previously queued jobs (or at least the first queued job). However, predictions have not been incorporated into production schedulers, partially due to a misconception (that we resolve) claiming inaccuracy actually improves performance, but mainly because underprediction is technically unacceptable: users will not tolerate jobs being killed just because system predictions were too short. We solve this problem by divorcing kill-time from the runtime prediction and correcting predictions adaptively as needed if they are proved wrong. The end result is a surprisingly simple scheduler, which requires minimal deviations from current practices (e.g., using FCFS as the basis) and behaves exactly like EASY as far as users are concerned"; nevertheless, it achieves significant improvements in performance, predictability, and accuracy. Notably, this is based on a very simple runtime predictor that just averages the runtimes of the last two jobs by the same user;" counter intuitively, our results indicate that using recent data is more important than mining the history for similar jobs. All the techniques suggested in this paper can be used to enhance any backfilling algorithm and are not limited to EASY"",""1558-2183"","""",""10.1109/TPDS.2007.70606"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4180346"",""Parallel job scheduling";backfilling;runtime estimates;system-generated predictions;history-based predictions;dynamic prediction correction;performance metrics;EASY;EASY++;"SJBF."",""Runtime";Supercomputers;History;Processor scheduling;Scheduling algorithm;Delay effects;Job production systems;Accuracy;Dynamic scheduling;"Measurement"","""",""249"",""9"",""39"",""IEEE"",""7 May 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Balanced Overlay Networks (BON): An Overlay Technology for Decentralized Load Balancing,""J. Bridgewater"; P. O. Boykin;" V. Roychowdhury"",""Electrical Engineering Department, University of California, Los Angeles, CA, USA"; Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA;" Electrical Engineering Department, University of California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1122"",""1133"",""We present a novel framework, called balanced overlay networks (BON), that provides scalable, decentralized load balancing for distributed computing using large-scale pools of heterogeneous computers. Fundamentally, BON encodes the information about each node's available computational resources in the structure of the links connecting the nodes in the network. This distributed encoding is self-organized, with each node managing its in-degree and local connectivity via random-walk sampling. Assignment of incoming jobs to nodes with the most free resources is also accomplished by sampling the nodes via short random walks. Extensive simulations show that the resulting highly dynamic and self-organized graph structure can efficiently balance computational load throughout large-scale networks. These simulations cover a wide spectrum of cases, including significant heterogeneity in available computing resources and high burstiness in incoming load. Prior analytical results show BON's scalability for truly large-scale networks";" under certain ideal conditions, the network structure converges to Erdos-Renyi (ER) random graphs. Our simulation results, however, show that the algorithm does much better, and the structures seem to approach the ideal case of d-regular random graphs. We also make a connection between highly-loaded BON and the well-known ball-bin randomized load balancing framework."",""1558-2183"","""",""10.1109/TPDS.2007.1031"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288109"",""Distributed computing";random walks;load balancing;random graphs;"randomized algorithms"",""Load management";Large-scale systems;Computer networks;Computational modeling;Distributed computing;Sampling methods;Joining processes;Encoding;Scalability;"Erbium"","""",""17"","""",""27"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Bandwidth Management for Supporting Differentiated Service Aware Traffic Engineering,""T. Shan";" O. Yang"",""Nortel Networks Limited, Ottawa, ONT, Canada";" School of Information Technology and Engineering, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1320"",""1331"",""This paper presents a bandwidth management framework for the support of differentiated-service-aware traffic engineering (DS-TE) in multiprotocol label switching (MPLS) networks. Our bandwidth management framework contains both bandwidth allocation and preemption mechanisms in which the link bandwidth is managed in two dimensions: class type (CT) and preemption priority. We put forward a Max-Min bandwidth constraint model in which we propose a novel """"use it or lend it"""" strategy. The new model is able to guarantee a minimum bandwidth for each CT without causing resource fragmentation. Furthermore, we design three new bandwidth preemption algorithms for three bandwidth constraint models, respectively. An extensive simulation study is carried out to evaluate the effectiveness of the bandwidth constraint models and preemption algorithms. When compared with the existing constraint models and preemption rules, the proposed Max-Min constraint model and preemption algorithms improve not only bandwidth efficiency, but also robustness and fairness. They achieve significant performance improvement for the well-behaving traffic classes in terms of bandwidth utilization and bandwidth blocking and preemption probability. We also provide guidelines for selecting different DS-TE bandwidth management mechanisms."",""1558-2183"","""",""10.1109/TPDS.2007.1052"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288130"",""Resource Management";Admission Control;Differentiated Service;"Traffic Engineering"",""Bandwidth";Engineering management;Tellurium;Telecommunication traffic;Diffserv networks;Multiprotocol label switching;Quality of service;Traffic control;Admission control;"Processor scheduling"","""",""16"",""5"",""27"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Bounded-Collision Memory-Mapping Schemes for Data Structures with Applications to Parallel Memories,""G. Cordasco"; V. Scarano;" A. L. Rosenberg"",""Dipartimento di Informatica ed Applicazioni R.M. Capocdelli, Università De Salerno, Fisciano, Salerno, Italy"; Dipartimento di Informatica ed Applicazioni R.M. Capocdelli, Università De Salerno, Fisciano, Salerno, Italy;" Department of Computer Science, University of Massachusetts, Amherst, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Jun 2007"",""2007"",""18"",""7"",""973"",""982"",""Techniques are developed for mapping structured data to an ensemble of parallel memory modules in a way that limits the number of conflicts, i.e., simultaneous accesses by distinct processors to the same memory module. The techniques determine, for any given conflict tolerance c, the smallest ensemble that allows one to store any n-node data structure """"of type X"""" in such a way that no more than c nodes of a structure are stored on the same module. This goal is achieved by determining the smallest c-perfect universal graphs for data structures """"of type X."""" Such a graph is the smallest graph that contains a homomorphic image of each n-node structure """"of type X"""" with each node of the image holding < c nodes of the structure. In the current paper, """"type X"""" refers to rooted binary trees and three array-like structures: chaotic arrays, ragged arrays, and rectangular arrays. For each of these families of data structures, the number of memory modules needed to achieve conflict tolerance c is determined to within constant factors."",""1558-2183"","""",""10.1109/TPDS.2007.1024"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218576"",""Parallel memory systems";data structures for parallel systems;bounded-conflict parallel memory access;data mapping;parallel architectures;parallel systems;data structures;"graph labeling."",""Data structures";Simultaneous localization and mapping;Binary trees;Chaos;Application software;Parallel architectures;Labeling;Multiprocessing systems;Algorithm design and analysis;"Delay"","""",""16"","""",""29"",""IEEE"",""4 Jun 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Building a Scalable Bipartite P2P Overlay Network,""Y. Liu"; L. Xiao;" L. Ni"",""Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1296"",""1306"",""The peer-to-peer (P2P) model, being widely adopted in today's Internet computing, suffers from the problem of topology mismatch between the overlay networks and the underlying physical network. Traditional topology optimization techniques identify physically closer nodes to connect as overlay neighbors, but could significantly shrink the search scope. Efforts have been made to address the mismatch problem without sacrificing the search scope, but they either need time synchronization among peers or have a low convergent speed. In this paper, we propose a scalable bipartite overlay (SBO) scheme to optimize the overlay topology by identifying and replacing the mismatched connections. In SBO, we employ an efficient strategy for distributing optimization tasks in peers with different colors. We conducted comprehensive simulations to evaluate this design. The results show that SBO achieves approximately 85 percent of reduction on traffic cost and about 60 percent of reduction on query response time. Our comparisons with previous approaches to address the topology mismatch problem have shown that SBO can achieve a fast convergent speed, without the need of time synchronization among peers."",""1558-2183"","""",""10.1109/TPDS.2007.1059"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288128"",""Unstructured Peer-to-Peer";topology mismatch;overlay;bipartite;"search efficiency"",""Peer to peer computing";Network topology;Delay;Telecommunication traffic;Traffic control;Internet;IP networks;Computer networks;Physics computing;"Costs"","""",""76"",""3"",""31"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"CMP Support for Large and Dependent Speculative Threads,""C. B. Colohan"; A. Ailamaki; G. Steffan;" T. C. Mowry"",""Google, Inc., Mountain View, CA, USA"; Computer Science Department, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Electrical and Computer Engineering, Computer Engineering Research Group, University of Toronto, Toronto, ONT, Canada;" Computer Science Department, Carnegie Mellon University, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1041"",""1054"",""Thread-level speculation (TLS) has proven to be a promising method of extracting parallelism from both integer and scientific workloads, targeting speculative threads that range in size from hundreds to several thousand dynamic instructions and have minimal dependences between them. However, recent work has shown that TLS can offer compelling performance improvements when targeting much larger speculative threads of more than 50,000 dynamic instructions per thread, with many frequent data dependences between them. To support such large and dependent speculative threads, hardware must be able to buffer the additional speculative state, and must also address the more challenging problem of tolerating the resulting cross-thread data dependences. In this article we present chipmultiprocessor (CMP) support for large speculative threads that integrates several previous proposals for TLS hardware. We also present support for sub-threads: a mechanism for tolerating crossthread data dependences by checkpointing speculative execution. Through an evaluation that exploits the proposed hardware support in the database domain, we find that the transaction response time for three of the five transactions from TPC-C (on a simulated 4-processor chip-multiprocessor) speed up by a factor of 1.9 to 2.9."",""1558-2183"","""",""10.1109/TPDS.2007.1081"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288103"",""Multiprocessor Systems";thread-level speculation;databases;"cache coherence"",""Hardware";Delay;Transaction databases;Parallel processing;Computer Society;Proposals;Checkpointing;Microprocessors;"Computer industry"","""",""8"",""1"",""37"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Collaborative Detection of DDoS Attacks over Multiple Network Domains,""Y. Chen"; K. Hwang;" W. -S. Ku"",""Department of Electrical and Computer Engineering, State University of New York-Binghamton, Binghamton, NY"; Departments of Electrical Engineering and Computer Science, University of Southern Californiaz, Los Angeles, CA;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1649"",""1662"",""This paper presents a new distributed approach to detecting DDoS (distributed denial of services) flooding attacks at the traffic-flow level The new defense system is suitable for efficient implementation over the core networks operated by Internet service providers (ISPs). At the early stage of a DDoS attack, some traffic fluctuations are detectable at Internet routers or at the gateways of edge networks. We develop a distributed change-point detection (DCD) architecture using change aggregation trees (CAT). The idea is to detect abrupt traffic changes across multiple network domains at the earliest time. Early detection of DDoS attacks minimizes the floe cling damages to the victim systems serviced by the provider. The system is built over attack-transit routers, which work together cooperatively. Each ISP domain has a CAT server to aggregate the flooding alerts reported by the routers. CAT domain servers collaborate among themselves to make the final decision. To resolve policy conflicts at different ISP domains, a new secure infrastructure protocol (SIP) is developed to establish mutual trust or consensus. We simulated the DCD system up to 16 network domains on the Cyber Defense Technology Experimental Research (DETER) testbed, a 220-node PC cluster for Internet emulation experiments at the University of Southern California (USC) Information Science Institute. Experimental results show that four network domains are sufficient to yield a 98 percent detection accuracy with only 1 percent false-positive alarms. Based on a 2006 Internet report on autonomous system (AS) domain distribution, we prove that this DDoS defense system can scale well to cover 84 AS domains. This security coverage is wide enough to safeguard most ISP core networks from real-life DDoS flooding attacks."",""1558-2183"","""",""10.1109/TPDS.2007.1111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359399"",""Cyber defense";network security;DDoS attacks;Internet technology;Cyber defense;network security;DDoS attacks;"Internet technology"",""Collaboration";Computer crime;Telecommunication traffic;IP networks;Network servers;Web and internet services;Fluctuations;Aggregates;Floods;"Collaborative work"","""",""169"",""1"",""43"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiler-Directed Energy Optimization for Parallel Disk Based Systems,""S. Woo Son"; G. Chen; O. Ozturk; M. Kandemir;" A. Choudhary"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Microsoft, Redmond, WA, USA; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1241"",""1257"",""Disk subsystem is known to be a major contributor to overall power consumption of high-end parallel systems. Past research proposed several architectural-level techniques to reduce disk power by taking advantage of idle periods experienced by disks. Although such techniques have been known to be effective in certain cases, they share a common drawback: they operate in a reactive manner, i.e., they control disk power by observing past disk activity (for example, idle and active periods) and estimating future ones. Consequently, they can miss opportunities for saving power and incur significant performance penalties due to inaccuracies in predicting idle and active times. Motivated by this observation, this paper proposes and evaluates a compiler-driven approach to reducing disk power consumption of array-based scientific applications executing on parallel architectures. The proposed approach exposes disk layout information to the compiler, allowing it to derive the disk access pattern, i.e., the order in which parallel disks are accessed. This paper demonstrates two uses of this information. First, we can implement proactive disk power management, i.e., we can select the most appropriate power-saving strategy and disk-preactivation strategy based on the compiler-predicted future idle and active periods of parallel disks. Second, we can restructure the application code to increase the length of idle disk periods, which leads to better exploitation of available power-saving capabilities. We implemented both these approaches within an optimizing compiler and tested their effectiveness using a set of benchmark codes from the Spec 2000 suite and a disk power simulator. Our results show that the compiler-driven disk power management is very promising. The experimental results also reveal that, although proactive disk power management is very effective, code restructuring for disk power achieves additional energy savings across all the benchmarks tested, and these savings are very close to optimal savings that can be obtained through an integer linear programming (ILP)-based scheme."",""1558-2183"","""",""10.1109/TPDS.2007.1056"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288124"",""Disk subsystem";I/O traces;optimizing compilers;power-aware computing;"parallel I/O"",""Optimizing compilers";Energy consumption;Energy management;Parallel architectures;Benchmark testing;Integer linear programming;Concurrent computing;Clocks;Frequency;"Cities and towns"","""",""7"",""1"",""41"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"COPACC: An Architecture of Cooperative Proxy-Client Caching System for On-Demand Media Streaming,""A. T. s. Ip"; J. Liu;" J. C. -s. Lui"",""Computer Science and Engineering Department, Chinese University of Hong Kong, New Territories, Hong Kong, China"; School of Computer Science, Simon Fraser University, Vancouver, BC, Canada;" Computer Science and Engineering Department, Chinese University of Hong Kong, New Territories, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Dec 2006"",""2007"",""18"",""1"",""70"",""83"",""Proxy caching is a key technique to reduce transmission cost for on-demand multimedia streaming. The effectiveness of current caching schemes, however, is limited by the insufficient storage space and weak cooperation among proxies and their clients, particularly considering the high bandwidth demands from media objects. In this paper, we propose COPACC, a cooperative proxy-and-client caching system that addresses the above deficiencies. This innovative approach combines the advantages of both proxy caching and peer-to-peer client communications. It leverages the client-side caching to amplify the aggregated cache space and rely on dedicated proxies to effectively coordinate the communications. We propose a comprehensive suite of distributed protocols to facilitate the interactions among different network entities in COPACC. It also realizes a smart and cost-effective cache indexing, searching, and verifying scheme. Furthermore, we develop an efficient cache allocation algorithm for distributing video segments among the proxies and clients. The algorithm not only minimizes the aggregated transmission cost of the whole system, but also accommodates heterogeneous computation and storage constraints of proxies and clients. We have extensively evaluated the performance of COPACC under various network and end-system configurations. The results demonstrate that it achieves remarkably lower transmission cost as compared to pure proxy-based caching with limited storage space. On the other hand, it is much more robust than a pure peer-to-peer communication system in the presence of node failures. Meanwhile, its computation and control overheads are both kept in low levels"",""1558-2183"","""",""10.1109/TPDS.2007.253282"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4020513"",""Media streaming";proxy caching;peer-to-peer caching;media segmentation;"resource allocation."",""Streaming media";Peer to peer computing;Costs;Network servers;Web server;Web and internet services;Bandwidth;Protocols;Indexing;"Robustness"","""",""23"",""3"",""35"",""IEEE"",""4 Dec 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"DAW: A Distributed Antiworm System,""S. Chen";" Y. Tang"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA";" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Jun 2007"",""2007"",""18"",""7"",""893"",""906"",""A worm automatically replicates itself across networks and may infect millions of servers in a short period of time. It is conceivable that the cyberterrorists may use a widespread worm to cause major disruption to the Internet economy. Much recent research concentrates on propagation models and early warning, but the defense against worms is largely an open problem. We propose a distributed antiworm architecture (DAW) that automatically slows down or even halts the worm propagation within an Internet service provider (ISP) network. New defense techniques are developed based on the behavioral difference between normal hosts and worm-infected hosts. Particularly, a worm-infected host has a much higher connection-failure rate when it randomly scans the Internet. This property allows DAW to set the worms apart from the normal hosts. We propose a temporal rate-limit algorithm and a spatial rate-limit algorithm, which makes the speed of worm propagation configurable by the parameters of the defense system. The effectiveness of the new techniques is evaluated analytically and by simulations."",""1558-2183"","""",""10.1109/TPDS.2007.1033"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218570"",""Internet worms";network security;"rate-limit algorithms."",""Computer worms";Web server;Web and internet services;Protocols;Network servers;Service oriented architecture;Analytical models;Asia;"Europe"","""",""10"","""",""33"",""IEEE"",""4 Jun 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Design and Analysis of Sensing Scheduling Algorithms under Partial Coverage for Object Detection in Sensor Networks,""S. Ren"; Q. Li; H. Wang; X. Chen;" X. Zhang"",""Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA"; Department of Computer Science, College of William and Mary, Williamsburg, VA, USA; Department of Computer Science, College of William and Mary, Williamsburg, VA, USA; IAC/Search and Media, Edison, NJ, USA;" Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Feb 2007"",""2007"",""18"",""3"",""334"",""350"",""Object detection quality and network lifetime are two conflicting aspects of a sensor network, but both are critical to many sensor applications such as military surveillance. Partial coverage, where a sensing field is partially sensed by active sensors at any time, is an appropriate approach to balancing the two conflicting design requirements of monitoring applications. Under partial coverage, we develop an analytical framework for object detection in sensor networks, and mathematically analyze average-case object detection quality in random and synchronized sensing scheduling protocols. Our analytical framework facilitates performance evaluation of a sensing schedule, network deployment, and sensing scheduling protocol design. Furthermore, we propose three wave sensing scheduling protocols to achieve bounded worst-case object detection quality. We justify the correctness of our analyses through rigorous proof, and validate the effectiveness of the proposed protocols through extensive simulation experiments"",""1558-2183"","""",""10.1109/TPDS.2007.41"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4079533"",""Sensor networks";object detection quality;"system lifetime."",""Algorithm design and analysis";Scheduling algorithm;Object detection;Monitoring;Protocols;Event detection;Sensor phenomena and characterization;Surveillance;Vehicle detection;"Animals"","""",""69"",""1"",""33"",""IEEE"",""5 Feb 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Design of Adaptive PI Rate Controller for Best-Effort Traffic in the Internet Based on Phase Margin,""Y. Hong";" O. W. w. Yang"",""School of Information Technology and Engineering, University of Ottawa, Ottawa, ONT, Canada";" School of Information Technology and Engineering, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""550"",""561"",""In this paper, we propose an adaptive PI (proportional-integral) rate controller for the AQM (active queue management) router that would support best-effort traffic in the Internet. Unlike most window-based controllers, our rate-based controller design is derived from the classical control theory and it would allow the users to achieve good stability robustness of the AQM control system by specifying a proper phase margin. We also make our controller adaptive by selecting a simple heuristic parameter to monitor the network environment real-time so that the controller would self-tune only when a dramatic change of the network traffic has drifted the monitoring parameter outside its specified interval. Located in the router, the adaptive PI rate controller calculates desirable source window sizes (i.e., source sending rates) based on the instantaneous queue length of the buffer and advertises it to the sources. Our simulations demonstrate that our AQM control system can adapt very well to sudden changes in network environment, thus providing the network with good transient behavior. By making the source sending rate relatively smooth, our adaptive PI rate controller becomes quite suitable for streaming media traffic control in the Internet"",""1558-2183"","""",""10.1109/TPDS.2007.1016"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118695"",""Rate-based control";active queue management;best-effort traffic;PI control;TCP/IP;streaming media traffic;"self-tune."",""Programmable control";Adaptive control;Internet;Traffic control;Control systems;Robust stability;Condition monitoring;Pi control;Proportional control;"Control theory"","""",""57"",""1"",""29"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
