"A 3.42-Approximation Algorithm for Scheduling Malleable Tasks under Precedence Constraints,""C. -Y. Chen";" C. -P. Chu"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan";" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1479"",""1488"",""Scheduling malleable tasks under general precedence constraints involves finding a minimum makespan (maximum completion time) by a feasible allotment. Based on the monotonous penalty assumptions of Blayo et al. [2], this work defines two assumptions concerning malleable tasks: the processing time of a malleable task is nonincreasing in the number of processors, while the work of a malleable task is nondecreasing in the number of processors. Additionally, the work function is assumed herein to be convex in the processing time. The proposed algorithm reformulates the linear program of [11], and this algorithm and associated proofs are inspired by the ones of [11]. This work describes a novel polynomial-time approximation algorithm that is capable of achieving an approximation ratio of 2+√2≈3.4142. This work further demonstrates that the proposed algorithm can yield an approximation ratio of 2.9549 when the processing time is strictly decreasing in the number of the processors allocated to the task. This finding represents an improvement upon the previous best approximation ratio of 100/63+100(√6469+137)/5481≈3.2920 [12] achieved under the same assumptions."",""1558-2183"","""",""10.1109/TPDS.2012.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295609"",""Approximation algorithms";Program processors;Approximation methods;Schedules;Processor scheduling;Scheduling;Manganese;precedence constraints;Approximation algorithms;scheduling;"malleable tasks"",""Approximation algorithms";Program processors;Approximation methods;"Scheduling"","""",""20"","""",""22"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Dynamic Optimization of Multiattribute Resource Allocation in Self-Organizing Clouds,""S. Di";" C. -L. Wang"",""INRIA, Grenoble, Room 213 Laboratoire LIG, ENSIMAG, MESCAL Group, Montbonnot Saint Martin, France";" Department of Computer Science, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""464"",""478"",""By leveraging virtual machine (VM) technology which provides performance and fault isolation, cloud resources can be provisioned on demand in a fine grained, multiplexed manner rather than in monolithic pieces. By integrating volunteer computing into cloud architectures, we envision a gigantic self-organizing cloud (SOC) being formed to reap the huge potential of untapped commodity computing power over the Internet. Toward this new architecture where each participant may autonomously act as both resource consumer and provider, we propose a fully distributed, VM-multiplexing resource allocation scheme to manage decentralized resources. Our approach not only achieves maximized resource utilization using the proportional share model (PSM), but also delivers provably and adaptively optimal execution efficiency. We also design a novel multiattribute range query protocol for locating qualified nodes. Contrary to existing solutions which often generate bulky messages per request, our protocol produces only one lightweight query message per task on the Content Addressable Network (CAN). It works effectively to find for each task its qualified resources under a randomized policy that mitigates the contention among requesters. We show the SOC with our optimized algorithms can make an improvement by 15-60 percent in system throughput than a P2P Grid model. Our solution also exhibits fairly high adaptability in a dynamic node-churning environment."",""1558-2183"","""",""10.1109/TPDS.2012.144"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200263"",""Cloud computing";VM-multiplexing resource allocation;convex optimization;"P2P multiattribute range query"",""Vectors";Resource management;Equations;Heuristic algorithms;System-on-a-chip;Convex functions;"Protocols"","""",""57"","""",""44"",""IEEE"",""15 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Dynamic Resource Allocation Using Virtual Machines for Cloud Computing Environment,""Z. Xiao"; W. Song;" Q. Chen"",""Department of Computer Science, Peking University, Beijing, China"; Department of Computer Science, Peking University, Beijing, China;" Department of Computer Science, Peking University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1107"",""1117"",""Cloud computing allows business customers to scale up and down their resource usage based on needs. Many of the touted gains in the cloud model come from resource multiplexing through virtualization technology. In this paper, we present a system that uses virtualization technology to allocate data center resources dynamically based on application demands and support green computing by optimizing the number of servers in use. We introduce the concept of """"skewness” to measure the unevenness in the multidimensional resource utilization of a server. By minimizing skewness, we can combine different types of workloads nicely and improve the overall utilization of server resources. We develop a set of heuristics that prevent overload in the system effectively while saving energy used. Trace driven simulation and experiment results demonstrate that our algorithm achieves good performance."",""1558-2183"","""",""10.1109/TPDS.2012.283"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311403"",""Cloud computing";resource management;virtualization;"green computing"",""Servers";Resource management;Prediction algorithms;Green products;Load modeling;Algorithm design and analysis;"Computational modeling"","""",""576"",""25"",""27"",""IEEE"",""24 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Dynamic Scheduling for Wireless Data Center Networks,""Y. Cui"; H. Wang; X. Cheng; D. Li;" A. Ylä-Jääski"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science, The George Washington University, Washington; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Department of Computer Science and Engineering, Aalto University, Aaalto, Uusimaa, Finland"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2365"",""2374"",""Unbalanced traffic demands of different data center applications are an important issue in designing data center networks (DCN). In this paper, we present our exploratory investigation on a hybrid DCN solution of utilizing wireless transmissions in DCNs. Our work aims to solve the congestion problem caused by a few hot nodes to improve the global performance. We model the wireless transmissions in DCN by considering both the wireless interference and the adaptive transmission rate. Besides, both throughput and job completion time are considered to measure the impact of wireless transmissions on the global performance. Based on the model, we formulate the problem of channel allocation as an optimization problem. We also design an approximation algorithm with an approximation bound of 1/2 and a genetic algorithm to address the scheduling problem. A series of simulations are performed to evaluate and demonstrate the effectiveness of our wireless DCN scheme."",""1558-2183"","""",""10.1109/TPDS.2013.5"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6409837"",""Data center networks";wireless communication;dynamic scheduling;evolutionary computing;"genetic algorithms"",""Wireless communication";Interference;Channel allocation;Database systems;Algorithm design and analysis;"Genetic algorithms"","""",""28"","""",""32"",""IEEE"",""11 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"E-SmallTalker: A Distributed Mobile System for Social Networking in Physical Proximity,""A. C. Champion"; Z. Yang; B. Zhang; J. Dai; D. Xuan;" D. Li"",""Department of Computer Science and Engineering, Ohio State University, Columbus, OH, USA"; Microsoft Corporation, Redmond, WA, USA; Department of Computer Science and Engineering, Ohio State University, Columbus, OH, USA; State Grid Electric Power Research Institute, Nanjing, China; Department of Computer Science and Engineering, Ohio State University, Columbus, OH, USA;" Ericsson Research, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1535"",""1545"",""Small talk is an important social lubricant that helps people, especially strangers, initiate conversations and make friends with each other in physical proximity. However, due to difficulties in quickly identifying significant topics of common interest, real-world small talk tends to be superficial. The mass popularity of mobile phones can help improve the effectiveness of small talk. In this paper, we present E-SmallTalker, a distributed mobile communications system that facilitates social networking in physical proximity. It automatically discovers and suggests topics such as common interests for more significant conversations. We build on Bluetooth Service Discovery Protocol (SDP) to exchange potential topics by customizing service attributes to publish non-service-related information without establishing a connection. We propose a novel iterative Bloom filter protocol that encodes topics to fit in SDP attributes and achieves a low false-positive rate. We have implemented the system in Java ME for ease of deployment. Our experiments on real-world phones show that it is efficient enough at the system level to facilitate social interactions among strangers in physical proximity. To the best of our knowledge, E-SmallTalker is the first distributed mobile system to achieve the same purpose."",""1558-2183"","""",""10.1109/TPDS.2012.251"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6287506"",""Bluetooth";Mobile handsets;Protocols;Context;Servers;Social network services;Mobile communication;pervasive computing;"Wireless communication"",""Bluetooth";Mobile handsets;Protocols;Context;Servers;Social network services;"Mobile communication"","""",""23"","""",""23"",""IEEE"",""27 Aug 2012"","""","""",""IEEE"",""IEEE Journals""";;;
"Eager Beats Lazy: Improving Store Management in Eager Hardware Transactional Memory,""R. Titos-Gil"; A. Negi; M. E. Acacio; J. M. García;" P. Stenstrom"",""Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden"; Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden; Departamento de Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain; Departamento de Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain;" Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2192"",""2201"",""Hardware transactional memory (HTM) designs are very sensitive to the manner in which speculative updates from transactions are handled in the system. This study highlights how the lack of effective techniques for store management results in a quick degradation in the performance of eager HTM systems with increasing contention and, thus, lends credence to the belief that eager designs do not perform as well as their lazy counterparts when conflicts abound. In this work, we present two simple ways to improve handling of speculative stores--a way to effectively manage lines that exhibit migratory sharing and a way to hide store latency, particularly for those stores that target contended cache lines owned by other concurrent transactions. These two mechanisms yield substantial improvements in execution time when running applications with high contention, allowing eager designs to exceed the performance of lazy ones. Interestingly, the benefits that accrue from these enhancements can be at par with those achieved using more complex system-wide HTM techniques. Coupled with the fact that eager designs are easier to integrate into cache coherent architectures than lazy ones, we claim that with judicious management of stores they represent a more compelling design alternative."",""1558-2183"","""",""10.1109/TPDS.2012.315"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6342882"",""Parallel programming";multicore architectures;"transactional memory"",""Buffer storage";Hardware;Concurrent computing;Parallel processing;Optimization;Coherence;"Scalability"","""",""7"","""",""25"",""IEEE"",""10 Nov 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Efficient Computation of Robust Average of Compressive Sensing Data in Wireless Sensor Networks in the Presence of Sensor Faults,""C. T. Chou"; A. Ignjatovic;" W. Hu"",""School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, Australia"; School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, Australia;" Autonomous Systems Laboratory, ICT Centre, Queensland Centre for Advanced Technologies (QCAT), CSIRO, Kenmore, QLD, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1525"",""1534"",""Wireless sensor networks (WSNs) enable the collection of physical measurements over a large geographic area. It is often the case that we are interested in computing and tracking the spatial-average of the sensor measurements over a region of the WSN. Unfortunately, the standard average operation is not robust because it is highly susceptible to sensor faults and heterogeneous measurement noise. In this paper, we propose a computational efficient method to compute a weighted average (which we will call robust average) of sensor measurements, which appropriately takes sensor faults and sensor noise into consideration. We assume that the sensors in the WSN use random projections to compress the data and send the compressed data to the data fusion centre. Computational efficiency of our method is achieved by having the data fusion centre work directly with the compressed data streams. The key advantage of our proposed method is that the data fusion centre only needs to perform decompression once to compute the robust average, thus greatly reducing the computational requirements. We apply our proposed method to the data collected from two WSN deployments to demonstrate its efficiency and accuracy."",""1558-2183"","""",""10.1109/TPDS.2012.260"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295611"",""Robustness";Wireless sensor networks;Equations;Compressed sensing;Noise;Vectors;robust averaging;Wireless sensor networks;compressive sensing;distributed compressive sensing;fault tolerance;"data fusion"",""Robustness";Wireless sensor networks;Equations;Compressed sensing;Noise;"Vectors"","""",""25"","""",""34"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Efficient Eager Management of Conflicts for Scalable Hardware Transactional Memory,""R. Titos-Gil"; M. E. Acacio;" J. M. García"",""Department of Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden"; Departamento de Ingeniería y Tecnología. de Computadores, Universidad de Murcia, Murcia, Spain;" University of Murcia, Murcia"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2012"",""2013"",""24"",""1"",""59"",""71"",""The efficient management of conflicts among concurrent transactions constitutes a key aspect that hardware transactional memory (HTM) systems must achieve. Scalable HTM proposals so far inherit the cache-based style of conflict detection typically found in bus-based systems, largely unaware of the interactions between transactions and directory coherence. In this paper, we demonstrate that the traditional approach of detecting conflicts at the private cache levels is inefficient when used in the context of a directory protocol. We find that the use of the directory as a mere router of coherence requests restricts the throughput of conflict detection, and show how it becomes a bottleneck under high contention. This paper proposes a scheme for conflict detection that decouples conflict detection from cache coherence in order to overcome pathological situations that degrade the performance of an eager HTM system. Our scheme places bookkeeping metadata at the directory, introducing it as a separate hardware module that leaves the coherence protocol unmodified. In comparison to a state-of-the-art eager HTM system, our design handles contention more efficiently, minimizes the performance degradation of false positives for signatures of similar hardware cost, and reduces the network traffic generated."",""1558-2183"","""",""10.1109/TPDS.2012.103"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6175014"",""Parallel programming";multicore architectures;cache coherence protocols;transactional memory;"conflict detection"",""Coherence";Protocols;Hardware;Context;Proposals;"Memory management"","""",""1"","""",""28"",""IEEE"",""3 Apr 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Efficient Resource Mapping Framework over Networked Clouds via Iterated Local Search-Based Request Partitioning,""A. Leivadeas"; C. Papagianni;" S. Papavassiliou"",""School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece"; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece;" School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1077"",""1086"",""The cloud represents a computing paradigm where shared configurable resources are provided as a service over the Internet. Adding intra- or intercloud communication resources to the resource mix leads to a networked cloud computing environment. Following the cloud infrastructure as a Service paradigm and in order to create a flexible management framework, it is of paramount importance to address efficiently the resource mapping problem within this context. To deal with the inherent complexity and scalability issue of the resource mapping problem across different administrative domains, in this paper a hierarchical framework is described. First, a novel request partitioning approach based on Iterated Local Search is introduced that facilitates the cost-efficient and online splitting of user requests among eligible cloud service providers (CPs) within a networked cloud environment. Following and capitalizing on the outcome of the request partitioning phase, the embedding phase-where the actual mapping of requested virtual to physical resources is performed can be realized through the use of a distributed intracloud resource mapping approach that allows for efficient and balanced allocation of cloud resources. Finally, a thorough evaluation of the proposed overall framework on a simulated networked cloud environment is provided and critically compared against an exact request partitioning solution as well as another common intradomain virtual resource embedding solution."",""1558-2183"","""",""10.1109/TPDS.2012.204"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226390"",""Cloud computing";resource mapping;"virtualized infrastructures"",""Substrates";Cloud computing;Partitioning algorithms;Availability;Special issues and sections;"Scalability"","""",""48"","""",""30"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Efficient Two-Server Password-Only Authenticated Key Exchange,""X. Yi"; S. Ling;" H. Wang"",""School of Engineering and Science, Victoria University, Melbourne, VIC, Australia"; Division of Mathematical Sciences, School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore;" Division of Mathematical Sciences, School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2013"",""2013"",""24"",""9"",""1773"",""1782"",""Password-authenticated key exchange (PAKE) is where a client and a server, who share a password, authenticate each other and meanwhile establish a cryptographic key by exchange of messages. In this setting, all the passwords necessary to authenticate clients are stored in a single server. If the server is compromised, due to, for example, hacking or even insider attack, passwords stored in the server are all disclosed. In this paper, we consider a scenario where two servers cooperate to authenticate a client and if one server is compromised, the attacker still cannot pretend to be the client with the information from the compromised server. Current solutions for two-server PAKE are either symmetric in the sense that two peer servers equally contribute to the authentication or asymmetric in the sense that one server authenticates the client with the help of another server. This paper presents a symmetric solution for two-server PAKE, where the client can establish different cryptographic keys with the two servers, respectively. Our protocol runs in parallel and is more efficient than existing symmetric two-server PAKE protocol, and even more efficient than existing asymmetric two-server PAKE protocols in terms of parallel computation."",""1558-2183"","""",""10.1109/TPDS.2012.282"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311402"",""Password-authenticated key exchange";dictionary attack;Diffie-Hellman key exchange;"ElGamal encryption"",""Servers";Protocols;Encryption;Authentication;"Dictionaries"","""",""28"","""",""34"",""IEEE"",""24 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Electricity Cost Saving Strategy in Data Centers by Using Energy Storage,""Y. Guo";" Y. Fang"",""Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA";" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1149"",""1160"",""Electricity expenditure comprises a significant fraction of the total operating cost in data centers. Hence, cloud service providers are required to reduce electricity cost as much as possible. In this paper, we consider utilizing existing energy storage capabilities in data centers to reduce electricity cost under wholesale electricity markets, where the electricity price exhibits both temporal and spatial variations. A stochastic program is formulated by integrating the center-level load balancing, the server-level configuration, and the battery management while at the same time guaranteeing the quality-of-service experience by end users. We use the Lyapunov optimization technique to design an online algorithm that achieves an explicit tradeoff between cost saving and energy storage capacity. We demonstrate the effectiveness of our proposed algorithm through extensive numerical evaluations based on real-world workload and electricity price data sets. As far as we know, our work is the first to explore the problem of electricity cost saving using energy storage in multiple data centers by considering both the spatial and temporal variations in wholesale electricity prices and workload arrival processes."",""1558-2183"","""",""10.1109/TPDS.2012.201"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226387"",""Cloud computing";electricity cost;data center;energy storage;Lyapunov optimization;"wholesale electricity market"",""Electricity";Batteries;Servers;Algorithm design and analysis;Distributed databases;"Optimization"","""",""130"",""4"",""23"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Enabling Dynamic Data and Indirect Mutual Trust for Cloud Computing Storage Systems,""A. Barsoum";" A. Hasan"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada";" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2375"",""2385"",""Storage-as-a-service offered by cloud service providers (CSPs) is a paid facility that enables organizations to outsource their sensitive data to be stored on remote servers. In this paper, we propose a cloud-based storage scheme that allows the data owner to benefit from the facilities offered by the CSP and enables indirect mutual trust between them. The proposed scheme has four important features: 1) it allows the owner to outsource sensitive data to a CSP, and perform full block-level dynamic operations on the outsourced data, i.e., block modification, insertion, deletion, and append, 2) it ensures that authorized users (i.e., those who have the right to access the owner's file) receive the latest version of the outsourced data, 3) it enables indirect mutual trust between the owner and the CSP, and 4) it allows the owner to grant or revoke access to the outsourced data. We discuss the security issues of the proposed scheme. Besides, we justify its performance through theoretical analysis and a prototype implementation on Amazon cloud platform to evaluate storage, communication, and computation overheads."",""1558-2183"","""",""10.1109/TPDS.2012.337"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392165"",""Outsourcing data storage";dynamic environment;mutual trust;"access control"",""Cloud computing";Access control;Storage automation;"Outsourcing"","""",""70"","""",""33"",""IEEE"",""21 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Enabling Efficient WiFi-Based Vehicular Content Distribution,""D. Zhang";" C. Kiat Yeo"",""Centre for Multimedia and Network Technology (CeMNet), School of Computer Engineering, Nanyang Technological University, Singapore";" Centre for Multimedia and Network Technology (CeMNet), School of Computer Engineering, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""479"",""492"",""For better road safety and driving experience, content distribution for vehicle users through roadside Access Points (APs) becomes an important and promising complement to 3G and other cellular networks. In this paper, we introduce Cooperative Content Distribution System for Vehicles (CCDSV) which operates upon a network of infrastructure APs to collaboratively distribute contents to moving vehicles. CCDSV solves several important issues in a practical system, like the robustness to mobility prediction errors, limited resources of APs and the shared content distribution. Our system organizes the cooperative APs into a novel structure, namely, the contact map which is based on the vehicular contact patterns observed by APs. To fully utilize the wireless bandwidth provided by APs, we propose a representative-based prefetching mechanism, in which a set of representative APs are carefully selected and then share their prefetched data with others. The selection process explicitly takes into account the AP's storage capacity, storage status, inter-APs bandwidth and traffic loads on the backhaul links. We apply network coding in CCDSV to augment the distribution of shared contents. The selection of shared contents to be prefetched on an AP is based on the storage status of neighboring APs in the contact map in order to increase the information utility of each prefetched data piece. Through extensive simulations, CCDSV proves its effectiveness in vehicular content distribution under various scenarios."",""1558-2183"","""",""10.1109/TPDS.2012.142"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197185"",""Content distribution";vehicular networks;roadside access points;"prefetching"",""Prefetching";Vehicles;Context;Bandwidth;Servers;Network coding;"Accuracy"","""",""37"","""",""27"",""IEEE"",""8 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Enhancing Intradomain Scalability of IMS-Based Services,""P. Bellavista"; A. Corradi;" L. Foschini"",""Dipartimento di Informatica: Scienza e Ingegneria (DISI), University of Bologna, Italy"; Dipartimento di Informatica: Scienza e Ingegneria (DISI), University of Bologna, Italy;" Dipartimento di Informatica: Scienza e Ingegneria (DISI), University of Bologna, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2386"",""2395"",""IP multimedia subsystem (IMS) and IMS-based services are increasingly providing interoperable session control and mobility for next-generation all-IP networks. However, clear design guidelines and techniques for the support of scalable IMS-based deployment, especially for data-intensive services such as mobility management, presence, and instant messaging, are still missing. That could block or at least relevantly slow down IMS acceptance by network operators and application providers. To address these challenges, this paper thoroughly analyzes IMS scalability with special attention to intradomain deployment issues. Then, it proposes a novel solution with three core original contributions toward intradomain scalability: 1) data-centric dissemination of session state with limited overhead"; 2) service-aware routing for fast intradomain load balancing;" 3) service-aware load monitoring and component de-/activation for long-term intradomain load partitioning at both service and infrastructure levels. The reported experimental results point out that our solution can significantly increase intradomain scalability with very limited costs."",""1558-2183"","""",""10.1109/TPDS.2012.312"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6342884"",""Mobile computing";support services;network management;"mobile applications"",""Scalability";Load management;"Mobile computing"","""",""8"","""",""34"",""IEEE"",""10 Nov 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Error-Tolerant Resource Allocation and Payment Minimization for Cloud System,""S. Di";" C. -L. Wang"",""MESCAL Group, INRIA, Room 213, Laboratoire LIG, ENSIMAG antenne de Montbonnot ZIRST, Monbonnot Saint Martin, France";" Department of Computer Science, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1097"",""1106"",""With virtual machine (VM) technology being increasingly mature, compute resources in cloud systems can be partitioned in fine granularity and allocated on demand. We make three contributions in this paper: 1) We formulate a deadline-driven resource allocation problem based on the cloud environment facilitated with VM resource isolation technology, and also propose a novel solution with polynomial time, which could minimize users' payment in terms of their expected deadlines. 2) By analyzing the upper bound of task execution length based on the possibly inaccurate workload prediction, we further propose an error-tolerant method to guarantee task's completion within its deadline. 3) We validate its effectiveness over a real VM-facilitated cluster environment under different levels of competition. In our experiment, by tuning algorithmic input deadline based on our derived bound, task execution length can always be limited within its deadline in the sufficient-supply situation";" the mean execution length still keeps 70 percent as high as user-specified deadline under the severe competition. Under the original-deadline-based solution, about 52.5 percent of tasks are completed within 0.95-1.0 as high as their deadlines, which still conforms to the deadline-guaranteed requirement. Only 20 percent of tasks violate deadlines, yet most (17.5 percent) are still finished within 1.05 times of deadlines."",""1558-2183"","""",""10.1109/TPDS.2012.309"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336752"",""VM multiplexing";resource allocation;convex optimization;prediction error tolerance;"payment minimization"",""Resource management";Vectors;Equations;Mathematical model;Prediction algorithms;Virtual machining;"Upper bound"","""",""25"","""",""35"",""IEEE"",""22 Oct 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"ESWC: Efficient Scheduling for the Mobile Sink in Wireless Sensor Networks with Delay Constraint,""Y. Gu"; Y. Ji; J. Li;" B. Zhao"",""Information Systems Architecture Science Research Division, National Institute of Information, Chiyoda, Tokyo, Japan"; Information Systems Architecture Science Research Division, National Institute of Information, Chiyoda, Tokyo, Japan; Department of Computer Science, University of Tsukuba, Tsukuba, Ibaraki, Japan;" Department of Computer Science, University of Science and Technology, Hefei, Anhui, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 May 2013"",""2013"",""24"",""7"",""1310"",""1320"",""This paper exploits sink mobility to prolong the network lifetime in wireless sensor networks where the information delay caused by moving the sink should be bounded. Due to the combinational complexity of this problem, most previous proposals focus on heuristics and provable optimal algorithms remain unknown. In this paper, we build a unified framework for analyzing this joint sink mobility, routing, delay, and so on. We discuss the induced subproblems and present efficient solutions for them. Then, we generalize these solutions and propose a polynomial-time optimal algorithm for the origin problem. In simulations, we show the benefits of involving a mobile sink and the impact of network parameters (e.g., the number of sensors, the delay bound, etc.) on the network lifetime. Furthermore, we study the effects of different trajectories of the sink and provide important insights for designing mobility schemes in real-world mobile WNNs."",""1558-2183"","""",""10.1109/TPDS.2012.210"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6235955"",""Wireless sensor networks";delay-constrained mobility;"network lifetime"",""Sensors";Wireless sensor networks;Delay;Mobile communication;Routing;Mobile computing;"Proposals"","""",""79"","""",""43"",""IEEE"",""10 Jul 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Exchanged Crossed Cube: A Novel Interconnection Network for Parallel Computation,""K. Li"; Y. Mu; K. Li;" G. Min"",""School of Computer Science and Technology, Dalian University of Technology, Dalian, China"; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; Department of Computer Science, State University of New York at New Paltz, New Paltz, NY, USA;" School of Computing, Informatics and Media, University of Bradford, Bradford, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2211"",""2219"",""The topology of interconnection networks plays a key role in the performance of parallel computing systems. A new interconnection network called exchanged crossed cube (ECQ) is proposed and analyzed in this paper. We prove that ECQ has the better properties than other variations of the basic hypercube in terms of the smaller diameter, fewer links, and lower cost factor, which indicates the reduced communication overhead, lower hardware cost, and more balanced consideration among performance and cost. Furthermore, it maintains several attractive advantages including recursive structure, high partitionability, and strong connectivity. Furthermore, the optimal routing and broadcasting algorithms are proposed for this new network topology."",""1558-2183"","""",""10.1109/TPDS.2012.330"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6374614"",""Interconnection networks";hypercube;exchanged crossed cube;interprocessor communication;"parallel computation"",""Hardware";Network topology;Topology;Hypercubes;Educational institutions;"Routing"","""",""46"","""",""21"",""IEEE"",""5 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
