"$k$ NN-DP: Handling Data Skewness in $kNN$ Joins Using MapReduce,""X. Zhao"; J. Zhang;" X. Qin"",""Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China"; Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""600"",""613"",""In this study, we discover that the data skewness problem imposes adverse impacts on MapReduce-based parallel kNN-join operations running clusters. We propose a data partitioning approach-called kNN-DP-to alleviate load imbalance incurred by data skewness. The overarching goal of kNN-DP is to equally divide data objects into a large number of partitions, which are processed by mappers and reducers in parallel. At the heart of kNN-DP is a data partitioning module, which dynamically and judiciously partitions data to optimize kNN-join performance by suppressing data skewness on Hadoop clusters. Data partitioning decisions largely depends on data properties (e.g., distributions), the analysis of which is highly expensive for a massive amount of data. To speed up the data-property analysis, we incorporate a sampling technique to profile the data distribution of a small sample dataset representing big datasets. After building a data-partitioning cost model for parallel kNN-joins, we derive the time-complexity upper and lower bounds of parallel kNN-join algorithms. The cost model offers us a guidance to systematically investigate kNN-DP's performance. kNN-DP obtains global nearest neighbors using local nearest neighbors. To improve the accuracy of such an approximation solution, we augment each node's local data by a small amount of redundant data. We develop two kNN-DP-based schemes called LSH+ and z-value+, which seamlessly integrate kNN-DP with the existing LSH and z-value algorithms for kNN-join computing. We implement and evaluate LSH+ and z-value+ on a 24-node Hadoop cluster driven by both synthetic and real-world high-dimensional datasets. The experimental results show that kNN-DP significantly improves the performance of LSH and z-value while offering high extensibility and scalability on Hadoop clusters."",""1558-2183"","""",""10.1109/TPDS.2017.2767596"",""National Natural Science Foundation of China(grant numbers:61572343)";" Shanxi ""1331 Project"" Key Innovative Research Team"; U.S. National Science Foundation(grant numbers:CCF-0845257(CAREER));" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8089758"",""Data skewness";kNN-joins;data partitioning;"MapReduce"",""Time complexity";Distributed databases;Silicon;Algorithm design and analysis;Optimization;"Partitioning algorithms"","""",""24"","""",""32"",""IEEE"",""30 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Asynchronous and Exact Forward Recovery for Detected Errors in Iterative Solvers,""L. Jaulmes"; M. Moretó; E. Ayguadé; J. Labarta; M. Valero;" M. Casas"",""Barcelona Supercomputing Center (BSC), Barcelona, Spain"; Barcelona Supercomputing Center (BSC), Barcelona, Spain; Barcelona Supercomputing Center (BSC), Barcelona, Spain; Barcelona Supercomputing Center (BSC), Barcelona, Spain; Barcelona Supercomputing Center (BSC), Barcelona, Spain;" Barcelona Supercomputing Center, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2018"",""2018"",""29"",""9"",""1961"",""1974"",""Current trends and projections show that faults in computer systems become increasingly common. Such errors may be detected, and possibly corrected transparently, e.g., by Error Correcting Codes (ECC). For a program to be fault-tolerant, it needs to also handle the Errors that are Detected and Uncorrected (DUE), such as an ECC encountering too many bit flips in a codeword. While correcting an error has an overhead in itself, it can also affect the progress of a program. The most generic technique, rolling back the program state to a previously taken checkpoint, sets back any progress done since then. Alternately, application specific techniques exist, such as restarting an iterative program with its latest iteration's values as initial guess. We introduce a novel error correction technique for iterative linear solvers, designed to preserve both the progress made and the solver's future convergence by recovering the program's state exactly. Leveraging the asynchrony of task-based programming models, we mask our technique's overhead by overlapping error correction with the solver's normal workload. Our technique relies on analysing solvers to find redundancy in the form of relations between data. We are then able to restore discarded or corrupted data by recomputing or inverting the appropriate relations. We demonstrate that this approach allows to recover any part of three widely used Krylov subspace methods: CG, GMRES and BiCGStab, and their pre-conditioned versions. We implement our technique for CG and recover lost data at the scale of a memory page, which is the granularity at which Operating Systems (OS) report memory errors on commodity hardware, and study the effect of varying the memory page size to address non-standard sizes and the possible use of huge pages in High Performance Computing (HPC). When compared to checkpointing and to the state-of-the-art algorithmic restart technique, on small (8 cores) to large scale (1024 cores), our methods show less overhead. A trade-off arises between our straightforward and asynchronous approaches, based on the rate at which faults happen. At the lowest considered rate and page size, overlapping recoveries decreases their average cost from 5.40 to 2.24 percent of the ideal faultless execution time. Our methods generally outperform the state-of-the-art even with increased overheads on big page sizes, and perform similarly on edge cases. These results also indicate that our techniques are increasingly efficient as the matrix size increases."",""1558-2183"","""",""10.1109/TPDS.2018.2817524"",""European Research Council(grant numbers:321253)"; Spanish Ministry of Science and Innovation(grant numbers:TIN2015-65316-P); Spanish Ministry of Education, Culture and Sports(grant numbers:FPU2013/06982); Spanish Ministry of Economy and Competitiveness(grant numbers:JCI-2012-15047); Secretary for Universities and Research of the Ministry of Economy and Knowledge of the Government of Catalonia and the Co-fund programme of the Marie Curie Actions of the European Union's 7th FP(grant numbers:2013 BP_B 00243);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320336"",""Resilience";detected uncorrected errors;exact recovery;Krylov-subspace methods;"HPC"",""Error correction codes";Hardware;Redundancy;Programming;Program processors;"Registers"","""",""3"","""",""42"",""IEEE"",""20 Mar 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Asynchronous Task-Based Polar Decomposition on Single Node Manycore Architectures,""D. Sukkari"; H. Ltaief; M. Faverge;" D. Keyes"",""Division of Computer, Electrical, and Mathematical Sciences and Engineering, Extreme Computing Research Center, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia"; Division of Computer, Electrical, and Mathematical Sciences and Engineering, Extreme Computing Research Center, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia; Bordeaux INP, CNRS, INRIA et Université de Bordeaux, Talence, France;" Division of Computer, Electrical, and Mathematical Sciences and Engineering, Extreme Computing Research Center, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jan 2018"",""2018"",""29"",""2"",""312"",""323"",""This paper introduces the first asynchronous, task-based formulation of the polar decomposition and its corresponding implementation on manycore architectures. Based on a new formulation of the iterative QR dynamically-weighted Halley algorithm (QDWH) for the calculation of the polar decomposition, the proposed implementation replaces the original and hostile LU factorization for the condition number estimator by the more adequate QR factorization to enable software portability across various architectures. Relying on fine-grained computations, the novel task-based implementation is also capable of taking advantage of the identity structure of the matrix involved during the QDWH iterations, which decreases the overall algorithmic complexity. Furthermore, the artifactual synchronization points have been weakened compared to previous implementations, unveiling look-ahead opportunities for better hardware occupancy. The overall QDWH-based polar decomposition can then be represented as a directed acyclic graph (DAG), where nodes represent computational tasks and edges define the inter-task data dependencies. The StarPU dynamic runtime system is employed to traverse the DAG, to track the various data dependencies and to asynchronously schedule the computational tasks on the underlying hardware resources, resulting in an out-of-order task scheduling. Benchmarking experiments show significant improvements against existing state-of-the-art high performance implementations (i.e., Intel MKL and Elemental) for the polar decomposition on latest shared-memory vendors' systems (i.e., Intel Haswell/Broadwell/Knights Landing, NVIDIA K80/P100 GPUs and IBM Power8), while maintaining high numerical accuracy."",""1558-2183"","""",""10.1109/TPDS.2017.2755655"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8053812"",""Polar decomposition";asynchronous execution;dynamic runtime system;fine-grained execution;directed acyclic graph;"high performance computing"",""Heuristic algorithms";Hardware;Software algorithms;Matrix decomposition;Complexity theory;"Computer architecture"","""",""8"","""",""50"",""IEEE"",""29 Sep 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Auditing Big Data Storage in Cloud Computing Using Divide and Conquer Tables,""M. Sookhak"; F. R. Yu;" A. Y. Zomaya"",""Department of System and Computer Engineering, Carleton University, Ottawa, ON, Canada"; Department of System and Computer Engineering, Ottawa, ON, Canada;" School of Information Technologies, Building J12, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Apr 2018"",""2018"",""29"",""5"",""999"",""1012"",""Cloud computing has arisen as the mainstream platform of utility computing paradigm that offers reliable and robust infrastructure for storing data remotely, and provides on demand applications and services. Currently, establishments that produce huge volume of sensitive data, leverage data outsourcing to reduce the burden of local data storage and maintenance. The outsourced data, however, in the cloud are not always trustworthy because of the inadequacy of physical control over the data for data owners. To better streamline this issue, scientists have now focused on relieving the security threats by designing remote data checking (RDC) techniques. However, the majority of these techniques are inapplicable to big data storage due to incurring huge computation cost on the user and cloud sides. Such schemes in existence suffer from data dynamicity problem from two sides. First, they are only applicable for static archive data and are not subject to audit the dynamic outsourced data. Second, although, some of the existence methods are able to support dynamic data update, increasing the number of update operations impose high computation and communication cost on the auditor due to maintenance of data structure, i.e., merkle hash tree. This paper presents an efficient RDC method on the basis of algebraic properties of the outsourced files in cloud computing, which inflicts the least computation and communication cost. The main contribution of this paper is to present a new data structure, called Divide and Conquer Table (D&CT), which proficiently supports dynamic data for normal file sizes. Moreover, this data structure empowers our method to be applicable for large-scale data storage with minimum computation cost. The one-way analysis of variance shows that there are significant differences between the proposed method and the existing methods in terms of the computation and communication cost on the auditor and cloud."",""1558-2183"","""",""10.1109/TPDS.2017.2784423"",""Natural Sciences and Engineering Research Council (NSERC) of Canada";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8219724"",""Cloud computing";algebraic signature;remote data checking;dynamic data update;data integrity;"big data storage"",""Cloud computing";Data structures;Servers;Security;Organizations;Big Data;"Distributed databases"","""",""50"","""",""32"",""IEEE"",""18 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Automatic Detection of Large Extended Data-Race-Free Regions with Conflict Isolation,""A. Jimborean"; P. Ekemark; J. Waern; S. Kaxiras;" A. Ros"",""Department of Information Technology, Uppsala University, Uppsala, Sweden"; Department of Information Technology, Uppsala University, Uppsala, Sweden; Department of Information Technology, Uppsala University, Uppsala, Sweden; Department of Information Technology, Uppsala University, Uppsala, Sweden;" Computer Engineering Department, University of Murcia, Murcia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""527"",""541"",""Data-race-free (DRF) parallel programming becomes a standard as newly adopted memory models of mainstream programming languages such as C++ or Java impose data-race-freedom as a requirement. We propose compiler techniques that automatically delineate extended data-race-free (xDRF) regions, namely regions of code that provide the same guarantees as the synchronization-free regions (in the context of DRF codes). xDRF regions stretch across synchronization boundaries, function calls and loop back-edges and preserve the data-race-free semantics, thus increasing the optimization opportunities exposed to the compiler and to the underlying architecture. We further enlarge xDRF regions with a conflict isolation (CI) technique, delineating what we call xDRF-CI regions while preserving the same properties as xDRF regions. Our compiler (1) precisely analyzes the threads' memory accessing behavior and data sharing in shared-memory, general-purpose parallel applications, (2) isolates data-sharing and (3) marks the limits of xDRF-CI code regions. The contribution of this work consists in a simple but effective method to alleviate the drawbacks of the compiler's conservative nature in order to be competitive with (and even surpass) an expert in delineating xDRF regions manually. We evaluate the potential of our technique by employing xDRF and xDRF-CI region classification in a state-of-the-art, dual-mode cache coherence protocol. We show that xDRF regions reduce the coherence bookkeeping and enable optimizations for performance (6.4 percent) and energy efficiency (12.2 percent) compared to a standard directory-based coherence protocol. Enhancing the xDRF analysis with the conflict isolation technique improves performance by 7.1 percent and energy efficiency by 15.9 percent."",""1558-2183"","""",""10.1109/TPDS.2017.2771509"",""Swedish Research Council(grant numbers:2016-05086)"; Spanish MINECO; European Commission FEDER funds(grant numbers:TIN2015-66972-C5-3-R); Fundación Séneca; “Jóvenes Líderes en Investigación”(grant numbers:18956/JLI/13);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8100964"",""Compile-time analysis";inter-procedural analysis;inter-thread analysis;data sharing;data races;"cache coherence"",""Synchronization";Coherence;Optimization;Instruction sets;Protocols;Standards;"Semantics"","""",""1"","""",""42"",""IEEE"",""9 Nov 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BenchBox: A User-Driven Benchmarking Framework for Fat-Client Storage Systems,""R. Gracia-Tinedo"; C. Zou; M. Sánchez-Artigas;" P. Garcıa-Lopez"",""Department of Computer Engineering and Maths, Universitat Rovira i Virgili, Tarragona, Spain"; Department of Computer Engineering and Maths, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Maths, Universitat Rovira i Virgili, Tarragona, Spain;" Department of Computer Engineering and Maths, Universitat Rovira i Virgili, Tarragona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Sep 2018"",""2018"",""29"",""10"",""2191"",""2205"",""In many online storage services, end-users mainly interact with the system via “fat” storage clients that integrate complex functionality. This means that to obtain a complete performance evaluation of one of such systems we may need to generate workloads on the client side that reproduce the behavior of real users. Unfortunately, this remains as an open research challenge today. We present BenchBox: A distributed performance evaluation framework for fat-client storage systems. On the one hand, BenchBox can generate workloads directly in storage clients that mimic users exhibiting a certain behavior, namely, user stereotypes. To this end, the framework enables to plug-in workload models and feed them with compact recipes that capture the behavior of user stereotypes (e.g., storage activity, type of file contents, data sharing links). On the other hand, BenchBox provides researchers with management and monitoringfacilities to deploy experiments and analyze the performance of groups of storage clients. To demonstrate our framework, we equipped BenchBox with a 2-layer workload modelthat reproduces both the activity-e.g., types of operations, frequency- and data-e.g., file sizes, data types-of users in a Personal Cloud. We used this model to generate workloads based on user stereotypes that we identified in real traces (UbuntuOne). Our experiments with public providers show how distinct types of users impact on the performance and efficiency of Personal Clouds, which may guide their optimization."",""1558-2183"","""",""10.1109/TPDS.2018.2819657"",""EU projects CloudSpaces(grant numbers:317555)"; IOStack(grant numbers:644182); Spanish Ministry of Science and Innovation research projects; Cloud Services and Community Clouds(grant numbers:TIN2013-47245-C2-2-R); Software-Defined Edge Clouds(grant numbers:TIN2016-77836-C2-1-R);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325508"",""Performance evaluation";user modeling;client-centric benchmarking;"personal clouds"",""Benchmark testing";Software;Fats;Tools;Monitoring;Data models;"Performance evaluation"","""",""1"","""",""62"",""IEEE"",""26 Mar 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BiGNoC: Accelerating Big Data Computing with Application-Specific Photonic Network-on-Chip Architectures,""S. V. R. Chittamuru"; D. Dang; S. Pasricha;" R. Mahapatra"",""Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, Colorado"; Department of Computer Science and Engineering, Texas A&M University, College Station, Texas; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, Colorado;" Department of Computer Science and Engineering, Texas A&M University, College Station, Texas"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2018"",""2018"",""29"",""11"",""2402"",""2415"",""In the era of big data, high performance data analytics applications are frequently executed on large-scale cluster architectures to accomplish massive data-parallel computations. Often, these applications involve iterative machine learning algorithms to extract information and make predictions from large data sets. Multicast data dissemination is one of the major performance bottlenecks for such data analytics applications in cluster computing, as terabytes of data need to be distributed frequently from a single data source to hundreds of computing nodes. To overcome this bottleneck for big data applications, we propose BiGNoC, a manycore chip platform with a novel application-specific photonic network-on-chip (PNoC) fabric. BiGNoC is designed for big data computing and exploits multicasting in photonic waveguides. For high performance data analytics applications,  BiGNoC improves throughput by up to ${{9.9}}\times$  while reducing latency by up to 88 percent and energy-per-bit by up to 98 percent over two state-of-the-art PNoC architectures as well as a broadcast-optimized electrical mesh NoC architecture, and a traditional electrical mesh NoC architecture."",""1558-2183"","""",""10.1109/TPDS.2018.2833876"",""SRC"; NSF(grant numbers:CCF-1252500,CCF-1302693); AFOSR(grant numbers:FA9550-13-1-0110);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356088"",""Photonic networks-on-chip";photonic channel sharing;big data computing;"multicasting"",""Photonics";Computer architecture;Big Data;Data analysis;Optical waveguides;Multicast communication;"Manganese"","""",""18"","""",""43"",""IEEE"",""8 May 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Blocking Analysis for Spin Locks in Real-Time Parallel Tasks,""S. Dinh"; J. Li; K. Agrawal; C. Gill;" C. Lu"",""Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO"; Department of Computer Science, New Jersey Institute of Technology, Newark, NJ; Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO; Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO;" Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2018"",""2018"",""29"",""4"",""789"",""802"",""In recent years, there has been significant interest in developing real-time schedulers for parallel tasks. Most of that research has concentrated on idealized task models where tasks do not access any shared resources protected with locks. In this paper, we consider the problem of scheduling parallel tasks which experience contention due to shared resources. In particular, we provide a schedulability test for federated scheduling by deriving blocking time analyses for parallel tasks that access shared resources protected by FIFO-ordered and priority-ordered spin locks. Our numerical evaluation on randomly generated task sets indicates that priority-ordered locks generally provide better schedulability results than FIFO-ordered locks. We also incorporated both FIFO-ordered and priority-ordered spin lock implementations into a federated scheduling platform, which is able to schedule parallel tasks written with OpenMP. Via empirical evaluations, we found that priority-ordered locks also have better performance than FIFO-ordered locks in practice."",""1558-2183"","""",""10.1109/TPDS.2017.2777454"",""NSF(grant numbers:CCF-1337218,CNS-1329861)"; ONR(grant numbers:N000141612108);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122044"",""Real-time synchronization";spin locks;parallel scheduling;"blocking analysis"",""Real-time systems";Schedules;Synchronization;Computational modeling;Numerical models;"Processor scheduling"","""",""21"","""",""40"",""IEEE"",""28 Nov 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cache-Oblivious MPI All-to-All Communications Based on Morton Order,""S. Li"; Y. Zhang;" T. Hoefler"",""State Key Laboratory of Computer Architecture, Chinese Academy of Sciences, Beijing, China"; State Key Laboratory of Computer Architecture, Chinese Academy of Sciences, Beijing, China;" Department of Computer Science, ETH Zurich, Zurich, Switzerland"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""542"",""555"",""Many-core systems with a rapidly increasing number of cores pose a significant challenge to parallel applications to use their complex memory hierarchies efficiently. Many such applications rely on collective communications in performance-critical phases, which become a bottleneck if they are not optimized. We address this issue by proposing cache-oblivious algorithms for MPI_Alltoall, MPI_Allgather, and the MPI neighborhood collectives to exploit the data locality. To implement the cache-oblivious algorithms, we allocate the send and receive buffers on a shared heap and use Morton order to guide the memory copies. Our analysis shows that our algorithm for MPI_Alltoall is asymptotically optimal. We show an extension to our algorithms to minimize the communication distance on NUMA systems while maintaining optimality within each socket. We further demonstrate how the cache-oblivious algorithms can be applied to multi-node machines. Experiments are conducted on different many-core architectures. For MPI_Alltoall, our implementation achieves on average 1.40X speedup over the naive implementation based on shared heap for small and medium block sizes (less than 16 KB) on a Xeon Phi KNC, achieves on average 3.03X speedup over MVAPICH2 on a Xeon E7-8890, and achieves on average 2.23X speedup over MVAPICH2 on a 256-node Xeon E5-2680 cluster for block sizes less than 1 KB."",""1558-2183"","""",""10.1109/TPDS.2017.2768413"",""National Natural Science Foundation of China(grant numbers:61502450,61432018,61521092)"; National Key R&D Program of China(grant numbers:2016YFB0200800,2017YFB0202302);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8091010"",""cache-oblivious algorithms";collective communication;NUMA;MPI_Alltoall;MPI_Allgather;"neighborhood collectives"",""Algorithm design and analysis";Arrays;Electronic mail;Heuristic algorithms;Random access memory;"Complexity theory"","""",""19"","""",""39"",""IEEE"",""31 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Capacity Optimization for Resource Pooling in Virtualized Data Centers with Composable Systems,""A. -D. Lin"; C. -S. Li; W. Liao;" H. Franke"",""Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan"; Accenture, San Jose, CA; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jan 2018"",""2018"",""29"",""2"",""324"",""337"",""Recent research trends exhibit a growing imbalance between the demands of tenants' software applications and the provisioning of hardware resources. Misalignment of demand and supply gradually hinders workloads from being efficiently mapped to fixed-sized server nodes in traditional data centers. The incurred resource holes not only lower infrastructure utilization but also cripple the capability of a data center for hosting large-sized workloads. This deficiency motivates the development of a new rack-wide architecture referred to as the composable system. The composable system transforms traditional server racks of static capacity into a dynamic compute platform. Specifically, this novel architecture aims to link up all compute components that are traditionally distributed on traditional server boards, such as central processing unit (CPU), random access memory (RAM), storage devices, and other application-specific processors. By doing so, a logically giant compute platform is created and this platform is more resistant against the variety of workload demands by breaking the resource boundaries among traditional server boards. In this paper, we introduce the concepts of this reconfigurable architecture and design a framework of the composable system for cloud data centers. We then develop mathematical models to describe the resource usage patterns on this platform and enumerate some types of workloads that commonly appear in data centers. From the simulations, we show that the composable system sustains nearly up to 1.6 times stronger workload intensity than that of traditional systems and it is insensitive to the distribution of workload demands. This demonstrates that this composable system is indeed an effective solution to support cloud data center services."",""1558-2183"","""",""10.1109/TPDS.2017.2757479"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052507"",""Performance analysis";disaggregated data center architecture;"composable data center"",""Computer architecture";Servers;Cloud computing;Data models;Mathematical model;"Bandwidth"","""",""11"","""",""57"",""IEEE"",""28 Sep 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Coalescing and Deduplicating Incremental Checkpoint Files for Restore-Express Multi-Level Checkpointing,""P. Sigdel";" N. -F. Tzeng"",""School of Computing and Informatics, University of Louisiana at Lafayette, Lafayette, LA";" School of Computing and Informatics, University of Louisiana at Lafayette, Lafayette, LA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Nov 2018"",""2018"",""29"",""12"",""2713"",""2727"",""In multicore systems, a large portion of checkpoint time overhead can be hidden from the execution critical path by resorting to a dedicated checkpointing thread run concurrently with regular execution threads for compressing checkpoint files to lower checkpointing overhead. On the other hand, the restore time is on the critical path that cannot be hidden, making it most important to accelerate execution restore upon failures. This work pursues a restore-express (REX) strategy for multi-level checkpointing (MLC), applicable to any incremental checkpointing (IC). Oblivious to application codes, REX employs adaptive IC (AIC) for local (L1) checkpointing and follows our runtime control for second-level (L2) checkpointing, with its aim at express restore from failures while holding down the overall execution time. It takes advantage of two unique insights for overhead reduction: (1) the modified pages of an incremental checkpoint file are likely to exist in a subsequent checkpoint file, and (2) many data patterns (on an average, some 40 percent of them) stay unchanged from one L2 checkpoint file to the next. These insights enable REX to (1) coalesce IC files (by involving only the last copy of every dirty page among files) and (2) boost file compression across multiple L2 checkpoints. Time and storage overhead results of REX during normal job execution are gathered for 16 benchmarks from SPEC, PARSEC, and NPB suites. The evaluation outcomes of the execution restore time confirm that REX is fast and able to quicken restore by a factor of 4.5× when compared with its IC counterpart (without utilizing the unique insights), while incurring same execution time overhead."",""1558-2183"","""",""10.1109/TPDS.2018.2844210"",""National Science Foundation(grant numbers:CNS-1527051)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8372629"",""Compression and deduplication";execution restore;hash functions;incremental checkpointing;"multi-level checkpointing"",""Checkpointing";Integrated circuits;Benchmark testing;Acceleration;Multicore processing;"Runtime"","""",""7"","""",""40"",""IEEE"",""5 Jun 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CoCloud: Enabling Efficient Cross-Cloud File Collaboration Based on Inefficient Web APIs,""J. E."; Y. Cui; P. Wang; Z. Li;" C. Zhang"",""Tsinghua University, Beijing, Beijing, CN"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; School of Computer Science, Carnegie Mellon University, Pittsburgh, PA; School of Software, TNLIST;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""56"",""69"",""Cloud storage services such as Dropbox have been widely used for file collaboration among multiple users. However, this desirable functionality is yet restricted to the “walled-garden” of each service. At present, the only feasible approach to cross-cloud file collaboration seems to be using web APIs, whose performance is known to be highly unstable and unpredictable. Now that using inefficient web APIs is inevitable, in this paper we attempt to achieve sound user-perceived performance for cross-cloud file collaboration. This attempt is enabled by two key observations from real-world measurements. First, for each cloud, we are always able to deploy one or several nearby (client) proxies which can efficiently access the web APIs. Second, during file collaboration, significant similarity exists among different versions of a file. This can be exploited to substantially reduce inter-proxy traffic and thus shorten the data sync time. Guided by the observations, we design and implement an open-source prototype system called CoCloud. Currently, it supports file collaboration among four popular cloud storage services in the US and China. Its performance is well acceptable to users under representative workloads, even approaching or exceeding that of intra-cloud collaboration in many cases."",""1558-2183"","""",""10.1109/TPDS.2017.2750161"",""National High-Technology Research and Development Program(grant numbers:2015AA016101,2015AA01A201)"; National Natural Science Foundation of China(grant numbers:61422206); Tsinghua University Initiative Scientific Research Program(grant numbers:2014Z09103); CCF-Tencent Open Fund(grant numbers:AGR20160105);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030092"",""Cloud storage";cloud computing;cross-cloud file collaboration;"transfer efficiency"",""Collaboration";Cloud computing;Synchronization;Servers;Google;Protocols;"Uniform resource locators"","""",""8"","""",""39"",""IEEE"",""8 Sep 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
