"CAREL: computer aided reliability evaluator for distributed computing networks,""S. Soh";" S. Rai"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""199"",""213"",""An efficient method to compute the terminal reliability (the probability of communication between a pair of nodes) of a distributed computing system (DCS) is presented. It is assumed that the graph model G(V,E) for DCS is given and that the path and/or cut information for the network G(V,E) is available. Boolean algebraic concepts are used to define four operators: compare, reduce, combine, and generate. The proposed method, called CAREL, uses the four operators to generate exclusive and mutually disjoint events. CAREL has been implemented using bit vector representation on an Encore MULTIMAX 320 system. It is shown that CAREL solves large DCS networks (having a pathset on the order of 780 and a cutset on the order of 7300 or more) with a reasonable memory requirement. A comparison with other algorithms reveals the computational efficiency of the method. The proof of correctness of CAREL is included.<>"",""1558-2183"","""",""10.1109/71.89065"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89065"","""",""Distributed computing";Computer networks;Computer network reliability;Distributed control;Telecommunication network reliability;Boolean functions;Polynomials;Iterative algorithms;Computational efficiency;"Measurement"","""",""86"",""1"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Clustering on a hypercube multicomputer,""S. Ranka";" S. Sahni"",""School of Computer Science, Syracuse University, Syracuse, NY, USA";" Department of Computer and Information Science, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""129"",""137"",""Squared error clustering algorithms for single-instruction multiple-data (SIMD) hypercubes are presented. The algorithms are shown to be asymptotically faster than previously known algorithms and require less memory per processing element (PE). For a clustering problem with N patterns, M features per pattern, and K clusters, the algorithms complete in O(k+log NM) steps on NM processor hypercubes. This is optimal up to a constant factor. These results are extended to the case in which NMK processors are available. Experimental results from a multiple-instruction, multiple-data (MIMD) medium-grain hypercube are also presented.<>"",""1558-2183"","""",""10.1109/71.89059"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89059"","""",""Hypercubes";Clustering algorithms;Pattern recognition;Computer errors;Pattern analysis;Image segmentation;Silicon carbide;Computer science;Partitioning algorithms;"Iterative algorithms"","""",""23"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time partitioning of iterative parallel loops to reduce cache coherency traffic,""S. G. Abraham";" D. E. Hudak"",""Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""318"",""328"",""Adaptive data partitioning (ADP) which reduces the execution time of parallel programs by reducing interprocessor communication for iterative parallel loops is discussed. It is shown that ADP can be integrated into a communication-reducing back end for existing parallelizing compilers or as part of a machine-specific partitioner for parallel programs. A multiprocessor model to analyze program execution factors that lead to interprocessor communication and a model for the iterative parallel loop to quantify communication patterns within a program are defined. A vector notation is chosen to quantify communication across a global data set. Communication parameters are computed by examining the indexes of array accesses and are adjusted to reflect the underlying system architecture by compensating for cache line sizes. These values are used to generate rectangular and hexagonal partitions that reduce interprocessor communication.<>"",""1558-2183"","""",""10.1109/71.86107"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86107"","""",""Multiprocessing systems";Program processors;Parallel processing;Bandwidth;Delay;Parallel programming;Costs;Computer architecture;Traffic control;"Optimizing compilers"","""",""24"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time techniques for data distribution in distributed memory machines,""J. Ramanujam";" P. Sadayappan"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""472"",""482"",""A solution to the problem of partitioning data for distributed memory machines is discussed. The solution uses a matrix notation to describe array accesses in fully parallel loops, which allows the derivation of sufficient conditions for communication-free partitioning (decomposition) of arrays. A series of examples that illustrate the effectiveness of the technique for linear references, the use of loop transformations in deriving the necessary data decompositions, and a formulation that aids in deriving heuristics for minimizing a communication when communication-free partitions are not feasible are presented.<>"",""1558-2183"","""",""10.1109/71.97903"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97903"","""",""Programming profession";Random access memory;Matrix decomposition;Program processors;Sufficient conditions;Costs;Data analysis;Pattern analysis;Hypercubes;"Information science"","""",""100"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time techniques for improving scalar access performance in parallel memories,""A. Gupta";" M. L. Soffa"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""138"",""148"",""Compile-time techniques for storage allocation of scalar values into memory modules that limit run-time memory-access conflicts are presented. The allocation approach is applicable to those operands in instructions that can be predicted at compile-time, where an instruction is composed of the multiple operations and corresponding operands that execute in parallel. Algorithms to schedule data transfers among memory modules to avoid conflicts that cannot be eliminated by the distribution of values alone are developed. The techniques have been implemented as part of a compiler for a reconfigurable long instruction word architecture. Results of experiments are presented demonstrating that a very high percentage of memory access conflicts can be avoided by scheduling a very low number of data transfers.<>"",""1558-2183"","""",""10.1109/71.89060"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89060"","""",""Bandwidth";Laser mode locking;Scheduling algorithm;Processor scheduling;Memory architecture;Multiprocessor interconnection networks;Degradation;Impedance;Programming profession;"Computer science"","""",""9"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiling communication-efficient programs for massively parallel machines,""J. Li";" M. Chen"",""Department of Computer Science, Portland State University, Portland, OR, USA";" Department of Computer Science, Yale University, New Heaven, CT, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""361"",""376"",""A method of generating parallel target code with explicit communication for massively parallel distributed-memory machines is presented. The source programs are shared-memory parallel programs with explicit control structures. The method extracts syntactic reference patterns from a program with shared address space, selects appropriate communication routines, places these routines in appropriate locations in the target program text and sets up correct conditions for invoking these routines. An explicit communication metric is used to guide the selection of data layout strategies.<>"",""1558-2183"","""",""10.1109/71.86111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86111"","""",""Parallel machines";Hardware;Costs;Communication system control;Aggregates;Pattern matching;Processor scheduling;Concurrent computing;Parallel processing;"Application software"","""",""122"",""4"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiling global name-space parallel loops for distributed execution,""C. Koelbel";" P. Mehrotra"",""CITVCRPC, Rice University, Houston, TX, USA";" NASA Langley Research Center, Hampton, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""440"",""451"",""Compiler support required to allow programmers to express their algorithms using a global name-space is discussed. A general method for the analysis of a high-level source program and its translation into a set of independently executing tasks that communicate using messages is presented. It is shown that if the compiler has enough information, the translation can be carried out at compile time"; otherwise;" run-time code is generated to implement the required data movement. The analysis required in both situations is described, and the performance of the generated code on the Intel iPSC/2 hypercube is presented.<>"",""1558-2183"","""",""10.1109/71.97901"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97901"","""",""Memory architecture";Programming profession;Data structures;NASA;Program processors;Runtime;Algorithm design and analysis;Message passing;Performance analysis;"Costs"","""",""143"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Consensus with dual failure modes,""F. J. Meyer";" D. K. Pradhan"",""Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA";" Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""214"",""222"",""The problem of achieving consensus in a distributed system is discussed. Systems are treated in which either or both of two types of faults may occur: dormant (essentially omission and timing faults) and arbitrary (exhibiting arbitrary behavior, commonly referred to as Byzantine). Previous results showed that are number of dormant faults may be tolerated when there are no arbitrary faults and that, at most, (n-1/3) arbitrary faults may be tolerated when there are no dormant faults (n is the number of processors). A continuum is established between the previous results: an algorithm exists iff n>f/sub max/+2m/sub max/ and c>f/sub max/+m/sub max/ (where c is the system connectivity), when faults are constrained so that there are at most f/sub max/ and at most m/sub max/ of these that are arbitrary. An algorithm is given and compared to known algorithms. A method is given to establish virtual links so that the communications graph appears completely connected.<>"",""1558-2183"","""",""10.1109/71.89066"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89066"","""",""Timing";Fault tolerance;Routing;Computer crashes;Nominations and elections;Distributed algorithms;"Process control"","""",""87"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Consistency in dataflow graphs,""E. A. Lee"",""Department of Electrical Engineering and Computer Science, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""223"",""235"",""Analytical properties of programming languages with dataflow graph semantics are discussed. It is shown that one of the most serious problems with these languages is that subtle inconsistencies between parts of the dataflow graph can be inadvertently created. These inconsistencies can lead to deadlock, or in the case of nonterminating programs, to unbounded memory requirements. Consistency is defined to mean that the same number of tokens is consumed as produced on any arc, in the long run. A token-flow model is developed for testing for inconsistency. The method is a generalization of consistency checks for synchronous dataflow (SDF) graphs. The token-flow model is compared to similar tests applied to hybrid dynamical systems. It is argued that dataflow semantics make steady-state analysis possible, leading to a simpler method in most cases.<>"",""1558-2183"","""",""10.1109/71.89067"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89067"","""",""Fires";System recovery;Testing;Parallel processing;Signal processing;Iterative algorithms;Signal processing algorithms;Electric breakdown;Computer languages;"Digital signal processing"","""",""76"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Data-parallel programming on MIMD computers,""P. J. Hatcher"; M. J. Quinn; A. J. Lapadula; B. K. Seevers; R. J. Anderson;" R. R. Jones"",""Department of Computer Science, University of New Hampshire, Durham, NH, USA"; Department of Computer Science, Oregon State University, Corvallis, OR, USA; Department of Computer Science, University of New Hampshire, Durham, NH, USA; Department of Computer Science, Oregon State University, Corvallis, OR, USA; Department of Computer Science, Oregon State University, Corvallis, OR, USA;" Department of Computer Science, University of New Hampshire, Durham, NH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""377"",""383"",""The implementation of two compilers for the data-parallel programming language Dataparallel C is described. One compiler generates code for Intel and nCUBE hypercube multicomputers";" the other generates code for Sequent multiprocessors. A suite of Dataparallel C programs has been compiled and executed, and their execution times and speedups on the Intel iPSC/2, the nCUBE 3200 and the Sequent Symmetry are presented.<>"",""1558-2183"","""",""10.1109/71.86112"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86112"","""",""Program processors";Concurrent computing;Parallel processing;Parallel programming;Programming profession;Computer languages;Hypercubes;Parallel languages;Computer science;"Distributed computing"","""",""47"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
