"A Cloud Reservation System for Big Data Applications,""D. C. Marinescu"; A. Paya;" J. P. Morrison"",""Computer Science Department, University of Central Florida, Orlando, FL"; Computer Science Department, University of Central Florida, Orlando, FL;" Computer Science Department, University College Cork, Cork, Ireland"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""606"",""618"",""Emerging Big Data applications increasingly require resources beyond those available from a single server and may be expressed as a complex workflow of many components and dependency relationships-each component potentially requiring its own specific, and perhaps specialized, resources for its execution. Efficiently supporting this type of Big Data application is a challenging resource management problem for existing cloud environments. In response, we propose a two-stage protocol for solving this resource management problem. We exploit spatial locality in the first stage by dynamically forming rack-level coalitions of servers to execute a workflow component. These coalitions only exist for the duration of the execution of their assigned component and are subsequently disbanded, allowing their resources to take part in future coalitions. The second stage creates a package of these coalitions, designed to support all the components in the complete workflow. To minimize the communication and housekeeping overhead needed to form this package of coalitions, the technique of combinatorial auctions is adapted from market-based resource allocation. This technique has a considerably lower overhead for resource aggregation than the traditional hierarchically organized models. We analyze two strategies for coalition formation: the first, history-based uses information from past auctions to pre-form coalitions in anticipation of predicted demand";" the second one is a just-in-time-that builds coalitions only when support for specific workflow components is requested."",""1558-2183"","""",""10.1109/TPDS.2016.2594783"",""US National Science Foundation CCR(grant numbers:1525943)"; Simulation of Quantum Many-Body Systems Feasible on the Cloud(grant numbers:H2020 EU); Irish Centre for Cloud Computing and Commerce;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7523396"",""Big data applications";cloud resource management;hierarchical organization;coalition formation;"combinatorial auctions"",""Cloud computing";Resource management;Servers;Big data;Organizations;Computers;"Google"","""",""15"","""",""39"",""IEEE"",""27 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Computing Maximum Cardinality Matchings in Parallel on Bipartite Graphs via Tree-Grafting,""A. Azad"; A. Buluç;" A. Pothen"",""Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA"; Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA;" Department of Computer Science, Purdue University, West Lafayette, IN"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""44"",""59"",""It is difficult to obtain high performance when computing matchings on parallel processors because matching algorithms explicitly or implicitly search for paths in the graph, and when these paths become long, there is little concurrency. In spite of this limitation, we present a new algorithm and its shared-memory parallelization that achieves good performance and scalability in computing maximum cardinality matchings in bipartite graphs. Our algorithm searches for augmenting paths via specialized breadth-first searches (BFS) from multiple source vertices, hence creating more parallelism than single source algorithms. Algorithms that employ multiple-source searches cannot discard a search tree once no augmenting path is discovered from the tree, unlike algorithms that rely on single-source searches. We describe a novel tree-grafting method that eliminates most of the redundant edge traversals resulting from this property of multiple-source searches. We also employ the recent direction-optimizing BFS algorithm as a subroutine to discover augmenting paths faster. Our algorithm compares favorably with the current best algorithms in terms of the number of edges traversed, the average augmenting path length, and the number of iterations. We provide a proof of correctness for our algorithm. Our NUMA-aware implementation is scalable to 80 threads of an Intel multiprocessor and to 240 threads on an Intel Knights Corner coprocessor. On average, our parallel algorithm runs an order of magnitude faster than the fastest algorithms available. The performance improvement is more significant on graphs with small matching number."",""1558-2183"","""",""10.1109/TPDS.2016.2546258"",""US Department of Energy"; Office of Science; Office of Advanced Scientific Computing Research, Applied Mathematics(grant numbers:DE-AC02-05CH11231); National Science Foundation(grant numbers:1218196,1552323); DOE(grant numbers:DE-FG02-13ER26135);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7440857"",""Cardinality matching";bipartite graph;tree grafting;"parallel algorithms"",""Bipartite graph";Vegetation;Parallel algorithms;Algorithm design and analysis;Instruction sets;"Impedance matching"","""",""12"","""",""33"",""IEEE"",""24 Mar 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Conflict-Free Loop Mapping for Coarse-Grained Reconfigurable Architecture with Multi-Bank Memory,""S. Yin"; X. Yao; T. Lu; D. Liu; J. Gu; L. Liu;" S. Wei"",""Institute of Microelectronics, Tsinghua University, Beijing, China"; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China;" Institute of Microelectronics, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2017"",""2017"",""28"",""9"",""2471"",""2485"",""Coarse-grained reconfigurable architecture (CGRA) is a promising architecture with high performance, high power-efficiency and attraction of flexibility. The computation-intensive parts of an application (e.g., loops) are often mapped on CGRA for acceleration. Due to the high parallel data access demands, the architecture with multi-bank memory is proposed to improve parallelism. For CGRA with multi-bank memory, a joint solution, which simultaneously considers the memory partitioning and modulo scheduling, is proposed to achieve a valid mapping with better performance. In this solution, the modulo scheduling and operator scheduling are used to achieve a valid loop mapping and a valid data placement without any memory access conflicts. By avoiding the pipelining stalls caused by conflicts, the performance of loop mapping is greatly improved. The experimental results on benchmarks of the Livermore, Polybench and Mediabench show that our approach can improve the performance of loops on CGRA to 1.89×, 1.49× and 1.37× compared with REGIMap, HTDM and REGIMap with memory partitioning, at cost of an acceptable increase in compilation time."",""1558-2183"","""",""10.1109/TPDS.2017.2682241"",""China National High Technologies Research Program(grant numbers:2015AA016601)"; China Major S&T Project(grant numbers:2013ZX01033001-001-003);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7879331"",""Multi-bank";modulo scheduling;data placement;"access pattern"",""Arrays";Pipeline processing;Registers;Routing;"Memory management"","""",""17"","""",""22"",""IEEE"",""15 Mar 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cooper: Expedite Batch Data Dissemination in Computer Clusters with Coded Gossips,""Y. Liu"; D. Niu;" M. Khabbazian"",""EMC Corporation, Edmonton, AB, Canada"; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada;" Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2017"",""2017"",""28"",""8"",""2204"",""2217"",""Data transfers happen frequently in server clusters for software and application deployment, and in parallel computing clusters to transmit intermediate results in batches among servers between computation stages. This paper presents Cooper, an optimized prototype system to speedup multi-batch data transfers among a cluster of servers, leveraging a theoretically proven optimal algorithm called “coded permutation gossip,” which employs a simple random topology control scheme to best utilize bandwidth and decentralized random linear network coding to maximize the useful information transmitted. On a process-level coding-transfer pipeline, we investigate the best block division, batch division and inter-batch scheduling strategies to minimize the broadcast finish time in a realistic setting. For batch-based transfers, we propose a scheduling algorithm with low overhead that overlaps the transfers of consecutive batches and temporarily prioritizes later batches, to further reduce the broadcast finish time. We describe an asynchronous and distributed implementation of Cooper and have deployed it on Amazon EC2 for evaluation. Based on results from real experiments, we show that Cooper can almost double the speed of data transfers in computing clusters, as compared to state-of-the-art content distribution tools like BitTorrent, at a low CPU overhead."",""1558-2183"","""",""10.1109/TPDS.2017.2654242"",""NSERC"; NSERC; RGPIN(grant numbers:436170);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820201"",""Content distribution";computer cluster;gossips;random linear code;parallelism;pipelining;"scheduling"",""Encoding";Servers;Computers;Data transfer;Pipeline processing;Data dissemination;"Clustering algorithms"","""","""","""",""27"",""IEEE"",""17 Jan 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CoRE: Cooperative End-to-End Traffic Redundancy Elimination for Reducing Cloud Bandwidth Cost,""L. Yu"; H. Shen; K. Sapra; L. Ye;" Z. Cai"",""School of Computer Science, Georgia Institute of Technology, Atlanta, GA"; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China;" Department of Computer Science, Georgia State University, Atlanta, GA"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2017"",""2017"",""28"",""2"",""446"",""461"",""The pay-as-you-go service model impels cloud customers to reduce the usage cost of bandwidth. Traffic Redundancy Elimination (TRE) has been shown to be an effective solution for reducing bandwidth costs, and thus has recently captured significant attention in the cloud environment. By studying the TRE techniques in a trace driven approach, we found that both short-term (time span of seconds) and long-term (time span of hours or days) data redundancy can concurrently appear in the traffic, and solely using either sender-based TRE or receiver-based TRE cannot simultaneously capture both types of traffic redundancy. Also, the efficiency of existing receiver-based TRE solution is susceptible to the data changes compared to the historical data in the cache. In this paper, we propose a Cooperative end-to-end TRE solution (CoRE) that can detect and remove both short-term and long-term redundancy through a two-layer TRE design with cooperative operations between layers. An adaptive prediction algorithm is further proposed to improve TRE efficiency through dynamically adjusting the prediction window size based on the hit ratio of historical predictions. Besides, we enhance CoRE to adapt to different traffic redundancy characteristics of cloud applications to improve its operation cost. Extensive evaluation with several real traces show that CoRE is capable of effectively identifying both short-term and long-term redundancy with low additional cost while ensuring TRE efficiency from data changes."",""1558-2183"","""",""10.1109/TPDS.2016.2578928"",""U.S. NSF(grant numbers:CNS-1249603,OCI-1064230,CNS-1254006,CNS-1049947,CNS-1156875,CNS-0917056,CNS-1057530,CNS-1025652,CNS-0938189)"; Microsoft Research Faculty Fellowship(grant numbers:8300751); U.S. Department of Energy; Oak Ridge National Laboratory including the Extreme Scale Systems Center located; ORNL; DoD(grant numbers:4000111689);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7488173"",""Traffic redundancy elimination";cloud computing;network bandwidth;bandwidth cost;"end-to-end"",""Redundancy";Cloud computing;Bandwidth;Servers;Receivers;Elasticity;"Electronic mail"","""",""18"","""",""28"",""IEEE"",""9 Jun 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cost Minimization Algorithms for Data Center Management,""L. Shi"; Y. Shi; X. Wei; X. Ding;" Z. Wei"",""Department of Computer and Information, Hefei University of Technology, Hefei, Anhui, China"; Intelligent Automation Inc., Rockville, MD; Department of Computer and Information, Hefei University of Technology, Hefei, Anhui, China; Institute of Industry and Equipment Technology, Hefei University of Technology, Hefei, Anhui, China;" Department of Computer and Information, Hefei University of Technology, Hefei, Anhui, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""60"",""71"",""Due to the increasing usage of cloud computing applications, it is important to minimize energy cost consumed by a data center, and simultaneously, to improve quality of service via data center management. One promising approach is to switch some servers in a data center to the idle mode for saving energy while to keep a suitable number of servers in the active mode for providing timely service. In this paper, we design both online and offline algorithms for this problem. For the offline algorithm, we formulate data center management as a cost minimization problem by considering energy cost, delay cost (to measure service quality), and switching cost (to change servers's active/idle mode). Then, we analyze certain properties of an optimal solution which lead to a dynamic programming based algorithm. Moreover, by revising the solution procedure, we successfully eliminate the recursive procedure and achieve an optimal offline algorithm with a polynomial complexity. For the online algorithm, We design it by considering the worst case scenario for future workload. In simulation, we show this online algorithm can always provide near-optimal solutions."",""1558-2183"","""",""10.1109/TPDS.2016.2549016"",""National Natural Science Foundation of China(grant numbers:61370088,61501161)"; International Science & Technology Cooperation Program of China(grant numbers:2014DFB10060);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7445250"",""Data center management";offline algorithm;dynamic programming;"online algorithm"",""Servers";Algorithm design and analysis;Switches;Heuristic algorithms;Optimization;Minimization;"Delays"","""",""13"","""",""20"",""IEEE"",""31 Mar 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cost-Aware Big Data Processing Across Geo-Distributed Datacenters,""W. Xiao"; W. Bao; X. Zhu;" L. Liu"",""Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, Hunan, P.R. China"; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, Hunan, P.R. China; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, Hunan, P.R. China;" College of Computing, Georgia Institute of Technology, 266 Ferst Drive, Atlanta, GA"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2017"",""2017"",""28"",""11"",""3114"",""3127"",""With the globalization of service, organizations continuously produce large volumes of data that need to be analysed over geo-dispersed locations. Traditionally central approach that moving all data to a single cluster is inefficient or infeasible due to the limitations such as the scarcity of wide-area bandwidth and the low latency requirement of data processing. Processing big data across geo-distributed datacenters continues to gain popularity in recent years. However, managing distributed MapReduce computations across geo-distributed datacenters poses a number of technical challenges: how to allocate data among a selection of geo-distributed datacenters to reduce the communication cost, how to determine the Virtual Machine (VM) provisioning strategy that offers high performance and low cost, and what criteria should be used to select a datacenter as the final reducer for big data analytics jobs. In this paper, these challenges is addressed by balancing bandwidth cost, storage cost, computing cost, migration cost, and latency cost, between the two MapReduce phases across datacenters. We formulate this complex cost optimization problem for data movement, resource provisioning and reducer selection into a joint stochastic integer nonlinear optimization problem by minimizing the five cost factors simultaneously. The Lyapunov framework is integrated into our study and an efficient online algorithm that is able to minimize the long-term time-averaged operation cost is further designed. Theoretical analysis shows that our online algorithm can provide a near optimum solution with a provable gap and can guarantee that the data processing can be completed within pre-defined bounded delays. Experiments on WorldCup98 web site trace validate the theoretical analysis results and demonstrate that our approach is close to the offline-optimum performance and superior to some representative approaches."",""1558-2183"","""",""10.1109/TPDS.2017.2708120"",""National Natural Science Foundation of China(grant numbers:61572511)"; National University of Defense Technology(grant numbers:ZK16-03-57,ZK16-03-09); China Post-doctoral Science Foundation(grant numbers:2016M602960); Southwest Electron & Telecom Technology Institute(grant numbers:2015014); Georgia Tech; US National Science Foundation(grant numbers:NSF 1547102,SaTC 1564097); IBM;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934132"",""Big data processing";cloud computing;data movement;virtual machine scheduling;"online algorithm"",""Distributed databases";Cloud computing;Bandwidth;Big Data;Algorithm design and analysis;"Optimization"","""",""39"","""",""38"",""IEEE"",""25 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cost-Aware Region-Level Data Placement in Multi-Tiered Parallel I/O Systems,""S. He"; Y. Wang; Z. Li; X. -H. Sun;" C. Xu"",""State Key Laboratory of Software Engineering, Computer School, Wuhan University, Luojiashan, Wuhan, Hubei, China"; Shenzhen Institute of Advanced Technology, Chinese Academy of Science, Xueyuan Blvd. 1068, Shenzhen, China; School of Computer Sciences, Western Illinois University, Macomb, IL; Department of Computer Science, Illinois Institute of Technology, Chicago, IL;" Shenzhen Institute of Advanced Technology, Chinese Academy of Science, Xueyuan Blvd. 1068, Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2017"",""2017"",""28"",""7"",""1853"",""1865"",""Multi-tiered Parallel I/O systems that combine traditional HDDs with emerging SSDs mitigate the cost burden of SSDs while benefiting from their superior I/O performance. While a multi-tiered parallel I/O system is promising for data-intensive applications in high-performance (HPC) domains, placing data on each tier of the system to achieve high I/O performance remains a challenge. In this paper, we propose a cost-aware region-level (CARL) data placement scheme in multi-tiered parallel I/O systems. CARL divides a large file into several small regions, and then places regions on different types of servers based on region access costs. CARL includes a static policy S-CARL and a dynamic policy D-CARL. For applications whose I/O access patterns are completely known, S-CARL calculates the region costs within the entire workload duration, and uses a static data placement scheme to selectively place regions on the proper servers. To adapt to applications whose access patterns are unknown in advance, D-CARL uses a dynamic data placement scheme which migrates data among different servers within each time window. We have implemented CARL under MPI-IO library and OrangeFS parallel file system environment. Our evaluation with representative benchmarks and an application shows that CARL is both feasible and able to improve I/O performance significantly."",""1558-2183"","""",""10.1109/TPDS.2016.2636837"",""National Science Foundation of China(grant numbers:61572377,61672513,U1401258,61550110250)"; China National Basic Research Program 973 Program(grant numbers:2015CB352400); Natural Science Foundation of Hubei Province(grant numbers:2014CFB239); Open Fund from HPCL(grant numbers:201512-02); Open Fund from SKLSE(grant numbers:2015-A-06); Science and Technology Planning Project of Guangdong Province(grant numbers:2015B010129011,2016A030313183);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776880"",""Parallel I/O system";parallel file system;data placement;"solid state drive"",""Servers";Data models;System performance;Optimization;Distributed databases;Software;"Computers"","""",""10"","""",""50"",""IEEE"",""7 Dec 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CRED: Cloud Right-Sizing with Execution Deadlines and Data Locality,""M. Xu"; S. Alamro; T. Lan;" S. Subramaniam"",""Department of Electrical and Computer Engineering, George Washington University, Washington, DC"; Department of Electrical and Computer Engineering, George Washington University, Washington, DC; Department of Electrical and Computer Engineering, George Washington University, Washington, DC;" Department of Electrical and Computer Engineering, George Washington University, Washington, DC"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2017"",""2017"",""28"",""12"",""3389"",""3400"",""As demands for cloud-based data processing continue to grow, cloud providers seek effective techniques that deliver value to the businesses without violating Service Level Agreements (SLAs). Cloud right-sizing has emerged as a very promising technique for making cloud services more cost-effective. In this paper, we present CRED, a novel framework for cloud right-sizing with execution deadlines and data locality constraints. CRED jointly optimizes data placement and task scheduling in data centers with the aim of minimizing the number of nodes needed while meeting users' SLA requirements. We formulate CRED as an integer optimization problem and present a heuristic algorithm with provable performance guarantees to solve the problem. Competitive ratios of the proposed algorithm are quantified in closed form for arbitrary task parameters and cloud configurations. We also extend our work to obtain a resilient solution, which allows successful recovery at run time from any single node failure and is guaranteed to meet both deadline and locality constraints. Simulation results using Google trace show that our proposed algorithm significantly outperforms existing heuristics such as first-fit by reducing the number of required active servers by up to 47 percent, and achieves near-optimal performance. We also show that our algorithm can significantly improve utilization of both computational resources and storage space by up to 28 and 15 percent, respectively."",""1558-2183"","""",""10.1109/TPDS.2017.2726071"",""US National Science Foundation(grant numbers:CSR-1320226)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976384"",""Cloud right-sizing";scheduling;data locality;"failure recovery"",""Cloud computing";Scheduling;Optimization;Heuristic algorithms;Failure analysis;Data models;"Distributed databases"","""",""6"","""",""27"",""IEEE"",""12 Jul 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cutting Latency Tail: Analyzing and Validating Replication without Canceling,""Z. Qiu"; J. F. Pérez; R. Birke; L. Chen;" P. G. Harrison"",""Department of Computing, Kensington, London, United Kingdom"; Department of Applied Mathematics and Computer Science, Universidad del Rosario, Bogotá, Colombia; IBM Research Zurich, Saumerstrasse, Ruschlikon, Switzerland; IBM Research Zurich, Saumerstrasse, Ruschlikon, Switzerland;" Department of Computing, Kensington, London, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2017"",""2017"",""28"",""11"",""3128"",""3141"",""Response time variability in software applications can severely degrade the quality of the user experience. To reduce this variability, request replication emerges as an effective solution by spawning multiple copies of each request and using the result of the first one to complete. Most previous studies have mainly focused on the mean latency for systems implementing replica cancellation, i.e., all replicas of a request are canceled once the first one finishes. Instead, we develop models to obtain the response-time distribution for systems where replica cancellation may be too expensive or infeasible to implement, as in “fast” systems, such as web services, or in legacy systems. Furthermore, we introduce a novel service model to explicitly consider correlation in the processing times of the request replicas, and design an efficient algorithm to parameterize the model from real data. Extensive evaluations on a MATLAB benchmark and a three-tier web application (MediaWiki) show remarkable accuracy, e.g., 7 (4 percent) average error on the 99th percentile response time for the benchmark (respectively, MediaWiki), the requests of which execute in the order of seconds (respectively, milliseconds). Insights into optimal replication levels are thereby gained from this precise quantitative analysis, under a wide variety of system scenarios."",""1558-2183"","""",""10.1109/TPDS.2017.2706268"",""Australian Research Council(grant numbers:Centre of Excellence for Mathematical and Statisti)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932099"",""Software quality engineering";speculative computing;matrix analytic methods;"correlated service times"",""Time factors";Load modeling;Servers;Cloud computing;Computational modeling;"Analytical models"","""",""7"","""",""38"",""IEEE"",""19 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Deadline-Constrained Cost Optimization Approaches for Workflow Scheduling in Clouds,""Q. Wu"; F. Ishikawa; Q. Zhu; Y. Xia;" J. Wen"",""College of Computer Science, Chongqing University, Chongqing, China"; National Institute of Informatics, Tokyo, Japan; College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China;" College of Software Engineering, Chongqing University, Chongqing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2017"",""2017"",""28"",""12"",""3401"",""3412"",""Nowadays it is becoming more and more attractive to execute workflow applications in the cloud because it enables workflow applications to use computing resources on demand. Meanwhile, it also challenges traditional workflow scheduling algorithms that only concentrate on optimizing the execution time. This paper investigates how to minimize execution cost of a workflow in clouds under a deadline constraint and proposes a metaheuristic algorithm L-ACO as well as a simple heuristic ProLiS. ProLiS distributes the deadline to each task, proportionally to a novel definition of probabilistic upward rank, and follows a two-step list scheduling methodology: rank tasks and sequentially allocates each task a service which meets the sub-deadline and minimizes the cost. L-ACO employs ant colony optimization to carry out deadline-constrained cost optimization: the ant constructs an ordered task list according to the pheromone trail and probabilistic upward rank, and uses the same deadline distribution and service selection methods as ProLiS to build solutions. Moreover, the deadline is relaxed to guide the search of L-ACO towards constrained optimization. Experimental results show that compared with traditional algorithms, the performance of ProLiS is very competitive and L-ACO performs the best in terms of execution costs and success ratios of meeting deadlines."",""1558-2183"","""",""10.1109/TPDS.2017.2735400"",""National Natural Science Foundation of China(grant numbers:61472051)"; Fundamental Research Funds for the Central Universities(grant numbers:0903005203386); CDJXY(grant numbers:0216005202069);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8000634"",""Ant colony optimization";cloud computing;constrained optimization;deadline;"workflow scheduling"",""Scheduling";Cloud computing;Optimization;Processor scheduling;Computational modeling;"Probabilistic logic"","""",""135"","""",""41"",""IEEE"",""3 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Delegation of Computation with Verification Outsourcing: Curious Verifiers,""G. Xu"; G. T. Amariucai;" Y. Guan"",""Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, 50011"; Iowa State University, Ames, IA;" Iowa State University, Ames, IA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""717"",""730"",""In the Cloud Computing paradigm, a user often reduces financial, personnel, and computational burdens by outsourcing computation and other IT services to a professional service provider. However, to be able to assure the correctness of the result, the user still needs to perform the verification himself. Such verification may be tedious and expensive. Consequently, users are likely to outsource (again) the verification workload to a third party. Other scenarios such as auditing and arbitrating may also require the use of third-party verification. Outsourcing verification will introduce new security challenges. One such challenge is to protect the computational task and the results from the untrusted third party verifier. In this work, we address this problem by proposing an efficient verification outsourcing scheme. To our knowledge, this is the first solution to the verification outsourcing problem. We show that, without using expensive fully-homomorphic encryption, an honest-but-curious third party can help to verify the result of an outsourced computational task without having to learn either the computational task or the result thereof. We have implemented our design by combining a novel commitment protocol and an additive-homomorphic encryption in the argument system model. The total cost of the verification in our design is less than the verifier's cost in the state-of-the-art argument systems that rely only on standard cryptographic assumptions."",""1558-2183"","""",""10.1109/TPDS.2016.2598342"",""US National Science Foundation(grant numbers:CNS-0644238,CNS-0831470)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7533495"",""Delegation of verification";argument systems;PCPs;cloud computing;verifiable computation;"fully confidentiality-preserving verifiable computation"",""Outsourcing";Cloud computing;Computational modeling;Servers;Encryption;Protocols;"Logic gates"","""",""6"","""",""41"",""IEEE"",""4 Aug 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Design and Implementation of a Communication-Optimal Classifier for Distributed Kernel Support Vector Machines,""Y. You"; J. Demmel; K. Czechowski; L. Song;" R. Vuduc"",""Computer Science Division, UC Berkeley, CA"; Computer Science Division, UC Berkeley, CA; College of Computing, Georgia Tech, GA; College of Computing, Georgia Tech, GA;" College of Computing, Georgia Tech, GA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2017"",""2017"",""28"",""4"",""974"",""988"",""We consider the problem of how to design and implement communication-efficient versions of parallel kernel support vector machines, a widely used classifier in statistical machine learning, for distributed memory clusters and supercomputers. The main computational bottleneck is the training phase, in which a statistical model is built from an input data set. Prior to our study, the parallel isoefficiency of a state-of-the-art implementation scaled as W = Ω(P3), where W is the problem size and P the number of processors";" this scaling is worse than even a one-dimensional block row dense matrix vector multiplication, which has W = Ω(P2). This study considers a series of algorithmic refinements, leading ultimately to a Communication-Avoiding SVM method that improves the isoefficiency to nearly W = Ω(P). We evaluate these methods on 96 to 1,536 processors, and show average speedups of 3 - 16x (7× on average) over Dis-SMO, and a 95 percent weak-scaling efficiency on six real-world datasets, with only modest losses in overall classification accuracy. The source code can be downloaded at [1]."",""1558-2183"","""",""10.1109/TPDS.2016.2608823"",""U.S. Department of Energy"; Office of Science; Office of Advanced Scientific Computing Research; Applied Mathematics program(grant numbers:DE-SC0010200); U.S. Department of Energy; Office of Science; Office of Advanced Scientific Computing Research(grant numbers:DE-SC0008700,AC02-05CH11231); DARPA(grant numbers:HR0011-12-2-0016); Intel; Google; HP; Huawei; LGE; Nokia; NVIDIA; Oracle; Samsung; NSF; NIH; BIGDATA(grant numbers:1R01GM108341,ONR N00014-15-1- 2340,NSF IIS-1218749); NSF; CAREER(grant numbers:IIS-1350983); Intel; NVIDIA;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7565530"",""Distributed memory algorithms";communication-avoidance;"statistical machine learning"",""Support vector machines";Training;Kernel;Data models;Program processors;Partitioning algorithms;"Optimization"","""",""9"","""",""37"",""IEEE"",""13 Sep 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Design Space Exploration of 2-D Processor Array Architectures for Similarity Distance Computation,""A. Kanan"; F. Gebali;" A. Ibrahim"",""Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada"; Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada;" Department of Microelectronics, Electronics Research Institute, Cairo, Egypt"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2017"",""2017"",""28"",""8"",""2218"",""2228"",""We present a systematic methodology for exploring the design space of similarity distance computation in machine learning algorithms. Previous architectures proposed in the literature have been obtained using ad hoc techniques that do not allow for design space exploration. The size and dimensionality of the input datasets have not been taken into consideration in previous works. This may result in impractical designs that are not amenable for hardware implementation. The methodology presented in this work is used to obtain the 3-D computation domain of the similarity distance computation algorithm. A scheduling function determines whether an algorithm variable is pipelined or broadcast. Four linear scheduling functions are presented, and six possible 2-D processor array architectures are obtained and classified based on the size and dimensionality of the input datasets. The obtained designs are analyzed in terms of speed and area, and compared with previously obtained designs. The proposed designs achieve better time and area complexities."",""1558-2183"","""",""10.1109/TPDS.2017.2656900"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7829398"",""Processor arrays";similarity distance;machine learning;data mining;big data analytics;"parallel processing"",""Parallel processing";Algorithm design and analysis;Space exploration;Machine learning algorithms;Scheduling;"Arrays"","""",""3"","""",""33"",""IEEE"",""23 Jan 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
