"A Bi-layered Parallel Training Architecture for Large-Scale Convolutional Neural Networks,""J. Chen"; K. Li; K. Bilal; x. zhou; K. Li;" P. S. Yu"",""National Supercomputing Center in Changsha, Hunan, Changsha, China"; National Supercomputing Center in Changsha, Hunan, Changsha, China; Qatar University, Doha, Qatar; National Supercomputing Center in Changsha, Hunan, Changsha, China; Department of Computer Science, State University of New York, New Paltz, NY, USA;" Department of Computer Science, University of Illinois at Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""965"",""976"",""Benefitting from large-scale training datasets and the complex training network, Convolutional Neural Networks (CNNs) are widely applied in various fields with high accuracy. However, the training process of CNNs is very time-consuming, where large amounts of training samples and iterative operations are required to obtain high-quality weight parameters. In this paper, we focus on the time-consuming training process of large-scale CNNs and propose a Bi-layered Parallel Training (BPT-CNN) architecture in distributed computing environments. BPT-CNN consists of two main components: (a) an outer-layer parallel training for multiple CNN subnetworks on separate data subsets, and (b) an inner-layer parallel training for each subnetwork. In the outer-layer parallelism, we address critical issues of distributed and parallel computing, including data communication, synchronization, and workload balance. A heterogeneous-aware Incremental Data Partitioning and Allocation (IDPA) strategy is proposed, where large-scale training datasets are partitioned and allocated to the computing nodes in batches according to their computing power. To minimize the synchronization waiting during the global weight update process, an Asynchronous Global Weight Update (AGWU) strategy is proposed. In the inner-layer parallelism, we further accelerate the training process for each CNN subnetwork on each computer, where computation steps of convolutional layer and the local weight training are parallelized based on task-parallelism. We introduce task decomposition and scheduling strategies with the objectives of thread-level load balancing and minimum waiting time for critical paths. Extensive experimental results indicate that the proposed BPT-CNN effectively improves the training performance of CNNs while maintaining the accuracy."",""1558-2183"","""",""10.1109/TPDS.2018.2877359"",""National Key R&D Program of China(grant numbers:2016YFB0200201)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); International Postdoctoral Exchange Fellowship Program(grant numbers:2018024); China Postdoctoral Science Foundation(grant numbers:2018T110829); National Science Foundation(grant numbers:IIS-1526499,IIS-1763325,CNS-1626432); NSFC(grant numbers:61672313);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502141"",""Big data";bi-layered parallel computing;convolutional neural networks;deep learning;"distributed computing"",""Training";Computer architecture;Computational modeling;Parallel processing;Task analysis;Distributed computing;"Acceleration"","""",""132"","""",""26"",""IEEE"",""21 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"AutoBoT: Resilient and Cost-Effective Scheduling of a Bag of Tasks on Spot VMs,""P. Varshney";" Y. Simmhan"",""Advanced Technology Group, NetApp Inc, Bangalore, India";" Department of Computational and Data Sciences, Indian Institute of Science (IISc), Bangalore, India"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jun 2019"",""2019"",""30"",""7"",""1512"",""1527"",""Many data and task parallel applications can be modeled as a Bag of Tasks (BoT), and scheduled on distributed systems such as Grids, Clusters, and Clouds. We propose AutoBoT, a collection of scheduling strategies for BoTs with hard deadlines on Cloud Virtual Machines (VMs), to lower the overall monetary cost - a distinctive factor for Clouds. Besides reliable fixed-price VMs, AutoBoT uniquely reduces costs by including preemptible spot-priced VMs that are much cheaper, but are unreliable and have time-variant pricing. It guarantees timely completion by making active runtime decisions on pricing, number of VMs to acquire/release, and on task placement, checkpointing and migration. Our rigorous simulations of 7 Million BoT runs sampled from the Google cluster workload uses a realistic Cloud model and 6 months of Amazon EC2 pricing data to compare AutoBoT against two baseline algorithms. We analyze the impact of BoT size, data centers, time periods, deadline duration, loss budget and checkpointing strategies. AutoBoT often gives X80% profit and rare but bounded losses, compared to using only fixed-price VMs. Further, its 100 percent completion guarantee is 23-42 percent better than using only spot-priced VMs which offer a similar profit."",""1558-2183"","""",""10.1109/TPDS.2018.2889851"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590769"",""Scheduling";cloud computing;bag of tasks;heuristics;checkpointing;reliability;"spot pricing"",""Task analysis";Bot (Internet);Cloud computing;Google;Reliability;Pricing;"Checkpointing"","""",""21"","""",""50"",""IEEE"",""27 Dec 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Bandwidth and Energy Efficient Image Sharing for Situation Awareness in Disasters,""P. Zuo"; Y. Hua; Y. Sun; X. Liu; J. Wu; Y. Guo; W. Xia; S. Cao;" D. Feng"",""Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China"; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; School of Computer Science, McGill University, Montreal, Quebec, Canada; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China;" Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""15"",""28"",""In order to save human lives and reduce injury and property loss, Situation Awareness (SA) information is essential and important for rescue workers to perform the effective and timely disaster relief. The information is generally derived from the shared images via widely used smartphones. However, conventional smartphone-based image sharing schemes fail to efficiently meet the needs of SA applications due to two main reasons, i.e., real-time transmission requirement and application-level image redundancy, which is exacerbated by limited bandwidth and energy availability. In order to provide efficient image sharing in disasters, we propose a bandwidth- and energy- efficient image sharing system, called BEES. The salient feature behind BEES is to propose the concept of Approximate Image Sharing (AIS), which explores and exploits approximate feature extraction, redundancy detection, and image uploading to trade the slightly low quality of computation results in content-based redundancy elimination for higher bandwidth and energy efficiency. Nevertheless, the boundaries of the tradeoffs between the quality of computation results and efficiency are generally subjective and qualitative. We hence propose the energy-aware adaptive schemes in AIS to leverage the physical energy availability to objectively and quantitatively determine the tradeoffs between the quality of computation results and efficiency. Moreover, unlike existing work only for cross-batch similar images, BEES further eliminates in-batch ones via a similarity-aware submodular maximization model. The response time of querying similar images is reduced via leveraging a geographic coordinate based index partitioning scheme. We have implemented the BEES prototype which is evaluated via three real-world image datasets. Extensive experimental results demonstrate the efficacy and efficiency of BEES. We have released the source codes of BEES at GitHub."",""1558-2183"","""",""10.1109/TPDS.2018.2859930"",""National Key Research and Development Program of China(grant numbers:2016YFB1000202)"; National Natural Science Foundation of China(grant numbers:61772212,61502190);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8419321"",""Image sharing system";content-based redundancy elimination;situation awareness;"disaster environments"",""Feature extraction";Bandwidth;Smart phones;Redundancy;Indexes;Real-time systems;"Batteries"","""",""9"","""",""57"",""IEEE"",""25 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Batch Allocation for Tasks with Overlapping Skill Requirements in Crowdsourcing,""J. Jiang"; B. An; Y. Jiang; P. Shi; Z. Bu;" J. Cao"",""School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore"; School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore; Co-innovation Center of Shandong Universities for Future Intelligent Computing, Shandong Technology and Business University, Yantai, China; Co-innovation Center of Shandong Universities for Future Intelligent Computing, Shandong Technology and Business University, Yantai, China; College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China;" College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jul 2019"",""2019"",""30"",""8"",""1722"",""1737"",""Existing studies on crowdsourcing often adopt the retail-style allocation approach, in which tasks are allocated individually and independently. However, such retail-style task allocation has the following problems: 1) each task is executed independently from scratch, thus the execution of one task seldom utilize the results of other tasks and the requester must pay in full for the task"; 2) many workers only undertake a very small number of tasks contemporaneously, thus the workers' skills and time may not be fully utilized. We observe that many complex tasks in real-world crowdsourcing platforms have similar skill requirements and long deadlines. Based on these real-world observations, this paper presents a novel batch allocation approach for tasks with overlapping skill requirements. Requesters' real payment can be discounted because the real execution cost of tasks can be reduced due to batch allocation and execution, and each worker's real earnings may increase because he/she can undertake more tasks contemporaneously. This batch allocation optimization problem is proved to be NP-hard. Then, two types of heuristic approaches are designed: layered batch allocation and core-based batch allocation. The former approach mainly utilizes the hierarchy pattern to form all possible batches, which can achieve better performance but may require higher computational cost since all possible batches are formed and observed;" the latter approach selects core tasks to form batches, which can achieve suboptimal performance with lower complexity and significantly reduce computational cost. With the theoretical analyses and experiments on a real-world Upwork dataset in which the proposed approaches are compared with the previous benchmark retail-style allocation approach, we find that our approaches have better performances in terms of total payment by requesters and average income of workers, as well as maintaining close successful task completion probability and consuming less task allocation time."",""1558-2183"","""",""10.1109/TPDS.2019.2894146"",""National Natural Science Foundation of China(grant numbers:61472079,61806053,61807008)"; Natural Science Foundation of Jiangsu Province(grant numbers:BK20171363,BK20180356,BK20180369);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8620370"",""Task allocation";crowdsourcing;batch formation;discounting;"skill overlapping"",""Task analysis";Resource management;Crowdsourcing;Computational efficiency;Social network services;"Benchmark testing"","""",""12"","""",""30"",""IEEE"",""20 Jan 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"BiloKey : A Scalable Bi-Index Locality-Aware In-Memory Key-Value Store,""W. Ma"; Y. Zhu; C. Li; M. Guo;" Y. Bao"",""State Key Laboratory of Computer Architecture, Institute of Computing Technology Chinese Academy of Sciences, Beijing, China"; State Key Laboratory of Computer Architecture, Institute of Computing Technology Chinese Academy of Sciences, Beijing, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; State Key Laboratory of Computer Architecture, Institute of Computing Technology Chinese Academy of Sciences, Beijing, China;" State Key Laboratory of Computer Architecture, Institute of Computing Technology Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jun 2019"",""2019"",""30"",""7"",""1528"",""1540"",""Fast in-memory key value stores are the keys to building large-scale Internet services. The state-of-the-art solutions mainly focus on optimizing the performance for read-intensive workloads. Nevertheless, a wide range of applications demonstrate a significant amount of updates and range queries, which scale poorly with the current implementations. In this paper, we present BiloKey, a highly scalable in-memory key value store on multi-core machines, significantly outperforming Redis and Memcached for a variety of mixed read and write workloads. To achieve this, BiloKey leverages a fast bi-index comprised by a Hash Table index and a SkipList index, where the former supports feature rich operations including GET, UPDATE and DELETE with O(1) complexity, while the latter supports SCAN with O(log N) complexity. Furthermore, to make the bi-index design scale well, BiloKey adopts three techniques: lazy synchronization for reducing the overhead of maintaining index consistency, lock-free data structure for supporting multi-writers, and locality-aware data parallel processing for preserving the data locality of requests. Compared with two popular in-memory KV stores (i.e., Redis and Memcached), experimental results show that: (1) for write-intensive workloads, BiloKey outperforms Redis and Memcached by 7.8x and 3.7x on average (up to 11.5x and 4.8x), respectively"; (2) for scan-intensive workloads, BiloKey achieves an average speedup of 2.3x against Redis;" (3) for read-intensive workloads, BiloKey also outperforms Redis and Memcached by 1.2x and 1.8x on average."",""1558-2183"","""",""10.1109/TPDS.2019.2891599"",""State Key Development Program for Basic Research of China(grant numbers:2014CB340402)"; National Key R&D Program of China(grant numbers:2016YFB1000201); National Natural Science Foundation of China(grant numbers:61303054,61420106013,61432006);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8606250"",""In-memory key-value store";multi-core scalability;locality-aware networking;hybrid index;"lock-free access"",""Data structures";Concurrency control;Scalability;Indexing;Instruction sets;"Complexity theory"","""",""4"","""",""44"",""IEEE"",""9 Jan 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"BLOT: Bandit Learning-Based Offloading of Tasks in Fog-Enabled Networks,""Z. Zhu"; T. Liu; Y. Yang;" X. Luo"",""School of Information Science and Technology, ShanghaiTech University, Shanghai, China"; School of Information Science and Technology, ShanghaiTech University, Shanghai, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, China;" School of Information Science and Technology, ShanghaiTech University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Nov 2019"",""2019"",""30"",""12"",""2636"",""2649"",""Task offloading is a promising technology to exploit the available computational resources in spatially distributed fog nodes efficiently in the era of fog computing. In this paper, we look for an online task offloading strategy to minimize the long-term cost, which factors in the latency, the energy consumption, and the switching cost. To this end, we formulate a stochastic programming problem and the expectations of the system parameters are allowed to change abruptly at unknown time instants. Meanwhile, we consider the fact that the queried nodes can only feed back the processing results after finishing the tasks. Then we put forth an effective bandit learning algorithm, i.e., the BLOT, to solve this challenging stochastic programming under the non-stationary bandit model. We also demonstrate that our proposed BLOT algorithm is asymptotically optimal in a non-stationary fog-enabled network. Numerical experiments further verify the superb performance of BLOT."",""1558-2183"","""",""10.1109/TPDS.2019.2927978"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8762108"",""Online learning";fog computing;task offloading;stochastic programming;"multi-armed bandit (MAB)"",""Task analysis";Delays;Energy consumption;Edge computing;Stochastic processes;Programming;"Computational modeling"","""",""38"","""",""32"",""IEEE"",""15 Jul 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Budget and Deadline Aware e-Science Workflow Scheduling in Clouds,""V. Arabnejad"; K. Bubendorfer;" B. Ng"",""School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand"; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand;" School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""29"",""44"",""Basic science is becoming ever more computationally intensive, increasing the need for large-scale compute and storage resources, be they within a High Performance Computer cluster, or more recently within the cloud. In most cases, large scale scientific computation is represented as a workflow for scheduling and runtime provisioning. Such scheduling become an even more challenging problem on cloud systems due to the dynamic nature of the cloud, in particular, the elasticity, the pricing models (both static and dynamic), the non-homogeneous resource types, the vast array of services, and virtualization. This mapping of workflow tasks on to a set of provisioned instances is an example of the general scheduling problem and is NP-complete. In addition, we also need to ensure that certain runtime constraints are met - the most typical being the cost of the computation and the time which that computation requires to complete. In this article, we introduce a new heuristic scheduling algorithm, Budget Deadline Aware Scheduling (BDAS), that addresses eScience workflow scheduling under budget and deadline constraints in Infrastructure as a Service (IaaS) clouds. The novelty of our work is satisfying both budget and deadline constraints while introducing a tunable cost-time trade off over heterogeneous instances. In addition, we study the stability and robustness of our algorithm by performing sensitivity analysis. The results demonstrate that overall BDAS finds a viable schedule for more than 40000 test cases accomplishing both defined constraints: budget and deadline. Moreover, our algorithm achieves a 17.0-23.8 percent higher success rate when compared to state of the art algorithms."",""1558-2183"","""",""10.1109/TPDS.2018.2849396"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400402"",""Scientific workflow";scheduling;budget;deadline;"cloud"",""Task analysis";Cloud computing;Dynamic scheduling;Scheduling algorithms;"Schedules"","""",""99"","""",""42"",""IEEE"",""29 Jun 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Chameleon: A Hybrid, Proactive Auto-Scaling Mechanism on a Level-Playing Field,""A. Bauer"; N. Herbst; S. Spinner; A. Ali-Eldin;" S. Kounev"",""University of Würzburg, Würzburg, Germany"; University of Würzburg, Würzburg, Germany; University of Würzburg, Würzburg, Germany; UMass, Amherst, MA, USA;" University of Würzburg, Würzburg, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""800"",""813"",""Auto-scalers for clouds promise stable service quality at low costs when facing changing workload intensity. The major public cloud providers provide trigger-based auto-scalers based on thresholds. However, trigger-based auto-scaling has reaction times in the order of minutes. Novel auto-scalers from literature try to overcome the limitations of reactive mechanisms by employing proactive prediction methods. However, the adoption of proactive auto-scalers in production is still very low due to the high risk of relying on a single proactive method. This paper tackles the challenge of reducing this risk by proposing a new hybrid auto-scaling mechanism, called Chameleon, combining multiple different proactive methods coupled with a reactive fallback mechanism. Chameleon employs on-demand, automated time series-based forecasting methods to predict the arriving load intensity in combination with run-time service demand estimation to calculate the required resource consumption per work unit without the need for application instrumentation. We benchmark Chameleon against five different state-of-the-art proactive and reactive auto-scalers one in three different private and public cloud environments. We generate five different representative workloads each taken from different real-world system traces. Overall, Chameleon achieves the best scaling behavior based on user and elasticity performance metrics, analyzing the results from 400 hours aggregated experiment time."",""1558-2183"","""",""10.1109/TPDS.2018.2870389"",""Deutsche Forschungsgemeinschaft(grant numbers:3445/11-1)"; Vetenskapsrådet; Standard Performance Evaluation Corporation;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465991"",""Auto-scaling";elasticity;workload forecasting;service demand estimation;IaaS cloud;benchmarking;"metrics"",""Estimation";Measurement;Cloud computing;Time series analysis;Elasticity;Predictive models;"Benchmark testing"","""",""36"","""",""38"",""IEEE"",""14 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Clip: A Disk I/O Focused Parallel Out-of-Core Graph Processing System,""Z. Ai"; M. Zhang; Y. Wu; X. Qian; K. Chen;" W. Zheng"",""Graduate School at Shenzhen, Tsinghua University, Shenzhen, China"; Graduate School at Shenzhen, Tsinghua University, Shenzhen, China; Graduate School at Shenzhen, Tsinghua University, Shenzhen, China; University of Southern California, Los Angeles, CA, USA; Graduate School at Shenzhen, Tsinghua University, Shenzhen, China;" Graduate School at Shenzhen, Tsinghua University, Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""45"",""62"",""Existing parallel out-of-core graph processing systems focus on improving disk I/O locality, which leads to restrictions on their programming models. Although improving the locality, these constraints also restrict the expressiveness and hence only sub-optimal algorithms are supported. These sub-optimal algorithms typically incur sequential, but much larger, amount of disk I/O. In this paper, we explore a fundamentally different tradeoff: less total amount of I/O rather than better locality. We show that out-of-core graph processing systems uniquely provide the opportunities to lift the restrictions of the programming model in a feasible manner. To demonstrate the ideas, we build Clip, which enables more efficient algorithms that require much less amount of total disk I/O. Our experiments show that the algorithms that can be only implemented in Clip are much faster than the original disk-locality-optimized algorithms. We also further extend our technique's scope of application by providing a semi-external mode. Our analysis and evaluation demonstrate that semi-external is not only feasible for many cases, but also be able to deliver a significant speedup for important graph applications. Moreover, we further improve the performance of originally supported applications by designing more optimizations and evaluate our system on NVMe SSD."",""1558-2183"","""",""10.1109/TPDS.2018.2858250"",""National Key Research & Development Program of China(grant numbers:2016YFB1000504)"; Natural Science Foundation of China(grant numbers:61433008,61373145,61572280,61133004,61502019,U1435216); National Basic Research (973) Program of China(grant numbers:2014CB340402); Intel Labs China(grant numbers:20160520); National Science Foundation(grant numbers:CRII-1657333,SHF-1717754,CSR-1717984); Spanish Gov. & European ERDF(grant numbers:TIN2010-21291-C02-01); Consolider(grant numbers:CSD2007-00050);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8416754"",""Graph processing";parallelization;big data;"disk I/O"",""Input-output programs";Graph theory;Parallel processing;"Optimization"","""",""3"","""",""48"",""IEEE"",""20 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Cloud Scheduling with Discrete Charging Units,""M. M. Tan"; R. Ren;" X. Tang"",""School of Computer Science and Engineering, Nanyang Technological University, Singapore"; School of Computer Science and Engineering, Nanyang Technological University, Singapore;" School of Computer Science and Engineering, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jun 2019"",""2019"",""30"",""7"",""1541"",""1551"",""We consider a scheduling problem for running jobs on machines rented from the cloud. Cloud service providers such as Amazon EC2 and Google Cloud offer machines to rent on demand, and charge the rental usage by a specific interval of time, say at an hourly rate. This pricing model creates an interesting optimization problem called Interval Scheduling with Discrete Charging Units (ISDCU) which assigns jobs to run on the machines with the objective of minimizing the rental cost. In this paper, we study the problem of ISDCU where each machine can process a maximum of g jobs simultaneously. We focus on interval jobs where each job must be assigned to a machine upon its arrival and run for a required processing length. We show that ISDCU is NP-hard even for the case of g = 1. We also show that no deterministic online algorithm can achieve a competitive ratio better than max{2, g} in the non-clairvoyant setting, and better than max{3/2, g} in the clairvoyant setting. Lastly, we develop and analyze several online algorithms, most of which achieve a competitive ratio of O(g)."",""1558-2183"","""",""10.1109/TPDS.2018.2889712"",""Singapore Ministry of Education Academic Research Fund Tier 1(grant numbers:2018-T1-002-063)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588304"",""Cloud scheduling";interval scheduling;"online algorithm"",""Schedules";Calibration;Color;Greedy algorithms;Minimization;Scheduling;"Parallel processing"","""",""4"","""",""17"",""IEEE"",""25 Dec 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Collaborative Optimization of Service Composition for Data-Intensive Applications in a Hybrid Cloud,""H. Ma"; H. Zhu; K. Li;" W. Tang"",""College of Information Science and Engineering, Hunan Normal University, Changsha, China"; Collaborative Systems Laboratory, Nipissing University, North Bay, ON, Canada; Department of Computer Science, State University of New York, New Paltz, NY, USA;" College of Information Science and Engineering, Hunan Normal University, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""1022"",""1035"",""The multi-valued evaluations of quality of service (QoS), the complicated constraints between cloud services (CSs) and the collaborative resource assignments add many difficulties to the problem of CS composition for data-intensive applications (DiA) in a hybrid cloud (CSCD-HC). Solving the CSCD-HC problem has become a challenging task due to the uncertain QoS, the diverse hardware configurations and the flexible pricing about CSs. This paper proposes a collaborative optimization approach for CSCD-HC. This approach models a DiA as a role-based collaboration (RBC) system and employs the environments-classes, agents, roles, groups, and objects (E-CARGO) model to formalize the CSCD-HC problem with complicated constraints. To deal with the multi-valued QoS evaluations, this paper exploits the cloud model theory to analyze the performance of CSs, and presents a new method utilizing the Mahalanobis distance to improve the similarity calculation of QoS cloud models. Based on it, the qualification of candidate CSs can be precisely measured for supporting CS composition. A solution via the IBM ILOG CPLEX optimization package is put forward to solve the CSCD-HC problem. The experimental results demonstrate that the proposed approach is effective and feasible for optimizing CSCD-HC."",""1558-2183"","""",""10.1109/TPDS.2018.2879603"",""Natural Sciences and Engineering Research Council of Canada(grant numbers:RGPIN2018-04818)"; Hunan Provincial Natural Science Foundation of China(grant numbers:2017JJ2186); Ministry of Education; Humanities and Social Science Research Youth Fund(grant numbers:18YJCZH124);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8523635"",""Collaboration optimization";data-intensive;hybrid cloud;multi-valued QoS evaluations;"service composition"",""Cascading style sheets";Quality of service;Cloud computing;Collaboration;Optimization;Task analysis;"Qualifications"","""",""19"","""",""58"",""IEEE"",""4 Nov 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Comparative Analysis of Intra-Algorithm Parallel Multiobjective Evolutionary Algorithms: Taxonomy Implications on Bioinformatics Scenarios,""S. Santander-Jiménez";" M. A. Vega-Rodríguez"",""INESC-ID, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Portugal";" Department of Computer and Communications Technologies, University of Extremadura, Caceres, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""63"",""78"",""Parallelism has become a recurrent tool to support computational intelligence and, particularly, evolutionary algorithms in the solution of very complex optimization problems, especially in the multiobjective case. However, the selection of parallel evolutionary designs often represents a difficult question due to the multiple variables that must be considered to attain an accurate exploitation of hardware resources, along with their influence in solution quality. This work looks into this issue by conducting a comparative performance analysis of intra-algorithm parallel multiobjective evolutionary algorithms running on shared-memory configurations. We consider different design trends including A) generational approaches based on measurements of solution quality plus diversity, B) generational approaches based on measurements of solution quality exclusively, and C) non-generational approaches. Following these trends, a total of six representative algorithms are applied to tackle a challenging bioinformatics problem as a case study, phylogenetic reconstruction. Experimentation on real-world scenarios point out the main advantages and weaknesses of each design, outlining guidelines for the selection of methods according to the characteristics of the employed hardware, evolutionary properties, and the parallelism exploitation capabilities of the evaluated approaches."",""1558-2183"","""",""10.1109/TPDS.2018.2854788"",""Albert Ellis Institute"; ERDF (European Regional Development Fund, EU)(grant numbers:TIN2016-76259-P); Post-Doctoral Fellowship from FCT (Fundação para a Ciência e a Tecnologia, Portugal)(grant numbers:SFRH/BPD/119220/2016);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409336"",""Comparative analysis";taxonomy;parallelism;multiobjective optimization;evolutionary computation;"NP-hard problems"",""Evolutionary computation";Parallel processing;Genetic algorithms;Optimization;Hardware;Linear programming;"Sociology"","""",""4"","""",""43"",""IEEE"",""10 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"CongraPlus: Towards Efficient Processing of Concurrent Graph Queries on NUMA Machines,""P. Pan"; C. Li;" M. Guo"",""Department of Electrical and Computer Engineering, Cornell University, Ithaca, NY, USA"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, Minhang, China;" Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, Minhang, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2019"",""2019"",""30"",""9"",""1990"",""2002"",""Graph analytics has been routinely used to solve problems in a wide range of real-life applications. Efficiently processing concurrent graph analytics queries in a multiuser environment is highly desirable as we enter a world of edge device oriented services. Existing research, however, primarily focuses on analyzing a single, large graph dataset and leaves the efficient processing of multiple mid-sized graph analytics queries an intriguing yet challenging open problem. In this work, we investigate the scheduling of concurrent graph analytics queries on NUMA machines. We analyze the performance of several graph analytics algorithms and observe that they have diminishing performance returns as the number of processor cores increases. With concurrent graph analytics, such diminishing returns translate to no or even negative performance gains because of increasing contention on shared hardware resources. We also demonstrate the unpredictability of memory bandwidth usage for numerous graph analytics algorithms, which can lead to sub-optimal performance due to its potential to cause severe memory bandwidth contention. Motivated by the above observations, we propose CongraPlus, a NUMA-aware scheduler that intelligently manages concurrent graph analytics queries for better system throughput and memory bandwidth efficiency. CongraPlus collects the memory bandwidth consumption characteristics of graph analytics queries via offline profiling and eliminates memory bandwidth contention by computing the optimal sequence to launch queries. It also avoids computation resource contention by assigning a certain number of processor cores to the individual queries. We implement CongraPlus in C++ on top of the Ligra graph processing framework and test it with judiciously selected graph processing query combinations. Our results reveal that CongraPlus-based schemes improve query throughput by 30 percent compared to the conventional approach. It also exhibits a much better quality of service and scalability."",""1558-2183"","""",""10.1109/TPDS.2019.2899595"",""National Basic Research Program of China (973 Program)(grant numbers:2018YFB1003503)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8642367"",""Concurrent graph analytics";query scheduling;memory bandwidth;efficiency;"throughput"",""Bandwidth";Instruction sets;Servers;Processor scheduling;Memory management;Scheduling;"Prediction algorithms"","""",""3"","""",""30"",""IEEE"",""14 Feb 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
