"A comparative study of topological properties of hypercubes and star graphs,""K. Day";" A. Tripathi"",""Computer Science Department, University of Bahrain, Isa Town, Bahrain";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""31"",""38"",""Undertakes a comparative study of two important interconnection network topologies: the star graph and the hypercube, from the graph theory point of view. Topological properties are derived for the star graph and are compared with the corresponding properties of the hypercube. Among other results, the authors determine necessary and sufficient conditions for shortest path routing and characterize maximum-sized families of parallel paths between any two nodes of the star graph. These parallel paths are proven of minimum length within a small additive constant. They also define greedy and asymptotically balanced spanning trees to support broadcasting and personalized communication on the star graph. These results confirm the already claimed topological superiority of the star graph over the hypercube.<>"",""1558-2183"","""",""10.1109/71.262586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262586"","""",""Hypercubes";Tree graphs;Routing;Broadcasting;Concurrent computing;Computer science;Multiprocessor interconnection networks;Network topology;Graph theory;"Additives"","""",""174"",""2"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Communication-free data allocation techniques for parallelizing compilers on multicomputers,""Tzung-Shi Chen";" Jang-Ping Sheu"",""Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan";" Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""924"",""938"",""In distributed memory multicomputers, local memory accesses are much faster than those involving interprocessor communication. For the sake of reducing or even eliminating the interprocessor communication, the array elements in programs must be carefully distributed to local memory of processors for parallel execution. We devote our efforts to the techniques of allocating array elements of nested loops onto multicomputers in a communication-free fashion for parallelizing compilers. We first analyze the pattern of references among all arrays referenced by a nested loop, and then partition the iteration space into blocks without interblock communication. The arrays can be partitioned under the communication-free criteria with nonduplicate or duplicate data. Finally, a heuristic method for mapping the partitioned array elements and iterations onto the fixed-size multicomputers under the consideration of load balancing is proposed. Based on these methods, the nested loops can execute without any communication overhead on the distributed memory multicomputers. Moreover, the performance of the strategies with nonduplicate and duplicate data for matrix multiplication is studied.<>"",""1558-2183"","""",""10.1109/71.308531"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308531"","""",""Parallel processing";Program processors;Random access memory;Data mining;Parallel machines;Pattern analysis;Load management;Councils;Computer science;"Magnetic heads"","""",""34"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Compiling for distributed memory architectures,""A. Rogers";" K. Pingali"",""Department of Computer Science, Princeton University, Princeton, NJ, USA";" Department of Computer Science, Cornell University, Ithaca, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""281"",""298"",""The lack of high-level languages and good compilers for parallel machines hinders their widespread acceptance and use. Programmers must address issues such as process decomposition, synchronization, and load balancing. We have developed a parallelizing compiler that, given a sequential program and a memory layout of its data, performs process decomposition while balancing parallelism against locality of reference. A process decomposition is obtained by specializing the program for each processor to the data that resides on that processor. If this analysis fails, the compiler falls back to a simple but inefficient scheme called run-time resolution. Each process's role in the computation is determined by examining the data required for execution at run-time. Thus, our approach to process decomposition is data-driven rather than program-driven. We discuss several message optimizations that address the issues of overhead and synchronization in message transmission. Accumulation reorganizes the computation of a commutative and associative operator to reduce message traffic. Pipelining sends a value as close to its computation as possible to increase parallelism. Vectorization of messages combines messages with the same source and the same destination to reduce overhead. Our results from experiments in parallelizing SIMPLE, a large hydrodynamics benchmark, for the Intel iPSC/2, show a speedup within 60% to 70% of handwritten code.<>"",""1558-2183"","""",""10.1109/71.277789"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277789"","""",""Memory architecture";Parallel processing;Runtime;High level languages;Parallel machines;Programming profession;Load management;Program processors;Failure analysis;"Commutation"","""",""27"",""1"",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Computing network flow on a multiple processor pipeline,""P. Agrawal";" A. Ng"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA";" Department of Electrical Engineering and Computer Science, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""653"",""658"",""We demonstrate the feasibility of a distributed implementation of the Goldberg-Tarjan algorithm for finding the maximum flow in a network. Unlike other parallel implementations of this algorithm, where the network graph is partitioned among many processors, we partition the algorithm among processors arranged in a pipeline. The network graph data are distributed among the processors according to local requirements. The partitioned algorithm is implemented on six processors within a 15-processor pipelined message-passing multicomputer operating at 5 MHz. We used randomly generated networks with integer capacities as examples. Performance estimates based upon a six-processor pipelined implementation indicated a speedup between 3.8 and 5.9 over a single processor.<>"",""1558-2183"","""",""10.1109/71.285611"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285611"","""",""Computer networks";Pipelines;Fault tolerance;Signal processing algorithms;Partitioning algorithms;Equations;Fault tolerant systems;Operations research;Linear code;"Signal processing"","""","""","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Concurrent communication in high-speed wide area networks,""J. K. Antonio"",""School of Electrical Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""264"",""273"",""A performance metric called receptivity is introduced for quantifying the degree of concurrent communication possible in high-speed wide area networks (WAN's). Given a stochastic demand pattern model, receptivity is defined to be the probability that all requested connections can be established concurrently. Because calculation of the exact value of receptivity is shown to (generally) have an exponential complexity, an analytic estimate for its value is derived. The derived estimate is dependent on network parameters such as the number of links, link capacity values, and a weighted hop distance metric (which depends on the topological structure of the network and its relationship to parameter values of the stochastic model for the demand patterns). The derived estimate for the proposed metric compares reasonably well with simulated values for several asymmetric topological structures ranging from planar meshes to random graphs. The utility of the estimate is twofold. First, it can be computed quickly, i.e., in polynomial time. Second, its simple analytic form provides the network architect with insight into some of the inherent limitations and consequences associated with topological design choices for high-speed WAN's.<>"",""1558-2183"","""",""10.1109/71.277791"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277791"","""",""Intelligent networks";Wide area networks;Network topology;Stochastic processes;Propagation delay;Bandwidth;Delay estimation;Measurement;Computational modeling;"Polynomials"","""",""1"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Concurrent processing of linearly ordered data structures on hypercube multicomputers,""J. Ghosh"; S. K. Das;" A. John"",""Department of Electrical and Computer Engineering, University of Texas, Austin, TX, USA"; Center for Research in Parallel and Distributed Computing, Department of Computer Science, University of North Texas, Denton, TX, USA;" Department of Computer Science, University of Technology, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""898"",""911"",""The paper presents a simple and effective method for the concurrent manipulation of linearly ordered data structures on hypercube systems. The method Is based on the existence of an augmented binomial search tree, called the pruned binomial tree, rooted at any arbitrary processor node of the hypercube such that"; every edge of the tree corresponds to a direct link between a pair of hypercube nodes;" and the tree spans any arbitrary sequence of n consecutive nodes containing the root, using a fanout of at most [log/sub 2/ n] and a depth of at most [log/sub 2/ n]+1. Search trees spanning nonoverlapping processor lists are formed using only local information, and can be used concurrently without contention problems. Thus, they can be used for performing operations such as broadcast and merge simultaneously on sets with nonuniform sizes. Extensions of the tree to k-ary n-cubes and faulty hypercubes are presented. Applications of this concurrent data structure to low- and intermediate-level image processing algorithms, and for dictionary operations involving multiple keys, are also outlined.<>"",""1558-2183"","""",""10.1109/71.308529"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308529"","""",""Data structures";Hypercubes;Broadcasting;Tree data structures;USA Councils;Dictionaries;Reflective binary codes;Distributed computing;Computer science;"Image processing"","""",""1"","""",""44"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Constant-time parallel algorithms for image labeling on a reconfigurable network of processors,""H. M. Alnuweiri"",""Department of Electrical Engineering and the Centre for Integrated Computer Research Systems, University of British Columbia, Vancouver, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""320"",""326"",""A constant-time algorithm for labeling the connected components of an N/spl times/N image on a reconfigurable network of N/sup 3/ processors is presented. The main contribution of the algorithm is a novel constant-time technique for determining the minimum-labeled PE in each component. The number of processors used by the algorithm can be reduced to N/sup 2+(1/d/), for any 1/spl les/d/spl les/log N, if O(d) time is allowed.<>"",""1558-2183"","""",""10.1109/71.277785"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277785"","""",""Parallel algorithms";Labeling;Computer networks;Concurrent computing;Very large scale integration;Pixel;Parallel architectures;Computer network management;Network topology;"Computer architecture"","""",""11"",""2"",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Constructive methods for scheduling uniform loop nests,""A. Darte";" Y. Robert"",""Laboratoire LIP-IMAG Ecole Normale Supérieure de Lyon, Lyon, France";" Laboratoire LIP-IMAG Ecole Normale Supérieure de Lyon, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""814"",""822"",""This paper surveys scheduling techniques for loop nests with uniform dependences. First, we introduce the hyperplane method and related variants. Then we extend it by using a different affine scheduling for each statement within the nest. In both cases, we present a new, constructive, and efficient method to determine optimal solutions, i.e., schedules whose total execution time is minimum.<>"",""1558-2183"","""",""10.1109/71.298207"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298207"","""",""Optimal scheduling";Vectors;Linear programming;Heart;Supercomputers;Parallel machines;Councils;"Timing"","""",""73"",""1"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Deadlock-free multicast wormhole routing in 2-D mesh multicomputers,""Xiaola Lin"; P. K. McKinley;" L. M. Ni"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA"; Department of Computer Science, Michigan State University, East Lansing, MI, USA;" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""793"",""804"",""Multicast communication services, in which the same message is delivered from a source node to an arbitrary number of destination nodes, are being provided in new-generation multicomputers. Broadcast is a special case of multicast in which a message is delivered to all nodes in the network. The nCUBE-2, a wormhole-routed hypercube multicomputer, provides hardware support for broadcast and a restricted form of multicast in which the destinations form a subcube. However, the broadcast routing algorithm adopted in the nCUBE-2 is not deadlock-free. In this paper, four multicast wormhole routing strategies for 2-D mesh multicomputers are proposed and studied. All of the algorithms are shown to be deadlock-free. These are the first deadlock-free multicast wormhole routing algorithms ever proposed. A simulation study has been conducted that compares the performance of these multicast algorithms under dynamic network traffic conditions in a 2-D mesh. The results indicate that a dual-path routing algorithm offers performance advantages over tree-based, multipath, and fixed-path algorithms.<>"",""1558-2183"","""",""10.1109/71.298203"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298203"","""",""System recovery";Routing;Multicast algorithms;Broadcasting;Telecommunication traffic;Multicast communication;Concurrent computing;Heuristic algorithms;Network topology;"Bandwidth"","""",""198"",""4"",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Design and evaluation of effective load sharing in distributed real-time systems,""K. G. Shin";" Chao-Ju Hou"",""Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Department of Electrical and Computer Engineering, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""704"",""719"",""In a distributed real-time system, uneven task arrivals temporarily overload some nodes and leave others idle or underloaded. Consequently, some tasks may miss their deadlines even if the overall system has the capacity to meet the deadlines of all tasks. An effective load-sharing (LS) scheme is proposed as a solution to this problem. Upon arrival of a task at a node, the node determines whether the node can complete the task in time under the minimum-laxity first-served policy. If the task cannot be guaranteed, or if guarantees of some other tasks are to be violated as a result of the addition of this task to the existing schedule, the node looks up the list of loss-minimizing decisions and determines the best node among a set of nodes in its physical proximity, called its buddy set, to which the task(s) may be transferred. This list of decisions is periodically updated using Bayesian decision analysis and prior/posterior state distributions. These probability distributions are derived from the information collected via time-stamped state-region change broadcasts within each buddy set. By characterizing the inconsistency between a node's """"observed"""" state and the corresponding true state with prior and posterior distributions, the node can first estimate the states of other nodes, and then use them to reduce the probability of transferring a task to an """"incapable"""") node. Moreover, the use of prior and posterior distributions and Bayesian analysis has made the proposed scheme robust to the variation of design parameters that usually require fine-tuning for adaptive LS. The performance of the proposed scheme is evaluated via simulation, along with five other schemes: no LS, LS with state probing, LS with random selection, LS with focused addressing, and perfect LS.<>"",""1558-2183"","""",""10.1109/71.296317"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296317"","""",""Real time systems";Bayesian methods;Performance analysis;Robustness;Analytical models;Delay;Pattern analysis;Chaos;Probability distribution;"Broadcasting"","""",""38"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Design of algorithm-based fault-tolerant multiprocessor systems for concurrent error detection and fault diagnosis,""B. Vinnakota";" N. K. Jha"",""Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA";" Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1099"",""1106"",""Algorithm-based fault tolerance (ABPT) is a low-overhead system-level concurrent error detection and fault location scheme for multiprocessor systems. We present new methods for the design of ABFT systems. Our design procedure is applicable to a wide range of systems in which processors share data elements. A feature of our design approach is that the type of checks to be used in the final system can be controlled by the system designer. We also present some new bounds on the number of checks needed in ABFT system design.<>"",""1558-2183"","""",""10.1109/71.313125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313125"","""",""Algorithm design and analysis";Fault tolerant systems;Multiprocessing systems;Fault detection;Signal processing algorithms;Fault tolerance;Fault location;Design methodology;Fault diagnosis;"Control systems"","""",""5"",""3"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Detection of weak unstable predicates in distributed programs,""V. K. Garg";" B. Waldecker"",""Department of Electrical and Computer Engineering, University of Technology, Austin, TX, USA";" Austin System Center of Schlumberger Well Services, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""299"",""307"",""This paper discusses detection of global predicates in a distributed program. Earlier algorithms for detection of global predicates proposed by Chandy and Lamport (1985) work only for stable predicates. A predicate is stable if it does not turn false once it becomes true. Our algorithms detect even unstable predicates, without excessive overhead. In the past, such predicates have been regarded as too difficult to detect. The predicates are specified by using a logic described formally in this paper. We discuss detection of weak conjunctive predicates that are formed by conjunction of predicates local to processes in the system. Our detection methods will detect whether such a predicate is true for any interleaving of events in the system, regardless of whether the predicate is stable. Also, any predicate that can be reduced to a set of weak conjunctive predicates is detectable. This class of predicates captures many global predicates that are of interest to a programmer. The message complexity of our algorithm is bounded by the number of messages used by the program. The main applications of our results are in debugging and testing of distributed programs. Our algorithms have been incorporated in a distributed debugger that runs on a network of Sun workstations in UNIX.<>"",""1558-2183"","""",""10.1109/71.277788"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277788"","""",""Logic";Debugging;Event detection;Testing;Interleaved codes;Programming profession;Sun;Workstations;Communication networks;"Distributed computing"","""",""116"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Distributed performance monitoring: methods, tools, and applications,""R. Hofmann"; R. Klar; B. Mohr; A. Quick;" M. Siegle"",""Inst. fur Math. Maschinen, Erlangen-Nurnberg Univ., Germany"; Institüt für Mathematics Maschinen, Universität Erlangen-Nämberg, Erlangen, Germany; Institüt für Mathematics Maschinen, Universität Erlangen-Nämberg, Erlangen, Germany; Institüt für Mathematics Maschinen, Universität Erlangen-Nämberg, Erlangen, Germany;" Institüt für Mathematics Maschinen, Universität Erlangen-Nämberg, Erlangen, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""585"",""598"",""A method for analyzing the functional behavior and the performance of programs in distributed systems is presented. We use hybrid monitoring, a technique which combines advantages of both software monitoring and hardware monitoring. The paper contains a description of a hardware monitor and a software package (ZM4/SIMPLE) which make our concepts available to programmers, assisting them in debugging and tuning of their code. A short survey of related monitor systems highlights the distinguishing features of our implementation. As an application of our monitoring and evaluation system, the analysis of a parallel ray tracing program running on the SUPRENUM multiprocessor is described. It is shown that monitoring and modeling both rely on a common abstraction of a system's dynamic behavior and therefore can be integrated to one comprehensive methodology. This methodology is supported by a set of tools.<>"",""1558-2183"","""",""10.1109/71.285605"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285605"","""",""Monitoring";Hardware;Debugging;Application software;Performance analysis;Predictive models;Packaging;Programming profession;Ray tracing;"Instruments"","""",""46"",""6"",""45"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"DSC: scheduling parallel tasks on an unbounded number of processors,""Tao Yang";" A. Gerasoulis"",""Department of Computer Science, University of California, Santa Barbara, CA, USA";" Department of Computer Science, Rutgers University, New Brunswick, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""951"",""967"",""We present a low-complexity heuristic, named the dominant sequence clustering algorithm (DSC), for scheduling parallel tasks on an unbounded number of completely connected processors. The performance of DSC is on average, comparable to, or even better than, other higher-complexity algorithms. We assume no task duplication and nonzero communication overhead between processors. Finding the optimum solution for arbitrary directed acyclic task graphs (DAG's) is NP-complete. DSC finds optimal schedules for special classes of DAG's, such as fork, join, coarse-grain trees, and some fine-grain trees. It guarantees a performance within a factor of 2 of the optimum for general coarse-grain DAG's. We compare DSC with three higher-complexity general scheduling algorithms: the ETF by J.J. Hwang, Y.C. Chow, F.D. Anger, and C.Y. Lee (1989)"; V. Sarkar's (1989) clustering algorithm;" and the MD by M.Y. Wu and D. Gajski (1990). We also give a sample of important practical applications where DSC has been found useful.<>"",""1558-2183"","""",""10.1109/71.308533"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308533"","""",""Processor scheduling";Optimal scheduling;Tree graphs;Clustering algorithms;Scheduling algorithm;Computer science;Parallel processing;Multiprocessor interconnection networks;Program processors;"Network topology"","""",""423"",""12"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"E-kernel: an embedding kernel on the IBM victor V256 multiprocessor for program mapping and network reconfiguration,""E. Ma";" D. G. Shea"",""Department of Computer Science, Rensselaer Polytechnic Institute, Troy, NY, USA";" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""977"",""994"",""We present the design of E-kernel, an embedding kernel on the Victor V256 message-passing partitionable multiprocessor, developed for the support of program mapping and network reconfiguration. E-kernel supports the embedding of a new network topology onto Victor's 2D mesh and also the embedding of a task graph onto the 2D mesh network or the reconfigured network. In the current implementation, the reconfigured network can be a line or an even-size ring, and the task graphs meshes or tori of a variety of dimensions and shapes or graphs with similar topologies. For application programs having these task graph topologies and that are designed according to the communication model of E-kernel, they can be run without any change on partitions connected by the 2D mesh, line, or ring. Further, E-kernel attempts the communication optimization of these programs on the different networks automatically, thus making both the network topology and the communication optimization attempt completely transparent to the application programs. Many of the embeddings used in E-kernel are optimal or asymptotically optimal (with respect to minimum dilation cost). The implementation of E-kernel translated some of the many theoretical results in graph embeddings into practical tools for program mapping and network reconfiguration in a parallel system. E-kernel is functional on Victor V256. Measurements of E-kernel's performance on V256 are also included.<>"",""1558-2183"","""",""10.1109/71.308535"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308535"","""",""Kernel";Network topology;Councils;Computational efficiency;Mesh networks;Shape;Cost function;Message passing;"Monitoring"","""","""",""18"",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Efficient EREW PRAM algorithms for parentheses-matching,""S. K. Prasad"; S. K. Das;" C. C. . -Y. Chen"",""Department of Mathematics and Computer, Georgia State University, Atlanta, CA, USA"; Department of Computer Science, University of North Texas, Denton, TX, USA;" Department of Computer and Information Engineering, Tamkang University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""995"",""1008"",""We present four polylog-time parallel algorithms for matching parentheses on an exclusive-read and exclusive-write (EREW) parallel random-access machine (PRAM) model. These algorithms provide new insights into the parentheses-matching problem. The first algorithm has a time complexity of O(log/sup 2/ n) employing O(n/(log n)) processors for an input string containing n parentheses. Although this algorithm is not cost-optimal, it is extremely simple to implement. The remaining three algorithms, which are based on a different approach, achieve O(log n) time complexity in each case, and represent successive improvements. The second algorithm requires O(n) processors and working space, and it is comparable to the first algorithm in its ease of implementation. The third algorithm uses O(n/(log n)) processors and O(n log n) space. Thus, it is cost-optimal, but uses extra space compared to the standard stack-based sequential algorithm. The last algorithm reduces the space complexity to O(n) while maintaining the same processor and time complexities. Compared to other existing time-optimal algorithms for the parentheses-matching problem that either employ extensive pipelining or use linked lists and comparable data structures, and employ sorting or a linked list ranking algorithm as subroutines, the last two algorithms have two distinct advantages. First, these algorithms employ arrays as their basic data structures, and second, they do not use any pipelining, sorting, or linked list ranking algorithms.<>"",""1558-2183"","""",""10.1109/71.308536"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308536"","""",""Phase change random access memory";Parallel algorithms;Pipeline processing;Data structures;Sorting;Computer science;Read-write memory;Writing;"Computer networks"","""",""6"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Efficient mappings of pyramid networks,""A. Dingle";" I. H. Sudborough"",""Department of Electrical Engineering and Computer Science, Lehigh University, Bethlehem, PA, USA";" Computer Science, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1009"",""1017"",""We consider primarily the simulation of large networks by smaller ones-an important consideration, because interconnection networks are typically of a fixed size, and yet applications may employ networks of a larger size. Current research (Dingle and Sudborough, 1993) describes methods to simulate common data structures and network architectures on the pyramid. However, these simulations assume that the pyramid grows with the size of the network or data structure. Because unbounded growth is not feasible, we address the issue of mapping several points of the guest data structure or network to a single host processor. We determine how a small pyramid may efficiently simulate the computation of a larger pyramid as well as that of tree networks.<>"",""1558-2183"","""",""10.1109/71.313118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313118"","""",""Computational modeling";Data structures;Costs;Tree graphs;Image processing;Multiprocessor interconnection networks;Computer networks;Load management;Load modeling;"Pixel"","""",""4"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Embedding binary X-trees and pyramids in processor arrays with spanning buses,""Zicheng Guo";" R. G. Melhem"",""Department of Electrical Engineering, Louisiana Tech University, Ruston, LA, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""664"",""672"",""We study the problem of network embeddings in 2-D array architectures in which each row and column of processors are interconnected by a bus. These architectures are especially attractive if optical buses are used that allow simultaneous access by multiple processors through either wavelength division multiplexing or message pipelining, thus overcoming the bottlenecks caused by the exclusive access of buses. In particular, we define S-trees to include both binary X-trees and pyramids, and present two embeddings of X-trees into 2-D processor arrays with spanning buses. The first embedding has the property that all neighboring nodes in X-trees are mapped to the same bus in the target array, thus allowing any two neighbors in the embedded S-trees to communicate with each other in one routing step. The disadvantage of this embedding is its relatively high expansion cost. In contrast, the second embedding has an expansion cost approaching unity, but does not map all neighboring nodes in X-trees to the same bus. These embeddings allow all algorithms designed for binary trees, pyramids, as well as X-trees to be executed on the target arrays.<>"",""1558-2183"","""",""10.1109/71.285613"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285613"","""",""Optical arrays";Optical waveguides;Pipeline processing;Concurrent computing;Wavelength division multiplexing;Costs;Embedded computing;Algorithm design and analysis;Broadcasting;"Writing"","""",""8"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Evaluation of a parallel branch-and-bound algorithm on a class of multiprocessors,""M. K. Yang";" C. R. Das"",""Hyundai Electronics Industries Company Limited, Kyunggi, South Korea";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""74"",""86"",""We propose and evaluate a parallel """"decomposite best-first"""" search branch-and-bound algorithm (dbs) for MIN-based multiprocessor systems. We start with a new probabilistic model to estimate the number of evaluated nodes for a serial best-first search branch-and-bound algorithm. This analysis is used in predicting the parallel algorithm speed-up. The proposed algorithm initially decomposes a problem into N subproblems, where N is the number of processors available in a multiprocessor. Afterwards, each processor executes the serial best-first search to find a local feasible solution. Local solutions are broadcasted through the network to compute the final solution. A conflict-free mapping scheme, known as the step-by-step spread, is used for subproblem distribution on the MIN. A speedup expression for the parallel algorithm is then derived using the serial best-first search node evaluation model. Our analysis considers both computation and communication overheads for providing realistic speed-up. Communication modeling is also extended for the parallel global best-first search technique. All the analytical results are validated via simulation. For large systems, when communication overhead is taken into consideration, it is observed that the parallel decomposite best-first search algorithm provides better speed-up compared to other reported schemes.<>"",""1558-2183"","""",""10.1109/71.262590"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262590"","""",""Algorithm design and analysis";Multiprocessing systems;Parallel algorithms;Search problems;Broadcasting;Computer networks;Computational modeling;Analytical models;Traveling salesman problems;"Linear programming"","""",""15"",""3"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Fault-tolerant algorithms for fair interprocess synchronization,""Yih-Kuen Tsay";" R. L. Bagrodia"",""Department of Computer Systems, University of Uppsala, Uppsala, Sweden";" Department of Computer Science, University of California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""737"",""748"",""The implementation of nondeterministic pairwise synchronous communication among a set of asynchronous processes is modeled as the binary interaction problem. The paper describes an algorithm for this problem that satisfies a strong fairness property that guarantees freedom from process starvation. This is the first algorithm for binary interactions with strong fairness whose message cost and response time are independent of the total number of processes in the system. The paper also describes how the fair algorithm may be extended to tolerate detectable fail-stop failures. Finally, we show how any solution to the dining philosophers problem can be embedded to design a fair algorithm for binary interactions. In particular, this embedding is used to derive a fair algorithm that can cope with undetectable fail-stop failures.<>"",""1558-2183"","""",""10.1109/71.296319"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296319"","""",""Fault tolerance";Algorithm design and analysis;Computer science;Costs;Delay;Distributed algorithms;Computer languages;"Postal services"","""",""9"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
