"1998 Index IEEE Transactions on Parallel And Distributed Systems - Author Index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1269"",""1273"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737701"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A basic-cycle calculation technique for efficient dynamic data redistribution,""Yeh-Ching Chung"; Ching-Hsien Hsu;" Sheng-Wen Bai"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""359"",""377"",""Array redistribution is usually required to enhance algorithm performance in many parallel programs on distributed memory multicomputers. Since it is performed at run-time, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a basic-cycle calculation technique to efficiently perform BLOCK-CYCLIC(S) to BLOCK-CYCLIC(t) redistribution. The main idea of the basic-cycle calculation technique is, first, to develop closed forms for computing source/destination processors of some specific array elements in a basic-cycle, which is defined as icm(s,t)/gcd(s,t). These closed forms are then used to efficiently determine the communication sets of a basic-cycle. From the source/destination processor/data sets of a basic-cycle, we can efficiently perform a BLOCK-CYCLIC(s) to BLOCK-CYCLIC(t) redistribution. To evaluate the performance of the basic-cycle calculation technique, we have implemented this technique on an IBM SP2 parallel machine, along with the PITFALLS method and the multiphase method. The cost models for these three methods are also presented. The experimental results show that the basic-cycle calculation technique outperforms the PITFALLS method and the multiphase method for most test samples."",""1558-2183"","""",""10.1109/71.667897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667897"","""",""Phased arrays";Runtime;Parallel programming;Costs;Parallel machines;Testing;Program processors;Programming profession;"Algorithm design and analysis"","""",""20"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Alleviating consumption channel bottleneck in wormhole routed k-ary n-cube systems,""D. Basak";" D. K. Panda"",""FORE Systems, Inc., Warrendale, PA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""481"",""496"",""This paper identifies performance degradation in wormhole routed k-ary n-cube networks due to limited number of router-to-processor consumption channels at each node. Many recent research in wormhole routing have advocated the advantages of adaptive routing and virtual channel flow control schemes to deliver better network performance. This paper indicates that the advantages associated with these schemes cannot be realized with limited consumption capacity. To alleviate such performance bottlenecks, a new network interface design using multiple consumption channels is proposed. To match virtual multiplexing on network channels, we also propose each consumption channel to support multiple virtual consumption channels. The impact of message arrival rate at a node on the required number of consumption channels is studied analytically. It is shown that wormhole networks with higher routing adaptivity, dimensionality, degree of hot-spot traffic, and number of virtual lanes have to take advantage of multiple consumption channels to deliver better performance. The interplay between system topology, routing algorithm, number of virtual lanes, messaging overheads, and communication traffic is studied through simulation to derive the effective number of consumption channels required in a system. Using the ongoing technological trend, it is shown that wormhole-routed systems can use up to two-four consumption channels per node to deliver better system performance."",""1558-2183"","""",""10.1109/71.679218"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679218"","""",""Routing";Telecommunication traffic;Degradation;Programmable control;Adaptive control;Traffic control;Computer worms;Intelligent networks;Network interfaces;"Network topology"","""",""9"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An algorithm for scheduling jobs in hypercube systems,""Oh-Heum Kwon";" Kyung-Yong Chwa"",""Department of Computer Engineering, Pukyong National University, busan, South Korea";" Department of Computer Science, KAIST, Taejon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""9"",""856"",""860"",""In this paper, we consider the problem of nonpreemptively scheduling independent jobs so as to minimize overall finish time on an m-dimensional hypercube system. This problem is NP-hard. We propose a polynomial time approximation algorithm and prove that the absolute performance ratio of the algorithm does not exceed 1.875. This is the first algorithm achieving an absolute performance ratio less than two by a constant."",""1558-2183"","""",""10.1109/71.722219"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=722219"","""",""Scheduling algorithm";Hypercubes;Approximation algorithms;Polynomials;Processor scheduling;Optimized production technology;Virtual manufacturing;Computer networks;"Communication channels"","""",""8"","""",""3"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"An analytical model for hybrid checkpointing in time warp distributed simulation,""H. M. Soliman";" A. S. Elmaghraby"",""College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia";" Multimedia Research Laboratory, Speed Scientific School, University of Louisville, Louisville, KY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""10"",""947"",""951"",""The Time Warp distributed simulation algorithm uses checkpointing to save process states after certain event executions for later recovery at the time of a rollback. Two main techniques have been used for checkpointing: periodic state saving and incremental state saving. The former technique introduces large overheads in reconstructing a desired state by coasting forward from an earlier checkpointed state if the computational granularity is large. The latter technique also has large overheads in applications with large rollback distances. A hybrid checkpointing technique is proposed which uses both periodic and incremental state saving simultaneously in such a way that it reduces checkpointing time overheads. A detailed analytical model is developed for the hybrid technique, and comparisons are made using similar analytical models with periodic and incremental state saving techniques. Results show that when the system parameters are chosen to represent large and complex simulated systems, the hybrid approach has less checkpointing time overhead than the other two techniques."",""1558-2183"","""",""10.1109/71.730524"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730524"","""",""Analytical models";Checkpointing;Time warp simulation;Discrete event simulation;Clocks;Synchronization;System recovery;Safety;Event detection;"Topology"","""",""28"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient algorithm for row minima computations on basic reconfigurable meshes,""K. Nakano";" S. Olariu"",""Dept. of Electr. Eng. & Comput. Sci., Nagoya Inst. of Technol., Japan";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""561"",""569"",""A matrix A of size m/spl times/n containing items from a totally ordered universe is termed monotone if, for every i, j, 1/spl les/i<j/spl les/m, the minimum value in row j lies below or to the right of the minimum in row i monotone matrices, and variations thereof, are known to have many important applications. In particular, the problem of computing the row minima of a monotone matrix is of import in image processing, pattern recognition, text editing, facility location, optimization, and VLSI. Our first main contribution is to exhibit a number of nontrivial lower bounds for matrix search problems. These lower bound results hold for arbitrary, infinite, two-dimensional reconfigurable meshes as long as the input is pretiled onto a contiguous n/spl times/n submesh thereof. Specifically in this context, we show that every algorithm that solves the problem of computing the minimum of an n/spl times/n matrix must take /spl Omega/(log log n) time. The same lower bound is shown to hold for the problem of computing the minimum in each row of an arbitrary n/spl times/n matrix. As a by product, we obtain an /spl Omega/(log log n) time lower bound for the problem of selecting the kth smallest item in a monotone matrix, thus extending the best previously known lower bound for selection on the reconfigurable mesh. Finally, we show an /spl Omega/(/spl radic/loglogn) time lower bound for the task of computing the row minima of a monotone n/spl times/n matrix. Our second main contribution is to provide a nearly optimal algorithm for the row-minima problem: With a monotone matrix of size m/spl times/n with m/spl les/n pretiled, one item per processor, onto a basic reconfigurable mesh of the same size, our row-minima algorithm runs in O(log n) time if 1/spl les/m/spl les/2 and in O(logn/logm loglog m) time if m>2. In case m=n/sup /spl epsiv// for some constant /spl epsiv/, (0</spl epsiv//spl les/1), our algorithm runs in O(log log n) time."",""1558-2183"","""",""10.1109/71.689443"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689443"","""",""Power system modeling";Very large scale integration;Search problems;Computer architecture;Broadcasting;Image processing;Pattern recognition;Automata;Phase change random access memory;"Parallel processing"","""",""7"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient dynamic scheduling algorithm for multiprocessor real-time systems,""G. Manimaran";" C. S. R. Murthy"",""Department of Computer Science and Engineering, Indian Institute of Technology, Chennai, India";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""312"",""319"",""Many time-critical applications require predictable performance and tasks in these applications have deadlines to be met. In this paper, we propose an efficient algorithm for nonpreemptive scheduling of dynamically arriving real-time tasks (aperiodic tasks) in multiprocessor systems. A real-time task is characterized by its deadline, resource requirements, and worst case computation time on p processors, where p is the degree of parallelization of the task. We use this parallelism in tasks to meet their deadlines and, thus, obtain better schedulability compared to nonparallelizable task scheduling algorithms. To study the effectiveness of the proposed scheduling algorithm, we have conducted extensive simulation studies and compared its performance with the myopic scheduling algorithm. The simulation studies show that the schedulability of the proposed algorithm is always higher than that of the myopic algorithm for a wide variety of task parameters."",""1558-2183"","""",""10.1109/71.674322"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674322"","""",""Dynamic scheduling";Heuristic algorithms;Scheduling algorithm;Processor scheduling;Time factors;Real time systems;Multiprocessing systems;Concurrent computing;Parallel processing;"Computational modeling"","""",""116"",""1"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient method for approximating submesh reliability of two dimensional-meshes,""Chung-Yen Chang";" P. Mohapatra"",""Amdahl Corporation, Sunnyvale, CA, USA";" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""11"",""1115"",""1124"",""An analytical model for submesh reliability of mesh-connected systems is proposed in this paper. A mesh is considered operational as long as a functional submesh of the required size is available. We use the principle of inclusion and exclusion to find the exact probability of having a functional submesh within a partition of the mesh. The partitions are taken along either dimension of the mesh. The partitions along the rows are called row partitions (RPs) and along the columns are called column partitions (CPs). The reliability of a partition is then used to approximate the submesh reliability of the system and, thus, this model is called partitioned mesh (PM) model. Instead of using a computationally intensive recursive algorithm as done in the previous work, a closed form approximation of the submesh reliability is derived in this paper. The PM model is validated through simulation and compared with the earlier proposed approximation techniques. It is shown that the PM model provides better approximations for submesh reliability with constant computational complexity."",""1558-2183"","""",""10.1109/71.735958"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735958"","""",""Computer Society";Analytical models;Approximation algorithms;Partitioning algorithms;Computational modeling;Computational complexity;Computer architecture;Parallel processing;"Very large scale integration"","""",""9"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"An O((log log n)/sup 2/) time algorithm to compute the convex hull of sorted points on reconfigurable meshes,""T. Hayashi"; K. Nakano;" S. Olarlu"",""Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan"; Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1167"",""1179"",""The problem of computing the convex hull of a set of n sorted points in the plane is one of the fundamental tasks in image processing, pattern recognition, cellular network design, and robotics, among many others. Somewhat surprisingly, in spite of a great deal of effort, the best previously known algorithm to solve this problem on a reconfigurable mesh of size /spl radic/n/spl times//spl radic/n was running in O(log2 n) time. It was open for more than ten years to obtain an algorithm for this important problem running in sublogarithmic time. Our main contribution is to provide the first breakthrough: we propose an almost optimal convex hull algorithm running in O((log log n)/sup 2/) time on a reconfigurable mesh of size /spl radic/n/spl times//spl radic/n. With slight modifications, this algorithm can be implemented to run in O((log log n)/sup 2/) time on a reconfigurable mesh of size /spl radic/n/loglogn/spl times//spl radic/n/loglogn. Clearly, the latter algorithm is work-optimal. We also show that any algorithm that computes the convex hull of a set of n sorted points on an n-processor reconfigurable mesh must take /spl Omega/(log log n) time. Our result opens the door to an entire slew of efficient convex-hull-based algorithms on reconfigurable meshes."",""1558-2183"","""",""10.1109/71.737694"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737694"","""",""Power system modeling";Image processing;Pattern recognition;Computer networks;Morphology;Mobile computing;Computer architecture;Computer Society;Land mobile radio cellular systems;"Algorithm design and analysis"","""",""9"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Analysis of task assignment policies in scalable distributed web-server systems,""M. Colajanni"; P. S. Yu;" D. M. Dias"",""Dipartimento di Informatica, Sistemi e Produzi-One, Tor Vergata, Universita di Roma, Rome, Italy"; IBM Thomas J. Watson Research Center, Hawthorne, NY, USA;" IBM Thomas J. Watson Research Center, Hawthorne, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""585"",""600"",""A distributed multiserver Web site can provide the scalability necessary to keep up with growing client demand at popular sites. Load balancing of these distributed Web-server systems, consisting of multiple, homogeneous Web servers for document retrieval and a Domain Name Server (DNS) for address resolution, opens interesting new problems. In this paper, we investigate the effects of using a more active DNS which, as an atypical centralized scheduler, applies some scheduling strategy in routing the requests to the most suitable Web server. Unlike traditional parallel/distributed systems in which a centralized scheduler has full control of the system, the DNS controls only a very small fraction of the requests reaching the multiserver Web site. This peculiarity, especially in the presence of highly skewed load, makes it very difficult to achieve acceptable load balancing and avoid overloading some Web servers. This paper adapts traditional scheduling algorithms to the DNS, proposes new policies, and examines their impact under different scenarios. Extensive simulation results show the advantage of strategies that make scheduling decisions on the basis of the domain that originates the client requests and limited server state information (e.g., whether a server is overloaded or not). An initially unexpected result is that using detailed server information, especially based on history, does not seem useful in predicting the future load and can often lead to degraded performance."",""1558-2183"","""",""10.1109/71.689446"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689446"","""",""Web server";Load management;Control systems;Centralized control;Scheduling algorithm;Degradation;Web sites;Network servers;Uniform resource locators;"Computer Society"","""",""79"",""35"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Arachne: a portable threads system supporting migrant threads on heterogeneous network farms,""B. Dimitrov";" V. Rego"",""Department of Computer Sciences, Purdue University, West Lafayette, IN, USA";" Department of Computer Sciences, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""459"",""469"",""We present the design and implementation of Arachne, a threads system that can be interfaced with a communications library for multithreaded distributed computations. In particular, Arachne supports thread migration between heterogeneous platforms, dynamic stack size management, and recursive thread functions. Arachne is efficient, flexible, and portable-it is based entirely on C and C++. To facilitate heterogeneous thread operations, we have added three keywords to the C++ language. The Arachne preprocessor takes as input code written in that language and outputs C++ code suitable for compilation with a conventional C++ compiler. The Arachne runtime system manages all threads during program execution. We present some performance measurements on the costs of basic thread operations and thread migration in Arachne and compare these to costs in other threads systems."",""1558-2183"","""",""10.1109/71.679216"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679216"","""",""Concurrent computing";Distributed computing;Costs;Counting circuits;Libraries;Computer interfaces;Computer networks;Data preprocessing;"Measurement"","""",""27"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Basic operations on the OTIS-Mesh optoelectronic computer,""Chih-Fang Wang";" S. Sahni"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA";" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1226"",""1236"",""In this paper, we develop algorithms for some basic operations-broadcast, window broadcast, prefix sum, data sum, rank, shift, data accumulation, consecutive sum, adjacent sum, concentrate, distribute, generalize, sorting, random access read and write-on the OTIS-Mesh model. These operations are useful in the development of efficient algorithms for numerous applications."",""1558-2183"","""",""10.1109/71.737698"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737698"","""",""Optical interconnections";Broadcasting;Sorting;Power system interconnection;Concurrent computing;Hypercubes;Multiprocessor interconnection networks;Neural networks;Computational modeling;"Distributed computing"","""",""66"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Bound performance models of heterogeneous parallel processing systems,""S. Balsamo"; L. Donatiello;" N. M. Van Dijk"",""Dipartimento di Matematica e Informatica, University of Udine, Udine, Italy"; Dipartimento di Scienze dell'Informazione, University of Bologna, Bologna, Italy;" Department of Economterics, University of Amsterdam, Amsterdam, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""10"",""1041"",""1056"",""Systems of heterogeneous parallel processing are studied such as arising in parallel programs executed on distributed systems. A lower and an upper bound model are suggested to obtain secure lower and upper bounds on the performance of these systems. The bounding models are solved by using a matrix-geometric algorithmic approach. Formal proofs of the bounds are provided along with error bounds on the accuracy of the bounds. These error bounds in turn are reduced to simple computational expressions. Numerical results are included. The results are of interest for application to arbitrary fork-join models with parallel heterogeneous processors and synchronization."",""1558-2183"","""",""10.1109/71.730531"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730531"","""",""Parallel processing";Upper bound;Process design;Queueing analysis;System performance;Resource management;Database systems;Delay effects;"Throughput"","""",""47"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Byzantine agreement in the presence of mixed faults on processors and links,""Hin-Sing Siu"; Yeh-Hao Chin;" Wei-Pang Yang"",""Department of Industrial Engineering and Management, MingChi Institute of Technology, Taipei, Taiwan"; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan;" Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""335"",""345"",""In early stage, the Byzantine agreement (BA) problem was studied with single faults on processors in either a fully connected network or a nonfully connected network. Subsequently, the single fault assumption was extended to mixed faults (also referred to as hybrid fault model) on processors. For the case of both processor and link failures, the problem has been examined in a fully connected network with a single faulty type, namely an arbitrary fault. To release the limitations of a fully connected network and a single faulty type, the problem is reconsidered in a general network. The processors and links in such a network can both be subjected to different types of fault simultaneously. The proposed protocol uses the minimum number of message exchanges and can tolerate the maximum number of allowable faulty components to make each fault-free processor reach an agreement."",""1558-2183"","""",""10.1109/71.667895"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667895"","""",""Protocols";Computer Society;Fault tolerant systems;Synchronization;Fault detection;Data processing;Database systems;Clocks;Network topology;"Delay"","""",""36"",""1"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Characterizing distributed shared memory performance: a case study of the Convex SPP1000,""G. A. Abandah";" E. S. Davidson"",""Advanced Computer Architecture Laboratory, Electrical Engineering and Computer Science Department, University of Michigan, Ann Arbor, MI, USA";" Advanced Computer Architecture Laboratory, Electrical Engineering and Computer Science Department, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""206"",""216"",""In a distributed shared memory (DSM) multiprocessor, the processors cooperate in solving a parallel application by accessing the shared memory. The latency of a memory access depends on several factors, including the distance to the nearest valid data copy, data sharing conditions, and traffic of other processors. To provide a better understanding of DSM performance and to support application tuning and compiler development for DSM systems, this paper extends microbenchmarking techniques to characterize the important aspects of a DSM system. We present an experiment-based methodology for characterizing the memory, communication, scheduling, and synchronization performance, and apply it to the Convex SPP1000. We present carefully designed microbenchmarks to characterize the performance of the local and remote memory, producer-consumer communication involving two or more processors, and the effects on performance when multiple processors contend for utilization of the distributed memory and the interconnection network."",""1558-2183"","""",""10.1109/71.663946"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663946"","""",""Computer aided software engineering";Processor scheduling;Multiprocessor interconnection networks;Application software;Delay;Coherence;Power system modeling;Access protocols;Hardware;"Software performance"","""",""14"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Circuit retiming applied to decomposed software pipelining,""P. . -Y. Calland"; A. Darte;" Y. Robert"",""Laboratoire LIP, URA CNRS 1398, Ecole Normale Supérieure de Lyon, Lyon, France"; Laboratoire LIP, URA CNRS 1398, Ecole Normale Supérieure de Lyon, Lyon, France;" Laboratoire LIP, URA CNRS 1398, Ecole Normale Supérieure de Lyon, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""1"",""24"",""35"",""This paper elaborates on a new view on software pipelining, called decomposed software pipelining. The approach is to decouple the problem into resource constraints and dependence constraints. Resource constraints management amounts to scheduling an acyclic graph subject to resource constraints for which an efficiency bound is known, resulting in a bound for loop scheduling. The acyclic graph is obtained by cutting some particular edges of the (cyclic) dependence graph. In this paper, we cut edges in a different way, using circuit retiming algorithms, so as to minimize both the longest dependence path in the acyclic graph, and the number of edges in the acyclic graph. With this technique, we improve the efficiency bound given for Gasperoni and Schwlegelshohn algorithm, and we reduce the constraints that remain for the acyclic problem. We believe this framework to be of interest because it brings a new insight into the software problem by establishing its deep link with the circuit retiming problem."",""1558-2183"","""",""10.1109/71.655240"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655240"","""",""Circuits";Pipeline processing;Processor scheduling;Computer Society;VLIW;Software tools;Software algorithms;Resource management;Computer architecture;"Kernel"","""",""26"",""3"",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Coding for high availability of a distributed-parallel storage system,""Q. M. Malluhi";" W. E. Johnston"",""Computer Science Department, Jackson State University, Jackson, MS, USA";" Information and Computer Sciences Division, Ernest Orlando Lawrence Berkeley National Laboratory, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1237"",""1252"",""We have developed a distributed parallel storage system that employs the aggregate bandwidth of multiple data servers connected by a high-speed wide-area network to achieve scalability and high data throughput. This paper studies different schemes to enhance the reliability and availability of such network-based distributed storage systems. The general approach of this paper employs """"erasure"""" error-correcting codes that can be used to reconstruct missing information caused by hardware, software, or human faults. The paper describes the approach and develops optimized algorithms for the encoding and decoding operations. Moreover, the paper presents techniques for reducing the communication and computation overhead incurred while reconstructing missing data from the redundant information. These techniques include clustering, multidimensional coding, and the full two-dimensional parity schemes. The paper considers trade-offs between redundancy, fault tolerance, and complexity of error recovery."",""1558-2183"","""",""10.1109/71.737699"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737699"","""",""Availability";Aggregates;Bandwidth;Network servers;Scalability;Throughput;Error correction codes;Hardware;Humans;"Clustering algorithms"","""",""17"",""5"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Collection-aware optimum sequencing of operations and closed-form solutions for the distribution of a divisible load on arbitrary processor trees,""G. D. Barlas"",""Department of Electrical and Computing Engineering, National and Technical University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""429"",""441"",""The problem of optimally distributing a divisible load to the nodes of an arbitrary processor tree is tackled in this paper. The rigorous mathematical foundation presented allows the derivation of the sequence of operations that is necessary to obtain the minimum processing time, along with closed-form expressions that yield the solution in time O(NP), where P is the number of tree nodes and N their maximum degree. The main contributions of this work are: (1) both load distribution and result collection overheads are considered, thus providing better resource utilization, and (2) arbitrary processor trees are examined in contrast with previous approaches that examined either complete homogeneous trees, or single level trees. Additionally, approximate algorithms for solving the problem of specifying the optimum subset of active processors for a given load, are presented and evaluated."",""1558-2183"","""",""10.1109/71.679214"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679214"","""",""Distributed computing";Closed-form solution;Resource management;Parallel processing;Pattern matching;Vector quantization;Image databases;Image processing;"Message passing"","""",""71"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Comments on ""Hierarchical cubic networks"",""Sang Kyun Yun";" Kyu Ho Park"",""Department of Computer Science, Seowon University, Chongju, Chungbuk, South Korea";" Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Taejon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""410"",""414"",""Ghose and Desai (1995) introduced a new interconnection for large-scale distributed memory multiprocessors called the Hierarchical Cubic Network (HCN). The HCN is topologically superior to a comparable hypercube. They also proposed optimal routing algorithms for the HCN and obtained its diameter, which is about three-fourths the diameter of a comparable hypercube. However, their routing algorithm is not distance-optimal. In this paper, we propose an optimal routing algorithm for the HCN and show that HCN has about two-thirds the diameter of a comparable hypercube."",""1558-2183"","""",""10.1109/71.667900"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667900"","""",""Hypercubes";Routing;Clustering algorithms;Multiprocessor interconnection networks;Optimized production technology;Large-scale systems;Computer networks;"Concurrent computing"","""",""29"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Competitive analysis of caching in distributed databases,""O. Wolfson";" Yixiu Huang"",""Electrical Engineering and Computer Science Department, University of Illinois, Chicago, IL, USA";" Electrical Engineering and Computer Science Department, University of Illinois, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""391"",""409"",""This paper makes two contributions. First, we introduce a model for evaluating the performance of data allocation and replication algorithms in distributed databases. The model is comprehensive in the sense that it accounts for I/O cost, for communication cost, and, because of reliability considerations, for limits on the minimum number of copies of the object. The model captures existing replica-management algorithms, such as read-one-write-all, quorum-consensus, etc. These algorithms are static in the sense that, in the absence of failures, the copies of each object are allocated to a fixed set of processors. In modern distributed databases, particularly in mobile computing environments, processors will dynamically store objects in their local database and will relinquish them. Therefore, as a second contribution of this paper, we introduce an algorithm for automatic dynamic allocation of replicas to processors. Then, using the new model, we compare the performance of the traditional read-one-write-all static allocation algorithm to the performance of the dynamic allocation algorithm. As a result, we obtain the relationship between the communication cost and I/O cost for which static allocation is superior to dynamic allocation, and the relationships for which dynamic allocation is superior."",""1558-2183"","""",""10.1109/71.667899"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667899"","""",""Distributed databases";Costs;Electrical capacitance tomography;Heuristic algorithms;Mobile computing;Distributed computing;Computer Society;Mobile communication;Wireless communication;"Availability"","""",""12"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
