"An Invisible Localization Attack to Internet Threat Monitors,""W. Yu"; X. Wang; X. Fu; D. Xuan;" W. Zhao"",""Department of Computer and Information Sciences, Towson University, Towson, MD, USA"; Cisco Systems, Inc., San Jose, CA, USA; Department of Computer Science, University of Massachusetts, Lowell, Lowell, MA, USA; Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA;" University of Macau, Taipa, Macao, China"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2009"",""2009"",""20"",""11"",""1611"",""1625"",""Internet threat monitoring (ITM) systems have been deployed to detect widespread attacks on the Internet in recent years. However, the effectiveness of ITM systems critically depends on the confidentiality of the location of their monitors. If adversaries learn the monitor locations of an ITM system, they can bypass the monitors and focus on the uncovered IP address space without being detected. In this paper, we study a new class of attacks, the invisible LOCalization (iLOC) attack. The iLOC attack can accurately and invisibly localize monitors of ITM systems. In the iLOC attack, the attacker launches low-rate port-scan traffic, encoded with a selected pseudonoise code (PN-code), to targeted networks. While the secret PN-code is invisible to others, the attacker can accurately determine the existence of monitors in the targeted networks based on whether the PN-code is embedded in the report data queried from the data center of the ITM system. We formally analyze the impact of various parameters on attack effectiveness. We implement the iLOC attack and conduct the performance evaluation on a real-world ITM system to demonstrate the possibility of such attacks. We also conduct extensive simulations on the iLOC attack using real-world traces. Our data show that the iLOC attack can accurately identify monitors while being invisible to ITM systems. Finally, we present a set of guidelines to counteract the iLOC attack."",""1558-2183"","""",""10.1109/TPDS.2008.255"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4721429"",""Internet threat monitoring systems";invisible localization attack;PN-code;"security."",""Internet";Computer displays;IP networks;Computer Society;Telecommunication traffic;Computer crime;Large-scale systems;Computerized monitoring;Guidelines;"Data security"","""",""16"","""",""54"",""IEEE"",""22 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Application Specific Routing Algorithms for Networks on Chip,""M. Palesi"; R. Holsmark; S. Kumar;" V. Catania"",""Dipartimento di Ingegneria Informatica e delle Telecomunicazioni, Università di Catania, Catania, Italy"; Department of Electronics and Computer Engineering, School of Engineering, Jönköping University, Jonkoping, Sweden; Department of Electronics and Computer Engineering, School of Engineering, Jönköping University, Jonkoping, Sweden;" Dipartimento di Ingegneria Informatica e delle Telecomunicazioni, Università di Catania, Catania, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""316"",""330"",""In this paper we present a methodology to develop efficient and deadlock free routing algorithms for Network-on-Chip (NoC) platforms which are specialized for an application or a set of concurrent applications. The proposed methodology, called application specific routing algorithm (APSRA), exploits the application specific information regarding pairs of cores which communicate and other pairs which never communicate in the NoC platform to maximize communication adaptivity and performance. The methodology also exploits the known information regarding concurrency/non-concurrency of communication transactions among cores for the same purpose. We demonstrate, through analysis of adaptivity as well as simulation based evaluation of latency and throughput, that algorithms produced by the proposed methodology give significantly higher performance as compared to other deadlock free algorithms for both homogeneous as well as heterogeneous 2D mesh topology NoC systems. For example, for homogeneous mesh NoC, APSRA results in approximately 30% less average delay as compared to odd-even algorithm just below saturation load. Similarly the saturation load point for APSRA is significantly higher as compared to other adaptive routing algorithms for both homogeneous and non-homogeneous mesh networks."",""1558-2183"","""",""10.1109/TPDS.2008.106"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4553701"",""Performance Analysis and Design Aids";Interconnections (Subsystems);I/O and Data Communications;Performance Analysis and Design Aids;Interconnections (Subsystems);"I/O and Data Communications"",""Routing";Network-on-a-chip;System recovery;Delay;Concurrent computing;Performance analysis;Algorithm design and analysis;Analytical models;Throughput;"Network topology"","""",""126"","""",""55"",""IEEE"",""27 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Asynchronous Corona Training Protocols in Wireless Sensor and Actor Networks,""F. Barsi"; A. A. Bertossi; F. Betti Sorbelli; R. Ciotti; S. Olariu;" M. C. Pinotti"",""Department of Computer Science and Mathematics, University of Perugia, Perugia, Italy"; Department of Computer Science, University of Bologna, Bologna, Italy; Department of Computer Science and Mathematics, University of Perugia, Perugia, Italy; Department of Computer Science and Mathematics, University of Perugia, Perugia, Italy; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Computer Science and Mathematics, University of Perugia, Perugia, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2009"",""2009"",""20"",""8"",""1216"",""1230"",""Scalable energy-efficient training protocols are proposed for wireless networks consisting of sensors and a single actor, where the sensors are initially anonymous and unaware of their location. The protocols are based on an intuitive coordinate system imposed onto the deployment area, which partitions the sensors into clusters. The protocols are asynchronous, in the sense that the sensors wake up for the first time at random, then alternate between sleep and awake periods both of fixed length, and no explicit synchronization is performed between them and the actor. Theoretical properties are stated under which the training of all the sensors is possible. Moreover, both worst-case and average case analyses of the performance, as well as an experimental evaluation, are presented showing that the protocols are lightweight and flexible."",""1558-2183"","""",""10.1109/TPDS.2008.223"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641919"",""Wireless sensor networks";actors;corona training;localization;network protocols;design and analysis of algorithms.;Sensor networks;Wireless communication;Network management;Analysis of Algorithms and Problem Complexity;"Network Protocols"",""Wireless sensor networks";Corona;Wireless application protocol;Sensor arrays;Algorithm design and analysis;Signal processing algorithms;Monitoring;Temperature sensors;Computer Society;"Energy efficiency"","""",""14"","""",""26"",""IEEE"",""10 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Auction-Based On-Demand P2P Min-Cost Media Streaming with Network Coding,""X. Chu"; K. Zhao; Z. Li;" A. Mahanti"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"; Department of Computer Science, Hong Kong Baptist University, Hong Kong, China; Department of Computer Science, University of Calgary, Calgary, AB, Canada;" NICTA, Sydney, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2009"",""2009"",""20"",""12"",""1816"",""1829"",""Realizing on-demand media streaming in a peer-to-peer (P2P) fashion is more challenging than in the case of live media streaming, since only peers with close-by media play progresses may help each other in obtaining the media content. The situation is further complicated if we wish to pursue low aggregated link cost in the transmission. In this paper, we present a new algorithmic perspective toward on-demand P2P streaming protocol design. While previous approaches employ streaming trees or passive neighbor reconciliation for media content distribution, we instead coordinate the streaming session as an auction where each peer participates locally by bidding for and selling media flows encoded with network coding. We show that this auction approach is promising in achieving low-cost on-demand streaming in a scalable fashion. It is amenable to asynchronous, distributed, and lightweight implementations, and is flexible to provide support for random-seek and pause functionalities. Through extensive simulation studies, we verify the effectiveness and performance of the proposed auction approach, focusing on the optimality in overall streaming cost, the convergence speed, and the communication overhead."",""1558-2183"","""",""10.1109/TPDS.2009.40"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4798159"",""Communication/networking and information technology";computer systems organization. multicast;Internet working;design studies;performance of systems;media streaming;overlay networks;"auction algorithms."",""Streaming media";Network coding;Costs;Network servers;Delay;Peer to peer computing;Scalability;Bandwidth;Protocols;"Algorithm design and analysis"","""",""12"","""",""52"",""IEEE"",""6 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"AVMON: Optimal and Scalable Discovery of Consistent Availability Monitoring Overlays for Distributed Systems,""R. Morales";" I. Gupta"",""Department of Computer Science, Siebel Center of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Department of Computer Science, Siebel Center of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""446"",""459"",""This paper proposes to build overlays that help in monitoring of long-term availability histories of hosts, with a focus on large-scale distributed settings where hosts may be selfish or colluding. Concretely, we target the important problems of selection and discovery of an availability monitoring overlay. We motivate six significant goals - firstly, consistency, verifiability, and randomness, in selecting availability monitors of nodes, so as to be probabilistically resilient to selfish and colluding nodes. The next three goals are discoverability, load-balancing, and scalability in finding these monitors. We present AVMON, the first availability monitoring overlay to satisfy these six requirements. Our core algorithmic contribution is a range of protocols for discovering the availability monitoring overlay scalably and efficiently, given any arbitrary monitor selection scheme that is consistent and verifiable. We mathematically analyze the performance of AVMON's discovery protocols w.r.t. scalability and discovery time of monitors. Most interestingly, we are able to derive optimal (and practical) variants of AVMON, that minimize different combinations of memory, bandwidth, computation, and monitor discovery time. Finally, our extensive experimental evaluations using three types of availability traces - synthetic, from PlanetLab, and from the Overnet p2p system - demonstrate AVMON's practicality in a variety of distributed systems."",""1558-2183"","""",""10.1109/TPDS.2008.84"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4531737"",""Distributed Systems";Churn;Availability;Monitoring;Overlay;Consistency;Scalability;Optimality;Distributed Systems;Churn;Availability;Monitoring;Overlay;Consistency;Scalability;"Optimality"",""Monitoring";Availability;Peer to peer computing;History;Scalability;Protocols;Large-scale systems;Load management;Performance analysis;"Bandwidth"","""",""11"","""",""26"",""IEEE"",""30 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Balancing Energy Consumption to Maximize Network Lifetime in Data-Gathering Sensor Networks,""H. Zhang";" H. Shen"",""School of Computer Science, University of Adelaide, Adelaide, SA, Australia";" School of Computer Science, University of Adelaide, Adelaide, SA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1526"",""1539"",""Unbalanced energy consumption is an inherent problem in wireless sensor networks characterized by multihop routing and many-to-one traffic pattern, and this uneven energy dissipation can significantly reduce network lifetime. In this paper, we study the problem of maximizing network lifetime through balancing energy consumption for uniformly deployed data-gathering sensor networks. We formulate the energy consumption balancing problem as an optimal transmitting data distribution problem by combining the ideas of corona-based network division and mixed-routing strategy together with data aggregation. We first propose a localized zone-based routing scheme that guarantees balanced energy consumption among nodes within each corona. We then design an offline centralized algorithm with time complexity O(n) (n is the number of coronas) to solve the transmitting data distribution problem aimed at balancing energy consumption among nodes in different coronas. The approach for computing the optimal number of coronas in terms of maximizing network lifetime is also presented. Based on the mathematical model, an energy-balanced data gathering (EBDG) protocol is designed and the solution for extending EBDG to large-scale data-gathering sensor networks is also presented. Simulation results demonstrate that EBDG significantly outperforms conventional multihop transmission schemes, direct transmission schemes, and cluster-head rotation schemes in terms of network lifetime."",""1558-2183"","""",""10.1109/TPDS.2008.252"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4711047"",""Wireless sensor networks";data gathering;data aggregation;energy balancing;network lifetime.;Wireless communication;"Routing protocols"",""Energy consumption";Corona;Sensor phenomena and characterization;Spread spectrum communication;Routing;Wireless sensor networks;Telecommunication traffic;Energy dissipation;Algorithm design and analysis;"Computer networks"","""",""149"",""1"",""39"",""IEEE"",""12 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Bipanconnectivity and Bipancyclicity in k-ary n-cubes,""I. A. Stewart";" Y. Xiang"",""Department of Computer Science, Science Laboratories, Durham University, Durham, UK";" Department of Computer Science, Science Laboratories, Durham University, Durham, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Dec 2008"",""2009"",""20"",""1"",""25"",""33"",""In this paper we give precise solutions to problems posed by Wang, An, Pan, Wang and Qu and by Hsieh, Lin and Huang. In particular, we show that Qn k is bipanconnected and edge-bipancyclic, when k ges 3 and n ges 2, and we also show that when k is odd, Qn k is m-panconnected, for m=(n(k-1)+2k-6)/2, and (k-1)-pancyclic (these bounds are optimal). We introduce a path-shortening technique, called progressive shortening, and strengthen existing results, showing that when paths are formed using progressive shortening then these paths can be efficiently constructed and used to solve a problem relating to the distributed simulation of linear arrays and cycles in a parallel machine whose interconnection network is Qn k, even in the presence of a faulty processor."",""1558-2183"","""",""10.1109/TPDS.2008.45"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4479449"",""Interconnection architectures";Path and circuit problems;Interconnection architectures;"Path and circuit problems"",""Multiprocessor interconnection networks";Hypercubes;Network topology;Computer networks;Concurrent computing;Parallel machines;Parallel processing;Algorithm design and analysis;"Data structures"","""",""41"","""",""31"",""IEEE"",""31 Mar 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bounded-Bypass Mutual Exclusion with Minimum Number of Registers,""S. -H. Chen";" T. -L. Huang"",""Physical Design Group, SpringSoft, Inc., Hsinchu, Taiwan";" Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2009"",""2009"",""20"",""12"",""1726"",""1737"",""A mutual exclusion mechanism that is both fair and space efficient can be highly valuable for shared memory systems under time and memory constraints such as embedded real-time systems. Several algorithms that utilize only one shared variable and guarantee a certain level of fairness have been proposed. However, these use hypothetical read-modify-write operations that have never been implemented in any system. This paper presents two fair algorithms that do not use such operations, each of which uses a single additional shared variable. The proposed algorithms employ commonly available operations, fetch&store and read/write, on two shared variables. The first algorithm satisfies the bounded-bypass condition. The second is an improvement on the first that satisfies the FIFO condition, which is the most stringent fairness condition. Additionally, it is shown that achieving the bounded-bypass condition using the same set of operations requires two shared variables. Both of the algorithms are thus optimal with respect to the number of shared variables."",""1558-2183"","""",""10.1109/TPDS.2009.28"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4785462"",""Mutual exclusion";shared memory systems;space complexity;fetch&store;swap;bounded bypassing;"FIFO."",""Time factors";Memory management;Registers;Real time systems;Algorithm design and analysis;Scheduling algorithm;Resource management;Automotive engineering;Control systems;"Mobile computing"","""","""","""",""18"",""IEEE"",""20 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Building Ring-Like Overlays on Wireless Ad Hoc and Sensor Networks,""A. Banerjee";" C. -T. King"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan";" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2009"",""2009"",""20"",""11"",""1553"",""1566"",""In this paper, we discuss distributed algorithms to construct ring-like overlays over a subset of scattered nodes in a static, random wireless ad hoc and sensor network (WASN). A ring-like overlay consists of a unidirectional ring plus side paths or loops, in which the given subset of nodes may appear multiple times. Different from a Hamiltonian cycle, a ring-like overlay is easier to construct and more efficient to operate. Yet, it can support many useful control operations in WASN such as mutual exclusion, clock synchronization, and cluster management. Compared with other topologies, a ring-like overlay allows conflict-free two-way communications, supports node ordering, and provides cost-free status feedbacks of operations. In this paper, we first present a distributed algorithm to construct a proximity-aware ring-like overlay in WASN. We then show optimization techniques to adapt the primitive overlays to meet the various application requirements."",""1558-2183"","""",""10.1109/TPDS.2008.257"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4721431"",""Ad hoc networks";distributed algorithm;overlay;ring;"wireless sensor networks."",""Wireless sensor networks";Distributed algorithms;Scattering;Buildings;Clocks;Synchronization;Feedback;Base stations;Switches;"Joining processes"","""",""11"","""",""31"",""IEEE"",""22 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Building Small-World Peer-to-Peer Networks Based on Hierarchical Structures,""H. -C. Hsiao"; Y. -C. Lin;" H. Liao"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2009"",""2009"",""20"",""7"",""1023"",""1037"",""Small-world (SW) networks possess two properties, namely low diameter and high clustering coefficient, which are often desired by large-scale peer-to-peer networks. Prior studies have shown that the construction of an SW network can be based on a d-regular graph, and each node in the graph maintains d local neighbors and a small constant number of long-distance contacts. However, it is commonly understood that it is difficult to construct a short route in an SW network, given source (s) and target (t) nodes, though an SW network guarantees that a short route from s to t exists. Prior work in [1] proposed a navigable SW network for a d-dimensional lattice such that a simple localized routing algorithm can be devised to route a message from s to t using O(log2,X) hops, where X is the number of nodes in the network. In this paper, we present a novel navigable SW network based on a hierarchical model. Compared to previous efforts, the novelty of our study presents 1) that our network construction based on a hierarchical model is decentralized, 2) that routing a message between any two nodes in our SW network takes logarithmic hopcount in expectation, 3) that our SW network has high cluster coefficient, and 4) that the performance of our proposal is mathematically provable. We support the performance of our proposal in this study through rigorous, thorough performance analysis and extensive simulations."",""1558-2183"","""",""10.1109/TPDS.2008.173"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4633354"",""Peer-to-peer systems";small world;overlay networks;tree hierarchy;performance analysis.;C.2.4 Distributed Systems;"C.2.1.d Distributed networks"",""Buildings";Peer to peer computing;Routing;Proposals;Performance analysis;Computer Society;Large-scale systems;Lattices;Mathematical model;"Analytical models"","""",""8"","""",""52"",""IEEE"",""26 Sep 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Communication-Aware Supernode Shape,""G. Goumas"; N. Drosinos;" N. Koziris"",""National and Technical University of Athens, Zografou, Greece"; National and Technical University of Athens, Zografou, Greece;" National and Technical University of Athens, Zografou, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""498"",""511"",""In this paper we revisit the supernode-shape selection problem, that has been widely discussed in bibliography. In general, the selection of the supernode transformation greatly affects the parallel execution time of the transformed algorithm. Since the minimization of the overall parallel execution time via an appropriate supernode transformation is very difficult to accomplish, researchers have focused on scheduling-aware supernode transformations that maximize parallelism during the execution. In this paper we argue that the communication volume of the transformed algorithm is an important criterion, and its minimization should be given high priority. For this reason we define the metric of the per process communication volume and propose a method to minimize this metric by selecting a communication-aware supernode shape. Our approach is equivalent to defining a proper Cartesian process grid with MPI_Cart_Create, which means that it can be incorporated in applications in a straightforward manner. Our experimental results illustrate that by selecting the tile shape with the proposed method, the total parallel execution time is significantly reduced due to the minimization of the communication volume, despite the fact that a few more parallel execution steps are required."",""1558-2183"","""",""10.1109/TPDS.2008.114"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4553708"",""I/O and Data Communications";Load balancing and task assignment;Parallel processors;Parallel Architectures;Scheduling and task partitioning;Data communications;I/O and Data Communications;Load balancing and task assignment;Parallel processors;Parallel Architectures;Scheduling and task partitioning;"Data communications"",""Parallel processing";Minimization methods;Delay;Bibliographies;Processor scheduling;Computer architecture;Image processing;"Computational modeling"","""",""5"","""",""38"",""IEEE"",""27 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Compaction of Schedules and a Two-Stage Approach for Duplication-Based DAG Scheduling,""D. Bozdag"; F. Ozguner;" U. V. Catalyurek"",""Department of Electrical and Computer Engineering, Ohio State Uinversity, Columbus, OH, USA"; Department of Electrical and Computer Engineering, 205 Dreese Laboratory, Ohio State Uinversity, Columbus, OH, USA;" Department of Biomedical Informatics, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""857"",""871"",""Many DAG scheduling algorithms generate schedules that require prohibitively large number of processors. To address this problem, we propose a generic algorithm, SC, to minimize the processor requirement of any given valid schedule. SC preserves the schedule length of the original schedule and reduces processor count by merging processor schedules and removing redundant duplicate tasks. To the best of our knowledge, this is the first algorithm to address this highly unexplored aspect of DAG scheduling. On average, SC reduced the processor requirement 91, 82, and 72 percent for schedules generated by PLW, TCSD, and CPFD algorithms, respectively. SC algorithm has a low complexity (O(\vert {\cal N}\vert^3)) compared to most duplication-based algorithms. Moreover, it decouples processor economization from schedule length minimization problem. To take advantage of these features of SC, we also propose a scheduling algorithm SDS, having the same time complexity as SC. Our experiments demonstrate that schedules generated by SDS are only 3 percent longer than CPFD (O(\vert {\cal N}\vert^4)), one of the best algorithms in that respect. SDS and SC together form a two-stage scheduling algorithm that produces schedules with high quality and low processor requirement, and has lower complexity than the comparable algorithms that produce similar high-quality results."",""1558-2183"","""",""10.1109/TPDS.2008.260"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4731246"",""Scheduling and task partitioning";task duplication;algorithms;"multiprocessor systems."",""Compaction";Processor scheduling;Scheduling algorithm;Partitioning algorithms;Merging;Multiprocessing systems;Costs;Employment;Image processing;"Database systems"","""",""49"","""",""39"",""IEEE"",""31 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Compiler Techniques for Efficient Communications in Circuit Switched Networks for Multiprocessor Systems,""S. Shao"; A. K. Jones;" R. Melhem"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"; Department of Electrical and Computer Engineering, University of Pittsburgh, Pittsburgh, PA, USA;" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""331"",""345"",""In this paper we explore compiler techniques for achieving efficient communications on circuit switching interconnection networks. We propose a compilation framework for identifying communication patterns and compiling these patterns as network configuration directives. This has the potential of providing significant performance benefits when connections can be established in the network prior to the actual communications. The framework includes a flexible and powerful communication pattern representation scheme that captures the property of communication patterns and allows manipulation of these patterns. In this way, communication phases can be identified within the application. Additionally, we extend the classification of static and dynamic communications to include persistent communications. Persistent communications are a subclass of dynamic communications that remain unchanged for large segments of the application execution. An experimental compiler has been developed to implement the framework. This compiler is capable of detecting both static and persistent communications within an application. We show that for the NAS Parallel Benchmarks, 100% of the point-to-point communications can be classified as either static or persistent and 100% of the collectives are either static or persistent with the exception of IS. Simulation-based performance analysis demonstrates the benefit of using our compiler techniques for achieving efficient communications in multiprocessor systems."",""1558-2183"","""",""10.1109/TPDS.2008.82"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4528961"",""Circuit-switching networks";Compilers;Circuit-switching networks;"Compilers"",""Switching circuits";Communication switching;Multiprocessing systems;Integrated circuit interconnections;Optical packet switching;Performance analysis;Computer networks;Optical switches;Multiprocessor interconnection networks;"Costs"","""",""6"","""",""44"",""IEEE"",""23 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Conditional Edge-Fault Hamiltonicity of Matching Composition Networks,""S. -Y. Hsieh";" C. -W. Lee"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan";" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""581"",""592"",""A graph G is called Hamiltonian if there is a Hamiltonian cycle in G. The conditional edge-fault Hamiltonicity of a Hamiltonian graph G is the largest k such that after removing k faulty edges from G, provided that each node is incident to at least two fault-free edges, the resulting graph contains a Hamiltonian cycle. In this paper, we sketch common properties of a class of networks, called matching composition networks (MCNs), such that the conditional edge-fault hamiltonicity of MCNs can be determined from the found properties. We then apply our technical theorems to determine conditional edge-fault hamiltonicities of several multiprocessor systems, including n-dimensional crossed cubes, n-dimensional twisted cubes, n-dimensional locally twisted cubes, n-dimensional generalized twisted cubes, and n-dimensional hyper Petersen networks. Moreover, we also demonstrate that our technical theorems can be applied to network construction."",""1558-2183"","""",""10.1109/TPDS.2008.123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4564444"",""Graph Theory";Network problems;Path and circuit problems;Graph Theory;Network problems;"Path and circuit problems"",""Multiprocessing systems";Distributed computing;Computer Society;Fault tolerant systems;Graph theory;Algorithm design and analysis;Costs;Communication system control;Flexible manufacturing systems;"Routing"","""",""43"","""",""30"",""IEEE"",""15 Jul 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Constructing Minimum Connected Dominating Sets with Bounded Diameters in Wireless Networks,""D. Kim"; Y. Wu; Y. Li; F. Zou;" D. -Z. Du"",""Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA"; Department of Computer Science, Georgia State University, Atlanta, GA, USA; Department of Computer Science, Georgia State University, Atlanta, GA, USA; Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA;" Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2009"",""2009"",""20"",""2"",""147"",""157"",""Connected Dominating Sets (CDSs) can serve as virtual backbones for wireless networks. A smaller virtual backbone incurs less maintenance overhead. Unfortunately, computing a minimum size CDS is NP-hard, and thus most researchers in this area concentrate on how to construct smaller CDSs. However, people neglected other important metrics of network, such as diameter and average hop distances between two communication parties. In this paper, we investigate the problem of constructing quality CDS in terms of size, diameter, and Average Backbone Path Length (ABPL). We present two centralized algorithms having constant performance ratios for its size and diameter of the constructed CDS. Especially, the size of CDS computed by the second algorithm is no more than 6.906 times of its optimal solution. Furthermore, we give its distributed version, which not only can be implemented in real situation easily but also considers energy to extend network lifetime. In our simulation, we show that in average the distributed algorithm not only generates a CDS with smaller diameter and ABPL than related work but also suppresses its size well. We also show that it is more energy efficient than others in prolonging network lifetime."",""1558-2183"","""",""10.1109/TPDS.2008.74"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4522541"",""Wireless networks";connected dominating sets;distributed algorithms;energy efficiency.;Distributed Systems;"Mobile Computing"",""Wireless networks";Spine;Routing;Wireless sensor networks;Distributed algorithms;Energy efficiency;Network topology;Student members;Computational modeling;"Ad hoc networks"","""",""133"",""1"",""31"",""IEEE"",""16 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Context-Based Operational Transformation in Distributed Collaborative Editing Systems,""D. Sun";" C. Sun"",""Division of Computer Science, Department of Electrical Engineering and Computer Science, University of California, Berkeley, CA, USA";" School of Computer and Engineering, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1454"",""1470"",""Operational Transformation (OT) is a consistency maintenance technique for collaborative editing systems-a special class of distributed applications for supporting human-computer-human interaction and collaboration over communication networks. The theory of causality has been the foundation of all prior OT systems, but it is inadequate to meet essential OT requirements in functionality and correctness. In this paper, we analyze the limitation of the causality theory, propose a novel theory of operation context as the new foundation for OT systems, and present a new OT algorithm-Context-based OT (COT)-which provides uniform and efficient solutions to both consistency maintenance and undo problems. The COT algorithm has been implemented and used for supporting a range of novel collaborative applications. The context theory and context vectors are potentially applicable to other distributed computing applications."",""1558-2183"","""",""10.1109/TPDS.2008.240"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4668339"",""Operational transformation";operation context;causality;consistency maintenance;distributed applications.;Distributed Systems;Communication/Networking and Information Technology;Computer Systems Organization;Distributed applications;Distributed Systems;Groupware;Office Automation;Information Technology and Systems Applications;Information Technology and Collaborative computing;Information Interfaces and Representation (HCI);Computer-supported cooperative work;Synchronous interaction;Theory and models;Group and Organization Interfaces;"Information Interfaces and Representation"",""Collaboration";Context;Sun;Algorithm design and analysis;Concurrent computing;Communication networks;Distributed computing;HTML;XML;"Productivity"","""",""62"",""8"",""39"",""IEEE"",""7 Nov 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
