"A distributed deadlock resolution algorithm for the AND model,""J. R. Gonzalez de Mendivil"; F. Farina; J. R. Garitagotia; C. F. Alastruey;" J. M. Bernabeu-Auban"",""Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain"; Department de Matemáticas e Informática, University Pública de Navarra, Pamplona, Spain; NA; Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain;" Department de Sistemas Informáticos y Computación, University Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""433"",""447"",""Previous proposals for Distributed Deadlock Detection/Resolution algorithms for the AND model have the main disadvantage of resolving false deadlocks, that is, nonexisting or currently being resolved deadlocks. This paper provides an algorithm free of false deadlock resolutions, A simple specification for a safe deadlock resolution algorithm is introduced, and the new distributed solution is developed in a hierarchical fashion from its abstract specification. The algorithm is probe-based, uses node priorities, and coordinates the actions of resolvers so that false deadlocks are not resolved. The solution is formally proven correct by using the input-output Automata Model. Finally, a study about the liveness of the algorithm is provided."",""1558-2183"","""",""10.1109/71.770131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770131"","""",""System recovery";Automata;Abortion;Computer Society;Resource management;Safety;Proposals;Fault detection;Fault tolerance;"Measurement"","""",""20"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Communication-induced determination of consistent snapshots,""J. Helary"; A. Mostefaoui;" M. Raynal"",""IRISA, Rennes, France"; IRISA, Rennes, France;" IRISA, Rennes, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""865"",""877"",""A classical way to determine consistent snapshots consists in using Chandy-Lamport's algorithm. This algorithm relies on specific control messages that allow processes to synchronize local checkpoint determination and message recording in order for the resulting snapshot to be consistent. This paper investigates a communication-induced approach to determine consistent snapshots. In such an approach, control information is carried out by application messages. Two abstract necessary and sufficient conditions are stated: one associated with global checkpoint consistency, the other associated with message recording. A general protocol is derived from these abstract conditions. Actually, this general protocol can be instantiated in distinct ways, giving rise to a family of communication-induced snapshot protocols. This general protocol shows there is an intrinsic trade-off between the number of forced checkpoints and the number of recorded messages. Finally, a particular instantiation of the general protocol is provided."",""1558-2183"","""",""10.1109/71.798312"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798312"","""",""Protocols";Checkpointing;Communication system control;Sufficient conditions;"Distributed computing"","""",""34"",""2"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Computer aided verification of Lamport's fast mutual exclusion algorithm using colored Petri nets and occurrence graphs with symmetries,""J. B. Jorgensen";" L. M. Kristensen"",""Systematic Software Engineering A/S, Aabyhoj, Denmark";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""7"",""714"",""732"",""In this paper, we present a computer tool for verification of distributed systems. As an example, we establish the correctness of Lamport's Fast Mutual Exclusion Algorithm. The tool implements the method of occurrence graphs with symmetries (OS-graphs) for Colored Petri Nets (CP-nets). The basic idea in the approach is to exploit the symmetries inherent in many distributed systems to construct a condensed state space. We demonstrate a significant increase in the number of states which can be analyzed. The paper is to a large extent self-contained and does not assume any prior knowledge of CP-nets (or any other kinds of Petri Nets) or OS-graphs. CP-nets and OS-graphs are not our invention. Our contribution is the development of the tool and verification of the example, demonstrating how the method of occurrence graphs with symmetries can be put into practice."",""1558-2183"","""",""10.1109/71.780866"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780866"","""",""Petri nets";State-space methods;Distributed computing;Formal verification;Tree graphs;Explosions;Usability;"Read-write memory"","""",""11"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Computer vision algorithms on reconfigurable logic arrays,""N. K. Ratha";" A. K. Jain"",""T.J. Watson Research Center, IBM, Hawthorne, NY, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""29"",""43"",""Computer vision algorithms are natural candidates for high performance computing systems. Algorithms in computer vision are characterized by complex and repetitive operations on large amounts of data involving a variety of data interactions (e.g., point operations, neighborhood operations, global operations). In this paper, we describe the use of the custom computing approach to meet the computation and communication needs of computer vision algorithms. By customizing hardware architecture at the instruction level for every application, the optimal grain size needed for the problem at hand and the instruction granularity can be matched. A custom computing approach can also reuse the same hardware by reconfiguring at the software level for different levels of the computer vision application. We demonstrate the advantages of our approach using Splash 2-a Xilinx 4010-based custom computer."",""1558-2183"","""",""10.1109/71.744833"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744833"","""",""Computer vision";Reconfigurable logic;Logic arrays;Layout;Hardware;Application software;Surface reconstruction;Machine vision;Pixel;"Computer architecture"","""",""32"",""1"",""53"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Constructing a reliable test&set bit,""F. Stomp";" G. Taubenfeld"",""Department of Computer Science, Wayne State University, Detroit, MI, USA";" Open University of Israel, Tel-Aviv, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""252"",""265"",""The problem of computing with faulty shared bits is addressed. The focus is on constructing a reliable test&set bit from a collection of test&set bits of which some may be faulty. Faults are modeled by allowing operations on the faulty bits to return a special distinguished value, signaling that the operation may not have taken place. Such faults are called omission faults. Some of the constructions are required to be gracefully degrading for omission. That is, if the bound on the number of component bits which fail is exceeded, the constructed bit may suffer faults, but only faults which are no more severe than those of the components";" and the constructed bit behaves as intended if the number of component bits which fail does not exceed that bound. Several efficient constructions are presented, and bounds on the space required are given. Our constructions for omission faults also apply to other fault models."",""1558-2183"","""",""10.1109/71.755825"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755825"","""",""Degradation";Computer crashes;Modular construction;Vehicle crash testing;Data structures;Fault tolerant systems;"Fault tolerance"","""","""","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Control flow prediction schemes for wide-issue superscalar processors,""S. Dutta";" M. Franklin"",""Intel Corporation, Santa Clara, CA, USA";" Electrical and Computer Engineering Department, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""346"",""359"",""In order to achieve high performance, wide-issue superscalar processors have to fetch a large number of instructions per cycle. Conditional branches are the primary impediment to increasing the fetch bandwidth because they can potentially alter the flow of control and are very frequent. To overcome this problem, these processors need to predict the outcome of multiple branches in a cycle. This paper investigates two control flow prediction schemes that predict the effective outcome of multiple branches with the help of a single prediction. Instead of considering branches as the basic units of prediction, these schemes consider subgraphs of the control flow graph of the executed program as the basic units of prediction and predict the target of an entire subgraph at a time, thereby allowing the superscalar fetch mechanism to go past multiple branches in a cycle. The first control flow prediction scheme investigated considers sequential block-like subgraphs and the second scheme considers tree-like subgraphs to make the control flow predictions. Both schemes do a 1-out-of-4 prediction as opposed to the 1-out-of-2 prediction done by branch-level prediction schemes. These two schemes are evaluated using a MIPS ISA-based 12-way superscalar microarchitecture. An improvement in effective fetch size of approximately 25 percent and 50 percent, respectively, is observed over identical microprocessors that use branch-level prediction. No appreciable difference in the prediction accuracy was observed, although the control flow prediction schemes predicted 1-out-of-4, outcomes."",""1558-2183"","""",""10.1109/71.762815"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762815"","""",""Hardware";Instruction sets;Impedance;Microprocessors;Accuracy;Parallel processing;Bandwidth;Flow graphs;Microarchitecture;"Decoding"","""",""2"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Correction to ""Embedding and reconfiguration of spanning trees in faulty hypercubes"",""D. R. Avresky";" K. M. Al-Tawil"",NA";" NA,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1102"",""1102"","""",""1558-2183"","""",""10.1109/TPDS.1999.808160"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808160"","""",""Hypercubes";Computer networks;Computer science;Petroleum;Fault tolerance;Computer security;National security;Concurrent computing;Distributed computing;"Educational institutions"","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Correction to ""Periodically regular chordal rings"",""B. Parhami";" Ding-Ming Kwai"",University of California";" NA,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""7"",""767"",""768"","""",""1558-2183"","""",""10.1109/TPDS.1999.780870"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780870"","""",""Partial response channels"","""","""",""3"","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Data-driven control scheme for linear arrays: application to a stable insertion sorter,""B. Parhami";" Ding-Ming Kwai"",""Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA";" Worldwide Semiconductor Corporation, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""23"",""28"",""We present a strategy for designing stable insertion sorters based on linear arrays with data-driven control. The novelty of our approach lies in each data item carrying a control tag to specify how it is to be operated upon by a receiving cell and in performing two parallel comparisons within each cell. To assure first-in/first-out handling of equal key values, some data items must be marked to reflect their past histories. Such marking is conveniently carried out by modifying the data item's control tag. It is the combination of the above features that allows us to derive the first single-cycle priority queue that operates in fully pipelined mode, with no broadcasting of data values or control signals. By performing more than two parallel comparisons in each cell, the VLSI implementation cost of our stable sorter can be reduced. We show that highly cost-effective designs can be obtained by selecting an optimal cell size in terms of the number of comparators it contains."",""1558-2183"","""",""10.1109/71.744832"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744832"","""",""Sorting";Communication system control;Broadcasting;Very large scale integration;Data mining;History;Costs;Distributed control;Routing;"Switches"","""",""19"",""2"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Design and evaluation of system-level checks for on-line control flow error detection,""Z. Alkhalifa"; V. S. S. Nair; N. Krishnamurthy;" J. A. Abraham"",""Computer Science and Engineering Department, Southern Methodist University, Dallas, TX, USA"; Computer Science and Engineering Department, Southern Methodist University, Dallas, TX, USA; PowerPC Design Center, Motorola, Austin, TX, USA;" Computer Engineering Research Center, University of Technology, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""627"",""641"",""This paper evaluates the concurrent error detection capabilities of system-level checks, using fault and error injection. The checks comprise application and system level mechanisms to detect control flow errors. We propose Enhanced Control-Flow Checking Using Assertions (ECCA). In ECCA, branch-free intervals (BFI) in a given high or intermediate level program are identified and the entry and exit points of the intervals are determined. BFls are then grouped into blocks, the size of which is determined through a performance/overhead analysis. The blocks are then fortified with preinserted assertions. For the high level ECCA, we describe an implementation of ECCA through a preprocessor that will automatically insert the necessary assertions into the program. Then, we describe the intermediate implementation possible through modifications made on gee to make it ECCA capable. The fault detection capabilities of the checks are evaluated both analytically and experimentally. Fault injection experiments are conducted using FERRARI to determine the fault coverage of the proposed techniques."",""1558-2183"","""",""10.1109/71.774911"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774911"","""",""Control systems";Error correction;Hardware;Fault detection;Delay;Application software;Performance analysis;Testing;Computer aided instruction;"Runtime"","""",""193"",""2"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Dynamically configurable message flow control for fault-tolerant routing,""Binh Vien Dao"; J. Duato;" S. Yalamanchili"",""Home Wireless Networks, Norcross, GA, USA"; Facultad de Informàtica, Universidad Politécnica de Valencia, Valencia, Spain;" Computer Architecture and Systems Laboratory, Georgia Institute of Technology, School of Electrical and Computer Engineering, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""7"",""22"",""Fault-tolerant routing protocols in modern interconnection networks rely heavily on the network flow control mechanisms used. Optimistic flow control mechanisms, such as wormhole switching (WS), realize very good performance, but are prone to deadlock in the presence of faults. Conservative flow control mechanisms, such as pipelined circuit switching (PCS), ensure the existence of a path to the destination prior to message transmission, achieving reliable transmission at the expense of performance. This paper proposes a general class of flow control mechanisms that can be dynamically configured to trade-off reliability and performance. Routing protocols can then be designed such that, in the vicinity of faults, protocols use a more conservative flow control mechanism, while the majority of messages that traverse fault-free portions of the network utilize a WS like flow control to maximize performance. We refer to such protocols as two-phase protocols. This ability provides new avenues for optimizing message passing performance in the presence of faults. A fully adaptive two-phase protocol is proposed, and compared via simulation to those based on WS and PCS. The architecture of a network router supporting configurable flow control is also described."",""1558-2183"","""",""10.1109/71.744829"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744829"","""",""Fault tolerance";Circuit faults;Routing protocols;System recovery;Personal communication networks;Multiprocessor interconnection networks;Throughput;Communication system control;Switching circuits;"Delay"","""",""19"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Editorial: special section on dependable real-time systems,""N. Suri";" K. Ramamritham"",""Department of Computer Engineering, Chalmers University of Technology, Gothenburg, Sweden";" Department of Computer Science, Lederle Graduate Research Center, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""529"",""531"","""",""1558-2183"","""",""10.1109/TPDS.1999.774904"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774904"","""",""Special issues and sections";Real time systems;Fault tolerance;Fault tolerant systems;Resource management;Computer architecture;Computer applications;Application software;Availability;"Safety"","""",""6"","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Efficient algorithms for block-cyclic array redistribution between processor sets,""Neungsoo Park"; V. K. Prasanna;" C. S. Raghavendra"",""Department of Electrical Engineering Systems, EEE-200C, University of Southern California, Los Angeles, CA, USA"; Department of Electrical Engineering Systems, EEE-200C, University of Southern California, Los Angeles, CA, USA;" Aerospace Corporation, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1217"",""1240"",""Run-time array redistribution is necessary to enhance the performance of parallel programs on distributed memory supercomputers. In this paper, we present an efficient algorithm for array redistribution from cyclic(x) on P processors to cyclic(Kx) on Q processors. The algorithm reduces the overall time for communication by considering the data transfer, communication schedule, and index computation costs. The proposed algorithm is based on a generalized circulant matrix formalism. Our algorithm generates a schedule that minimizes the number of communication steps and eliminates node contention in each communication step. The network bandwidth is fully utilized by ensuring that equal-sized messages are transferred in each communication step. Furthermore, the time to compute the schedule and the index sets is significantly smaller. It takes O(max(P, Q)) time and is less than 1 percent of the data transfer time. In comparison, the schedule computation time using the state-of-the-art scheme (which is based on the bipartite matching scheme) is 10 to 50 percent of the data transfer time for similar problem sizes. Therefore, our proposed algorithm is suitable for run-time array redistribution. To evaluate the performance of our scheme, we have implemented the algorithm using C and MPI on an IBM SP2. Results show that our algorithm performs better than the previous algorithms with respect to the total redistribution time, which includes the time for data transfer, schedule, and index computation."",""1558-2183"","""",""10.1109/71.819945"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819945"","""",""Signal processing algorithms";Processor scheduling;Scheduling algorithm;Costs;Runtime;Concurrent computing;Multidimensional signal processing;Distributed computing;Computer Society;"Supercomputers"","""",""28"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Efficient broadcasting in wormhole-routed multicomputers: a network-partitioning approach,""Yu-Chee Tseng"; San-Yuan Wang;" Chin-Wen Ho"",""Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"; Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan;" Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""44"",""61"",""In this paper, a network-partitioning approach for one-to-all broadcasting on wormhole-routed networks is proposed. To broadcast a message, the scheme works in three phases. First, a number of data-distributing networks (DDNs), which can work independently, are constructed. Then the message is evenly divided into submessages, each being sent to a representative node in one DDN. Second, the submessages are broadcast on the DDNs concurrently. Finally, a number of data-collecting networks (DCNs), which can work independently too, are constructed. Then, concurrently on each DCN, the submessages are collected and combined into the original message. Our approach, especially designed for wormhole-routed networks, is conceptually similar but fundamentally very different from the traditional approach of using multiple edge-disjoint spanning trees in parallel for broadcasting in store-and-forward networks. One interesting issue is on the definition of independent DDNs and DCNs, in the sense of wormhole routing. We show how to apply this approach to tori, meshes, and hypercubes. Thorough analyses and comparisons based on different system parameters and configurations are conducted. The results do confirm the advantage of our scheme, under various system parameters and conditions, over other existing broadcasting algorithms."",""1558-2183"","""",""10.1109/71.744837"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744837"","""",""Broadcasting";Intelligent networks;Tree graphs;Routing;Computer Society;Hypercubes;Multiprocessor interconnection networks;Parallel processing;Linear algebra;"Communication networks"","""",""64"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Efficient fault-tolerant routing in multihop optical WDM networks,""Hong Shen"; F. Chin;" Yi Pan"",""School of Computing and Information Technology, Griffith University, Nathan, QLD, Australia"; Department of Computer Science and Information Systems, University of Hong Kong, Hong Kong, China;" Department of Computer Science, University of Dayton, Dayton, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1012"",""1025"",""This paper addresses the problem of efficient routing in unreliable multihop optical networks supported by Wavelength Division Multiplexing (WDM). We first define a new cost model for routing in (optical) WDM networks that is more general than the existing models. Our model takes into consideration not only the cost of wavelength access and conversion but also the delay for queuing signals arriving at different input channels that share the same output channel at the same node. We then propose a set of efficient algorithms in a reliable WDM network on the new cost model for each of the three most important communication patterns-multiple point-to-point routing, multicast, and multiple multicast. Finally, we show how to obtain a set of efficient algorithms in an unreliable WDM network with up to f faulty optical channels and wavelength conversion gates. Our strategy is to first enhance the physical paths constructed by the algorithms for reliable networks to ensure success of fault-tolerant routing, and then to route among the enhanced paths to establish a set of fault-free physical routes to complete the corresponding routing request for each of the communication patterns."",""1558-2183"","""",""10.1109/71.808141"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808141"","""",""Fault tolerance";Routing;Spread spectrum communication;Optical fiber networks;WDM networks;Optical wavelength conversion;Costs;Multicast algorithms;Wavelength division multiplexing;"Telecommunication network reliability"","""",""17"","""",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Embedding and reconfiguration of spanning trees in faulty hypercubes,""D. R. Avresky"",""Department of Electrical and Computer Engineering, Boston University, Boston, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""211"",""222"",""The problem of tolerating faulty nodes in hypercubes has been studied by many researchers either by using spares or by reconfiguration. Algorithms for tolerating faulty nodes and links in hypercubes are presented. The algorithms are based on using general spanning trees (GST), complete unbalanced spanning trees (CUST), and balanced spanning trees (BST) for reconfiguring the hypercube to avoid faulty nodes and links. The algorithms contain two phases: the first phase involves the construction of the spanning tree and the second one is for reconfiguring the hypercube should a faulty node be detected. The reconfiguration process consists of two basic steps. First, the faulty node is disconnected from the spanning tree. Then, a new spanning tree is constructed by reconnecting the children of the faulty node to the spanning tree. One hundred percent single fault correction (avoidance) and almost 100 percent fault correction (avoidance) of double and triple faults are achieved by the proposed algorithms for hypercubes having a dimension of n/spl ges/6. Simulation results for the algorithm under more than three faults also are presented. For any k faulty nodes (1/spl les/k/spl les/2/sup n/-1), the reconfiguration algorithm may be applied k times to avoid these k faulty nodes as long as no combination of any two of the faults results in a blocking situation. The proposed reconfiguration algorithms tolerate all possible single-link faults. The reconfiguration algorithms are extended to tolerate (k/spl les/n-1) multiple faults, causing blocking situation, with a backtracking."",""1558-2183"","""",""10.1109/71.755820"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755820"","""",""Hypercubes";Tree graphs;Binary trees;Binary search trees;Broadcasting;Fault detection;Phase detection;Tellurium;Parallel processing;"Concurrent computing"","""",""13"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Experimental evaluation of behavior-based failure-detection schemes in real-time communication networks,""Seungjae Han";" K. G. Shin"",""Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""613"",""626"",""Effective detection of failures is essential for reliable communication services. Traditionally, non-real-time computer networks have relied on behavior-based techniques for detecting communication failures. That is, each node uses heartbeats to detect the failure of its neighbors and the end-to-end transport protocol (e.g., TCP) achieves reliable communication by acknowledgment/retransmission. Recently, there has been a growing demand for reliable """"real-time"""" communication, but little research has been done on the failure detection problem. In this paper, we present two behavior-based failure-detection schemes-neighbor detection and end-to-end detection-for reliable real-time communication services and experimentally evaluate their effectiveness. Specifically, we measure and analyze the coverage and latency of these detection schemes through fault-injection experiments. The experimental results have shown that nearly all failures can be detected very quickly by the neighbor detection scheme, while the end-to-end detection scheme uncovers the remaining failures with larger detection latencies."",""1558-2183"","""",""10.1109/71.774910"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774910"","""",""Computer network reliability";Telecommunication network reliability;Delay;Fault detection;Application software;Communication system control;Quality of service;Transport protocols;Circuits;"Streaming media"","""",""6"",""1"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Exploiting domain-specific properties: compiling parallel dynamic neural network algorithms into efficient code,""L. Prechelt"",""Fakultät für Informatik, Universität Karlsruhe, Karlsruhe, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1105"",""1117"",""Domain-specific constraints can be exploited to implement compiler optimizations that are not otherwise feasible. Compilers for neural network learning algorithms can achieve near-optimal colocality of data and processes and near-optimal balancing of load over processors, even for dynamically irregular problems. This is impossible for general programs, but restricting programs to the neural algorithm domain allows for the exploitation of domain-specific properties. The operations performed by neural algorithms are broadcasts, reductions, and object-local operations only"; the load distribution is regular with respect to the (perhaps irregular) network topology; changes of network topology occur only from time to time. A language, compilation techniques, and a compiler implementation on the MasPar MP-1 are described and quantitative results for the effects of various optimizations used in the compiler are shown. Conservative experiments with weight pruning algorithms yield performance improvements of 27 percent due to load balancing and 195 percent improvement is achieved due to data locality, both compared to unoptimized versions. Two other optimizations-connection allocation and selecting the number of replicates-speed programs up by about 50 percent and 100 percent, respectively. This work can be viewed as a case study in exploiting domain-specific information;" some of the principles presented here may apply to other domains as well."",""1558-2183"","""",""10.1109/71.809571"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809571"","""",""Dynamic compiler";Neural networks;Heuristic algorithms;Network topology;Concurrent computing;Parallel machines;Optimizing compilers;Load management;Computer networks;"Computational modeling"","""",""19"",""1"",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"FASTEST: a practical low-complexity algorithm for compile-time assignment of parallel programs to multiprocessors,""Yu-Kwong Kwok";" I. Ahmad"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""2"",""147"",""159"",""In the area of parallelizing compilers, considerable research has been carried out on data dependency analysis, parallelism extraction, as well as program and data partitioning. However, designing a practical, low complexity scheduling algorithm without sacrificing performance remains a challenging problem. A variety of heuristics have been proposed to generate efficient solutions but they take prohibitively long execution times for moderate size or large problems. In this paper, we propose an algorithm called FASTEST (Fast Assignment and Scheduling of Tasks using an Efficient Search Technique) that has O(e) time complexity, where e is the number of edges in the task graph. The algorithm first generates an initial solution in a short time and then refines it by using a simple but robust random neighborhood search. We have also parallelized the search to further lower the time complexity. We are using the algorithm in a prototype automatic parallelization and scheduling tool which compiles sequential code and generates parallel code optimized with judicious scheduling. The proposed algorithm is evaluated with several application programs and outperforms a number of previous algorithms by generating parallelized code with shorter execution times, while taking dramatically shorter scheduling times. The FASTEST algorithm generates optimal solutions for a majority of the test cases and close-to-optimal solutions for the rest."",""1558-2183"","""",""10.1109/71.752781"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=752781"","""",""Scheduling algorithm";Processor scheduling;Algorithm design and analysis;Dynamic scheduling;Partitioning algorithms;Data analysis;Parallel processing;Minimization methods;Iterative algorithms;"Computer Society"","""",""26"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Fault-free Hamiltonian cycles in faulty arrangement graphs,""Sun-Yuan Hsieh"; Gen-Huey Chen;" Chin-Wen Ho"",""Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan;" Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""223"",""237"",""The arrangement graph A/sub n,k/, which is a generalization of the star graph (n-k=1), presents more flexibility than the star graph in adjusting the major design parameters: number of nodes, degree, and diameter. Previously, the arrangement graph has proved Hamiltonian. In this paper, we further show that the arrangement graph remains Hamiltonian even if it is faulty. Let |F/sub e/| and |F/sub v/| denote the numbers of edge faults and vertex faults, respectively. We show that A/sub n,k/ is Hamiltonian when 1) (k=2 and n-k/spl ges/4, or k/spl ges/3 and n-k/spl ges/4+[k/2]), and |F/sub e/|/spl les/k(n-k)-2, or 2) k/spl ges/2, n-k/spl ges/2+[k/2], and |F/sub e/|/spl les/k(n-k-3)-1, or 3) k/spl ges/2, n-k/spl ges/3, and |F/sub e/|/spl les/k, or 4) n-k/spl ges/3 and |F/sub v/|/spl les/n-3, or 5) n-k/spl ges/3 and |F/sub v/|+|F/sub e/|/spl les/k. Besides, for A/sub n,k/ with n-k=2, we construct a cycle of length at least 1) [n!/(n-k!)]-2 if |F/sub e/|/spl les/k-1, or 2) [n!/(n-k)!]-|F/sub v/|-2(k-1) if |F/sub v/|/spl les/k-1, or 3) [n!/(n-k)!]-|F/sub v/|-2(k-1) if |F/sub e/|+|F/sub v/|/spl les/k-1, where [n!/(n-k)!] is the number of nodes in A/sub n,k/."",""1558-2183"","""",""10.1109/71.755822"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755822"","""",""Hypercubes";Tree graphs;Computer Society;Fault tolerance;Multiprocessor interconnection networks;Routing;Algorithm design and analysis;Multidimensional systems;"Broadcasting"","""",""117"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
