"A class of multistage conference switching networks for group communication,""Y. Yang";" J. Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" East Isle Technologies, Inc., Setauket, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""228"",""243"",""There is a growing demand for network support for group applications, in which messages from one or more sender(s) are delivered to a large number of receivers. Here, we propose a network architecture for supporting a fundamental type of group communication, conferencing. A conference refers to a group of members in a network who communicate with each other within the group. We consider adopting a class of multistage networks, such as a baseline, an omega, or an indirect binary cube network, composed of switch modules with fan-in and fan-out capability for a conference network which supports multiple disjoint conferences. The key issue in designing a conference network is to determine the multiplicity of routing conflicts, which is the maximum number of conflict parties competing a single interstage link when multiple disjoint conferences simultaneously present in the network. Our results show that, for a network of size n /spl times/ n, the multiplicities of routing conflicts are small constants (between 2 and 4) for an omega network or an indirect binary cube network";" while it can be as large as /spl radic/n/q + 1 for a baseline network, where q is the minimum allowable conference size. Thus, our design for conference networks is based on an omega network or an indirect binary cube network. We also develop fast self-routing algorithms for setting up routing paths in the newly designed conference networks. As can be seen, such an n /spl times/ n conference network has O(logn) routing time and communication delay and O(nlogn) hardware cost. The conference networks are superior to existing designs in terms of routing complexity, communication delay and hardware cost. The conference network proposed is rearrangeably nonblocking in general, and is strictly nonblocking under some conference service policy. It can be used in applications that require efficient or real-time group communication."",""1558-2183"","""",""10.1109/TPDS.2004.1264808"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264808"","""",""Communication switching";Routing;Application software;Switches;Hardware;Costs;Collaboration;Computer Society;Computer architecture;"Algorithm design and analysis"","""",""12"","""",""22"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"An incremental genetic algorithm approach to multiprocessor scheduling,""A. S. Wu"; H. Yu; S. Jin; K. . -C. Lin;" G. Schiavone"",""School of Computer Science, University of Central Florida, Orlando, FL, USA"; School of Computer Science, University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL, USA; Institute of Simulation and Training, Orlando, FL, USA;" Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""9"",""824"",""834"",""We have developed a genetic algorithm (GA) approach to the problem of task scheduling for multiprocessor systems. Our approach requires minimal problem specific information and no problem specific operators or repair mechanisms. Key features of our system include a flexible, adaptive problem representation and an incremental fitness function. Comparison with traditional scheduling methods indicates that the GA is competitive in terms of solution quality if it has sufficient resources to perform its search. Studies in a nonstationary environment show the GA is able to automatically adapt to changing targets."",""1558-2183"","""",""10.1109/TPDS.2004.38"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333653"",""Genetic algorithm";task scheduling;"parallel processing."",""Genetic algorithms";Processor scheduling;Job shop scheduling;Scheduling algorithm;Parallel processing;Multiprocessing systems;Manufacturing;Aircraft manufacture;"Strips"","""",""164"","""",""50"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;;;
"An optical interconnection network and a modified snooping protocol for the design of large-scale symmetric multiprocessors (SMPs),""A. Louri";" A. K. Kodi"",""Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA";" Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Nov 2004"",""2004"",""15"",""12"",""1093"",""1104"",""In symmetric multiprocessors (SMPs), the cache coherence overhead and the speed of the shared buses limit the address/snoop bandwidth needed to broadcast transactions to all processors. As a solution, a scalable address subnetwork called symmetric multiprocessor network (SYMNET) is proposed in which address requests and snoop responses of SMPs are implemented optically. SYMNET not only uses passive optical interconnects that increases the speed of the proposed network, but also pipelines address requests at a much faster rate than electronics. This increases the address bandwidth for snooping, but the preservation of cache coherence can no longer be maintained with the usual snooping protocols. A modified coherence protocol, coherence in SYMNET (COSYM), is introduced to solve the coherence problem. COSYM was evaluated with a subset of Splash-2 benchmarks and compared with the electrical bus-based MOESI protocol. The simulation studies have shown a 5-66 percent improvement in execution time for COSYM as compared to MOESI for various applications. Simulations have also shown that the average latency for a transaction to complete using COSYM protocol was 5-78 percent better than the MOESI protocol. It is also seen that SYMNET can scale up to hundreds of processors while still using fast snooping-based cache coherence protocols, and additional performance gains may be attained with further improvement in optical device technology."",""1558-2183"","""",""10.1109/TPDS.2004.75"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1353242"",""SMPs";parallel optical interconnects;cache coherence;"scalable optical networks."",""Optical interconnections";Protocols;Optical design;Large-scale systems;Bandwidth;Broadcasting;Optical fiber networks;Pipelines;Delay;"Performance gain"","""",""9"","""",""23"",""IEEE"",""8 Nov 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Applications of k-local MST for topology control and broadcasting in wireless ad hoc networks,""Xiang-Yang Li"; Yu Wang;" Wen-Zhan Song"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"; Department of Computer Science, University of North Carolina, Charlotte, Charlotte, NC, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Nov 2004"",""2004"",""15"",""12"",""1057"",""1069"",""We propose a family of structures, namely, k-localized minimum spanning tree (LMST/sub k/) for topology control and broadcasting in wireless ad hoc networks. We give an efficient localized method to construct LMST/sub k/ using only O(n) messages under the local-broadcast communication model, i.e., the signal sent by each node would be received by all nodes within the node's transmission range. We also analytically prove that the node degree of the structure LMST/sub k/ is at most 6, LMST/sub k/ is connected and planar and, more importantly, the total edge length of the LMST/sub k/ is within a constant factor of that of the minimum spanning tree when k/spl ges/2 (called low weighted hereafter). We then propose another low weighted structure, called Incident MST and RNG Graph (IMRG), that can be locally constructed using at most 13n messages under the local broadcast communication model. Test results are corroborated in the simulation study. We study the performance of our structures in terms of the total power consumption for broadcasting, the maximum node power needed to maintain the network connectivity. We theoretically prove that our structures are asymptotically the best possible for broadcasting among all locally constructed structures. Our simulations show that our new structures outperform previous locally constructed structures in terms of broadcasting and power assignment for connectivity."",""1558-2183"","""",""10.1109/TPDS.2004.77"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1353239"",""Localized algorithms";broadcasting;topology control;minimum spanning tree;"wireless ad hoc networks."",""Network topology";Broadcasting;Intelligent networks;Ad hoc networks;Mobile ad hoc networks;Relays;Communication system control;Tree graphs;Testing;"Energy consumption"","""",""42"","""",""35"",""IEEE"",""8 Nov 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Asynchronous phase synchronization in uniform unidirectional rings,""Shing-Tsaan Huang"; Tzong-Jye Liu;" Su-Shen Hung"",""Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"; Computer and Communication Laboratory, Industrial Technology and Research Institute, Hsinchu, Taiwan;" Computer and Communication Laboratory, Industrial Technology and Research Institute, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Mar 2004"",""2004"",""15"",""4"",""378"",""384"",""We propose a self-stabilizing asynchronous phase synchronization protocol for uniform unidirectional rings. Consider applications with phase bound K, i.e., the phases are phase 0, phase 1, ...";" phase K-1, phase 0, phase 1, etc. Under the protocol, when the ring is stabilized, it satisfies the following criterion: No node begins to execute phase (k+1) mod K until all nodes have executed phase k, and after all nodes have executed their phase k, each node eventually executes phase (k+1) mod K. Besides the variable used to denote the phase that a node is working on, each node maintains only one auxiliary variable with b states, where b can be any number greater than or equal to the ring size. Provided that K and b satisfy the limitation: K/spl times/b>n(b-1), the proposed protocol is correct under the parallel model and takes at most 2(K/spl times/b) rounds to stabilize."",""1558-2183"","""",""10.1109/TPDS.2004.1271186"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271186"","""",""Synchronization";Protocols;"Clocks"","""",""3"","""",""15"",""IEEE"",""8 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Automatic ARIMA time series modeling for adaptive I/O prefetching,""N. Tran";" D. A. Reed"",""National Center for Supercomputing Applications (NCSA), University of Illinois, Champaign, IL, USA";" Department of Computer Science and NCSA, University of Illinois, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Mar 2004"",""2004"",""15"",""4"",""362"",""377"",""Inadequate I/O performance remains a major challenge in using high-end computing systems effectively. To address this problem, we present TsModeler, an automatic time series modeling and prediction framework for adaptive I/O prefetching that uses ARIMA time series models to predict the temporal patterns of I/O requests. These online pattern analysis techniques and cutoff indicators for autocorrelation patterns enable multistep online predictions suitable for multiblock prefetching. This work also combines time series predictions with spatial Markov model predictions to determine when, what, and how many blocks to prefetch. Experimental results show reductions in execution time compared to the standard Linux file system across various hardware configurations."",""1558-2183"","""",""10.1109/TPDS.2004.1271185"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271185"","""",""Prefetching";Predictive models;Pattern analysis;File systems;Time series analysis;Hardware;Wavelet analysis;Delay;High performance computing;"Autocorrelation"","""",""97"",""1"",""26"",""IEEE"",""8 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Caching and scheduling in NAD-based multimedia servers,""N. J. Sarhan";" C. R. Das"",""Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Aug 2004"",""2004"",""15"",""10"",""921"",""933"",""Multimedia-on-demand (MOD) applications have grown dramatically in popularity, especially in the domains of education, business, and entertainment. Current MOD servers waste precious resources in performing store-and-forward copying. This excessive overhead increases cost and severely limits the scalability of these servers. In this paper, we propose using the network-attached disk (NAD) architecture to design highly scalable and cost-effective MOD servers. In order to ensure enhanced performance, we propose a scheme, called distributed interval caching (DIG), which utilizes the on-disk buffers for caching intervals between successive streams. We also propose another scheme, called multiobjective scheduling (MOS), which increases the degrees of resource sharing by scheduling the waiting requests for service intelligently. We then integrate the two schemes and study the overall performance benefits through extensive simulation. The results demonstrate that the integrated policy works very well in increasing the number of customers that can be serviced concurrently while decreasing their waiting times for service. The performance benefits vary with several architectural, system workload, and scheduling parameters. We conclude this study by developing an analytical model for ideal DIG in order to estimate the performance limits which may be achieved through various optimizations."",""1558-2183"","""",""10.1109/TPDS.2004.49"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1327596"",""Batching";Distributed Interval Caching (DIC);Multimedia-on-Demand (MOD);Multi-Objective Scheduling (MOS);Network-Attached Disks (NAD);"Video-on-Demand (VOD)."",""Network servers";Resource management;Video sharing;Scalability;Multimedia communication;Broadcasting;Bandwidth;Streaming media;File servers;"Costs"","""",""24"",""35"",""33"",""IEEE"",""30 Aug 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Classifying matrices separating rows and columns,""A. A. Bertossi"; S. Olariu; M. C. Pinotti;" Si-Qing Zheng"",""Department of Computer Science, University of Bologna, Italy"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science and Mathematics, University of Perugia, Perugia, Italy;" Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""654"",""665"",""The classification problem transforms a set of N numbers in such a way that none of the first N/2 numbers exceeds any of the last N/2 numbers. A comparator network that solves the classification problem on a set of r numbers is commonly called an r-classifier. We show how the well-known Leighton's Columnsort algorithm can be modified to solve the classification problem of N=rs numbers, with 1 /spl les/ s /spl les/ r, using an r-classifier instead of an r-sorting network. Overall, the r-classifier is used O(s) times, namely, the same number of times that Columnsort applies an r-sorter. A hardware implementation is proposed that runs in optimal O(s+logr) time and uses an O(rlogr(s + logr)) work. The implementation shows that, when N= rlogr, there is a classifier network solving the classification problem on N numbers in the same O(logr) time and using the same O(rlogr) comparators as an r-classifier, thus saying a logr factor in the number of comparators over an (rlogr)-classifier."",""1558-2183"","""",""10.1109/TPDS.2004.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302105"",""Comparator network";classifier;classification problem;"hardware algorithm."",""Sorting";Concurrent computing;Scheduling algorithm;Hardware;Processor scheduling;Classification algorithms;Databases;Monitoring;"Statistics"","""",""1"","""",""19"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Comment on ""A novel data distribution technique for host-client type parallel applications,""T. G. Robertazzi"",""Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""575"","""",""A paper by Nick Comino and V. Lakshmi Narasimhan is related to existing literature on divisible load scheduling theory. This includes the use of a Gantt-chart to illustrate timing relationships, basic model assumptions common to the divisible load scheduling literature, allowing time for the reporting back to the originator node of solutions the inclusion of fixed costs (charges) in the model, a proof that such load distribution can be optimized the product form solution for optimal load allocation of the first equation of page and the matrix multiplication application."",""1558-2183"","""",""10.1109/TPDS.2004.2"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291825"",""Divisible loads";divisible jobs;"scheduling."",""Processor scheduling";Books;Distributed computing;Mathematics;Aerospace and electronic systems;Costs;Computer networks;Computational modeling;Computer simulation;"Application software"","""","""","""",""19"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Comments and corrections to ""Dominating sets and neighbor elimination-based broadcasting algorithms in wireless networks"",""I. Stojmenovic"",""SITE, University of Ottowa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""1054"",""1055"",""The paper by I. Stojmenovic et al. (2002) generated a lot of interest among researchers in ad hoc networks. A number of researchers questioned, through their articles, or directly to the first author, the correctness of the described procedure, and the correctness of the claim that the procedure does not need any communication exchange between nodes, in addition to """"hello"""" messages needed to learn information about neighboring nodes. This correspondence completes the article by providing the actual dominating set definitions used in the procedure (from which zero communication overhead follows easily), the correct procedure (the published one has few misprints at key places), and the proof that the new definitions and procedure indeed define connected dominating sets."",""1558-2183"","""",""10.1109/TPDS.2004.62"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339254"",""Broadcasting";ad hoc networks;"dominating sets."",""Broadcasting";Intelligent networks;Wireless networks;Ad hoc networks;Computer Society;Computer science;Protocols;Spine;"Topology"","""",""30"","""",""3"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Design and analysis of location management for 3G cellular networks,""Y. Xiao"; Y. Pan;" J. Li"",""Computer Science Division, University of Memphis, Memphis, TN, USA"; Department of Computer Science, Georgia State University, Atlanta, GA, USA;" Institute of Information Sciences and Electronics, University of Tsukuba, Tsukuba, Ibaraki, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Mar 2004"",""2004"",""15"",""4"",""339"",""349"",""Location management is a key issue in personal communication service networks to guarantee the mobile terminals to continuously receive services when moving from one place to another. We study two location management schemes, a dynamic movement-based scheme (DYNAMIC-3G) and a static scheme (STATIC-3G), for 3G cellular networks where home location registers, gateway location registers (GLRs), and visitor location registers form a three-level hierarchical mobility database structure. For both schemes, the cost functions are formulated analytically. We prove that there is an optimal movement threshold that minimizes the total cost function of DYNAMIC-3G and propose a binary search algorithm to find the optimal threshold. Furthermore, we present performance evaluation and comparison of the proposed schemes with the previous schemes in 2G cellular networks where the GLR is not present. Our studies validate the optimality of the DYNAMIC-3G scheme and show that the proposed schemes outperform the previous schemes, especially when the remote-local-cost ratio is high. The comparison results between DYNAMIC-3G and STATIC-3G indicate that DYNAMIC-3G should be adopted when the mobility rate is low, and STATIC-3G should be adopted otherwise. Furthermore, DYNAMIC-3G tends to perform better than STATIC-3G when the paging cost is high or the number of cells in a location area is large."",""1558-2183"","""",""10.1109/TPDS.2004.1271183"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271183"","""",""Land mobile radio cellular systems";Personal communication networks;Databases;Telecommunication traffic;Cost function;GSM;Mobile radio mobility management;Base stations;Telephony;"Subscriptions"","""",""62"","""",""17"",""IEEE"",""8 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Design and implementation of a lossless parallel high-speed data compression system,""M. Milward"; J. L. Nunez;" D. Mulvaney"",""System Level Integration Group, Department of Electronic and Electrical Engineering, University of Edinburgh, UK"; Electronic Systems Design Group, Department of Electronic and Electrical Engineering, Loughborough University, UK;" Electronic Systems Design Group, Department of Electronic and Electrical Engineering, Loughborough University, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""481"",""490"",""Logic density increases have made feasible the implementation of multiprocessor systems able to meet the intensive data processing demands of highly concurrent systems. We describe the research and hardware implementation of a high-performance parallel multicompressor chip. A detailed investigation into the performances of alternative input and output routing strategies for realistic data sets demonstrate that the design of parallel compression devices involves important trade offs that affect compression performance, latency, and throughput. The most promising approach is implemented into FPGA hardware and is shown to provide a scalable compression solution at throughputs able to cope with the demands of modern high-bandwidth applications."",""1558-2183"","""",""10.1109/TPDS.2004.7"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291818"",""Lossless data compression";X-MatchProRli;Multiple Compressors;"FPGA."",""Data compression";Bandwidth;Hardware;Throughput;Compressors;Field programmable gate arrays;Engines;Routing;Communication networks;"Computer networks"","""",""10"","""",""26"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Design, implementation, and evaluation of differentiated caching services,""Y. Lu"; T. F. Abdelzaher;" Avneesh Saxena"",""Department of Computer Science, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA"; Department of Computer Science, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA;" Knight Trading Group, Minnetonka, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""440"",""452"",""With the dramatic explosion of online information, the Internet is undergoing a transition from a data communication infrastructure to a global information utility. PDAs, wireless phones, Web-enabled vehicles, modem PCs, and high-end workstations can be viewed as appliances that """"plug-in"""" to this utility for information. The increasing diversity of such appliances calls for an architecture for performance differentiation of information access. The key performance accelerator on the Internet is the caching and content distribution infrastructure. While many research efforts addressed performance differentiation in the network and on Web servers, providing multiple levels of service in the caching system has received much less attention. It has two main contributions. First, we describe, implement, and evaluate an architecture for differentiated content caching services as a key element of the Internet content distribution architecture. Second, we describe a control-theoretical approach that lays well-understood theoretical foundations for resource management to achieve performance differentiation in proxy caches. An experimental study using the Squid proxy cache shows that differentiated caching services provide significantly better performance to the premium content classes."",""1558-2183"","""",""10.1109/TPDS.2004.1278101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278101"","""",""Internet";Home appliances;Explosions;Data communication;Personal digital assistants;Vehicles;Modems;Personal communication networks;Workstations;"Web server"","""",""55"",""1"",""37"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Distributed admission control for anycast flows,""Weijia Jia"; D. Xuan; Wanqing Tu; Lidong Lin;" Wei Zhao"",""Department of Computer Engineering and Information Technology, City University of Hong Kong, Kowloon, Hong Kong, China"; Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA; Department of Computer Engineering and Information Technology, City University of Hong Kong, Kowloon, Hong Kong, China; Department of Computer Engineering and Information Technology, City University of Hong Kong, Kowloon, Hong Kong, China;" Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""8"",""673"",""686"",""Anycasting has recently become an important research topic, especially for replicated servers. With anycasting, applications can request the """"nearest"""" server for provision of desired (multimedia) service. In this paper, we study efficient distributed admission control (DAC) for anycast flows. We focus on algorithms that perform destination selection and efficient path establishment. Taking advantage of anycasting, our distributed algorithms differ from each other in their dependence on system status information. Performance data obtained through mathematical analysis and simulations show that, in terms of admission probabilities, DAC systems that are based on local status information have performance levels close to those that utilize global and dynamic status information. This renders our DAC algorithms useful not only for the network layer, but also for the application layer admission control for anycast flows."",""1558-2183"","""",""10.1109/TPDS.2004.34"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333638"",""Admission control";anycast service and flow;destination selection;"weight assignment."",""Admission control";Network servers;Scalability;Unicast;Distributed algorithms;Mathematical analysis;Analytical models;Information analysis;Algorithm design and analysis;"Application software"","""",""16"","""",""35"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;
"Distributed diagnosis in dynamic fault environments,""Arun Subbiah";" D. M. Blough"",""School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA";" School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""453"",""467"",""The problem of distributed diagnosis in the presence of dynamic failures and repairs is considered. To address this problem, the notion of bounded correctness is defined. Bounded correctness is made up of three properties: bounded diagnostic latency, which ensures that information about state changes of nodes in the system reaches working nodes with a bounded delay, bounded start-up time, which guarantees that working nodes determine valid states for every other node in the system within bounded time after their recovery, and accuracy, which ensures that no spurious events are recorded by working nodes. It is shown that, in order to achieve bounded correctness, the rate at which nodes fail and are repaired must be limited. This requirement is quantified by defining a minimum state holding time in the system. Algorithm heartbeatcomplete is presented and it is proven that this algorithm achieves bounded correctness in fully-connected systems while simultaneously minimizing diagnostic latency, start-up time, and state holding time. A diagnosis algorithm for arbitrary topologies, known as algorithm forwardheartbeat, is also presented. Forwardheartbeat is shown to produce significantly shorter latency and state holding time than prior algorithms, which focused primarily on minimizing the number of tests at the expense of latency."",""1558-2183"","""",""10.1109/TPDS.2004.1278102"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278102"","""",""Fault diagnosis";Performance evaluation;Delay effects;Topology;Fault tolerant systems;"System testing"","""",""30"",""2"",""26"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Eligibility-based Round Robin for fair and efficient packet scheduling in wormhole switching networks,""L. Lenzini"; E. Mingozzi;" G. Stea"",""Dipartimento di Ingegneria dellInformazione, University of Pisa, Pisa, Italy"; Dipartimento di Ingegneria dellInformazione, University of Pisa, Pisa, Italy;" Dipartimento di Ingegneria dellInformazione, University of Pisa, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""244"",""256"",""Interconnection networks of parallel systems are used for servicing traffic generated by different applications, often belonging to different users. When multiple users contend for channel bandwidth, fairness in bandwidth sharing becomes a key requirement. In fact, enforcing a fair sharing of channel bandwidth improves flow isolation, thus preventing misbehaving flows from affecting the performance of other flows. We present a novel packet scheduling algorithm, called eligibility-based round robin (EBRR), devised to provide fair queueing in interconnection networks. In fact, EBRR meets the constraints imposed by wormhole switching, which is the most popular switching technique in interconnection networks of parallel systems. It can also be applied to packet switching wide area networks (WANs), such as IP and ATM. We show that EBRR has O(1) complexity and better delay and fairness properties than existing algorithms of comparable complexity. Here, we also investigate the means for assessing the fairness of a scheduler: we show that using the relative fairness bound as a fairness measure may lead to erroneous results. We then propose an alternative measure, called the generalized relative fairness bound, that allows fairness to be assessed more precisely."",""1558-2183"","""",""10.1109/TPDS.2004.1264809"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264809"","""",""Round robin";Scheduling algorithm;Packet switching;Multiprocessor interconnection networks;Bandwidth;Telecommunication traffic;Traffic control;Wide area networks;Asynchronous transfer mode;"Delay"","""",""10"","""",""21"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"EMPOWER: a cluster architecture supporting network emulation,""Pei Zheng";" L. M. Ni"",""Department of Computer Science, Arcadia University, Glenside, PA, USA";" Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""617"",""629"",""Network research generally requires a simulation or emulation environment to test protocol implementations, to evaluate the performance of a scheme or a system, and to study complicated and highly varying network operations. For large network simulation, simulators consume a large amount of time and memory";" and its result is largely based on some modeling assumptions that may not hold in the real world. Emulators are difficult to scale for large network emulation because of the high cost of equipment if a one-to-one mapping scheme is employed. Otherwise, the target network has to be abstracted to a single router modeled with some performance metrics. We present a distributed IP network emulator cluster EMPOWER, which not only can be used to emulate a large network with a limited number of commodity computers, but also can generate user-defined arbitrary network conditions and traffic dynamics at packet level for specific test scenarios. EMPOWER is highly scalable in that each emulator node could be configured to emulate multiple network nodes, and the increment of the number of emulator nodes does not affect emulation validity. Some significant research issues such as network mapping and mobile wireless network emulation are discussed and addressed. Preliminary emulation results show that EMPOWER is capable of assisting the study of both wireline and wireless network protocols and applications."",""1558-2183"","""",""10.1109/TPDS.2004.21"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302102"",""Network emulation";simulation;topology mapping;"mobile wireless network."",""Emulation";Wireless networks;System testing;Protocols;Costs;Measurement;IP networks;Computer networks;Distributed computing;"Telecommunication traffic"","""",""13"",""4"",""26"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Exploiting global knowledge to achieve self-tuned congestion control for k-ary n-cube networks,""M. Thottethodi"; A. R. Lebeck;" S. S. Mukherjee"",""School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"; Department of Computer Science, Levine Science Research Center, Research Dr., Duke University, Durham, NC, USA;" Intel Corporation, Shrewsbury, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""257"",""272"",""Network performance in tightly-coupled multiprocessors typically degrades rapidly beyond network saturation. Consequently, designers must keep a network below its saturation point by reducing the load on the network. Congestion control via source throttling-a common technique to reduce the network load-prevents new packets from entering the network in the presence of congestion. Unfortunately, prior schemes to implement source throttling either lack vital global information about the network to make the correct decision (whether to throttle or not) or depend on specific network parameters, or communication patterns. This paper presents a global-knowledge-based, self-tuned, congestion control technique that prevents saturation at high loads across different communication patterns for k-ary n-cube networks. Our design is composed of two key components. First, we use global information about a network to obtain a timely estimate of network congestion. We compare this estimate to a threshold value to determine when to throttle packet injection. The second component is a self-tuning mechanism that automatically determines appropriate threshold values based on throughput feedback. A combination of these two techniques provides high performance under heavy load, does not penalize performance under light load, and gracefully adapts to changes in communication patterns."",""1558-2183"","""",""10.1109/TPDS.2004.1264810"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264810"","""",""Throughput";Delay;Degradation;Communication system control;Bandwidth;Feedback;Automatic control;Multiprocessor interconnection networks;Multiprocessing systems;"Out of order"","""",""26"",""14"",""33"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
