"1996 Index IEEE Transactions on Parallel and Distributed Systems vol. 7,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1"",""11"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1996.553313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553313"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A broadcast algorithm for all-port wormhole-routed torus networks,""Yih-Jia Tsai";" P. K. McKinley"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""876"",""885"",""A new approach to broadcast in wormhole-routed two- and three-dimensional torus networks is proposed. The underlying network is assumed to support only deterministic, dimension-ordered unicast routing. The approach extends the graph theoretical concept of dominating nodes by accounting for the relative distance-insensitivity of the wormhole routing switching strategy. The proposed algorithm also takes advantage of an all-port communication architecture, which allows each node to simultaneously transmit messages on different outgoing channels. The resulting broadcast operation is based on a tree structure that uses multiple levels of extended dominating nodes(EDNs). Performance results are presented that confirm the advantage of this method over other approaches."",""1558-2183"","""",""10.1109/71.532118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532118"","""",""Broadcasting";Unicast;Routing;Concurrent computing;Network topology;Communication switching;Tree data structures;Computer networks;Distributed computing;"Message passing"","""",""31"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An implementation framework for HPF distributed arrays on message-passing parallel computer systems,""K. van Reeuwijk"; W. Denissen; H. J. Sips;" E. M. R. M. Paalvast"",""Advanced School of Computing and Imaging, Delft University of Technnology, Delft, Netherlands"; TNO TPD, Delft, Netherlands; Advanced School of Computing and Imaging, Delft University of Technnology, Delft, Netherlands;" TNO TPD, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""9"",""897"",""914"",""Data parallel languages, like High Performance Fortran (HPF), support the notion of distributed arrays. However, the implementation of such distributed array structures and their access on message passing computers is not straightforward. This holds especially for distributed arrays that are aligned to each other and given a block-cyclic distribution. In this paper, an implementation framework is presented for HPF distributed arrays on message passing computers. Methods are presented for efficient (in space and time) local index enumeration, local storage, and communication. Techniques for local set enumeration provide the basis for constructing local iteration sets and communication sets. It is shown that both local set enumeration and local storage schemes can be derived from the same equation. Local set enumeration and local storage schemes are shown to be orthogonal, i.e., they can be freely combined. Moreover, for linear access sequences generated by our enumeration methods, the local address calculations can be moved out of the enumeration loop, yielding efficient local memory address generation. The local set enumeration methods are implemented by using a relatively simple general transformation rule for absorbing ownership tests. This transformation rule can be repeatedly applied to absorb multiple ownership tests. Performance figures are presented for local iteration overhead, a simple communication pattern, and storage efficiency."",""1558-2183"","""",""10.1109/71.536935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=536935"","""",""Concurrent computing";Distributed computing;Message passing;Testing;Parallel languages;Equations;High performance computing;Multidimensional systems;"Optimizing compilers"","""",""26"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Analytical modeling of multistage, multipath networks,""P. G. Sobalvarro"",""Systems Research Center, Digital Equipment Corporation, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1059"",""1064"",""Because of their ability to tolerate faults, multipath, multistage networks provide useful interconnection schemes for large-scale parallel computers. However, the analytical models that have been used to analyze the performance of Banyan networks cannot be used to evaluate the performance of multipath networks. We present here what we believe to be the first analytical model that allows calculation of the bandwidth of the general class of unbuffered, packet-switched, multipath, multistage networks. The equations yielded by the model can be solved either exactly or by Monte Carlo approximation. The model agrees well with the results of a more complex simulation and provides a first step towards solution of the open problem of modeling of buffered, packet-switched, multipath, multistage networks."",""1558-2183"","""",""10.1109/71.539737"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539737"","""",""Analytical models";Equations;Telephony;Switching systems;Throughput;Switches;Circuits;Approximation methods;Large-scale systems;"Computer networks"","""",""7"",""2"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Asynchronous analysis of parallel dynamic programming algorithms,""G. Lewandowski"; A. Condon;" E. Bach"",""Xavier University, Cincinnati, OH, USA"; University of Wisconsin, Madison, WI, USA;" University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""4"",""425"",""438"",""We examine a very simple asynchronous model of parallel computation that assumes the time to compute a task is random, following some probability distribution. The goal of this model is to capture the effects of unpredictable delays on processors, due to communication delays or cache misses, for example. Using techniques from queueing theory and occupancy problems, we use this model to analyze two parallel dynamic programming algorithms. We show that this model is simple to analyze and correctly predicts which algorithm will perform better in practice. The algorithms we consider are a pipeline algorithm, where each processor i computes in order the entries of rows i, i+p, and so on, where p is the number of processors";" and a diagonal algorithm, where entries along each diagonal extending from the left to the top of the table are computed in turn. It is likely that the techniques used here can be useful in the analysis of other algorithms that use barriers or pipelining techniques."",""1558-2183"","""",""10.1109/71.494636"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494636"","""",""Algorithm design and analysis";Dynamic programming;Heuristic algorithms;Concurrent computing;Distributed computing;Delay effects;Pipeline processing;Computational modeling;Probability distribution;"Queueing analysis"","""",""9"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Automatic data structure selection and transformation for sparse matrix computations,""A. J. C. Bik";" H. A. G. Wijshoff"",""High Peiformance Computing Division Department of Computer Science, Leiden University, Netherlands";" High Peiformance Computing Division Department of Computer Science, Leiden University, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""109"",""126"",""The problem of compiler optimization of sparse codes is well known and no satisfactory solutions have been found yet. One of the major obstacles is formed by the fact that sparse programs explicitly deal with particular data structures selected for storing sparse matrices. This explicit data structure handling obscures the functionality of a code to such a degree that optimization of the code is prohibited, for instance, by the introduction of indirect addressing. The method presented in this paper delays data structure selection until the compile phase, thereby allowing the compiler to combine code optimization with explicit data structure selection. This method enables the compiler to generate efficient code for sparse computations. Moreover, the task of the programmer is greatly reduced in complexity."",""1558-2183"","""",""10.1109/71.485501"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485501"","""",""Data structures";Sparse matrices;Optimizing compilers;Program processors;Delay;Programming profession;Bandwidth;Computer science;"Runtime"","""",""43"",""2"",""43"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Balanced spanning trees in complete and incomplete star graphs,""Tzung-Shi Chen"; Yu-Chee Tseng;" Jang-Ping Sheu"",""Department of Information Management, Chang Jung University, Tainan, Taiwan"; Department of Computer Science, Chung Hua Polytechnic Institute, Hsinchu, Taiwan;" Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""7"",""717"",""723"",""Efficiently solving the personalized broadcast problem in an interconnection network typically relies on finding an appropriate spanning tree in the network. In this paper, we show how to construct in a complete star graph an asymptotically balanced spanning tree, and in an incomplete star graph a near-balanced spanning tree. In both cases, the tree is shown to have the minimum height. In the literature, this problem has only been considered for the complete star graph, and the constructed tree is about 4/3 times taller than the one proposed in this paper."",""1558-2183"","""",""10.1109/71.508251"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508251"","""",""Tree graphs";Broadcasting;Computer Society;Multiprocessor interconnection networks;Hypercubes;Computer science;Intelligent networks;Parallel architectures;Parallel processing;"Information management"","""",""18"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Benchmark evaluation of the IBM SP2 for parallel signal processing,""Kai Hwang"; Zhiwei Xu;" M. Arakawa"",""Department of Computer Science, University of Hong Kong, Hong Kong, China"; National Center for Intelligent Conzputing Systems, Chinese Academy and Sciences, Beijing, China;" MIT Lincoln Laboratories, Lexington, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""522"",""536"",""This paper evaluates the IBM SP2 architecture, the AIX parallel programming environment, and the IBM message-passing library (MPL) through STAP (Space-Time Adaptive Processing) benchmark experiments. Only coarse-grain parallelism was exploited on the SP2 due to its high communication overhead. A new parallelization scheme is developed for programming message passing multicomputers. Parallel STAP benchmark structures are illustrated with domain decomposition, efficient mapping of partitioned programs, and optimization of collective communication operations. We measure the SP2 performance in terms of execution time, Gflop/s rate, speedup over a single SP2 node, and overall system utilization. With 256 nodes, the Maul SP2 demonstrated the best performance of 23 Gflop/s in executing the High-Order Post-Doppler program, corresponding to a 34% system utilization. We have conducted a scalability analysis to reveal the performance growth rate as a function of machine size and STAP problem size. Important lessons learned from these parallel processing benchmark experiments are discussed in the context of real-time, adaptive, radar signal processing on massively parallel processors (MPP)."",""1558-2183"","""",""10.1109/71.503777"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503777"","""",""Signal processing";Parallel programming;Adaptive signal processing;Libraries;Message passing;Velocity measurement;Time measurement;Scalability;Performance analysis;"Parallel processing"","""",""31"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"CGIN: a fault tolerant modified Gamma interconnection network,""Po-Jen Chuang"",""Department of Electrical Engineering, Tamkang University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1301"",""1306"",""To improve the terminal reliability of the Gamma interconnection network (GIN), we consider altering its connecting patterns between stages to attain multiple disjoint paths between any source and destination pair. The new modified GIN, referred to as a CGIN with connecting patterns between stages exhibiting a cyclic feature, is able to tolerate any arbitrary single fault and to lift up terminal reliability accordingly. If several rows of switching elements are fabricated in one chip using the VLSI technology, a CGIN could lead to reduced cost because the pin count per chip decreases and the layout area taken by connections shrinks. To make routing and rerouting in the CGIN more efficient and simpler to implement, destination tag routing and rerouting is also provided."",""1558-2183"","""",""10.1109/71.553298"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553298"","""",""Fault tolerance";Multiprocessor interconnection networks;Switches;Routing;Hardware;Joining processes;Costs;"Very large scale integration"","""",""30"","""",""8"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Characterizing the memory behavior of compiler-parallelized applications,""E. Torrie"; M. Martonosi; Chau-Wen Tseng;" M. W. Hall"",""Computer Systems Laboratory, University of Stanford, Stanford, CA, USA"; Department of Electrical Engineering, Princeton University, Princeton, NJ, USA; Department of Computer Science, University of Maryland, College Park, MD, USA;" University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1224"",""1237"",""Compiler-parallelized applications are increasing in importance as moderate-scale multiprocessors become common. This paper evaluates how features of advanced memory systems (e.g., longer cache lines) impact memory system behavior for applications amenable to compiler parallelization. Using full-sized input data sets and applications taken from standard benchmark suites, we measure statistics such as speedups, synchronization and load imbalance, causes of cache misses, cache line utilization, data traffic, and memory costs. This exploration allows us to draw several conclusions. First, we find that larger granularity parallelism often correlates with good memory system behavior, good overall performance, and high speedup in these applications. Second, we show that when long (512 byte) cache lines are used, many of these applications suffer from false sharing and low cache line utilization. Third, we identify some of the common artifacts in compiler-parallelized codes that can lead to false sharing or other types of poor memory system performance, and we suggest methods for improving them. Overall, this study offers both an important snapshot of the behavior of applications compiled by state-of-the-art compilers, as well as an increased understanding of the interplay between cache line size, program granularity, and memory performance in moderate-scale multiprocessors."",""1558-2183"","""",""10.1109/71.553272"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553272"","""",""Concurrent computing";Application software;Parallel architectures;Program processors;Parallel programming;Supercomputers;Propulsion;Parallel processing;Computer science;"Delay"","""",""14"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Circuit-switched broadcasting in torus and mesh networks,""J. . -Y. L. Park";" Hyeong-Ah Choi"",""Department of Electrical Engineering and Computer Science, George Washington University, Washington D.C., DC, USA";" Department of Electrical Engineering and Computer Science, George Washington University, Washington D.C., DC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""184"",""190"",""We consider the problem of broadcasting on torus and mesh networks using circuit-switched, half-duplex, and link-bound communication. In this paper, we obtain an optimal broadcasting algorithm that uses pd time steps for a d-dimensional torus with (2d+1)/sup p/ nodes in each side of the torus. Using this algorithm, we show that a broadcasting on a d-dimensional mesh with the same size can be done in pd+p+d-1 time steps."",""1558-2183"","""",""10.1109/71.485507"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485507"","""",""Circuits";Broadcasting;Intelligent networks;Mesh networks;Routing;Casting;Writing;Computer science;"Approximation algorithms"","""",""21"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Circuit-switched broadcasting in torus networks,""J. G. Peters";" M. Syska"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" Universite'de Nice-Sophia Antipolis, Laboratoire 13S-CNRS-UXA 1376, Sophia-Antipolis, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""246"",""255"",""In this paper we present three broadcast algorithms and lower bounds on the three main components of the broadcast time for 2-dimensional torus networks (wrap-around meshes) that use synchronous circuit-switched routing. The first algorithm is based on a recursive tiling of a torus and is optimal in terms of both phases and intermediate switch settings when the start-up time to initiate message transmissions is the dominant cost. It is the first broadcast algorithm to match the lower bound of log/sub 5/ N on number of phases (where N is the number of nodes). The second and third algorithms are hybrids which combine circuit-switching with the pipelining and arc-disjoint spanning trees techniques that are commonly used to speed up store-and-forward routing. When the propagation time of messages through the network is significant, our hybrid algorithms achieve close to optimal performance in terms of phases, intermediate switch settings, and total transmission time. They are the first algorithms to achieve this performance in terms of all three parameters simultaneously."",""1558-2183"","""",""10.1109/71.491578"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491578"","""",""Broadcasting";Intelligent networks;Routing;Switches;Multiprocessor interconnection networks;Pipeline processing;Network topology;Switching circuits;Cost function;"Circuit topology"","""",""44"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Computing on anonymous networks. I. Characterizing the solvable cases,""M. Yamashita";" T. Kameda"",""Department ofElectrical Engineering, Hiroshima University, Higashihiroshima, Japan";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""69"",""89"",""In anonymous networks, the processors do not have identity numbers. We investigate the following representative problems on anonymous networks: (a) the leader election problem, (b) the edge election problem, (c) the spanning tree construction problem, and (d) the topology recognition problem. On a given network, the above problems may or may not be solvable, depending on the amount of information about the attributes of the network made available to the processors. Some possibilities are: (1) no network attribute information at all is available, (2) an upper bound on the number of processors in the network is available, (3) the exact number of processors in the network is available, and (4) the topology of the network is available. In terms of a new graph property called """"symmetricity"""", in each of the four cases (1)-(4) above, we characterize the class of networks on which each of the four problems (a)(d) is solvable. We then relate the symmetricity of a network to its 1- and 2-factors."",""1558-2183"","""",""10.1109/71.481599"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481599"","""",""Computer networks";Computer aided software engineering;Nominations and elections;Network topology;Distributed algorithms;Probes;Upper bound;Distributed computing;"Joining processes"","""",""204"",""1"",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Computing on anonymous networks. II. Decision and membership problems,""M. Yamashita";" T. Kameda"",""Department of Electrical Engineering, Hiroshima University, Higashihiroshima, Japan";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""90"",""96"",""For pt I see ibid. In anonymous networks, the processors do not have identity numbers. In Part I of this paper, we characterized the classes of networks on which some representative distributed computation problems are solvable under different conditions. A new graph property called symmetricity played a central role in our analysis of anonymous networks. In Part II, we turn our attention to the computational complexity issues. We first discuss the complexity of determining the symmetricity of a given graph, and then that of testing membership in each of the 16 classes of anonymous networks defined in Part I. It turns out that, depending on the class, the complexity varies from P-time to NP-complete or co-NP-complete."",""1558-2183"","""",""10.1109/71.481600"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481600"","""",""Computer networks";Testing;Network topology;Nominations and elections;Upper bound;Computational complexity;Marine vehicles;"Polynomials"","""",""34"","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Computing programs containing band linear recurrences on vector supercomputers,""Haigeng Wang"; A. Nicolau; S. Keung;" Kai-Yeung Siu"",""Department of Information and Computer Science, University of California, Irvine, CA, USA"; Department of Information and Computer Science, University of California, Irvine, CA, USA; Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA;" Arbeloff Laboratory for Information Systems, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""769"",""782"",""Many large-scale scientific and engineering computations, e.g., some of the Grand Challenge problems, spend a major portion of execution time in their core loops computing band linear recurrences (BLRs). Conventional compiler parallelization techniques cannot generate scalable parallel code for this type of computation because they respect loop-carried dependences (LCDs) in programs, and there is a limited amount of parallelism in a BLR with respect to LCDs. For many applications, using library routines to replace the core BLR requires the separation of BLR from its dependent computation, which usually incurs significant overhead. In this paper, we present a new scalable algorithm called the Regular Schedule, for parallel evaluation of BLRs. We describe our implementation of the Regular Schedule and discuss how to obtain maximum memory throughput in implementing the schedule on vector supercomputers. We also illustrate our approach, based on our Regular Schedule, to parallelizing programs containing BLR and other kinds of code. Significant improvements in CPU performance for a range of programs containing BLR implemented using the Regular Schedule in C over the same programs implemented using highly optimized coded-in-assembly BLAS routines [11] are demonstrated on Convex C240. Our approach can be used both at the user level in parallel programming code containing BLRs, and in compiler parallelization of such programs combined with recurrence recognition techniques for vector supercomputers."",""1558-2183"","""",""10.1109/71.532109"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532109"","""",""Vectors";Processor scheduling;Program processors;Supercomputers;Large-scale systems;Concurrent computing;Parallel processing;Libraries;Scheduling algorithm;"Throughput"","""",""3"",""1"",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Constant time BSR solutions to parenthesis matching, tree decoding, and tree reconstruction from its traversals,""I. Stojmenovic"",""Computer Science Department, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""218"",""224"",""Recently Akl et al. introduced a new model of parallel computation, called BSR (broadcasting with selective reduction) and showed that it is more powerful than any CRCW PRAM and yet requires no more resources for implementation than even EREW PRAM. The model allows constant time solutions to sorting, parallel prefix and other problems. In this paper, we describe constant time solutions to the parenthesis matching, decoding binary trees in bitstring representation, generating next tree shape in B-order, and the reconstruction of binary trees from their traversals, using the BSR model. They are the first constant time solutions to mentioned problems on any model of computation. The number of processors used is equal to the input size, for each problem. A new algorithm for sorting integers is also presented."",""1558-2183"","""",""10.1109/71.485530"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485530"","""",""Decoding";Phase change random access memory;Broadcasting;Sorting;Computational modeling;Circuits;Concurrent computing;Binary trees;Read-write memory;"Shape"","""",""21"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Constructing Euclidean minimum spanning trees and all nearest neighbors on reconfigurable meshes,""T. H. Lai";" Ming-Jye Sheng"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA";" YoungTech, Inc., Edison, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""806"",""817"",""A reconfigurable mesh, R-mesh for short, is a two-dimensional array of processors connected by a grid-shaped reconfigurable bus system. Each processor has four I/O ports that can be locally connected during execution of algorithms. This paper considers the d-dimensional Euclidean minimum spanning tree (EMST) and the all nearest neighbors (ANN) problem. Two results are reported. First, we show that a minimum spanning tree of n points in a fixed d-dimensional space can be constructed in O(1) time on a /spl radic/(n/sup 3/)/spl times//spl radic/(n/sup 3/) R-mesh. Second, all nearest neighbors of n points in a fixed d-dimensional space can be constructed in O(1) time on an n/spl times/n R-mesh. There is no previous O(1) time algorithm for the EMST problem"; ours is the first such algorithm. A previous R-mesh algorithm exists for the two-dimensional ANN problem;" we extend it to any d-dimensional space. Both of the proposed algorithms have a time complexity independent of n but growing with d. The time complexity is O(1) if d is a constant."",""1558-2183"","""",""10.1109/71.532112"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532112"","""",""Nearest neighbor searches";Computer Society;Computational geometry;Sorting;Image processing;Digital arithmetic;Computer vision;Application software;Pattern recognition;"Very large scale integration"","""",""12"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Correction to ""Optimal and Load Balanced Mapping of Parallel Priority Queues in Hypercubes"" [Erratum,""S. K. Das"; M. C. Pinotti;" F. Sarkar"",""Department of Computer Sciences, University of North Texas, Denton, TX, USA"; Istituto Elaborazione dellInformazione, CNR, Pisa, Italy;" Nortel Technologies, Inc., Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""896"","""","""",""1558-2183"","""",""10.1109/TPDS.1996.532120"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532120"","""",""Hypercubes";"Computer Society"","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Data forwarding in scalable shared-memory multiprocessors,""D. A. Koufaty"; Xiangfeng Chen; D. K. Poulsen;" J. Torrellas"",""Center for Supercomputing, Research and Development, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"; Silicon Graphics, Inc., Mountain View, CA, USA; Kuck and Associates, Inc., Urbana-Champaign, IL, USA;" Center for Supercomputing, Research and Development, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1250"",""1264"",""Scalable shared-memory multiprocessors are often slowed down by long-latency memory accesses. One way to cope with this problem is to use data forwarding to overlap memory accesses with computation. With data forwarding, when a processor produces a datum, in addition to updating its cache, it sends a copy of the datum to the caches of the processors that the compiler identified as consumers of it. As a result, when the consumer processors access the datum, they find it in their caches. This paper addresses two main issues. First, it presents a framework for a compiler algorithm for forwarding. Second, using address traces, it evaluates the performance impact of different levels of support for forwarding. Our simulations of a 32-processor machine show that an optimistic support for forwarding speeds up five applications by an average of 50% for large caches and 30% for small caches. For large caches, most sharing read misses are eliminated, while for small caches, forwarding does not increase the number of conflict misses significantly. Overall, support for forwarding in shared-memory multiprocessors promises to deliver good application speedups."",""1558-2183"","""",""10.1109/71.553274"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553274"","""",""Prefetching";Delay;Protocols;Optimizing compilers;Multithreading;Research and development;Silicon;Graphics;Runtime;"Hardware"","""",""33"",""8"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Decomposition abstraction in parallel rule languages,""Shiow-Yang Wu"; D. P. Miranker;" J. C. Browne"",""Institute of Computer Science and Information Engzneering, National Dong Hwa University, Hualien, Taiwan"; Department of Computer Sciences, University of Texas at Austin;" Department of Computer Sciences, University of Texas at Austin"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1164"",""1184"",""Decomposition abstraction is the process of organizing and specifying decomposition strategies for the exploitation of parallelism available in an application. In this paper we develop and evaluate declarative primitives for rule-based programs that expand opportunities for parallel execution. These primitives make explicit, implicit relations among the data and similarly among the rules. The semantics of the primitives are presented in a general object-based framework such that they may be applied to most rule-based programming languages. We show how the additional information provided by the decomposition primitives can be incorporated into a semantic-based dependency analysis technique. The resulting analysis reveals parallelism at compile time that is very difficult, if not impossible, to discover by traditional syntactic analysis techniques. Simulation results demonstrate scalable and broadly available parallelism."",""1558-2183"","""",""10.1109/71.544357"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544357"","""",""Production systems";Parallel processing;Interference;Knowledge based systems;Intelligent systems;Large-scale systems;System performance;Computer languages;Computer science;"Concurrent computing"","""",""2"","""",""57"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Designing clustered multiprocessor systems under packaging and technological advancements,""D. Basak";" D. K. Panda"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""9"",""962"",""978"",""Clustered or hierarchical interconnections have advantages when designing large scale multiprocessor systems. Earlier studies have either focused on only flat interconnections or proposed hierarchical/clustered interconnections with limited packaging and demanded performance constraints. Large systems require several levels of packaging. Packaging technologies impose various physical constraints on bisection bandwidth and channel width of a system. Pinout technologies and the capacity of packaging modules have been ignored in earlier studies, often leading to configurations that are not design-feasible. Similarly, the impact of processor and interconnect technologies on demanded performance has not been considered. We propose a new supply-demand framework for multiprocessor system design by considering packaging, processor, and interconnect technologies in an integrated manner. The elegance of this framework lies in its parameterised representation of different technologies. For a given set of technological parameters the framework derives the best configuration while considering practical design aspects like maximum board area, maximum available pinout, fixed channel width, and scalability. In order to build a scalable parallel system with a given number of processors, the framework explores the design space of flat k-ary n-cube topologies and their clustered variations (k-ary n-cube cluster-c) to derive design-feasible configurations with best system performance."",""1558-2183"","""",""10.1109/71.536940"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=536940"","""",""Multiprocessing systems";Packaging;Bandwidth;Space technology;Space exploration;Very large scale integration;Hypercubes;Large scale integration;Scalability;"Topology"","""",""22"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
